所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-多模态-文件编目,验证编辑编目时字段类型变更或删除字段后，已编目信息的该字段被删除,"<p>1.【非结构化数据-文件编目】页已打开</p>
<p>2.页面存在编目名称为：<a>dsds5511的编目已被文件配置、</a></p>
<p><a>编目名称为：test2的编目已被文件配置</a></p>","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 修改编目dsds5511的字段类型，点击确定
3. 点击确定
4. 查看之前被编目dsds5511配置过的文件详情
5. 再次删除编目test2的某一字段，点击删除的二次弹窗的确定
6. 点击编辑页面的确定
7. 点击编辑弹窗的确定
8. 查看之前被编目test2配置过的文件详情","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出二次弹窗确认
3. 成功编辑
4. 1.该文件详情页的编目信息处显示配置的dsds5511编目信息
2编目信息处被修改的字段类型的字段信息不存在
5. 该字段被删除
6. 弹出编辑的二次确认弹窗
7. 字段类型成功删除，成功编辑
8. 1.该文件详情页的编目信息处显示配置的test2编目信息
2编目信息处被删除的字段不存在",2
数据资产-多模态-文件编目,验证文件编目列表“更新时间”排序功能,"<p>1.【非结构化数据-文件编目】页已打开</p>
<p>2.列表存在多条不同更新时间的数据</p>","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 查看列表“更新时间”
3. 点击“更新时间”
4. 再次点击“更新时间”
5. 再次点击“更新时间”","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 右侧显示排序图标
3. 列表数据按更新时间升序排序
4. 列表数据按更新时间降序排序
5. 列表数据按默认排序",3
数据资产-多模态-文件编目,验证删除时二次弹窗【取消】按钮功能,"1.已打开【非结构化数据-文件编目】页面
2.列表有多条编目信息记录","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击列表一条编目信息的【删除】按钮
3. 点击弹窗的【取消】按钮
4. 点击选择列表多条编目信息
5. 点击【批量删除】按钮
6. 点击弹窗的【取消】按钮
7. 点击勾选“全选”框
8. 点击【批量删除】按钮
9. 点击弹窗的【取消】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出二次确认弹窗
3. 取消删除，查看列表依然存在该条记录
4. 选择成功，“当前选中：xx”
5. 弹出二次确认弹窗
6. 取消删除，查看列表仍存在选择的多条记录
7. 勾选成功，显示“全选”
8. 弹出二次确认弹窗
9. 取消删除，列表仍存在全部记录",2
数据资产-多模态-文件编目,验证删除已被文件配置的编目,"1.已打开【非结构化数据-文件编目】页面
2.列表有多条编目信息记录，其中编目名称为测试编目1的已被配置","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选择编目名称为测试编目1的记录，点击【删除】按钮
3. 查看弹窗内容
4. 点击【确定】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 点击成功，弹出二次确认弹窗
3. 包含【确定】、【取消】按钮和提示信息：删除编目后已配置编目的文件编目信息会被同步删除，请确认是否进行删除操作
4. 成功删除，查看【文件管理】页面已被配置的文件编目中不存在该编目",1
数据资产-多模态-文件编目,验证批量删除不同页面编目,"1.已打开【非结构化数据-文件编目】页面
2.列表存在至少10条编目信息记录","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击多选当前页面编目
3. 跳转页码，多选编目
4. 点击删除按钮，二次确认删除","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 选择项已高亮/回显选中状态，相关联动字段随之更新
4. 查看页面只删除了当前页面多选的编目",2
数据资产-多模态-文件编目,验证批量删除编目信息,"1.已打开【非结构化数据-文件编目】页面
2.列表有多条编目信息记录","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击选择列表多条编目信息
3. 点击【批量删除】按钮
4. 点击弹窗的【确定】按钮
5. 点击勾选“全选”框
6. 点击【批量删除】按钮
7. 点击弹窗的【确定】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 弹出二次确认弹窗
4. 删除成功，查看列表不存在被删除的多条记录
5. 勾选成功，显示“全选”
6. 弹出二次确认弹窗
7. 删除成功，列表不存在记录",1
数据资产-多模态-文件编目,验证单个编目删除,"1.已打开【非结构化数据-文件编目】页面
2.列表有多条编目信息记录","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击列表一条编目信息的【删除】按钮
3. 点击弹窗的【确定】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出二次确认弹窗
3. 删除成功，查看列表不存在该条记录",1
数据资产-多模态-文件编目,验证【编辑编目】弹窗【取消】按钮功能,"1.已打开【非结构化数据-文件编目】页面
2.【编辑编目】弹窗页面已打开
3.已修改页面部分字段内容","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击【取消】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 成功退出【编辑编目】页面，查看列表未修改对应记录",2
数据资产-多模态-文件编目,验证字段中文名修改后，已编目信息自动更新,"1.已打开【非结构化数据-文件编目】页面
2.列表存在“编目名称”为“测试编目3”的记录，该记录信息为： “编目名称”：测试编目3； “编目描述”：新增测试编目2； 编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是。
3.【编辑编目】弹窗页面已打开
4.该条记录在【文件管理】中已经编目","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 细分主题 1
3. 编辑“字段中文名”为：学生姓名
其余不变
4. 点击编辑弹窗【确定】按钮
5. 点击切换到【文件管理】页面
6. 搜索并查看该条文件编目的字段中文名","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 
3. 成功编辑填写
4. 编辑成功，查看对应内容成功修改
5. 成功切换至目标页签/状态，页面内容随之刷新显示
6. 自动调整为对应的正确内容
6. 功能操作成功，页面数据状态更新为最新，无报错提示",2
数据资产-多模态-文件编目,验证有字段类型变更/字段删除时二次弹窗取消按钮功能,"1.已打开【非结构化数据-文件编目】页面
2.列表存在“编目名称”为“测试编目4”的记录，该记录信息为： “编目名称”：测试编目4； “编目描述”：新增测试编目2； 编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是； 字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是； 字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；
3.【编辑编目】弹窗页面已打开
4.该条记录在【文件管理】中已经编目","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击编辑字段3为：
“类型”：文本框|string；
其余不变
3. 点击编辑弹窗【确定】按钮
4. 点击二次确认弹窗【取消】按钮
5. 删除字段2
其余不变
6. 点击编辑弹窗【确定】按钮
7. 点击二次确认弹窗【取消】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 编辑填写成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 弹出二次确认弹窗和提示：若已经有文件配置了编目字段，修改字段类型或者删除字段会删除已有数据，请谨慎操作！
4. 取消成功，该字段未被编辑成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 成功删除
6. 弹出二次确认弹窗和提示：若已经有文件配置了编目字段，修改字段类型或者删除字段会删除已有数据，请谨慎操作！
7. 取消成功，该字段未被编辑成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
数据资产-多模态-文件编目,验证有字段被删除时弹出确认弹窗和提示内容,"1.已打开【非结构化数据-文件编目】页面
2.列表存在“编目名称”为“测试编目2”的记录，该记录信息为： “编目名称”：测试编目2； “编目描述”：新增测试编目2； 编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是； 字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是； 字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；
3.【编辑编目】弹窗页面已打开
4.该条记录在【文件管理】中已经编目","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 删除字段2
其余不变
3. 点击编辑弹窗【确定】按钮
4. 点击二次确认弹窗【确定】按钮
5. 点击切换到【文件管理】页面
6. 搜索并查看该条文件编目","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 成功删除
3. 弹出二次确认弹窗和提示：若已经有文件配置了编目字段，修改字段类型或者删除字段会删除已有数据，请谨慎操作！
4. 编辑成功，查看对应内容成功修改
5. 成功切换至目标页签/状态，页面内容随之刷新显示
6. 成功搜索，未被编目",2
数据资产-多模态-文件编目,验证字段类型变更时弹出确认弹窗和提示内容,"1.已打开【非结构化数据-文件编目】页面
2.列表存在“编目名称”为“测试编目1”的记录，该记录信息为： “编目名称”：测试编目1； “编目描述”：新增测试编目1； 编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是； 字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是； 字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；
3.【编辑编目】弹窗页面已打开
4.该条记录在【文件管理】中已经编目","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击编辑字段3为：
“类型”：文本框|string；
其余不变
3. 点击编辑弹窗【确定】按钮
4. 点击二次确认弹窗【确定】按钮
5. 点击切换到【文件管理】页面
6. 搜索并查看该条文件编目","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 编辑填写成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 弹出二次确认弹窗和提示：若已经有文件配置了编目字段，修改字段类型或者删除字段会删除已有数据，请谨慎操作！
4. 编辑成功，查看对应内容成功修改
5. 成功切换至目标页签/状态，页面内容随之刷新显示
6. 成功搜索，未被编目",2
数据资产-多模态-文件编目,验证编辑编目时字段支持删除操作,"1.已打开【非结构化数据-文件编目】页面
2.【编辑编目】弹窗页面已打开
3.3.该编目存在以下基本信息：
“编目名称”：测试编目1； “编目描述”：新增测试编目1；
编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是；
字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是；
字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 查看已存在的三个字段的末尾
3. 点击字段3末尾的【删除】按钮
4. 点击弹窗【确定】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 除字段1其余字段末尾都显示有【删除】按钮
3. 弹出二次确认弹窗
4. 成功删除该字段，查看不存在字段3",2
数据资产-多模态-文件编目,验证编辑页面不支持编辑字段英文名,无,"1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选中并点击列表某一条记录【编辑】按钮
3. 查看编辑弹窗页面","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 点击成功，弹出【编辑编目】页面弹窗
3. 字段英文名输入框置为灰色，不可点击",2
