所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-项目管理,验证角色管理,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 创建项目，点击项目名称进入项目，跳转到项目管理菜单栏，选择角色管理
3. check数据
4. check页面","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 
3. 所有角色的权限点正确，内容与预期完全一致，无异常或错误
4. 样式正常，不可操作",2
离线开发-项目管理,验证成员管理 移出用户组,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 前提条件：添加一个用户组到项目里
3. 单击用户组操作列的【移出项目】","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 
3. 用户组移出成功，对应用户组内的用户全部移出项目（除了之前单独添加进项目的）",2
离线开发-项目管理,验证成员管理 编辑用户组,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 使用测试账号001，创建项目，进入项目成员管理页面
3. 编辑用户组001 为运维
4. 切换到用户管理页面，check用户组里的所有用户角色","1. 
2. 
3. 成员列表出现用户组001，角色为运维
4. 用户组底下的用户，角色均更新为运维",2
离线开发-项目管理,验证成员管理 添加用户 添加一个数据开发,无,"1. 进入当前租户、创建账号 测试账号001、测试账号002、测试账号003、测试账号004、测试账号005、测试账号006，设置测试账号001为租户管理员
2. 使用测试账号001，创建项目，进入项目成员管理页面
3. 添加测试账号004 为数据开发","1. 
2. 
3. 成员列表出现测试账号004，角色为数据开发",2
离线开发-项目管理,验证成员管理 初始化,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 创建项目，进入项目下项目管理，项目成员管理页面
3. 查看数据库数据 rdos_role_user 表，根据租户id 与 项目id 查询，按用户分组","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 存在 搜索、添加成员、编辑角色功能 与 翻页组件
3. 查询结果数据 与 页面数据一致",2
离线开发-项目管理,验证项目设置 操作设置 自定义目录排序 默认关闭,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 跳转到到数据开发，创建周期任务，check菜单栏目录排序操作","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 不可认为排序，不可拖动排序",2
离线开发-项目管理,验证项目设置 操作设置 允许DDL操作 默认勾选,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 跳转到到数据开发，创建周期任务，输入create table 语句，保存，临时运行
3. check运行状态","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 提示DDL语句，可继续运行
3. 任务运行成功，状态显示为【运行成功/成功】，无报错信息",2
离线开发-项目管理,验证项目设置 操作设置 代码同步 默认不勾选,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 跳转到到数据开发，创建周期任务，check操作栏","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 没有拉取，推送能操作",2
离线开发-项目管理,验证项目设置 操作设置 发动任务运行情况报告 默认不勾选,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 在数据开发创建一个周期任务，设置立即生成，保存，提交
3. 查看周期实例运行状态
4. check邮件运行报告","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 
3. 周期实例生成，等待运行，一段时间后运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 不发送运行报告",2
离线开发-项目管理,验证项目设置 操作设置 下载select结果 默认勾选,无,"1. 进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员
2. 在数据开发创建一个任务，输入查询SQL（示例：select * from table），保存，临时运行该SQL
3. 下载查询结果","1. 成功进入当前租户、创建账号 测试账号001、用户组001，设置测试账号001为租户管理员页面，页面内容正常加载显示，无报错
2. 运行成功，返回查询结果，可点击下载
3. 文件下载成功，结果与SQL查询结果一致",2
