所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-多模态-文件管理,验证并发操作-文件的打标操作,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. jmeter执行脚本，多个用户对同一个文件同时进行打标操作，查看打标结果
3. jmeter执行脚本，多个用户对不同文件同时进行打标操作，查看打标结果","1. 成功进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮页面，页面内容正常加载显示，无报错
2. 展示所有的标签
3. 各个文件标签正确，内容与预期完全一致，无异常或错误",2
数据资产-多模态-文件管理,验证在文件打标的同时，文件被操作，打标功能是否正常,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. 新开标签页A，进入【数据资产】-【多模态】-【文件管理】页面，点击单个文件的标签按钮
3. 1）保持步骤一弹窗打开，新开标签页B，修改文件名称2）在标签页A中，勾选标签，点击确定
4. 1）保持步骤一弹窗打开，新开标签页B，移动文件位置2）在标签页A中，勾选标签，点击确定
5. 1）保持步骤一弹窗打开，新开标签页B，对文件进行替换操作2）在标签页A中，勾选标签，点击确定
6. 1）保持步骤一弹窗打开，新开标签页B，删除文件2）在标签页A中，勾选标签，点击确定","1. 成功进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮页面，页面内容正常加载显示，无报错
2. 弹出文件打标弹窗
3. 该文件打标成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 该文件打标成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 该文件打标成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 文件打标失败",2
数据资产-多模态-文件管理,验证批量标签删除文件功能,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，勾选5个文件，点击更多操作-批量标签
2. 点击文件1的删除按钮
3. 点击文件3的删除按钮
4. 点击文件5的删除按钮
5. 点击文件4的删除按钮
6. 选择标签，点击保存
7. 查看列表中文件1-5","1. 弹出文件打标弹窗：1）左侧列表展示已选文件名称、已打标签和删除按钮，共5行，滑动条展示2）右侧展示标签名称和标签名称选择框
2. 移除成功，打标列表不展示文件1
3. 移除成功，打标列表不展示文件3
4. 移除成功，打标列表不展示文件5
5. 1）移除成功，打标列表不展示文件42）文件1的
6. 系统提示保存成功，修改内容已生效并在页面中更新显示
7. 文件存在，只有2、4标签更新，1、3、5标签未更新",2
数据资产-多模态-文件管理,验证批量标签功能,"“测试.doc”没有标签
“测试1.doc”有标签“test”
“测试2.doc”有标签“test1”","1. 进入【数据资产】-【多模态】-【文件管理】页面，勾选100个文件，包括前置中的三个文件，点击更多操作-批量标签
2. 查看已打标签展示
3. 标签选择框，勾选标签“test”，新增标签“测试”，点击保存
4. 点击所选文件的标签按钮，查看已打标签
5. 点击文件名称，查看详情","1. 弹出文件打标弹窗：1）左侧列表展示已选文件名称、已打标签和删除按钮，共100行，滑动条展示2）右侧展示标签名称和标签名称选择框
2. 已打标签展示正确，内容与预期完全一致，无异常或错误
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 已打标签展示正确，内容与预期完全一致，无异常或错误
5. 已打标签展示正确，内容与预期完全一致，无异常或错误",1
数据资产-多模态-文件管理,验证文件打标标签重复,文件“测试.doc”已打标签：“test”“test1”,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. 查看已打标签展示
3. 标签选择框，勾选标签“test”“test2”，新增标签“test3”，点击保存
4. 再次点击标签按钮，查看已打标签
5. 点击文件名称，查看详情","1. 弹出文件打标弹窗：1）左侧展示已选文件名称、已打标签和删除按钮，删除按钮置灰2）右侧展示标签名称和标签名称选择框
2. 展示“test”“test1”
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 已打标签展示“test”“test1”“test2”“test3”
5. 详情中已打标签展示“test”“test1”“test2”“test3”",2
数据资产-多模态-文件管理,验证文件已打标签删除功能,文件“测试.doc”已打标签：“test”“test1”,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. 查看已打标签展示
3. 点击test的删除按钮
4. 点击test1的删除按钮","1. 弹出文件打标弹窗：1）左侧展示已选文件名称、已打标签和删除按钮，删除按钮置灰2）右侧展示标签名称和标签名称选择框
2. 展示“test”“test1”
3. 已打标签不展示test
4. 已打标签展示-",2
数据资产-多模态-文件管理,验证标签选择框新增标签功能,标签库已有标签不存在：“测试”“测试1”,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. 在输入框中输入标签，长度分别为20、21
3. 在输入框中输入“测试”，回车
4. 在选择框中删除标签“测试”，重新打开打标弹窗，查看下拉框展示
5. 在输入框中输入“测试1”，回车
6. 保存
7. 再次点击“测试.doc”操作列的标签按钮，查看下拉框选项","1. 弹出文件打标弹窗：1）左侧展示已选文件名称、已打标签和删除按钮，删除按钮置灰2）右侧展示标签名称和标签名称选择框
2. 1）20 个字符新增成功2）21个字符提示：单个标签最大不可超过20个字符
3. 新建标签，回填，并进行下拉框勾选
4. 下拉框不展示“测试”
5. 新建标签，回填，并进行下拉框勾选
6. 系统提示保存成功，修改内容已生效并在页面中更新显示
7. 最上边展示“测试1”，没有标签“测试”",2
数据资产-多模态-文件管理,验证文件打标功能,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. “测试.doc”原来未进行过打标
3. 在右侧选择标签“测试”，点击确定
4. 再次对该文件进行打标，查看左侧已打标签展示","1. 弹出文件打标弹窗：1）左侧展示已选文件名称、已打标签和删除按钮，删除按钮置灰2）右侧展示标签名称和标签名称选择框
2. 已打标签展示-
3. 打标成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 已打标签展示“测试”",1
数据资产-多模态-文件管理,验证标签选择框功能,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击文件“测试.doc”操作列的标签按钮
2. 不选择标签，点击保存按钮
3. 查看选择框标签展示
4. 已知存在标签：‘user_test’，没有在下拉框默认展示的200条中。在标签中搜索user
5. 在输入框中输入不存在的标签“测试”，回车
6. 在输入框中输入存在的标签“测试1”，回车
7. 选择/输入多个标签进行勾选
8. 勾选标签，删除标签，反复操作，校验10个上限是否生效","1. 弹出文件打标弹窗
2. 不能为空，无法保存
3. 默认展示最新配置的200条标签
4. 下拉框展示所有与user相关的已有标签，包括user_test
5. 新建标签，回填，并进行下拉框勾选
6. 回填第一个选项，并进行下拉框勾选
7. 最多10个
8. 上限生效，最多只能选择10个",2
数据资产-多模态-文件管理,验证标签页面交互,无,"1. 进入【数据资产】-【多模态】-【文件管理】页面，点击单个文件的标签按钮，查看页面展示
2. 进入【数据资产】-【多模态】-【文件管理】页面，选择多个文件，批量标签，查看页面展示
3. 选择多个文件批量标签（包含名称过长的文件），查看在标签页面的展示
4. 1）选择文件点击标签按钮，选择标签，点击取消2）重新选择文件进行打标，查看页面展示
5. 1）选择文件点击标签按钮，选择标签，点击确定2）重新选择文件进行打标，查看页面展示
6. 1）选择多个文件,切换文件/下钻文件夹，查看文件勾选状态2）点击批量标签，查看展示","1. 弹出文件打标弹窗：1）左侧展示文件名称、已打标签和删除按钮，删除按钮置灰2）右侧展示标签名称和标签名称选择框
2. 弹出文件打标弹窗：1）左侧展示所有已选文件名称、已打标签和删除按钮，删除按钮都可点击2）右侧展示标签名称和标签名称选择框
3. 过长的文件名称省略悬浮展示/换行全展示，不影响其他列及其他行数据展示
4. 1）未进行打标，返回【文件管理】列表2）文件展示本次打标勾选的文件，标签选择框清空
5. 1）打标完成，返回【文件管理】列表2）文件展示本次打标勾选的文件，标签选择框清空
6. 取消勾选，批量标签按钮置灰",1
