所属模块,用例标题,前置条件,步骤,预期结果,优先级
代码提交版本对比,验证勾选后“代码变更幅度阈值”生效--shell on agent,开启“SQL变更幅度阈值”，修改阈值为10%,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 创建shell on agent任务，输入修改前代码，点击保存提交
3. 修改shell on agent任务，改为修改后代码，点击保存提交
4. 第一组：根据以下代码，执行前两个步骤，查看提交结果
修改前：
echo “日期: 20250909“
echo “条数: 20“
修改后：
echo “当前日期: 20250909“
echo “条数: 20“
5. 1）第二组：根据以下代码，执行前两个步骤，查看提交结果
修改前：
echo “日期: 20250909“
echo “条数: 20“
修改后：
echo “日期: 20250909“
echo “条数: 20“
echo “年龄: 18”
echo “条数: 20“
2）提交任务，提交后修改sql，重新提交查看结果
echo “当前日期: 20250909“
echo “条数: 20“
6. 第三组：根据以下代码，执行前两个步骤，查看提交结果
修改前：
echo “日期: 20250909“
echo “条数: 20“
修改后：
echo “当前日期: 20250909“
echo “年龄: 18”
echo “条数: 20“
7. 第四组：根据以下代码，执行前两个步骤，查看提交结果
修改前：
echo “日期: 20250909“
echo “条数: 20“
修改后：
echo “日期: 20250909“
#输出条数
echo “条数: 20“ #条数
8. 第五组：根据以下代码，执行前两个步骤，查看提交结果
1）修改前：内容为空
修改后：
echo “日期: 20250909“
2）提交后，不修改内容，再次提交，查看结果
3）提交后，清空所有sql，再次提交，查看结果
9. 第六组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
echo “日期: 20250909“
echo “条数: 20“
修改后：
echo “日期: 20250909“
（空行中打一个空格）
echo “条数: 20“
提交后再次修改：
echo                 “日期: 20250909“
（空行中打一个空格）
echo “条数: 20“
10. 第七组修改前：上万条代码修改后：修改其中几行，查看阈值提示","1. 成功进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”页面，页面内容正常加载显示，无报错
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 
4. 1）弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
2）点击取消，不提交任务，返回sql操作页面
3）点击确定，任务提交成功，系统给出提交成功提示，状态更新为下一处理阶段
5. 1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
1）弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
6. 1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
2）点击取消，不提交任务，返回sql操作页面
3）点击确定，任务提交成功，系统给出提交成功提示，状态更新为下一处理阶段
7. 提交成功，没有超出阈值提示
8. 1） 系统提示提交成功，记录状态更新，列表中可见该条记录
2） 系统提示提交成功，记录状态更新，列表中可见该条记录
3）1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
9. 1）提交成功，没有超出阈值提示
2）弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
10. 变更幅度计算正确，内容与预期完全一致，无异常或错误",1
代码提交版本对比,验证勾选后“代码变更幅度阈值”生效--ImpalaSQL,开启“SQL变更幅度阈值”，修改阈值为10%,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 创建ImpalaSQL任务，输入修改前sql，点击保存提交
3. 修改ImpalaSQL任务，改为修改后sql，点击保存提交
4. 第一组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;select * from table3;
5. 1）第二组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from	table3;select * from table2;2）提交任务，提交后修改sql，重新提交查看结果select * from	table1select * from	table3;
6. 第三组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from table3;select * from table2;
7. 第四组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;--注释行select * from --添加注释	table2;
8. 第五组：根据以下sql，执行前两个步骤，查看提交结果1）修改前：内容为空修改后：select * from table1;2）提交后，不修改内容，再次提交，查看结果3）提交后，清空所有sql，再次提交，查看结果
9. 第六组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;（空行中打一个空格）select * from table2;
10. 第七组修改前：上万条sql修改后：修改其中几行，查看阈值提示","1. 成功进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”页面，页面内容正常加载显示，无报错
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 
4. 1）弹窗提示当前SQL变更幅度为25%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
5. 1）弹窗提示当前SQL变更幅度为75%，已超过配置的阈值 10%1）弹窗提示当前SQL变更幅度为33.3%，已超过配置的阈值 10%
6. 1）弹窗提示当前SQL变更幅度为125%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
7. 提交成功，没有超出阈值提示
8. 1）提交成功2）提交成功3）1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
9. 弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
10. 变更幅度计算正确，内容与预期完全一致，无异常或错误",2
代码提交版本对比,验证勾选后“代码变更幅度阈值”生效--StarRocksSQL,开启“SQL变更幅度阈值”，修改阈值为10%,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 创建StarRocksSQL任务，输入修改前sql，点击保存提交
3. 修改StarRocksSQL任务，改为修改后sql，点击保存提交
4. 第一组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;select * from table3;
5. 1）第二组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from	table3;select * from table2;2）提交任务，提交后修改sql，重新提交查看结果select * from	table1select * from	table3;
6. 第三组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from table3;select * from table2;
7. 第四组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;--注释行select * from --添加注释	table2;
8. 第五组：根据以下sql，执行前两个步骤，查看提交结果1）修改前：内容为空修改后：select * from table1;2）提交后，不修改内容，再次提交，查看结果3）提交后，清空所有sql，再次提交，查看结果
9. 第六组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;（空行中打一个空格）select * from table2;
10. 第七组修改前：上万条sql修改后：修改其中几行，查看阈值提示","1. 成功进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”页面，页面内容正常加载显示，无报错
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 
4. 1）弹窗提示当前SQL变更幅度为25%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
5. 1）弹窗提示当前SQL变更幅度为75%，已超过配置的阈值 10%1）弹窗提示当前SQL变更幅度为33.3%，已超过配置的阈值 10%
6. 1）弹窗提示当前SQL变更幅度为125%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
7. 提交成功，没有超出阈值提示
8. 1）提交成功2）提交成功3）1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
9. 弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
10. 变更幅度计算正确，内容与预期完全一致，无异常或错误",2
代码提交版本对比,验证勾选后“代码变更幅度阈值”生效--HiveSql,开启“SQL变更幅度阈值”，修改阈值为10%,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 创建hive sql任务，输入修改前sql，点击保存提交
3. 修改hive sql任务，改为修改后sql，点击保存提交
4. 第一组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;select * from table3;
5. 1）第二组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from	table3;select * from table2;2）提交任务，提交后修改sql，重新提交查看结果select * from	table1select * from	table3;
6. 第三组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1select * from table3;select * from table2;
7. 第四组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;--注释行select * from --添加注释	table2;
8. 第五组：根据以下sql，执行前两个步骤，查看提交结果1）修改前：内容为空修改后：select * from table1;2）提交后，不修改内容，再次提交，查看结果3）提交后，清空所有sql，再次提交，查看结果
9. 第六组：根据以下sql，执行前两个步骤，查看提交结果修改前：select * from	table1;select * from table2;修改后：select * from	table1;（空行中打一个空格）select * from table2;
10. 第七组修改前：上万条sql修改后：修改其中几行，查看阈值提示","1. 成功进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”页面，页面内容正常加载显示，无报错
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 
4. 1）弹窗提示当前SQL变更幅度为25%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
5. 1）弹窗提示当前SQL变更幅度为75%，已超过配置的阈值 10%1）弹窗提示当前SQL变更幅度为33.3%，已超过配置的阈值 10%
6. 1）弹窗提示当前SQL变更幅度为125%，已超过配置的阈值 10%2）点击取消，不提交任务，返回sql操作页面3）点击确定，任务提交成功
7. 提交成功，没有超出阈值提示
8. 1）提交成功2）提交成功3）1）弹窗提示当前SQL变更幅度为100%，已超过配置的阈值 10%
9. 弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
10. 变更幅度计算正确，内容与预期完全一致，无异常或错误",2
代码提交版本对比,验证勾选后“代码变更幅度阈值”生效--sparksql,开启“SQL变更幅度阈值”，修改阈值为10%,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 创建spark sql任务，输入修改前sql，点击保存提交
3. 修改spark sql任务，改为修改后sql，点击保存提交
4. 第一组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
select * from
table1;
select * from
table2;
修改后：
select * from
table1;
select * from
table3;
5. 1）第二组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
select * from
table1;
select * from
table2;
修改后：
select * from
table1
select * from
table3;
select * from
table2;
2）提交任务，提交后修改sql，重新提交查看结果
select * from
table1
select * from
table3;
6. 第三组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
select * from
table1;
select * from
table2;
修改后：
select * from
table1
select *
from
table3;
select * from
table2;
7. 第四组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
select * from
table1;
select * from
table2;
修改后：
select * from
table1;
--注释行
select * from --添加注释
table2;
8. 第五组：根据以下sql，执行前两个步骤，查看提交结果
1）修改前：内容为空
修改后：
select * from table1;
2）提交后，不修改内容，再次提交，查看结果
3）提交后，清空所有sql，再次提交，查看结果
9. 第六组：根据以下sql，执行前两个步骤，查看提交结果
修改前：
select * from
table1;
select * from
table2;
修改后：
select *           from
table1;
（空行中打一个空格）
select * from
table2;
10. 第七组
修改前：上万条sql
修改后：修改其中几行，查看阈值提示","1. 成功进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”页面，页面内容正常加载显示，无报错
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 
4. 1）弹窗提示当前SQL变更幅度为25%，已超过配置的阈值 10%
2）点击取消，不提交任务，返回sql操作页面
3）点击确定，任务提交成功，系统给出提交成功提示，状态更新为下一处理阶段
5. 1）弹窗提示当前SQL变更幅度为75%，已超过配置的阈值 10%
2）弹窗提示当前SQL变更幅度为33.3%，已超过配置的阈值 10%
6. 1）弹窗提示当前SQL变更幅度为125%，已超过配置的阈值 10%
2）点击取消，不提交任务，返回sql操作页面
3）点击确定，任务提交成功，系统给出提交成功提示，状态更新为下一处理阶段
7. 提交成功，没有超出阈值提示
8. 1） 系统提示提交成功，记录状态更新，列表中可见该条记录
2） 系统提示提交成功，记录状态更新，列表中可见该条记录
3）任务：spark_test SQL为空，无法提交
9. 弹窗提示当前SQL变更幅度为50%，已超过配置的阈值 10%
10. 变更幅度计算正确，内容与预期完全一致，无异常或错误",1
代码提交版本对比,验证多人操作覆盖功能,无,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 1)admin用户创建spark sql任务：select * from table1;2)保存提交
3. 1）admin用户保持当前任务页面不退出2）test用户，修改spark sql，新增select * from table2;3）保存提交
4. 点击确认继续提交
5. 1)admin用户不刷新，修改spark sql：select * from table1;select * from table3;2)不保存，点击提交
6. 点击取消
7. 点击确定","1. 勾选成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 1）保存成功2）弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 100%，已超过配置的阈值40%
4. 系统提示提交成功，记录状态更新，列表中可见该条记录
5. 提示：是否以当前版本进行覆盖
6. 任务未保存
7. 1）保存成功2）弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 50%，已超过配置的阈值40%",2
代码提交版本对比,验证提交任务校验提示顺序是否正确,"存在spark任务spark1

CREATE TABLE  table1 (
id INT COMMENT “用户ID“,
name VARCHAR(50) COMMENT “用户姓名“
);

CREATE TABLE  table2 (
id INT COMMENT “用户ID“,
name VARCHAR(50) COMMENT “用户姓名“
);

已运行提交","1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 开启sql规范性检查，编辑，勾选禁止使用select *授权给所有作业类型和sql类型，点击确定
3. 1）创建sparksql任务，sql：select * from table1；select * from table2；2）保存提交
4. 1）修改sparksql任务，sql：select * from table1；select * from table3；2）不保存，点击提交
5. 点击确定保存任务
6. 点击确定继续提交
7. 点击仍旧提交
8. 点击确定继续提交
9. 点击仍要提交","1. 勾选成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 系统提示提交成功，记录状态更新，列表中可见该条记录
4. 提示是否保存任务
5. 1）保存成功2）弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 50%，已超过配置的阈值40%
6. 1）弹出规范性检查弹窗，提示：SQL规范性检查结果存在阻断项，无法提交
7. 弹出提交弹窗
8. 弹出任务依赖配置有误弹窗，展示任务spark1
9. 系统提示提交成功，记录状态更新，列表中可见该条记录",2
代码提交版本对比,验证勾选“代码变更幅度阈值”，代码变更幅度与阈值相等时校验功能,无,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”，修改阈值为50%
2. 1）创建sparksql任务，sql：select * from table1；select * from table2；2）点击提交
3. 1）修改sparksql任务，sql：select * from table1；select * from table3；2）点击提交","1. 勾选成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 提交成功，没有超出阈值提示",2
代码提交版本对比,验证勾选“代码变更幅度阈值”，阈值生效功能,无,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 1）创建sparksql任务，sql：
select * from table1；
select * from table2；
select * from table3；
2）点击提交
3. 1）修改sparksql任务，sql：
select * from table1；
select * from table4；
select * from table3；
2）点击提交
4. 选择不提交任务
5. 进入离线开发-项目A-项目管理-项目设置-操作设置，点击修改“代码变更幅度阈值”的阈值为40%
6. 重新提交，点击确定
7. 1）修改sparksql任务，sql：
select * from table5；
select * from table4；
select * from table6；
2）点击提交","1. 勾选成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 系统提示提交成功，记录状态更新，列表中可见该条记录
3. 弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 33%，已超过配置的阈值 30%
4. 取消本次任务提交，返回当前编辑页面
5. 系统提示修改成功，页面显示修改后的最新内容
6. 提交成功，没有超出阈值提示
7. 弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 66.6%，已超过配置的阈值40%",1
代码提交版本对比,验证勾选“代码变更幅度阈值”，超出阈值提示功能,无,"1. 进入离线开发-项目A-项目管理-项目设置-操作设置，勾选“代码变更幅度阈值”
2. 1）创建sparksql任务，sql：select * from table1；select * from table2；2）点击提交
3. 1）修改sparksql任务，sql：select * from table1；select * from table3；2）点击提交
4. 点击取消
5. 重新点击提交
6. 点击确定","1. 勾选成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 提交成功，没有超出阈值提示
3. 弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 50%，已超过配置的阈值 30%
4. 取消本次任务提交，返回当前编辑页面
5. 弹出弹窗当前SQL改动超过阈值限制，是否继续提交？当前SQL变更幅度为 50%，已超过配置的阈值 30%
6. 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】",2
