所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证监控规则配置数值-取值范围时表校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE if NOT EXISTS test_youxiao_001(id INT,name VARCHAR(255));
表插入语句：
INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：int_01
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-有效性校验
4. 选择字段id
统计规则选择数值-取值范围
期望值选择“=2”
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示有效性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证编辑界面正常编辑已有格式校验-自定义正则校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 正例（匹配正则）
('123', '45.67', 'abc123', 'User_01', 'test@example.com', '13812345678', '2025-08-13'),
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置，选择任务正则_01点击表名
2. 选择一个有效性校验，点击编辑
3. 期望值修改为“占比>=1%”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 有效性校验具体配置框进入编辑状态
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证编辑界面正常新增格式校验-自定义正则校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 正例（匹配正则）
('123', '45.67', 'abc123', 'User_01', 'test@example.com', '13812345678', '2025-08-13'),
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置选择任务正则_01点击表名
2. 点击添加规则-有效性校验
3. 选择字段pos_int
统计规则选择格式校验-自定义正则
选择规则选择规则01
期望值选择“固定值<=1”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 展示有效性校验具体配置框
3. 进入调度属性配置界面
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置格式校验-自定义正则时正常克隆,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 正例（匹配正则）
('123', '45.67', 'abc123', 'User_01', 'test@example.com', '13812345678', '2025-08-13'),
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：正则_03
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-有效性校验
4. 分别选择字段pos_int、decimal_2、alnum_only、username、email、phone、date_yyyy_mm_dd
统计规则选择格式校验-自定义正则
选择规则分别选择规则01-07
期望值选择“固定值<=1”
其余选项为默认，点击保存
选择其中一个校验框点击右上角克隆
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示有效性校验具体配置框
4. 新增一个校验框，内容配置与克隆源完全一致
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置格式校验-自定义正则校验失败结果符合预期,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：正则_02
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-有效性校验
4. 分别选择字段pos_int、decimal_2、alnum_only、username、email、phone、date_yyyy_mm_dd
统计规则选择格式校验-自定义正则
选择规则分别选择规则01-07
期望值选择“固定值<=1”
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示有效性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 实例状态显示校验异常
提示校验不通过：7",2
数据资产-数据质量-内置规则库,验证格式校验-自定义正则 周期调度-验证监控规则配置格式校验-自定义正则时表校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 正例（匹配正则）
('123', '45.67', 'abc123', 'User_01', 'test@example.com', '13812345678', '2025-08-13'),
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置-单表校验规则
2. 对于规则任务正则_01，次日实例生成后查看任务实例","1. 成功进入数据质量-规则任务配置-单表校验规则页面，页面内容正常加载显示，无报错
2. 实例状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置格式校验-自定义正则时表校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_03 (
id INT PRIMARY KEY AUTO_INCREMENT,
pos_int VARCHAR(20),
decimal_2 VARCHAR(20),
alnum_only VARCHAR(20),
username VARCHAR(20),
email VARCHAR(50),
phone VARCHAR(20),
date_yyyy_mm_dd VARCHAR(20)
);
表插入语句：
INSERT INTO test_youxiao_03
(pos_int, decimal_2, alnum_only, username, email, phone, date_yyyy_mm_dd) VALUES
-- 正例（匹配正则）
('123', '45.67', 'abc123', 'User_01', 'test@example.com', '13812345678', '2025-08-13'),
-- 反例（不匹配正则）
('0', '45.678', 'abc123!', '1user', 'test@example', '12812345678', '2025-13-40');
新建自定义规则01-07（正整数（不包含 0）、最多两位小数、仅字母和数字、以字母开头，允许字母数字下划线，长度 6–20、邮箱格式、手机号、日期格式），分别包含自定义规则：
^[1-9]\d*$、^\d+(\.\d{1,2})?$、^[A-Za-z0-9]+$、^[A-Za-z][A-Za-z0-9_]{5,19}$、^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$、^1[3-9]\d{9}$、^\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])$","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：正则_01
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-有效性校验
4. 分别选择字段pos_int、decimal_2、alnum_only、username、email、phone、date_yyyy_mm_dd
统计规则选择格式校验-自定义正则
选择规则分别选择规则01-07
期望值选择“固定值<=1”
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示有效性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",1
数据资产-数据质量-内置规则库,验证编辑界面正常编辑已有格式-日期格式-datetime校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_02 (
id INT PRIMARY KEY,
datetime_str VARCHAR(30) NOT NULL
);
表插入语句：
INSERT INTO test_youxiao_02 (id, datetime_str) VALUES
(1, '2025-08-13T14:30:45'),
(2, '2024-12-31T23:59:59'),
(3, '2025-08-13T14:30:45+08:00'),
(4, '2024-01-01T00:00:00-05:00'),
(5, '08/13/2025 02:30:45 PM'),
(6, '12/31/2024 11:59:59 AM'),
(7, '08/13/2025 14:30:45'),
(8, '01/01/2024 00:00:00'),
(9, '13.08.2025 14:30:45'),
(10, '25-08-13 14:30:45'),
(11, '2025/08/13'),                -- 缺少时间
(12, '2025年08月13日 14时30分45秒'), -- 中文格式
(13, '2025-08-13 14:30'),          -- 缺秒
(14, '13-08-2025 14:30:45'),       -- 年在最后，不在定义格式里
(15, 'August 13, 2025 14:30:45');  -- 英文月份","1. 进入数据质量-规则任务配置，选择任务datetime_01点击表名
2. 选择一个有效性校验，点击编辑
3. 期望值修改为“占比>=1%”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 有效性校验具体配置框进入编辑状态
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证编辑界面正常新增格式-日期格式-datetime校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_02 (
id INT PRIMARY KEY,
datetime_str VARCHAR(30) NOT NULL
);
表插入语句：
INSERT INTO test_youxiao_02 (id, datetime_str) VALUES
(1, '2025-08-13T14:30:45'),
(2, '2024-12-31T23:59:59'),
(3, '2025-08-13T14:30:45+08:00'),
(4, '2024-01-01T00:00:00-05:00'),
(5, '08/13/2025 02:30:45 PM'),
(6, '12/31/2024 11:59:59 AM'),
(7, '08/13/2025 14:30:45'),
(8, '01/01/2024 00:00:00'),
(9, '13.08.2025 14:30:45'),
(10, '25-08-13 14:30:45'),
(11, '2025/08/13'),                -- 缺少时间
(12, '2025年08月13日 14时30分45秒'), -- 中文格式
(13, '2025-08-13 14:30'),          -- 缺秒
(14, '13-08-2025 14:30:45'),       -- 年在最后，不在定义格式里
(15, 'August 13, 2025 14:30:45');  -- 英文月份","1. 进入数据质量-规则任务配置，选择任务datetime_01点击表名
2. 点击添加规则-有效性校验
3. 选择字段datetime_str
统计规则选择格式-日期格式-datetime
格式填写YYYY-MM-DDThh:mm:ss
期望值选择“固定值>=1”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 展示有效性校验具体配置框
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置格式-日期格式-datetime时正常克隆,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_youxiao_02 (
id INT PRIMARY KEY,
datetime_str VARCHAR(30) NOT NULL
);
表插入语句：
INSERT INTO test_youxiao_02 (id, datetime_str) VALUES
(1, '2025-08-13T14:30:45'),
(2, '2024-12-31T23:59:59'),
(3, '2025-08-13T14:30:45+08:00'),
(4, '2024-01-01T00:00:00-05:00'),
(5, '08/13/2025 02:30:45 PM'),
(6, '12/31/2024 11:59:59 AM'),
(7, '08/13/2025 14:30:45'),
(8, '01/01/2024 00:00:00'),
(9, '13.08.2025 14:30:45'),
(10, '25-08-13 14:30:45'),
(11, '2025/08/13'),                -- 缺少时间
(12, '2025年08月13日 14时30分45秒'), -- 中文格式
(13, '2025-08-13 14:30'),          -- 缺秒
(14, '13-08-2025 14:30:45'),       -- 年在最后，不在定义格式里
(15, 'August 13, 2025 14:30:45');  -- 英文月份","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：datetime_02
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-有效性校验
4. 选择字段datetime_str
统计规则选择格式-日期格式-datetime
格式分别填写YYYY-MM-DDThh:mm:ss、YYYY-MM-DDThh:mm:ss±hh:mm、MM/DD/YYYY hh:mm:ss AM/PM、MM/DD/YYYY HH:mm:ss、DD.MM.YYYY hh:mm:ss、YY-MM-DD hh:mm:ss、YYYY/MM/DD hh:mm:ss
期望值选择“固定值>=1”
其余选项为默认，点击保存，点击保存
选择其中一个校验框点击右上角克隆
5. 点击下一步
6. 选项均为默认，点击新建
7. 点击所建规则查看详细信息
8. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示有效性校验具体配置框
4. 新增一个校验框，内容配置与克隆源完全一致
5. 进入调度属性配置界面
6. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
7. 基本信息、监控规则内容符合预期
8. 校验完成后状态显示校验通过",2
