所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-项目管理,验证批量修改任务名称， 重命名本地创建且未推送至远端的任务,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地新建一个任务（Shell任务）；
2）进行修改任务名称操作","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 不弹出“任务重命名推送”弹窗",2
离线开发-项目管理,验证批量修改任务名称， 所选本地任务存在对应远端文件已经被删除,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）所选本地任务存在对应的远端文件已经被删除;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示-（文件不存在）
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）不推送至远端，提示报错",3
离线开发-项目管理,验证批量修改任务名称， 所选本地任务新任务名称存在与远端同级其他文件名称相同-远端文件重命名失败,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）所选本地任务新任务名称存在与远端同级其他文件（不与当前任务关联）名称相同，且后缀名与任务对应的远端文件一致;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）远端与其他文件重名的文件重命名失败，其他任务对应远端文件重命名成功",2
离线开发-项目管理,验证批量修改任务名称， 所选本地任务原名称和新名称均与远端文件名称不同-远端文件重命名成功,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）所选本地任务原任务名称与远端文件名称不同;
2）编辑任务，修改任务名称，且新名称在远端同级也不存在同名文件
3）点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）所选本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）远端文件重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-项目管理,验证批量修改任务名称， 所选本地任务原任务名称与远端文件名称相同-远端重命名成功,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）所选本地任务原任务名称与远端文件名称相同;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示各任务的新名称
2）“远端版本”显示各任务对应远端文件的名称
4. 1）本地所选任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）对应远端文件重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-项目管理,验证编辑任务-修改任务名称， 重命名本地创建且未推送至远端的任务,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地新建一个任务（Shell任务）；
2）进行修改任务名称操作","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 不弹出“任务重命名推送”弹窗",2
离线开发-项目管理,验证编辑任务-修改任务名称， 本地任务对应远端文件已经被删除,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地任务对应的远端文件已经被删除;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）推送报错",3
离线开发-项目管理,验证编辑任务-修改任务名称， 本地任务新任务名称与远端同级其他文件名称相同-远端文件重命名失败,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地任务新任务名称与远端同目录其他文件（不与当前任务关联）名称相同，且后缀名与任务对应的远端文件一致;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）远端文件重命名失败",2
离线开发-项目管理,验证编辑任务-修改任务名称， 本地任务原名称和新名称均与远端文件名称不同-远端文件重命名成功,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地任务原任务名称与远端文件名称不同;
2）编辑任务，修改任务名称，且新名称在远端同级也不存在同名文件
3）点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）远端文件重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-项目管理,验证编辑任务-修改任务名称， 本地任务原任务名称与远端文件名称相同-远端重命名成功,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 1）本地任务原任务名称与远端文件名称相同;
2）编辑任务，修改任务名称后点击【确定】;
3. 查看版本对比中，当前版本和远端版本；
4. 点击【确定】","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 弹出“任务重命名推送”弹窗，元素有：
1）“分支”下拉框，必填
2）“提交信息”输入框，必填
3）版本比对组件
3. 1）“当前版本”显示新任务名称
2）“远端版本”显示任务对应远端文件的名称
4. 1）本地任务重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
2）远端文件重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
