所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-多模态-文件编目,验证【文件编目】弹窗页的“编目名称”下拉框支持搜索选择,"<p>1.【非结构化数据-文件管理-文件编目】弹窗页已打开</p>
<p>2.存在至少一条编目名称包含“测试”</p>","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击“编目名称”下拉框，输入：测试
3. 选择其一","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 搜索出所有包含测试的编目名称
3. 1.正常选择",3
数据资产-多模态-文件编目,验证更新 已编目过的文件,"1.【文件管理】页已打开
2.存在已被编目过的文件","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选中任一已编目过的文件，
点击【操作-更多-编目】按钮
3. 查看弹窗列表
4. 点击弹窗页面右边的【编目名称】下拉框
5. 选择其他编目名称
6. 正确录入字段信息，
点击【保存】按钮
7. 再次选中该文件，
点击【操作-更多-编目】按钮
8. 查看弹窗列表
9. 退回至【文件管理】
点击查看该文件详情","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出弹窗
3. 1.列表显示选中文件的信息
4. 文件‘已编目模板’列显示正确的编目名称
5. 点击成功，显示多个编目名称项
6. 选择成功，
下方展示对应正确的编目字段：姓名、年龄、性别
7. 成功对该文件进行编目
8. 弹出弹窗
9. 1.列表显示选中文件的信息",3
数据资产-多模态-文件编目,验证并发进行编目操作,1.jmeter中对应脚本已设置,"1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 执行jmeter脚本，
查看结果树","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 支持并发运行，操作正常，功能行为符合预期，无报错或异常",3
数据资产-多模态-文件编目,验证弹窗列表“已编目模板”处图标的删除功能,【文件管理】页面已打开，页面列表存在多条未编目和已编目文件记录,"1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选择多个文件，
点击【更多操作-编目】按钮
3. 查看列表‘已编目模板’列
4. 点击某个文件“已编目模板”处删除图标
5. 点击确定
6. 退回至【文件管理】页，
点击该文件名称进入【文件详情】页
7. 再次选择该文件点击【操作-更多-编目】按钮
8. 查看列表‘已编目模板’处内容","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出弹窗
3. 1.已编目文件该处显示编目名称和删除图标
4. 未编目文件该处显示‘--’
5. 弹出二次确认弹窗
6. 系统提示删除成功，该条记录从列表中消失，总记录数减1
7. 编目信息处无内容
8. 弹出弹窗",2
数据资产-多模态-文件编目,验证弹窗列表移除文件功能,【文件管理】页面已打开，页面列表存在至少一条已编目文件记录,"1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选中任一文件，
点击【操作-更多-编目】按钮
3. 查看列表该文件信息
4. 退回至【文件管理】列表，
选择多个文件，
点击【更多操作-编目】按钮
5. 查看列表文件信息
6. 逐一点击删除按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 文件编目弹窗正常打开，列表仅展示已选中文件
3. 删除按钮置为灰色，不可删除
4. 文件编目弹窗正常打开，列表展示已选中的全部文件
5. 删除按钮置为蓝色，可点击删除
6. 删除成功，
剩一行文件信息时，删除按钮置为灰色，不可删除",2
数据资产-多模态-文件编目,验证配置编目字段时【取消】按钮功能,1.【文件管理】页已打开；选择文件,"1. 进入【数据资产】-【多模态】-【文件编目】页面弹窗页
2. 选择任一编目名称
3. 正确填写字段，
4. 点击取消按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面弹窗页，页面内容正常加载显示，无报错
2. 弹窗正常打开
3. 选择成功，下方显示字段可录入信息
4. 取消配置，",3
数据资产-多模态-文件编目,验证编目字段填写规则符合配置预期,"1.【文件管理】页面已打开，页面列表存在至少两条文件记录
2.【文件编目】中存在以下编目
“编目名称”：测试编目字段必填性； “编目描述”：新增测试编目字段必填性；
编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是；
字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是；
字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；
字段4： “字段中文名”：邮箱； “字段英文名”：email； “类型”：文本框|string； “是否必填”：否；
字段5： “字段中文名”：地址； “字段英文名”：address； “类型”：文本框|string； “是否必填”：否；","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 选择某一文件点击文件对应【操作-更多-编目】按钮
3. 点击弹窗页面右边的【编目名称】下拉框
4. 选择名称为“测试编目字段必填性”
5. 必填性-字段不录入任何内容，
直接点击【保存】按钮
6. 非必填性-
输入“姓名“：人物1
“年龄“：20
“性别“：女
邮箱和地址不输入任何内容
7. 点击【保存】按钮","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 弹出弹窗
3. 点击成功，显示多个编目名称项
4. 下方展示对应正确的编目字段：姓名、年龄、性别、邮箱、地址
5. 对应字段下方弹出必填异常提示
6. 输入成功,无异常提示
7. 成功配置编目信息",1
数据资产-多模态-文件编目,验证编目字段展示为正确的字段名称和类型,"1.【文件管理-文件编目】弹窗页面已打开
2.已配置文件编目名称及信息为：
“编目名称”：测试编目1； “编目描述”：新增测试编目1； 编目字段1： “字段中文名”：姓名； “字段英文名”：name； “类型”：文本框|string； “是否必填”：是； 字段2： “字段中文名”：年龄； “字段英文名”：age； “类型”：文本框|bigint； “是否必填”：是； 字段3： “字段中文名”：性别； “字段英文名”：gender； “类型”：枚举|男，女； “是否必填”：是；","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击弹窗页面的【编目名称】下拉框
3. 选择名称为“编目测试1”
4. 分别查看姓名、年龄、性别的字段类型
5. 切换编目名称，
查看下方字段信息","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 点击成功，显示多个编目名称项
3. 下方展示对应正确的编目字段：姓名、年龄、性别
4. 按照配置的编目下的字段输入类型展示，
姓名和年龄为文本框，
性别为枚举值展示
5. 变化为对应字段内容，
字段输入类型与配置一致",1
数据资产-多模态-文件编目,验证【文件编目】弹窗-编目配置区域展示-编目已/未配置,"1.【文件管理-文件编目】弹窗页面已打开
2.存在名称为“测试编目1”，包含“姓名、年龄、性别”三个字段的编目已被配置
名称为“test”，包含“test_1、test_2、test_3”三个字段的编目未被配置","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 点击【编目名称】下拉框，
选择‘测试编目1’
3. 查看编目配置区域内容
4. 更换【编目名称】：test
5. 查看编目配置区域内容","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 1.【编目名称】下拉框内容为测试编目1
4. 下方依次展示为：
1）该编目已配置文件数和文件展示区域
2）文件展示区域包含文件图标和文件名
3）提示：“已被该模版编目过，请选择：”
4）给出【跳过全部】和【覆盖全部】可选按钮
5）编目字段及其内容录入框
6）取消和保存按钮
5. 选择项已高亮/回显选中状态，相关联动字段随之更新",3
数据资产-多模态-文件编目,验证【文件编目】弹窗页展示-单/多选文件,已进入【文件管理】页；单选任一文件,"1. 进入【数据资产】-【多模态】-【文件编目】页面弹窗
2. 查看初始页面
3. 查看列表
4. 批量选择文件进入【数据资产】-【多模态】-【文件编目】页面弹窗
5. 查看列表
6. 选择任一编目名称","1. 成功进入【数据资产】-【多模态】-【文件编目】页面弹窗，页面内容正常加载显示，无报错
2. 文件编目弹窗页正常打开
3. 页面包含：
4. 列表展示已选文件信息
5. 编目名称下拉框
6. 包含取消&保存按钮",3
数据资产-多模态-文件编目,验证【覆盖全部】按钮功能-编目多个文件,"1.【文件管理】页已打开，列表存在至少一条记录
2.存在名称为“test”，字段信息包含“test_1、test_2、test_3”的编目已配置多个文件
3.记录下该编目下存在的多个文件对应的编目信息","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 批量选择文件（包含已&未配置编目）点击【更多操作-编目】，
进入【数据资产】-【多模态】-【文件编目】页面弹窗页
3. 选择编目名称：test
4. 点击覆盖全部，
在下方编目字段内正确输入新的内容
5. 点击保存
6. 查看左侧列表
7. 退回至【文件管理】页，
依次点击test编目下之前配置过的文件，进入文件详情页
8. 依次查看对应文件详情页的编目信息","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 1.列表显示所有已选中文件
3. 已配置编目的文件的“已编目模板”处显示为：test
4. 为配置编目的文件的“已编目模板”处显示为：“--”
5. 显示编目配置区域
6. 1.编目名称下拉框下方显示已配置的文件数和文件
7. 可选跳过全部 / 覆盖全部，默认跳过全部
8. 字段信息录入成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
数据资产-多模态-文件编目,验证【覆盖全部】按钮功能-编目单个文件,"1.【文件管理】页已打开，列表存在至少一条记录
2.存在名称为“test”，字段信息包含“test_1、test_2、test_3”的编目已配置多个文件
3.记录下该编目下存在的多个文件对应的编目信息","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 批量选择两个文件，其中一个文件已被编目名称为“test”的配置过，
点击【更多操作-编目】
3. 选择编目名称：test
4. 点击覆盖全部，
在下方编目字段内正确输入新的内容
5. 点击保存
6. 查看左侧列表
7. 退回至【文件管理】页，
点击test编目下之前配置过的文件，进入文件详情页
8. 查看对应文件详情页的编目信息","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 1.进入【文件编目】弹窗页
3. 列表显示已选中两个文件
4. 1.“已编目模板”处显示编目名称：test
5. 编目配置区域显示：共2个文件，其中xxxx已被该模板编目过，请选择：跳过全部 / 覆盖全部
6. 字段信息录入成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 该文件编目配置保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
8. 显示该文件配置的编目信息",1
数据资产-多模态-文件编目,验证【跳过全部】按钮功能-编目多个文件,"1.【文件管理】页已打开，列表存在至少一条记录
2.存在名称为“test”，字段信息包含“test_1、test_2、test_3”的编目已配置多个文件
3.记录下该编目下存在的多个文件对应的编目信息","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 批量选择文件（包含已&未配置编目）点击【更多操作-编目】，
进入【数据资产】-【多模态】-【文件编目】页面弹窗页
3. 选择编目名称：test
4. 点击跳过全部，
在下方编目字段内正确输入新的内容
5. 点击保存
6. 查看左侧列表
7. 退回至【文件管理】页，
依次点击test编目下之前配置过的文件，进入文件详情页
8. 依次查看对应文件详情页的编目信息","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 1.列表显示所有已选中文件
3. 已配置编目的文件的“已编目模板”处显示为：test
4. 为配置编目的文件的“已编目模板”处显示为：“--”
5. 显示编目配置区域
6. 1.编目名称下拉框下方显示已配置的文件数和文件
7. 可选跳过全部 / 覆盖全部，默认跳过全部
8. 字段信息录入成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
数据资产-多模态-文件编目,验证【跳过全部】按钮功能-编目单个文件,"1.【文件管理】页已打开，列表存在至少一条记录
2.存在名称为“test”，字段信息包含“test_1、test_2、test_3”的编目已配置多个文件
3.记录下该编目下存在的多个文件对应的编目信息","1. 进入【数据资产】-【多模态】-【文件编目】页面
2. 批量选择两个文件，其中一个文件已被编目名称为“test”的配置过，
点击【更多操作-编目】
3. 选择编目名称：test
4. 点击跳过全部，
在下方编目字段内正确输入新的内容
5. 点击保存
6. 查看左侧列表
7. 退回至【文件管理】页，
点击test编目下之前配置过的文件，进入文件详情页
8. 查看对应文件详情页的编目信息","1. 成功进入【数据资产】-【多模态】-【文件编目】页面，页面内容正常加载显示，无报错
2. 1.进入【文件编目】弹窗页
3. 列表显示已选中两个文件
4. 1.“已编目模板”处显示编目名称：test
5. 编目配置区域显示：共2个文件，其中xxxx已被该模板编目过，请选择：跳过全部 / 覆盖全部
6. 字段信息录入成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 该文件编目配置保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
8. 显示该文件配置编目信息",1
