所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据安全-分级管理,验证搜索框新增找表项及其模糊搜索功能,1.进入数据安全-分级数据页面，页面存在多条记录,"1. 进入数据安全-分级数据页面
2. 点击页面搜索框下拉
3. 点击选择找表
4. 输入部分表名，选择对应数据源类型、数据源、数据库，执行搜索
5. 输入准确表名，选择对应数据源类型、数据源、数据库，执行搜索
6. 输入表名，选择与之不相对应的数据源类型、数据源、数据库
7. 输入特殊字符，执行搜索","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 包含找表选项
3. 输入框占位符显示：请输入表名搜索
4. 显示对应数据源的数据库下的符合表名的表对应字段数据
5. 显示对应数据源的数据库下的该表名的表对应字段数据
6. 无数据显示
7. 无数据显示",1
数据资产-数据安全-分级管理,验证数据源类型、数据源、数据库均为空时，搜索字段、表、库、源有结果,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择字段搜索框输入字段b,不选择任何数据源类型、数据源和数据库,执行搜索操作
3. 选择数据表搜索框输入表a,不选择任何数据源类型、数据源和数据库,执行搜索操作
4. 选择数据库搜索框输入数据库A,不选择任何数据源类型、数据源和数据库,执行搜索操作
5. 选择数据源搜索框输入数据源Y,不选择任何数据源类型、数据源和数据库,执行搜索操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 成功搜索到含有字段b的数据
3. 成功搜索到表a中的字段数据
4. 成功搜索到数据库A中的字段数据
5. 成功搜索到数据源Y中的字段数据",2
数据资产-数据安全-分级管理,验证输入非法字符进行搜索，无结果,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 在搜索框输入特殊字符如'@#$%^&*()',执行搜索操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 搜索失败",3
数据资产-数据安全-分级管理,验证数据库为空时，搜索字段、表、库、源有结果,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择字段搜索框输入字段b,选择数据源类型和数据源，但不选择数据库,执行搜索操作
3. 选择数据表搜索框输入表a,选择数据源类型和数据源，但不选择数据库,执行搜索操作
4. 选择数据库搜索框输入数据库A,选择数据源类型和数据源，但不选择数据库,执行搜索操作
5. 选择数据源搜索框输入数据源Y,选择数据源类型和数据源，但不选择数据库,执行搜索操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 成功搜索到含有字段b的数据
3. 成功搜索到表a中的字段数据
4. 成功搜索到数据库A中的字段数据
5. 成功搜索到数据源Y中的字段数据",2
数据资产-数据安全-分级管理,验证数据源为空时，搜索字段、表、库、源有结果,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择字段搜索框输入字段b,选择数据源类型但不选择数据源,执行搜索操作
3. 选择数据表搜索框输入表a,选择数据源类型但不选择数据源,执行搜索操作
4. 选择数据库搜索框输入数据库A,选择数据源类型但不选择数据源,执行搜索操作
5. 选择数据源搜索框输入数据源Y,选择数据源类型但不选择数据源,执行搜索操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 成功搜索到含有字段b的数据
3. 成功搜索到表a中的字段数据
4. 成功搜索到数据库A中的字段数据
5. 成功搜索到数据源Y中的字段数据",2
数据资产-数据安全-分级管理,验证数据源类型为空时，搜索字段、表、库、源有结果,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择字段搜索框输入字段b,不选择数据源类型、数据源和数据库,执行搜索操作
3. 选择数据表搜索框输入表a,不选择数据源类型、数据源和数据库,执行搜索操作
4. 选择数据库搜索框输入数据库A,不选择数据源类型、数据源和数据库,执行搜索操作
5. 选择数据源搜索框输入数据源Y,不选择数据源类型、数据源和数据库,执行搜索操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 成功搜索到含有字段b的数据
3. 成功搜索到表a中的字段数据
4. 成功搜索到数据库A中的字段数据
5. 成功搜索到数据源Y中的字段数据",2
数据资产-数据安全-分级管理,验证未选择数据源时，数据库不可选,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择数据源类型但不选择数据源，尝试选择数据库","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 数据库下拉菜单为空，无法进行后续选择",2
数据资产-数据安全-分级管理,验证未选择数据源类型时，数据源不可选,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 不选择数据源类型，直接尝试选择数据源","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 数据源下拉菜单为空，无法进行后续选择",2
数据资产-数据安全-分级管理,验证数据库搜索框与数据库不一致时联级查询,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择数据库搜索框输入数据库A,选择数据库查询框为B，执行查询操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 查询失败",2
数据资产-数据安全-分级管理,验证数据源搜索框与数据源不一致时联级查询,"1.进入数据安全-分级数据页面，页面存在多条记录
2.存在多个数据源类型及对应的数据源、数据库和字段信息","1. 进入数据安全-分级数据页面
2. 选择数据源搜索框输入数据源Y,选择数据源查询框为Z，执行查询操作","1. 成功进入数据安全-分级数据页面，页面内容正常加载显示，无报错
2. 查询失败",2
