所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「Z-score置信区间」-「校验失败」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【Z-score置信区间】
【期望值】选择【>1】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段值存在xx个值不符合规则“置信区间xx”」
3. 【操作栏】展示【查看详情】按钮，点击展示【明细数据】
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例运行失败
9. 1. 【质检结果】为【校验未通过】，【未通过原因】展示为【异常值检测未通过】",1
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「Z-score置信区间」-「校验通过」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【Z-score置信区间】
【期望值】选择【<1】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为【字段值均符合规则“置信区间xx””】
3. 【操作栏】不展示按钮
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
9. 1. 【质检结果】为【校验通过】，【未通过原因】不展示",1
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「IQR离群点占比」-「校验失败」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【IQR离群点占比】
【期望值】选择【>1%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段值中离群点数量为xx，表行数为xxx，离群点占比为xx，不符合规则“离群点占比xx”，根据数据判断离群点边界为【xx，xx】」
3. 【操作栏】展示【查看详情】按钮，点击展示【明细数据】
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例运行失败
9. 1. 【质检结果】为【校验未通过】，【未通过原因】展示为【异常值检测未通过】",1
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「IQR离群点占比」-「校验通过」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【IQR离群点占比】
【期望值】选择【<1%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段值中离群点数量为xx，表行数为xxx，离群点占比为xx，符合规则“离群点占比xx”，根据数据判断离群点边界为【xx，xx】」
3. 【操作栏】不展示按钮
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
9. 1. 【质检结果】为【校验通过】，【未通过原因】不展示",1
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「IQR离群点数量」-「校验失败」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【IQR离群点数量】
【期望值】选择【>1】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段值中离群点数量为xx，不符合规则“离群点数量xx”，根据数据判断离群点边界为【xx，xx】」
3. 【操作栏】展示【查看详情】按钮，点击展示【明细数据】
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例运行失败
9. 1. 【质检结果】为【校验未通过】，【未通过原因】展示为【异常值检测未通过】",1
数据资产-数据质量-规则校验详细结果表,验证「统计性校验」-「字段级-异常值检测」-「IQR离群点数量」-「校验通过」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【统计性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【异常值检测】
【过滤条件】 输入【id < 100】
【校验方法】选择【IQR离群点数量】
【期望值】选择【<1】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段值中离群点数量为xx，符合规则“离群点数量xx”，根据数据判断离群点边界为【xx，xx】」
3. 【操作栏】不展示按钮
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
9. 1. 【质检结果】为【校验通过】，【未通过原因】不展示",1
数据资产-数据质量-规则校验详细结果表,验证「唯一性校验」-「多表-多表唯一性检测」-「校验异常」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【唯一性校验】规则
4. 【规则类型】选择【表级】
【统计函数】 选择【多表唯一性检测】
【过滤条件】 输入【id < 100】
【期望值】选择【>0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「表xx字段xx唯一（/允许重复），表xx字段xx唯一（/允许重复），不符合规则“表xx字段xx唯一（/允许重复）”且（/或）“表xx字段xx唯一（/允许重复）”」
3. 【操作栏】展示【查看详情】按钮，点击展示【明细数据】
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例运行失败
9. 1. 【质检结果】为【校验未通过】，【未通过原因】展示为【多表唯一性检测未通过】",1
数据资产-数据质量-规则校验详细结果表,验证「唯一性校验」-「多表-多表唯一性检测」-「校验通过」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【唯一性校验】规则
4. 【规则类型】选择【表级】
【统计函数】 选择【多表唯一性检测】
【过滤条件】 输入【id < 100】
【期望值】选择【<0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「表xx字段xx唯一（/不唯一），表xx字段xx唯一（/不唯一），符合规则符合规则“表xx字段xx唯一（/允许重复）”且（/或）“表xx字段xx唯一（/允许重复）”」
3. 【操作栏】不展示按钮
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
9. 1. 【质检结果】为【校验通过】，【未通过原因】不展示",1
数据资产-数据质量-规则校验详细结果表,验证「唯一性校验」-「字段级-重复率」-「月度平均值波动检测」-「校验异常」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【唯一性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【重复率】
【过滤条件】 输入【id < 100】
【校验方法】选择【月度平均值波动检测】
【期望值】选择【 >1%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段重复率为xx，上月同天至昨日的平均重复率为xx，重复率月度平均值波动率为xx，不符合规则“月度平均值波动率xx”」
3. 【操作栏】展示【查看详情】按钮，点击展示【明细数据】
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例运行失败
9. 1. 【质检结果】为【校验未通过】，【未通过原因】展示为【重复值检测未通过】",3
数据资产-数据质量-规则校验详细结果表,验证「唯一性校验」-「字段级-重复率」-「月度平均值波动检测」-「校验通过」逻辑正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
student_id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(student_id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(student_id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (student_id, course_name, score, exam_date)
VALUES
(1001, '数学', 85.5, '2024-03-15'),
(1002, '英语', 92.0, '2024-03-15'),
(1001, '英语', 78.0, '2024-04-20');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“，选择【唯一性校验】规则
4. 【规则类型】选择【字段级】
【统计函数】 选择【重复率】
【过滤条件】 输入【id < 100】
【校验方法】选择【月度平均值波动检测】
【期望值】选择【 <1%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行
9. 进入【质量报告】页面，选择表tableA，查看【规则校验明细】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【详情说明】 为「字段重复率为xx，上月同天至昨日的平均重复率为xx，重复率月度平均值波动率为xx，符合规则“月度平均值波动率xx””」
3. 【操作栏】不展示按钮
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期
9. 1. 【质检结果】为【校验通过】，【未通过原因】不展示",3
