所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据安全-分级管理,验证数据资产-数据安全-数据脱敏管理 -导入规则-脱敏方式验证,使用导入规则进行上传csv文件,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
2. 在csv文件中新增一条规则
3. 填写不存在的规则名称
4. 脱敏方式为全部脱敏
5. 不填写脱敏起始位数
6. 脱敏替换符号为：*，
7. 不填写原字符与替换字符
8. 在csv文件中新增一条规则
9. 填写不存在的规则名称
10. 脱敏方式为部分脱敏
11. 填写脱敏起始位数：1
12. 填写脱敏结束位为：3
13. 脱敏替换符号为：*，
14. 不填写原字符与替换字符
15. 在csv文件中新增一条规则
16. 填写不存在的规则名称
17. 脱敏方式为转义
18. 不填写脱敏起始位与脱敏结束位
19. 不填写脱敏替换符号
20. 原字符为：ab,89,test
21. 替换字符：**
22. 在csv文件中新增一条规则
23. 填写不存在的规则名称
24. 脱敏方式为：算法脱敏
25. 不填写脱敏起始位与脱敏结束位
26. 不填写脱敏替换符号
27. 不填写原字符
28. 不填写替换字符","1. 成功进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：页面，页面内容正常加载显示，无报错
2. 1.该成功上传该文件
3. 点击【确定】，列表跟新展示添加的数据，值与csv文件中的记录完全相同
4. 1.该成功上传该文件
5. 点击【确定】，列表跟新展示添加的数据，值与csv文件中的记录完全相同
6. 1.该成功上传该文件
7. 点击【确定】，列表跟新展示添加的数据，值与csv文件中的记录完全相同
8. 1.该成功上传该文件
9. 点击【确定】，列表跟新展示添加的数据，值与csv文件中的记录完全相同
10. [⚠️F03 待补充预期结果]
11. [⚠️F03 待补充预期结果]
12. [⚠️F03 待补充预期结果]
13. [⚠️F03 待补充预期结果]
14. [⚠️F03 待补充预期结果]
15. [⚠️F03 待补充预期结果]
16. [⚠️F03 待补充预期结果]
17. [⚠️F03 待补充预期结果]
18. [⚠️F03 待补充预期结果]
19. [⚠️F03 待补充预期结果]
20. [⚠️F03 待补充预期结果]
21. [⚠️F03 待补充预期结果]
22. [⚠️F03 待补充预期结果]
23. [⚠️F03 待补充预期结果]
24. [⚠️F03 待补充预期结果]
25. [⚠️F03 待补充预期结果]
26. [⚠️F03 待补充预期结果]
27. [⚠️F03 待补充预期结果]
28. [⚠️F03 待补充预期结果]",1
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常功能_取消,[数据脱敏管理]页面至少有1条脱敏规则,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏应用]页面，点击导入脱敏表，点击”取消“
2. 点击导入脱敏表，进入[导入规则]页面，点击”×“","1. 1）关闭弹窗
2）[脱敏应用]页面不增加数据
2. 1）关闭弹窗
2）[脱敏应用]页面不增加数据",2
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_ 必填项未填_数据源&数据库&数据表&脱敏字段,[数据脱敏管理]页面至少存在一条脱敏规则,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，[重复处理]任意选择一个，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写5条脱敏表记录：
第1条记录的[数据源名称]不填写，其他字段正常填写；
第2条记录的[数据库名称]不填写，其他字段正常填写；
第3条记录的[数据表名称]不填写，其他字段正常填写；
第4条记录的[脱敏字段]不填写，其他字段正常填写；
第5条记录正确填写所有字段；
保存该文件并上传，点击“确定”
2. 点击导出错误文件，查看错误文件","1. 1) 5条数据都导入失败
2）弹出提示弹窗：
导入表格中存在错误数据，请检查后重新导入，点击导出错误文件
2. 1）错误文件命名为：table_import_error_20240520.xlsx
2）
第1条记录[数据源名称]字段标红，并标注提示：必填项未填写
第2条记录[数据库名称]字段标红，并标注提示：必填项未填写
第3条记录[数据表名称]字段标红，并标注提示：必填项未填写
第4条记录[脱敏字段]字段标红，并标注提示：必填项未填写",2
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_ 导入不存在的数据_数据源&数据库&数据表&脱敏字段,[数据脱敏管理]页面至少存在一条脱敏规则,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写5条脱敏表记录：
第1条记录的[数据源名称]填写一个未引入的数据源，其他字段正常填写；
第2条记录的[数据库名称]填写为不存在的数据库名称，其他字段正常填写；
第3条记录的[数据表名称]填写为不存在的数据表名称，其他字段正常填写；
第4条记录的[脱敏字段]填写为不存在的字段，其他字段正常填写；
第5条记录正确填写所有字段；
保存该文件并上传，点击“确定”
2. 点击导出错误文件，查看错误文件","1. 1）5条数据都导入失败
2）弹出提示弹窗：
导入表格中存在错误数据，请检查后重新导入，点击导出错误文件
2. 1）错误文件命名为：table_import_error_20240520.xlsx
2）
第1条记录[数据源名称]字段标红，并标注提示：不存在的数据，请检查后输入
第2条记录[数据库名称]字段标红，并标注提示：不存在的数据，请检查后输入
第3条记录[数据表名称]字段标红，并标注提示：不存在的数据，请检查后输入
第4条记录[脱敏字段]字段标红，并标注提示：不存在的数据，请检查后输入",1
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_四个字段都一致,脱敏表列表存在1条脱敏表记录数据源是A，数据库是B，数据表是C，脱敏字段是D，并开启该条脱敏表的血缘启动状态,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
1）[数据源名称]填写为A，[数据库名称]填写为“B”，[数据表字段]填写为“C”,[脱敏字段]填写为“D”。
保存该文件并上传，点击“确定”
2. 点击导出错误文件，查看文件内容","1. 1）脱敏表导入失败
2）弹出提示弹窗
2. 1）错误文件命名为：table_import_error_20240520.xlsx
2）填写重复的[脱敏字段]提示为：不存在的数据，请检查后输入",1
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_脱敏字段不一致,脱敏表列表存在1条脱敏表记录数据源是A，数据库是B，数据表是C，脱敏字段是D1，并开启该条脱敏表的血缘状态，同时存在另一个数据源A，有数据库名是B，下面有一个数据表是C，下面有一个脱敏字段是D2,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
1）[数据源名称]填写为A，[数据库名称]填写为“B”，[数据表字段]填写为“C”,[脱敏字段]填写为“D2”。
保存该文件并上传，点击“确定”
2. 查看该条脱敏表的信息","1. 1） 系统提示导入成功，数据已同步至对应列表中
2）列表新增一条脱敏表的记录
2. 1）数据源、数据库、数据表、脱敏字段信息和导入文件中填写的内容保持一致
2）血缘启用状态是“关闭”",1
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_数据表不一致,脱敏表列表存在1条脱敏表记录数据源是A，数据库是B，数据表是C1，脱敏字段是D，并开启该条脱敏表的血缘状态，同时存在另一个数据源A，有数据库名是B，下面有一个数据表是C2，下面有一个脱敏字段是D,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
1）[数据源名称]填写为A，[数据库名称]填写为“B”，[数据表字段]填写为“C2”,[脱敏字段]填写为“D”。
保存该文件并上传，点击“确定”
2. 查看该条脱敏表的信息","1. 1） 系统提示导入成功，数据已同步至对应列表中
2）列表新增一条脱敏表的记录
2. 1）数据源、数据库、数据表、脱敏字段信息和导入文件中填写的内容保持一致
2）血缘启用状态是“关闭”",2
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_数据库不一致,脱敏表列表存在1条脱敏表记录数据源是A，数据库是B1，数据表是C，脱敏字段是D，并开启该条脱敏表的血缘状态，同时存在另一个数据源A，有数据库名是B2，下面有一个数据表是C，下面有一个脱敏字段是D,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
1）[数据源名称]填写为A，[数据库名称]填写为“B2”，[数据表字段]填写为“C”,[脱敏字段]填写为“D”。
保存该文件并上传，点击“确定”
2. 查看该条脱敏表的信息","1. 1） 系统提示导入成功，数据已同步至对应列表中
2）列表新增一条脱敏表的记录
2. 1）数据源、数据库、数据表、脱敏字段信息和导入文件中填写的内容保持一致
2）血缘启用状态是“关闭”",1
数据资产-数据安全-分级管理,验证[导入脱敏表]功能正常_数据源不一致,脱敏表列表存在1条脱敏表记录，数据源是A1，数据库是B，数据表是C，脱敏字段是D，并开启该条脱敏表的血缘状态，同时存在另一个数据源A2（该数据源在脱敏表列表中不存在），有数据库名是B，下面有一个数据表是C，下面有一个脱敏字段是D,"1. 进入【数据安全-数据脱敏管理】页面，选择一条脱敏规则，点击[脱敏应用]，进入[脱敏引用]页面，点击[导入脱敏表]，点击“下载模板”，根据模板文件填写需要导入的脱敏表，填写1条脱敏表数据：
1）[数据源名称]填写为A2，[数据库名称]填写为“B”，[数据表名称]填写为“C”,[脱敏字段]填写为“D”。
保存该文件并上传，点击“确定”
2. 查看该条脱敏表的信息","1. 1） 系统提示导入成功，数据已同步至对应列表中
2）列表新增一条脱敏表的记录
2. 1）数据源、数据库、数据表、脱敏字段信息和导入文件中填写的内容保持一致
2）血缘启用状态是“关闭”",2
数据资产-数据安全-分级管理,验证[上传文件]显示&交互正确,[数据脱敏管理]页面已经存在至少1条脱敏规则,"1. 进入【数据安全-数据脱敏管理】页面，选择一个脱敏规则，点击[脱敏应用]按钮，进入【脱敏表】页面，点击[导入脱敏表]按钮查看[上传文件]
2. 点击”下载模板“
3. 查看脱敏表导入模板文件","1. 1）必填
2. 脱敏表导入模板文件下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 1）文件命名为：table_import_template.xlsx
2）文件中的字段依次显示为：数据源名称、数据库名称、数据表名称、脱敏字段。（后面标注提示：必填）",2
