所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-数据同步,验证mysql->mysql，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增mysql表结构字段：ALTER TABLE aabb ADD var VARCHAR(100), ADD inter INTEGER , ADD int0 INT, ADD float0 FLOAT, ADD Double0 DOUBLE, ADD decimal0 DECIMAL, ADD TEXT0 TEXT, ADD longtext0 LONGTEXT, ADD timestamp0 TIMESTAMP, ADD date1 DATE, ADD datetime0 DATETIME, ADD BOOLEAN0 BOOLEAN, ADD BLOB0 BLOB, ADD json0 JSON;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证oracle-oracle，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE t1ADD ( var3 VARCHAR2(100),inter3 INTEGER,float3 FLOAT,decimal3 DECIMAL(1,2),timestamp3 TIMESTAMP,date1 DATE,char0 CHAR(10),num0 NUMBER(1,2),CLOB0 CLOB,BLOB0 BLOB,RAW0 RAW(10),ROWID0 ROWID);
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证dmfororacle-dmfororacle，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE ershi_tableADD ( var1 VARCHAR(100),nchar NCHAR(100),nvarc NVARCHAR2(100),inter3 INTEGER,float3 FLOAT,decimal3 DECIMAL(5,2),timestamp3 TIMESTAMP,date1 DATE,date2 TIME,char0 CHAR(10),CLOB0 CLOB,BLOB0 BLOB);
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证dmformysql-dmformysql，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE ershi_tableADD ( var1 VARCHAR(100),nchar NCHAR(100),nvarc NVARCHAR2(100),inter3 INTEGER,float3 FLOAT,decimal3 DECIMAL(5,2),timestamp3 TIMESTAMP,date1 DATE,date2 TIME,char0 CHAR(10),CLOB0 CLOB,BLOB0 BLOB);
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证doris-doris，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段： ALTER TABLE batch_62.dddd ADD COLUMN email1 VARCHAR(255),ADD COLUMN phone1 CHAR(20),ADD COLUMN TINYINT0 TINYINT,ADD COLUMN INT0 INT,ADD COLUMN SMALLINT0 SMALLINT,ADD COLUMN BIGINT0 BIGINT,ADD COLUMN DECIMAL0 DECIMAL(5,2),ADD COLUMN BOOLEAN0 BOOLEAN;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证greenplum->greenplum，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE aaa.aaa001 ADD var00 VARCHAR(100), ADD inter INTEGER , ADD int0 BIGINT, ADD float0 SMALLINT, ADD Double0 DOUBLE, ADD REAL0 REAL, ADD decimal0 DECIMAL, ADD TEXT0 CHAR(10), ADD lTZ0 TIMESTAMP_LTZ, ADD timestamp0 TIMESTAMP, ADD date1 DATE, ADD NTZ0 TIMESTAMP_NTZ, ADD BOOLEAN0 BOOLEAN, ADD INTERVAL0 INTERVAL, ADD TEXT1 TEXT, ADD BLOB0 ENUM, ADD json0 JSON;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证oceanmysql>oceanmysql，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE it_132461_up ADD var0 VARCHAR(100), ADD phone1 CHAR(20), ADD inter INTEGER , ADD int0 INT, ADD float0 FLOAT, ADD Double0 DOUBLE, ADD decimal0 DECIMAL(5,2), ADD TEXT0 TEXT, ADD timestamp0 TIMESTAMP, ADD date1 DATE, ADD year0 YEAR, ADD datetime0 DATETIME, ADD BOOLEAN0 BOOLEAN, ADD BLOB0 BLOB, ADD json0 JSON, ADD enum0 ENUM('acrtive','inactive'), ADD set0 SET('1','2'), ADD SMALLINT0 SMALLINT, ADD BIGINT0 BIGINT, ADD TINYINT0 TINYINT, ADD longtext0 LONGTEXT, ADD bin0 BINARY;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证oceanoracle->oceanoracle，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段：ALTER TABLE aabb ADD var0 VARCHAR(100), ADD phone1 CHAR(20), ADD int0 INT, ADD float0 FLOAT, ADD decimal0 NUMBER(5,2), ADD timestamp0 TIMESTAMP, ADD date0 DATE;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证postgresql->postgresql，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增mysql表结构字段：ALTER TABLE aabb ADD var VARCHAR(100), ADD inter INTEGER , ADD int0 INT, ADD float0 FLOAT, ADD Double0 DOUBLE, ADD decimal0 DECIMAL, ADD TEXT0 TEXT, ADD longtext0 LONGTEXT, ADD timestamp0 TIMESTAMP, ADD date1 DATE, ADD datetime0 DATETIME, ADD BOOLEAN0 BOOLEAN, ADD BLOB0 BLOB, ADD json0 JSON;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
离线开发-数据开发-数据同步,验证sqlserver->sqlserver，目标表新增同名字段，建立映射并同步数据,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 建立同步任务
3. 新增表结构字段： ALTER TABLE CASE_66487 ADD email1 VARCHAR(255), phone1 CHAR(20), email0 NVARCHAR(255), address1 TEXT, TINYINT0 TINYINT, INT0 INT, SMALLINT0 SMALLINT, BIGINT0 BIGINT, FLOAT0 FLOAT, REAL0 REAL, DECIMAL0 DECIMAL(5,2), NUM0 NUMERIC(5,2), timestamp3 TIME, date1 DATE, date2 DATETIME, date3 DATETIME2;
4. 运行临时任务
5. 周期实例任务，补数据实例任务","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 来源表新增表字段成功，并添加数据
4. 任务运行成功，目标表新增同名字段，建立映射并同步数据
5. 任务运行成功，目标表新增同名字段，建立映射并同步数据",2
