所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据同步支持ob for oracle,验证【数据同步任务】调度功能运行正常(Hive > OBOracle),"1.当前项目中已经成功引入OBOracle数据源 <br /><br />2. hive建表语句:<br /><br />DROP TABLE IF EXISTS employees_hive;<br />CREATE TABLE employees_hive (<br /> employee_id INT COMMENT '员工ID',<br /> full_name VARCHAR(50) COMMENT '姓名',<br /> job_title VARCHAR(30) COMMENT '职位',<br /> salary DECIMAL(10,2) COMMENT '薪资',<br /> hire_date DATE COMMENT '入职日期',<br /> is_fulltime BOOLEAN COMMENT '是否全职',<br /> tech_stack VARCHAR(200) COMMENT '技术栈',<br /> last_login TIMESTAMP COMMENT '最后登录时间',<br /> resume STRING COMMENT '简历'<br />) COMMENT '员工信息表_Hive'<br />ROW FORMAT DELIMITED<br />FIELDS TERMINATED BY '\t'<br />STORED AS TEXTFILE;<br /><br />INSERT INTO employees_hive VALUES<br />(101, 'zhangsan', '后端工程师', 25000.00, '2022-03-15', true, 'Java,Spring,MySQL', '2024-05-20 09:15:23', '5年Java开发经验，精通微服务架构'),<br />(102, 'lisi', '数据科学家', 32000.50, '2021-11-01', true, 'Python,TensorFlow,Spark', '2024-05-21 14:30:45', '机器学习专家，主导过多个AI项目'),<br />(103, 'wangwu', '前端工程师', 22000.00, '2023-01-10', true, 'JavaScript,React,Vue', '2024-05-19 11:22:33', '前端架构师，组件化开发专家'),<br />(104, 'zhaoliu', 'DevOps工程师', 28000.75, '2020-07-22', true, 'Kubernetes,Docker,AWS', '2024-05-22 10:05:17', '云原生基础设施专家'),<br />(105, 'chenqi', '产品经理', 30000.00, '2021-05-30', true, 'Axure,SQL,PPT', '2024-05-18 16:45:21', '主导Taier数据调度平台设计'),<br />(106, 'liuba', '测试工程师', 18000.00, '2023-08-14', false, 'Selenium,Jmeter,Python', '2024-05-20 13:18:56', '自动化测试专家');<br /><br />SELECT * FROM employees_hive;<br /><br />","1. 进入【离线开发-数据开发-周期任务】页面
2. 创建数据同步任务Hive2OBOracle, 配置如下:数据来源: Hive 3.x(CDP), employees_hive选择目标: OceanBase 4.3.x(Oracle), 一键建表employees_hive字段映射: 同名映射其它选项保持默认后, 保存并提交
3. 临时运行, 查看结果
4. 执行SQL查询OBOracle表数据:
SELECT * FROM employees_hive;
TRUNCATE TABLE employees_hive;
SELECT * FROM employees_hive;
5. 周期运行, 查看结果
6. 执行SQL查询OBOracle表数据:
SELECT * FROM employees_hive;
TRUNCATE TABLE employees_hive;
SELECT * FROM employees_hive;
7. 补数据运行, 查看结果
8. 执行SQL查询OBOracle表数据:
SELECT * FROM employees_hive;
TRUNCATE TABLE employees_hive;
SELECT * FROM employees_hive;
9. 进入【离线开发-数据开发-手动任务】页面
10. 创建数据同步任务Hive2OBOracle后, 保存并提交
11. 临时运行, 查看结果
12. 执行SQL查询OBOracle表数据:
SELECT * FROM employees_hive;
TRUNCATE TABLE employees_hive;
SELECT * FROM employees_hive;
13. 手动运行, 查看结果
14. 执行SQL查询OBOracle表数据:
SELECT * FROM employees_hive;
TRUNCATE TABLE employees_hive;
SELECT * FROM employees_hive;","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 提交至运维中心
3. 控制台日志显示运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 返回两个结果:
结果1: oboracle表的数据成功写入到hive表, 数据回显正常
结果2: 暂无数据
5. 周期任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 返回两个结果:
结果1: Hive表的数据成功写入到OBOracle表, 数据回显正常
结果2: 暂无数据
7. 补数据任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
8. 返回两个结果:
结果1: Hive表的数据成功写入到OBOracle表, 数据回显正常
结果2: 暂无数据
9. 成功进入目标页面，页面内容正常加载显示，无报错
10. 提交至运维中心
11. 控制台日志显示运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
12. 返回两个结果:
结果1: Hive表的数据成功写入到OBOracle表, 数据回显正常
结果2: 暂无数据
13. 手动任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
14. 返回两个结果:
结果1: Hive表的数据成功写入到OBOracle表, 数据回显正常
结果2: 暂无数据",2
数据同步支持ob for oracle,验证【数据同步任务】调度功能运行正常(OBOracle > Hive),"1.当前项目中已经成功引入OBOracle数据源 <br /><br />2. oboracle建表语句:<br /><br />CREATE TABLE PORT_VESSEL_OPERATION_RECORD (<br />    VESSEL_CODE SMALLINT,<br />    CARGO_DENSITY BINARY_DOUBLE,<br />    BERTH_CODE CHAR(3),<br />    VESSEL_NAME VARCHAR(100),<br />    VOYAGE_NO VARCHAR2(50),<br />    NATIONALITY_CODE NCHAR(2),<br />    SHIPPING_COMPANY NVARCHAR2(120),<br />    CONTAINER_COUNT INT,<br />    CREW_GROUP_ID INTEGER,<br />    TOTAL_WEIGHT_TON NUMBER(12,3),<br />    CARGO_VOLUME_M3 DECIMAL(10,2),<br />    FUEL_CONSUMPTION_RATE FLOAT,<br />    SCHEDULED_BERTHING_DATE DATE,<br />    AIS_DEVICE_MAC RAW(6),<br />    LOG_SNAPSHOT BLOB,<br />    DRAFT_DEPTH_M BINARY_FLOAT,<br />    ACTUAL_BERTHING_TS TIMESTAMP,<br />    RECORD_CREATED_TSLTZ TIMESTAMP WITH LOCAL TIME ZONE,<br />    ESTIMATED_DEPARTURE_TSTZ TIMESTAMP WITH TIME ZONE,<br />    CONTRACT_VALIDITY INTERVAL YEAR TO MONTH,<br />    MAX_BERTHING_DELAY INTERVAL DAY TO SECOND<br />)<br />PARTITION BY RANGE (SCHEDULED_BERTHING_DATE) (<br />    PARTITION p_2025_q1 VALUES LESS THAN (DATE '2025-04-01'),<br />    PARTITION p_2025_q2 VALUES LESS THAN (DATE '2025-07-01'),<br />    PARTITION p_2025_q3 VALUES LESS THAN (DATE '2025-10-01'),<br />    PARTITION p_2025_q4 VALUES LESS THAN (DATE '2026-01-01'),<br />    PARTITION p_max VALUES LESS THAN (MAXVALUE)<br />);<br /><br />COMMENT ON TABLE PORT_VESSEL_OPERATION_RECORD IS '宁波港船舶靠泊与货物装卸作业记录表';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.VESSEL_CODE IS '船舶内部编号';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.CARGO_DENSITY IS '货物密度（吨/立方米）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.BERTH_CODE IS '靠泊码头代码';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.VESSEL_NAME IS '船名';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.VOYAGE_NO IS '航次号';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.NATIONALITY_CODE IS '船舶国籍代码';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.SHIPPING_COMPANY IS '船公司名称';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.CONTAINER_COUNT IS '集装箱数量';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.CREW_GROUP_ID IS '装卸工人班组ID';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.TOTAL_WEIGHT_TON IS '货物总重量（吨）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.CARGO_VOLUME_M3 IS '货物体积（立方米）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.FUEL_CONSUMPTION_RATE IS '燃油消耗率估算';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.SCHEDULED_BERTHING_DATE IS '计划靠泊日期';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.AIS_DEVICE_MAC IS 'AIS设备MAC地址';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.LOG_SNAPSHOT IS '船舶电子日志快照';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.DRAFT_DEPTH_M IS '实时吃水深度（米）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.ACTUAL_BERTHING_TS IS '实际靠泊时间戳';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.RECORD_CREATED_TSLTZ IS '操作记录创建时间（本地时区）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.ESTIMATED_DEPARTURE_TSTZ IS '预计离港时间（带时区）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.CONTRACT_VALIDITY IS '合同有效期（年-月间隔）';<br />COMMENT ON COLUMN PORT_VESSEL_OPERATION_RECORD.MAX_BERTHING_DELAY IS '最大允许靠泊延迟时间（天-秒间隔）';<br /><br />ALTER SESSION SET TIME_ZONE = '+08:00';<br /><br />INSERT INTO PORT_VESSEL_OPERATION_RECORD VALUES (<br />    101,<br />    1.842375642389,<br />    'NCT',<br />    'COSCO SHIPPING AQUARIUS',<br />    '2508E',<br />    N'CN',<br />    N'中远海运集团',<br />    2845,<br />    7,<br />    32567.890,<br />    41250.75,<br />    12.5,<br />    DATE '2025-12-10',<br />    HEXTORAW('A1B2C3D4E5F6'),<br />    NULL,<br />    14.25,<br />    TIMESTAMP '2025-12-10 14:30:22.123',<br />    TIMESTAMP '2025-12-10 14:35:00.000',<br />    TIMESTAMP '2025-12-12 09:00:00.000 +08:00',<br />    INTERVAL '2' YEAR,<br />    INTERVAL '1 06:30:00' DAY TO SECOND<br />);<br /><br />INSERT INTO PORT_VESSEL_OPERATION_RECORD VALUES (<br />    205,<br />    0.921456789012,<br />    'MXT',<br />    'MAERSK HANGZHOU',<br />    '345W',<br />    N'DK',<br />    N'Maersk Line',<br />    4120,<br />    3,<br />    45890.123,<br />    58760.50,<br />    18.7,<br />    DATE '2025-12-11',<br />    HEXTORAW('112233445566'),<br />    NULL,<br />    15.8,<br />    TIMESTAMP '2025-12-11 08:15:45.678',<br />    TIMESTAMP '2025-12-11 08:20:00.000',<br />    TIMESTAMP '2025-12-13 18:00:00.000 +08:00',<br />    INTERVAL '1-6' YEAR TO MONTH,<br />    INTERVAL '2 12:00:00' DAY TO SECOND<br />);<br /><br />INSERT INTO PORT_VESSEL_OPERATION_RECORD VALUES (<br />    99,<br />    2.310987654321,<br />    'ZGT',<br />    'OOCL NINGBO',<br />    '888N',<br />    N'HG',<br />    N'东方海外',<br />    3560,<br />    12,<br />    39876.456,<br />    49820.25,<br />    15.2,<br />    DATE '2025-12-09',<br />    HEXTORAW('AAABBBCCCDDD'),<br />    NULL,<br />    13.95,<br />    TIMESTAMP '2025-12-09 22:45:10.999',<br />    TIMESTAMP '2025-12-09 22:50:00.000',<br />    TIMESTAMP '2025-12-11 06:00:00.000 +08:00',<br />    INTERVAL '3' YEAR,<br />    INTERVAL '0 04:15:30' DAY TO SECOND<br />);<br /><br />SELECT * FROM PORT_VESSEL_OPERATION_RECORD;<br /><br />","1. 进入【离线开发-数据开发-周期任务】页面
2. 创建数据同步任务OBOracle2Hive, 配置如下:
数据来源: OceanBase 4.3.x(Oracle), PORT_VESSEL_OPERATION_RECORD
选择目标: Hive 3.x(CDP), 一键建表PORT_VESSEL_OPERATION_RECORD
字段映射: 同名映射
其它选项保持默认后, 保存并提交
3. 临时运行, 查看结果
4. 执行SQL查询Hive表数据:
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
TRUNCATE TABLE PORT_VESSEL_OPERATION_RECORD;
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
5. 周期运行, 查看结果
6. 执行SQL查询Hive表数据:
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
TRUNCATE TABLE PORT_VESSEL_OPERATION_RECORD;
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
7. 补数据运行, 查看结果
8. 执行SQL查询Hive表数据:
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
TRUNCATE TABLE PORT_VESSEL_OPERATION_RECORD;
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
9. 进入【离线开发-数据开发-手动任务】页面
10. 创建数据同步任务OBOracle2Hive后, 保存并提交到运维中心手动运行
11. 执行SQL查询Hive表数据:
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;
TRUNCATE TABLE PORT_VESSEL_OPERATION_RECORD;
SELECT * FROM PORT_VESSEL_OPERATION_RECORD;","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 提交至运维中心
3. 控制台日志显示运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 返回两个结果:
结果1: oboracle表的数据成功写入到hive表, 数据回显正常
结果2: 暂无数据
5. 周期任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 返回两个结果:结果1: oboracle表的数据成功写入到hive表, 数据回显正常结果2: 暂无数据
7. 补数据任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
8. 返回两个结果:
结果1: oboracle表的数据成功写入到hive表, 数据回显正常
结果2: 暂无数据
9. 成功进入目标页面，页面内容正常加载显示，无报错
10. 手动任务实例中新增该任务的实例记录并运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
11. 返回两个结果:
结果1: oboracle表的数据成功写入到hive表, 数据回显正常
结果2: 暂无数据",1
数据同步支持ob for oracle,验证【数据同步任务】脚本模式发布正常(OBOracle > Hive),"1.当前项目中已经成功引入OBOracle数据源

2.当前项目中存在新建成功的读OBOracle向导模式的数据同步任务（脚本模式）

3.当前项目已经成功绑定发布目标项目，且OBOracle数据源成功配置了映射配置（发布目标）","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务（脚本模式）右上方的“发布”
3. 勾选该数据同步任务打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的OBOracle的数据源各个参数配置项与来源均一致
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来",2
数据同步支持ob for oracle,验证【多数据同步任务】同时发布功能正常(OBOracle > Hive),"1.当前项目中已经成功引入OBOracle数据源

2.当前项目中存在多个新建成功的读OBOracle向导模式的数据同步任务

3.当前项目已经成功绑定发布目标项目，且OBOracle数据源成功配置了映射配置（发布目标）","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选多个数据同步任务，点击打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看对应任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的多个任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的OBOracle的数据源
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来",2
数据同步支持ob for oracle,验证【数据同步任务+多表】同时发布功能正常(OBOracle > Hive),"1.当前项目中已经成功引入OBOracle数据源

2.当前项目中存在新建成功的读OBOracle向导模式的数据同步任务

3.当前项目已经成功绑定发布目标项目，且OBOracle数据源成功配置了映射配置（发布目标）

4.存在非数据同步配置的hive、mysql表：test_hive_01、test_mysql_01，表内各包含五条数据","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选该数据同步任务、表test_hive_01、test_mysql_01，点击打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据
10. 执行查询语句查询表","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务、表
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的OBOracle的数据源
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来
10. 表正确查询、表内数据为空",2
数据同步支持ob for oracle,"验证【数据同步任务】发布功能正常(自定义SQL, OBOracle > Hive)","1.当前项目中已经成功引入OBOracle数据源

2.当前项目中存在新建成功的读OBOracle向导模式的数据同步任务（同时来源配置方式为自定义sql）

3.当前项目已经成功绑定发布目标项目，且OBOracle数据源成功配置了映射配置（发布目标）","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务（来源配置方式为自定义sql）右上方的“发布”
3. 勾选该数据同步任务打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的OBOracle的数据源配置方式为自定义sql，sql框内容与源任务一致
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来",2
数据同步支持ob for oracle,验证【数据同步任务】一键发布&导入导出发布功能正常(OBOracle > Hive),"存在两个项目projectA(测试项目), projectB(生产项目), 项目A, B均已对接oboracle数据源","1. 进入projectA(测试项目) -> 数据开发-周期任务
2. 创建oboracle2hive数据同步任务taskA, 执行建表语句后, 保存并发布
3. 勾选任务taskA并打包
4. 点击【导出】按钮
5. 点击【发布】按钮
6. 切换到projectB(生产项目) -> 数据开发-周期任务
7. 临时运行任务taskA后删除
8. 进入projectB(生产项目) -> 任务发布 -> 发布至本项目
9. 点击【导入发布包】, 选择zip文件${fileA}后, 点击【发布】按钮
10. 【数据源 - 本项目数据源】中选择projectB(生产项目)中的oboracle数据源后, 点击【发布】
11. 检查 projectB(生产项目) -> 数据开发-周期任务
12. 临时运行任务taskA","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 发布成功, 跳转到【创建发布包】页面
3. 打包成功, 跳转到【发布至目标项目】页面
4. zip文件${fileA}导出成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 发布状态由【待发布】 -> 【发布成功】
6. 新增周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致
7. 运行/删除成功, oboracle2hive 任务一键发布功能正常
8. 成功进入目标页面，页面内容正常加载显示，无报错
9. 弹出【发布包校验】弹窗, 【数据源】需要手动配置, 其他配置均校验通过
10. 系统提示发布成功，发布状态更新，相关页面可访问
11. 新增周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致
12. 运行成功, oboracle2hive 任务导入导出发布功能正常",2
数据同步支持ob for oracle,验证【数据同步任务】一键发布&导入导出发布功能正常(Hive > OBOracle),"存在两个项目projectA(测试项目), projectB(生产项目), 项目A, B均已对接oboracle数据源","1. 进入projectA(测试项目) -> 数据开发-周期任务
2. 创建hive2oboracle数据同步任务taskA, 执行建表语句后, 保存并发布
3. 打包任务taskA, 并【导出】文件
4. 点击【发布】按钮
5. 切换到projectB(生产项目) -> 数据开发-周期任务
6. 临时运行任务taskA后删除
7. 进入projectB(生产项目) -> 任务发布 -> 发布至本项目
8. 点击【导入发布包】, 选择zip文件${fileA}后, 点击【发布】按钮
9. 【数据源 - 本项目数据源】中选择projectB(生产项目)中的oboracle数据源后, 点击【发布】
10. 检查 projectB(生产项目) -> 数据开发-周期任务
11. 临时运行任务taskA","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 发布成功, 跳转到【创建发布包】页面
3. zip文件${fileA}导出成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 发布状态由【待发布】 -> 【发布成功】
5. 新增周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致
6. 运行/删除成功, hive2oboracle 任务一键发布功能正常
7. 成功进入目标页面，页面内容正常加载显示，无报错
8. 弹出【发布包校验】弹窗, 【数据源】需要手动配置, 其他配置均校验通过
9. 系统提示发布成功，发布状态更新，相关页面可访问
10. 新增周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致
11. 运行成功, hive2oboracle 任务导入导出发布功能正常",1
数据同步支持ob for oracle,验证数据同步任务数据开发全流程(OBOracle > OBOracle),"建表语句：
CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));
INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');


CREATE TABLE if NOT EXISTS test_002(id INT,name VARCHAR(255) );","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 数据源中心新增OBOracle，新增时授权离线项目
3. 控制台配置OBOracle计算引擎，执行连通性测试
4. 进入离线-创建项目（xiangmu_01）-勾选OBOracle，选择创建选项来创建schema，填写其余必填项，点击保存
5. 再次创建项目（xiangmu_02）-勾选OBOracle，选择创建选项来创建schema，填写其余必填项，点击保存（注意：需要与xiangmu_01数据源选择一致，不可多或少）
6. 进入上述所创建项目（xiangmu_01）-项目管理-项目设置-发布目标，点击立即绑定
7. 进入上述所创建项目（xiangmu_01）-项目管理-项目设置-开发设置，点击资源组下方按钮配置映射
8. 进入上述所创建项目（xiangmu_01）-数据源-点击所创建的meta数据源操作列映射配置，发布目标选择xiangmu_02对应meta数据源，点击确定
9. 进入上述所创建项目（xiangmu_01）-数据源，点击引入数据源，勾选上述数据源中心所创建的数据源，点击确定
10. 进入上述所创建项目（xiangmu_02）-数据源，点击引入数据源，勾选上述数据源中心所创建的数据源，点击确定
11. 进入上述所创建的项目（xiangmu_01）-进入数据开发模块，进入周期任务菜单页--新建向导模式的数据同步任务
12. 选择数据来源（上述创建的meta数据源）数据库schema表名：test_001点击下一步
13. 选择数据目标（上述引入的数据源）数据库schema表名：test_002点击下一步
14. 配置同字段映射，点击下一步
15. 点击下一步，点击保存，点击临时运行
16. 点击转换为脚本
17. 修改调度属性实例生成方式：立即生成具体时间：（当前时间的十七分钟后）点击保存、点击右上角提交
18. 进入运维中心-周期任务管理，选择该任务点击操作列补数据-当前任务
19. 全部默认点击确定
20. 进入周期任务实例查看
21. 进入数据开发当前任务界面，点击发布
22. 勾选当前任务，点击打包，输入发布描述，点击确定
23. 点击所创建发布包操作列导出按钮，选择保存目录点击确定
24. 点击所创建发布包操作列发布按钮
25. 进入项目xiangmu_02-数据开发-周期任务菜单页
26. 删除上述所同步过来的数据同步任务
27. 进入发布管理界面-发布至本项目，点击导入发布包，选择上文导出的发布包，点击确定
28. 点击操作列发布按钮
29. 进入数据开发-周期任务菜单页","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. OBOracle新增完成
3. 计算引擎配置完成，连通性通过
4. 项目创建完成，进入数据源查看-OBOracle为meta数据源，数据源内新增一个与项目名称同名的schema
5. 项目创建完成，进入数据源查看-OBOracle为meta数据源，数据源内新增一个与项目名称同名的schema
6. 弹窗展示绑定发布目标，选择xiangmu_02后点击确定绑定成功
7. 弹窗展示资源组映射目标，选择xiangmu_02后点击确定绑定成功
8. 配置映射成功，映射状态为已配置
9. 数据源引入成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 数据源引入成功，系统给出成功反馈，相关页面/数据状态更新为最新
11. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
12. 进入选择目标界面
13. 进入选择字段映射界面
14. 进入通道控制页面
15. 任务运行成功，数据成功从{OBOracle}中表同步过来，包括各类型字段值
16. 数据同步任务由向导模式转为脚本模式，数据源相关信息正常显示，字段无缺失
17. 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
18. 右侧弹窗展示补数据配置界面
19. 弹窗提示查看补数据结果框，点击查看后进入补数据实例界面，展示补数据实例，实例状态依次为等待提交、等待运行、运行中、成功
20. 展示上述任务周期运行实例，达到上述调度属性所修改时间后开始运行，最终状态为运行成功
21. 进入发布管理界面-创建发布包
22. 自动跳转发布至目标项目
23. 发布包导出到本地
24. 发布状态由待发布转为发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
25. 上述数据同步任务发布至本项目，点击临时运行可正常运行
26. 任务删除成功，系统给出删除成功提示，该记录从列表中消失
27. 发布至本项目列表新增一条发布包
28. 发布状态由待发布转为发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
29. 上述数据同步任务发布至本项目，点击临时运行可正常运行",2
数据同步支持ob for oracle,验证数据同步任务数据开发流程组合（Hive > OBOracle）,"建表语句：<br />CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));<br />CREATE TABLE if NOT EXISTS test_002(id INT,name VARCHAR(255) );<br />INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');<br /><br />写入前语句：<br />ALTER TABLE test_002 ADD (bir NUMBER DEFAULT 1);<br /><br />写入后语句：<br />DELETE FROM test_002 WHERE id = 1;<br />","1. 进入数据开发模块，进入周期任务菜单页--新建向导模式的数据同步任务
2. 选择数据来源（hive-meta数据源）数据库schema表名：test_001分区：dt=${bdp.system.bizdate}点击下一步
3. 点击一键生成目标表，表名修改为test_002
4. 选择数据目标（OBOracle-meta数据源）数据库schema表名：test_002presql、postsql：前置条件内的前后准备语句主键冲突：replace into点击下一步
5. 添加常量字段：bir-999-int修改源字段name格式化：yyyy-MM-dd修改源字段id字段转换：选择前置条件准备资源点击字段刷新-同行映射，点击下一步
6. 同步速率上限：5开启并发：读2写2开启脏数据管理：表-dirty_01，生命周期-1天，最大容忍数-10条，脏数记录比例-50%点击下一步，点击保存，点击临时运行
7. 点击转换为脚本","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 进入选择目标界面
3. 系统提示建表成功，数据库中成功创建该表，表结构与配置字段一致
4. 进入选择字段映射界面
5. 进入通道控制页面
6. 任务运行成功，数据成功从Hive表中同步过来，包括各类型字段值
7. 数据同步任务由向导模式转为脚本模式，各个配置相关信息正常显示，字段无缺失",2
