所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-SQL语法,验证表单任务 - PySpark(资源上传) - 运行日志/结果,注意：历史任务回归,"1. 进入【表单任务】-【PySpark(资源上传)】页面
2. 立即运行任务，查看运行日志","1. 成功进入【表单任务】-【PySpark(资源上传)】页面，页面内容正常加载显示，无报错
2. 日志展示正确，内容与预期完全一致，无异常或错误",2
离线开发-数据开发-SQL语法,验证表单任务 - 数据同步任务 - 语法错误提示,注意：历史任务回归 ,"1. 进入【表单任务】-【数据同步任务】页面
2. 编辑数据同步任务，“数据来源”步骤，“自定义SQL”输入错误SQL语法
3. 编辑数据同步任务，“选择目标”步骤，“一键生成目标表”，查看建表语句","1. 成功进入【表单任务】-【数据同步任务】页面，页面内容正常加载显示，无报错
2. 1）语法错误飘红提示；
2）删除错误的语句后，错误飘红消失；
3. 无语法错误飘红提示",1
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 帮助文档,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 点击【帮助文档】","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 跳转至“同步任务配置”的帮助文档页",3
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 导入模板,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 点击【导入模版】
3. 配置来源和目标后，点击【确定】","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 弹出“导入模版”弹窗
3. 编辑区域直接显示对应的json脚本，且数据正确，内容与预期完全一致，无异常或错误",2
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 任务锁定/解锁,注意：历史任务回归；用户A,"1. 进入用户B保存的周期任务的编辑页
2. 点击【解锁】
3. 检查相关状态和结果
4. 检查相关状态和结果","1. 成功进入用户B保存的周期任务的编辑页，页面内容正常加载显示，无报错
2. 1）显示锁定提示；
3. 2）任务不可编辑
4. 任务变为可编辑状态",3
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 推送/拉取,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 1）修改任务代码，点击【拉取】-选择分支；
2）查看代码比对内容；
3）点击【确定】
3. 1）修改任务代码，点击【推送】-选择分支；
2）查看代码比对内容；
3）输入提交信息，点击【确定】","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 1）代码修改/增加的内容红绿高亮提示；
2）确定拉取后，任务SQL被远端分支代码覆盖
3. 1）代码修改/增加的内容红绿高亮提示；
2）确定推送后，远端分支代码被本地代码覆盖",3
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 停止,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 任务未运行
3. 运行任务
4. 点击【停止】按钮","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 【停止】按钮禁用
3. 【停止】按钮可用
4. 任务停止成功，任务状态更新为""已停止""，无报错",2
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 编辑,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 对指定内容进行查找/替换/回撤
3. 点击【命令面板】","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 1）匹配到的内容高亮提示；
2）替换结果正确；
3）回撤内容成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 面板打开正确，内容与预期完全一致，无异常或错误",3
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - IDE ToolBar按钮 - 运行,注意：历史任务回归,"1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 输入正确脚本
点击【运行】
3. 输入语法错误脚本
点击【运行】","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 运行进度、运行日志和运行结果正常，功能行为符合预期，无报错或异常
3. 运行进度、运行日志和运行结果正常，功能行为符合预期，无报错或异常",2
离线开发-数据开发-SQL语法,验证脚本任务 - 数据同步任务(脚本模式) - 版本对比,"注意：历史任务回归
----
特别注意：代码、调度时间、任务依赖的回滚","1. 进入【脚本任务】-【数据同步任务(脚本模式)】页面
2. 多次修改任务，勾选任意两个版本进行“版本比对”，查看“版本比对”弹窗数据
3. 触发“回滚此版本”","1. 成功进入【脚本任务】-【数据同步任务(脚本模式)】页面，页面内容正常加载显示，无报错
2. 1）两个版本基本信息、代码、调度配置、任务参数、环境参数等内容正确；
2）代码、调度配置、任务参数、环境参数不同内容标记正确
3. 代码、调度配置、任务参数、环境参数内容回滚至该历史版本",3
