所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据,验证导出元数据,存在字段自定义属性应用于MySQL,"1. 进入【元数据】-【元数据管理】-编辑
2. 元数据管理页，点击【导出元数据】，进行导出元数据
3. 表详情页，进入某MySQL表详情页，点击【导出】，进行导出元数据","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 导出的元数据内容正确，内容包含字段自定义属性数据
3. 导出的元数据内容正确，内容包含字段自定义属性数据",2
数据资产-元数据,验证导入元数据- 字段元数据导入失败的情况,无,"1. 进入【元数据】-【元数据管理】-编辑
2. excel中存在填写的数据库在数据地图中不存在
3. 针对trino类型，excel中存在填写的catalog在数据地图中不存在
4. excel中存在填写的数据表在数据地图中不存在
5. excel中存在填写的数据表，当前导入用户没有权限（不是该表负责人）
6. excel中存在填写的枚举类型自定义属性值不在枚举范围内
7. excel中存在填写的string文本框类型自定义属性值超过255个字符
8. excel中存在填写的bigint文本框类型自定义属性值填入非整数类型数据
9. excel中存在填写的自定义属性为必填项，但未填入值
10. excel中存在填写的字段中文名值超过255个字符
11. excel中存在填写的字段描述值超过128个字符
12. excel中存在填写的字段标签不符合规范","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 导入失败，错误文件指出具体错误的单元格并提示：当前数据库/namespace未同步到资产中
3. 导入失败，错误文件指出具体错误的单元格并提示：当前catalog未同步到资产中
4. 导入失败，错误文件指出具体错误的单元格并提示：当前数据表未同步到资产中
5. 导入失败，错误文件指出具体错误的单元格并提示：无权限的数据表
6. 导入失败，错误文件指出具体错误的单元格并提示：错误数据，请查看字段元模型该属性信息
7. 导入失败，错误文件指出具体错误的单元格并提示：错误数据，请查看字段元模型该属性信息
8. 导入失败，错误文件指出具体错误的单元格并提示：错误数据，请查看字段元模型该属性信息
9. 导入失败，错误文件指出具体错误的单元格并提示：必填数据，请查看元模型该属性信息
10. 
11. 
12. 导入失败，错误文件指出具体错误的单元格并提示：2-20个字符，不能以特殊字符及数字开头，只能包含特殊字符中的“.“，“_“或“-“
11. 功能操作成功，页面数据状态更新为最新，无报错提示
12. 功能操作成功，页面数据状态更新为最新，无报错提示",1
数据资产-元数据,验证导入元数据- 字段元数据导入成功的情况,无,"1. 进入【元数据】-【元数据管理】-编辑
2. 上传文件内容填写如下：
1）excel中必填项均有数据
2）excel中数据库、表名、字段名均在数据地图中存在
3）excel中自定义字段属性均应用于当前数据源类型
4）excel中自定义字段属性数据均填写正确
5）excel中输入多个字段标签（以英文分号分隔），且标签数据符合规范","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 导入成功；
进入对应的表详情页，excel中对应的属性均更新正确",1
数据资产-元数据,验证导入元数据- 表元数据导入回归,无,"1. 进入【元数据】-【元数据管理】-编辑
2. “选择导入内容”选择“表元数据”；
上传文件，文件内容能够校验通过；
点击【确定】
3. “选择导入内容”选择“表元数据”；
上传文件，文件内容不能校验通过；
点击【确定】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 表元数据导入成功，系统给出导入成功提示，数据已同步至目标列表
3. 1）表元数据导入失败
2）导出的错误文件内容正确，内容与预期完全一致，无异常或错误",3
数据资产-元数据,验证导入元数据- 弹窗交互优化,页面： 【元数据】-【元数据管理】页,"1. 进入【元数据】-【元数据管理】-编辑
2. 选择某个数据源，进入数据库列表页；
点击【导入元数据】
3. “选择导入内容”选择“表元数据”，点击【下载模版】
4. “选择导入内容”选择“字段元数据”，点击【下载模版】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 弹窗增加“选择导入内容”单选项，选项：表元数据、字段元数据
3. 下载的模版为表元数据导入模版
4. 1）下载的模版为字段元数据导入模版
2）模版excel中包含当前数据源类型支持的字段自定义属性，且必填标识正确",2
数据资产-元数据,验证字段自定义属性删除逻辑,"1. 准备枚举属性A（枚举项：a1，a2，a3）、文本框属性B，应用于MySQL
2. 设置MySQL表1的自定义字段属性A的值为a2，自定义字段属性B值为XXX","1. 进入【元数据】-【元数据管理】-编辑
2. 【字段元模型】TAB页删除属性B；
查看MySQL表1的表详情页-表结构-字段TAB页
3. 【字段元模型】TAB页删除属性A的a2枚举项（只删除枚举项，不删除属性）；
查看MySQL表1的表详情页-表结构-字段TAB页
4. 【字段元模型】TAB页删除属性A
查看MySQL表1的表详情页-表结构-字段TAB页","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 字段列表不展示自定义属性B
3. 字段列表原自定义属性A值为a2的字段，该属性值变为空
4. 字段列表不展示自定义属性A",2
数据资产-元数据,验证表详情页展示信息_字段列表展示,"1）准备枚举属性A、文本框属性B，均只应用于MySQL和Oracle
2） 需要查看两个数据：表详情页，元数据管理-字段元数据","1. 进入【元数据】-【元数据管理】-编辑
2. 表详情页，查看MySQL表字段TAB页
3. 表详情页，查看Oracle表字段TAB页
4. 表详情页，查看非MySQL/Oracle表字段TAB页
5. 元数据管理页，查看MySQL表的字段元数据TAB页
6. 元数据管理页，查看Oracle表字段TAB页
7. 元数据管理页，查看非MySQL/Oracle表字段TAB页","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 1）列表增加属性A和属性B列，列名为A、B属性名
2）属性A列和属性B列，数据正确，内容与预期完全一致，无异常或错误
3. 1）列表增加属性A和属性B列，列名为A、B属性名
2）属性A列和属性B列，数据正确，内容与预期完全一致，无异常或错误
4. 1）列表没有属性A、属性B列
5. 1）列表增加属性A和属性B列，列名为A、B属性名
2）属性A列和属性B列，数据正确，内容与预期完全一致，无异常或错误
6. 1）列表增加属性A和属性B列，列名为A、B属性名
2）属性A列和属性B列，数据正确，内容与预期完全一致，无异常或错误
7. 1）列表没有属性A、属性B列",1
数据资产-元数据,验证元数据管理 字段元数据- 必填项校验,1）准备枚举属性A、string文本框属性B、bigint文本框属性C，且均为必填,"1. 进入【元数据】-【元数据管理】-编辑
2. 点击【批量编辑】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. A、B、C三列数据分别为空，直接点击【保存】",2
数据资产-元数据,验证元数据管理 字段元数据- 批量编辑,准备枚举属性A、string文本框属性B、bigint文本框属性C，并且这个三个属性都应用到同一类型的数据源上，去元数据管理中选择应用的数据类型下的一张表，进入该表的字段元模型中进行编辑,"1. 进入【元数据】-【元数据管理】-编辑
2. 点击【批量编辑】
3. 属性A、属性B、属性C列均完善数据，点击【保存】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 属性A列为下拉项，下拉选项为属性A配置的选项；
属性B列为文本输入框；
属性C列为整数输入框；
3. 保存成功；
列表数据正确；
表详情页字段tab页数据也正确，内容与预期完全一致，无异常或错误",1
数据资产-元数据,验证元数据管理 字段元数据- 列表 翻页,无,"1. 进入【元数据】-【元数据管理】-编辑
2. “上一页”/“下一页”翻页
3. 指定页码翻页","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 1）“上一页”数据正确；
2）“下一页”数据正确，内容与预期完全一致，无异常或错误
3. 数据正确，内容与预期完全一致，无异常或错误",2
数据资产-元数据,验证元数据管理 字段元数据- 列表 数据,进入【元数据】-【元数据管理】-编辑-字段元数据,"1. 进入【元数据】-【元数据管理】-编辑
2. 查看字段数据","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 展示当前表字段信息，数据与该表详情页字段tab页数据一致",1
数据资产-元数据,验证元数据管理 原页面优化,无,"1. 进入【元数据】-【元数据管理】-编辑
2. 切换两个TAB页面","1. 页面分为“表元数据”和“字段元数据”两个TAB页
2. 页面展示和数据正确，内容与预期完全一致，无异常或错误",2
数据资产-元数据,验证列表- 新增属性- 重复性校验,无,1. 进入【元数据】-【元数据管理】-编辑,1. 成功进入【元数据】-【元数据管理】-编辑，页面内容正常加载显示，无报错,2
数据资产-元数据,验证列表- 新增属性- 逻辑,无,"1. 进入【元数据】-【元数据管理】-编辑
2. 新增文本框类型属性：
1）输入属性名、属性中文名
2）属性类型选择“文本框”
3）字段类型选择“bigint”
4）设置非必填
5）应用数据源类型选择“全部”
6）归属类别选择“业务属性”
3. 新增文本框类型属性：
1）输入属性名、属性中文名
2）属性类型选择“文本框”
3）字段类型选择“string”
4）设置非必填
5）应用数据源类型选择“全部”
6）归属类别选择“业务属性”
4. 新增文本框类型属性：
1）输入属性名、属性中文名
2）属性类型选择“文本框”
3）字段类型选择“string”
4）设置非必填
5）应用数据源类型选择“mysql”和“oracle”
6）归属类别选择“业务属性”
5. 新增枚举类型属性：
1）输入属性名、属性中文名
2）属性类型选择“枚举”
3）增加三个选项：A、B、C
4）设置非必填
5）应用数据源类型选择“mysql”和“oracle”
6）归属类别选择“业务属性”","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 新增属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 新增属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 新增属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 新增属性成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
数据资产-元数据,验证列表- 新增属性- 交互,无,"1. 进入【元数据】-【元数据管理】-编辑
2. 点击【新增属性】
3. “属性类型”选择“文本框”
4. “属性类型”选择“枚举”
5. 查看“应用数据源类型”下拉项
6. 查看“归属类别”下拉项
7. 必填项校验
8. 按钮操作：
1）点击【取消】
2）点击【确定】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 弹出“新增属性”弹窗
3. “属性类型”下方新增“字段类型”下拉项：
1）下拉项为：string、bigint
2）“属性类型”切换为“枚举”时，“字段类型”不显示
4. 1）“属性类型”下方新增“选项”编辑模块：
2）“属性类型”切换为“枚举”时，“选项”不显示
5. 1）下拉项为资产支持的所有数据源类型+“全部”
2）该项为多选项，选择“全部”其他选项不可选中
6. 1）下拉项：管理属性、业务属性
2）该项为单选项
7. 必填项为：所有表单元素都为必填项
8. 1）弹窗消失
2）触发新增接口，新增成功后，弹窗消失",2
数据资产-元数据,验证列表- 删除,位置：元数据-元模型管理-字段元模型,"1. 进入【元数据】-【元数据管理】-编辑
2. 点击【删除】
3. 点击二次确认弹窗中的【删除】
4. 点击二次确认弹窗中的【取消】","1. 成功进入【元数据】-【元数据管理】-编辑页面，页面内容正常加载显示，无报错
2. 显示二次确认弹窗，弹窗标题为：删除xxx属性，弹窗提示内容为：属性删除后，已应用并完成维护的xxx属性将会清除！ 按钮：【取消】/【删除】
3. 1）属性删除成功；
2）列表刷新
4. 弹窗消失",2
