所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据地图DQL权限优化,验证超管表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 超管用户进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 超管用户进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
3. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
4. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
5. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
6. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
7. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
8. 1）【数据预览】可以正常预览表数据
9. 1）【数据预览】可以正常预览表数据
10. 1）【数据预览】可以正常预览表数据
11. 1）【数据预览】可以正常预览表数据
12. 1）【数据预览】可以正常预览表数据
13. 1）【数据预览】可以正常预览表数据",2
数据地图DQL权限优化,验证租户管理员表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 租户管理员进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 租户管理员进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
3. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
4. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
5. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
6. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
7. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
8. 1）【数据预览】可以正常预览表数据
9. 1）【数据预览】可以正常预览表数据
10. 1）【数据预览】可以正常预览表数据
11. 1）【数据预览】可以正常预览表数据
12. 1）【数据预览】可以正常预览表数据
13. 1）【数据预览】可以正常预览表数据",2
数据地图DQL权限优化,验证租户所有者表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 租户所有者进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 租户所有者进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
3. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
4. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
5. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
6. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
7. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
8. 1）【数据预览】可以正常预览表数据
9. 1）【数据预览】可以正常预览表数据
10. 1）【数据预览】可以正常预览表数据
11. 1）【数据预览】可以正常预览表数据
12. 1）【数据预览】可以正常预览表数据
13. 1）【数据预览】可以正常预览表数据",1
数据地图DQL权限优化,验证项目所有者表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 项目所有者进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 项目所有者进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】
14. 超管在项目A, B中加入项目所有者
15. 项目所有者进入【离线开发-数据地图-查找数据】页面，申请table_a、table_b表的DQL权限并审批通过后，选择“table_a”，查看【基本信息】&【数据预览】页面
16. 选择“table_b”，查看【基本信息】&【数据预览】页面
17. 进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
18. 选择hive数据源下的“table_b”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 提示：权限不足
3. 提示：权限不足
4. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
5. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
6. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
7. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
8. 提示：权限不足
9. 提示：权限不足
10. 1）【数据预览】可以正常预览表数据
11. 1）【数据预览】可以正常预览表数据
12. 1）【数据预览】可以正常预览表数据
13. 1）【数据预览】可以正常预览表数据
14. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致
15. 1）【数据预览】可以正常预览表数据
16. 1）【数据预览】可以正常预览表数据
17. 1）【数据预览】可以正常预览表数据
18. 1）【数据预览】可以正常预览表数据",2
数据地图DQL权限优化,验证项目管理员表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 项目管理员进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 项目管理员进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】
14. 超管在项目A, B中添加项目管理员
15. 项目管理员进入【离线开发-数据地图-查找数据】页面，申请table_a、table_b表的DQL权限并审批通过后，选择“table_a”，查看【基本信息】&【数据预览】页面
16. 选择“table_b”，查看【基本信息】&【数据预览】页面
17. 进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
18. 选择hive数据源下的“table_b”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 提示：权限不足
3. 提示：权限不足
4. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
5. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
6. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
7. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
8. 提示：权限不足
9. 提示：权限不足
10. 1）【数据预览】可以正常预览表数据
11. 1）【数据预览】可以正常预览表数据
12. 1）【数据预览】可以正常预览表数据
13. 1）【数据预览】可以正常预览表数据
14. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致
15. 1）【数据预览】可以正常预览表数据
16. 1）【数据预览】可以正常预览表数据
17. 1）【数据预览】可以正常预览表数据
18. 1）【数据预览】可以正常预览表数据",1
数据地图DQL权限优化,验证数据开发表查看权限正确,"<p>当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；</p>
<p><br /></p>
<p>超管用户取消勾选数据开发DQL权限点</p>","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 数据开发进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 数据开发进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】
14. 数据开发进入【离线开发-数据地图-查找数据】页面，申请table_a、table_b、table_c、table_d、table_e、table_f表的DQL权限并审批通过后，选择“table_a”，查看【基本信息】&【数据预览】页面
15. 选择“table_b”，查看【基本信息】&【数据预览】页面
16. 选择“table_c”，查看【基本信息】&【数据预览】页面
17. 选择“table_d”，查看【基本信息】&【数据预览】页面
18. 选择“table_e”，查看【基本信息】&【数据预览】页面
19. 选择“table_f”，查看【基本信息】&【数据预览】页面
20. 进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
21. 选择hive数据源下的“table_b”，查看【数据预览】
22. 选择hive数据源下的“table_c”，查看【数据预览】
23. 选择hive数据源下的“table_d”，查看【数据预览】
24. 选择hive数据源下的“table_e”，查看【数据预览】
25. 选择hive数据源下的“table_f”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 提示：权限不足
3. 提示：权限不足
4. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
5. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
6. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
7. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
8. 提示：权限不足
9. 提示：权限不足
10. 1）【数据预览】提示：暂无DQL权限，无法查看
11. 1）【数据预览】提示：暂无DQL权限，无法查看
12. 1）【数据预览】提示：暂无DQL权限，无法查看
13. 1）【数据预览】提示：暂无DQL权限，无法查看
14. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
15. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
16. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
17. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
18. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
19. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
20. 1）【数据预览】可以正常预览表数据
21. 1）【数据预览】可以正常预览表数据
22. 1）【数据预览】可以正常预览表数据
23. 1）【数据预览】可以正常预览表数据
24. 1）【数据预览】可以正常预览表数据
25. 1）【数据预览】提示：暂无DQL权限，无法查看",1
数据地图DQL权限优化,验证运维表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 运维进入【离线开发-数据地图-查找数据】页面，选择“table_a”，查看【基本信息】&【数据预览】页面
3. 选择“table_b”，查看【基本信息】&【数据预览】页面
4. 选择“table_c”，查看【基本信息】&【数据预览】页面
5. 选择“table_d”，查看【基本信息】&【数据预览】页面
6. 选择“table_e”，查看【基本信息】&【数据预览】页面
7. 选择“table_f”，查看【基本信息】&【数据预览】页面
8. 运维进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】
14. 运维进入【离线开发-数据地图-查找数据】页面，申请table_a、table_b、table_c、table_d、table_e、table_f表的DQL权限并审批通过后，选择“table_a”，查看【基本信息】&【数据预览】页面
15. 选择“table_b”，查看【基本信息】&【数据预览】页面
16. 选择“table_c”，查看【基本信息】&【数据预览】页面
17. 选择“table_d”，查看【基本信息】&【数据预览】页面
18. 选择“table_e”，查看【基本信息】&【数据预览】页面
19. 选择“table_f”，查看【基本信息】&【数据预览】页面
20. 进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
21. 选择hive数据源下的“table_b”，查看【数据预览】
22. 选择hive数据源下的“table_c”，查看【数据预览】
23. 选择hive数据源下的“table_d”，查看【数据预览】
24. 选择hive数据源下的“table_e”，查看【数据预览】
25. 选择hive数据源下的“table_f”，查看【数据预览】","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
3. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
4. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
5. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
6. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
7. 1）【基本信息】可以正常查看
2）【数据预览】提示：暂无DQL权限，无法查看
8. 1）【数据预览】提示：暂无DQL权限，无法查看
9. 1）【数据预览】提示：暂无DQL权限，无法查看
10. 1）【数据预览】提示：暂无DQL权限，无法查看
11. 1）【数据预览】提示：暂无DQL权限，无法查看
12. 1）【数据预览】提示：暂无DQL权限，无法查看
13. 1）【数据预览】提示：暂无DQL权限，无法查看
14. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
15. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
16. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
17. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
18. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
19. 1）【基本信息】可以正常查看
2）【数据预览】可以正常预览表数据
20. 1）【数据预览】可以正常预览表数据
21. 1）【数据预览】可以正常预览表数据
22. 1）【数据预览】可以正常预览表数据
23. 1）【数据预览】可以正常预览表数据
24. 1）【数据预览】可以正常预览表数据
25. 1）【数据预览】可以正常预览表数据",2
数据地图DQL权限优化,验证访客表查看权限正确,"当前租户已经存在以下hive表：
1）超管用户在项目A创建的table_a；
2）租户管理员在项目B创建的table_b；
3）租户所有者在项目C创建的table_c；
4）项目所有者在项目C创建的table_d；
5）项目管理员在项目C创建的table_e；
6）数据开发在项目C创建的table_f；","1. 进入【离线开发-项目管理-角色管理】页面，查看页面
2. 访客进入【离线开发-数据地图-查找数据】页面，选择“table_a”，进入表详情
3. 选择“table_b”，进入表详情
4. 选择“table_c”，进入表详情
5. 选择“table_d”，进入表详情
6. 选择“table_e”，进入表详情
7. 选择“table_f”，进入表详情
8. 访客进入【离线开发-数据开发-表查询】页面，选择hive数据源下的“table_a”，查看【数据预览】
9. 选择hive数据源下的“table_b”，查看【数据预览】
10. 选择hive数据源下的“table_c”，查看【数据预览】
11. 选择hive数据源下的“table_d”，查看【数据预览】
12. 选择hive数据源下的“table_e”，查看【数据预览】
13. 选择hive数据源下的“table_f”，查看【数据预览】
14. 访客进入【离线开发-数据地图-查找数据】页面，申请table_a、table_b、table_c、table_d、table_e、table_f表的DQL权限","1. 成功进入【离线开发-项目管理-角色管理】页面，查看页面，页面内容正常加载显示，无报错
2. 异常提示“权限不足”
3. 异常提示“权限不足”
4. 异常提示“权限不足”
5. 异常提示“权限不足”
6. 异常提示“权限不足”
7. 异常提示“权限不足”
8. 异常提示“权限不足”
9. 异常提示“权限不足”
10. 异常提示“权限不足”
11. 异常提示“权限不足”
12. 异常提示“权限不足”
13. 异常提示“权限不足”
14. 异常提示“权限不足”",1
数据地图DQL权限优化,验证【角色管理】页面显示正确,无,1. 进入【离线开发-项目管理-角色管理】页面，查看页面,1. 访客的“数据地图-表管理-查看”权限不勾选,2
数据地图DQL权限优化,验证【角色管理】页面显示正确,无,1. 进入【portal页-角色管理-离线开发】页面，查看页面,1. 访客的“数据地图-表管理-查看”权限不勾选,2
