所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
主流程v6.3(#10426),资产盘点 验证已接入数据源统计数据正确,无,"1. 进入资产-【资产盘点】页面
2. 查看“已接入数据源”
3. 查看统计数据：昨日新增表数、源数、库数、表数以及存储量","1. 进入成功
2. 显示截止前一天为止接入的数据源类型的统计卡片
3. 统计数据为对应数据源类型下前一天的统计数据",1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 数据地图 首页【资产类型】功能验证 验证【数据表】表数量统计正确,页面： 当前位于资产【数据地图】一级页面<br>----<br>${DataSourceType}数据源下存在表 table1,"1. 1. 新增元数据同步-周期同步任务
2. 选择${DataSourceType}数据源，选择catalog||schema||database
3. 选择数据表-table1
4. 勾选【全部内容】
5. 点击【临时同步】按钮
2. 任务运行完成,实例运行成功
3. 数据地图选择table1，删除元表","1. 元数据同步任务创建成功，任务状态-运行中(实例状态运行中)
2. 【数据表】统计数量+1
3. 【数据表】统计数量-1",1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 数据地图 首页【资产类型】功能验证 验证【离线任务】任务数量统计正确,页面： 当前位于资产【数据地图】一级页面<br>----<br>${DataSourceType}数据源下存在表 table1,"1. 1. 离线平台新增SQL 建表任务
2. 临时运行/提交",1. 【离线任务】任务统计数量+1,1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 数据地图 【数据地图】-二级页面【筛选过滤】功能验证 验证筛选条件组合查询功能正常,页面： 当前位于资产【数据地图】二级页面,"1. 选择【查询结果类型】为【数据表】
2. 选择【数据源类型】为${DATASOURCE_TYPE}
3. 选择【数据源】为${DATASOURCE_NAME}
4. 选择【数据库】为${DATABASE}
5. 选择【负责人】为${TABLE_OWNER}
6. 选择【表标签】为${TABLE_TAG}
7. 设置完所有筛选条件后，筛选","1. 选择成功
2. 1. 筛选框展示资产平台引入的所有数据源类型
2. 数据源类型数量统计正确
3. 选择成功
3. 1. 展示资产平台已引入${DATASOURCE_TYPE}类型的所有数据源名称
2. 选择成功
4. 1. 如果当前数据源-数据库下没有同步任何表到资产平台，则展示为空
2. 如果当前数据源-数据库下已经同步${TABLE_NAME}到资产平台，则【数据库】选择${DATABASE}成功
5. 1. 如果存在表指定负责人，则【负责人】选择${TABLE_OWNER}成功
2. 如果没有表指定负责人，则【负责人】展示为空
6. 1. 如果存在表设置表标签，则【表标签】选择${TABLE_TAG}成功
2. 如果没有表设置表标签，则【表标签】展示为空
7. 1. 过滤出所有符合组合条件的数据
2. 没有匹配条件的数据则展示“暂无数据”缺省页",1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 数据地图 【数据地图】-【数据表】详情页面功能验证 验证【表结构】-【建表语句】模块功能正常,"页面： 当前位于资产【数据地图】数据表详情页<br>----<br>create table if not exists test_table(id int COMMENT '主键' ,name varchar(255) COMMENT '姓名',info varchar(255) COMMENT '信息');<br>insert into test_table values(1,'one','desc 1');<br>insert into test_table values(2,'two','desc 2');<br>insert into test_table values(3,'three','desc 3');","1. 点击【建表语句】按钮
2. 复制建表语句，去底层执行SQL","1. 建表语句显示正确
2. 执行成功",2,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 数据地图 【数据地图】-【数据表】详情页面功能验证 验证【血缘关系】功能正常,"页面： 当前位于资产【数据地图】数据表详情页<br>----<br>1. 当前离线项目已存在血缘SQL<br><br>CREATE TABLE  wwz_001 (<br>    id INT COMMENT ""用户ID"",<br>    name VARCHAR(50) COMMENT ""用户姓名""<br>)<br>DISTRIBUTED BY HASH(id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>CREATE TABLE  wwz_002 (<br>    id INT COMMENT ""用户ID"",<br>    name VARCHAR(50) COMMENT ""用户姓名""<br>)<br>DISTRIBUTED BY HASH(id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>CREATE TABLE  wwz_003 (<br>    id INT COMMENT ""用户ID"",<br>    name VARCHAR(50) COMMENT ""用户姓名""<br>)<br>DISTRIBUTED BY HASH(id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>);<br><br>--样例一 需先执行wwz_001、wwz_002建表<br>-- insert into ... select<br>insert into wwz_001 select id,name from wwz_002;<br><br>--样例二 需先执行wwz_002建表<br>-- create as ... select <br>create table wwz_001 DISTRIBUTED BY HASH(id) BUCKETS 10<br>PROPERTIES (<br>    ""replication_num"" = ""1""<br>) as select * from wwz_002;<br><br>--样例三  需先执行wwz_001、wwz_002、wwz_003建表<br>-- insert into ... select union all <br>insert into wwz_001 select * from wwz_002 union all  select * from wwz_003;<br><br>--样例四  需先执行wwz_001、wwz_002、wwz_003建表<br>-- insert overwrite ... select ... union all<br>insert OVERWRITE table wwz_001 select * from wwz_002 union all  select * from wwz_003;<br><br>--样例五  需先执行wwz_001、wwz_002、wwz_003建表<br>-- insert into ... select + 子查询<br>insert into wwz_001 select id,name from wwz_002 where id in (select id from wwz_003 where id>1);<br><br>--样例六  需先执行wwz_001、wwz_002建表<br>-- insert into ... with as ...<br>INSERT INTO wwz_001 (id, name) WITH wwz_003 AS (SELECT id, name FROM wwz_002) SELECT id, name FROM wwz_003;<br>INSERT INTO wwz_001 (id, name) WITH wwz_003 AS (SELECT * FROM wwz_002) SELECT * FROM wwz_003;<br><br>drop table wwz_001;<br>drop table wwz_002;<br>drop table wwz_003;","1. 点击表详情【血缘关系】按钮
2. 点击【表级血缘】按钮
3. 点击中央【表按钮】
4. 表详情弹窗内容校验
5. 输入存在的字段名称，字段中文名，点击搜索
6. 输入不存在的字段名称，字段中文名，点击搜索
7. 点击分页，切换pagesize
8. 点击【字段级血缘】
9. 点击【字段名称】
10. 点击【展示文字信息】按钮
11. 点击【居中】按钮
12. 点击【放大】按钮
13. 点击【放小】按钮
14. 点击【下载】按钮
15. 点击【展示/隐藏】按钮","1. 展示【表级血缘】【字段级血缘】【展示文字信息】【资产类型】【导航器】【表按钮】
2. 展示当前表的上下游表
3. 弹表详情弹窗
4. 展示“表名””复制按钮”“技术属性模块”“业务属性模块“字段信息”“非分区字段”“分区字段””字段名称字段中文名搜索框“
5. 返回匹配的字段信息
6. 展示“暂无数据”
7. pagesize切换成功，数据展示正确，跳转正确
8. 展示当前表所有字段及血缘关系
9. 存在血缘字段时，弹血缘字段，没有血缘字段时，提示“字段血缘关系为空”
10. 展示当前表全名
11. 图居中展示
12. 图放大
13. 图放小
14. 下载血缘PNG成功，查看内容正确
15. 展示/不展示导航器",1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 元数据同步 验证元数据同步任务创建流程正常,无,"1. 1）点击【元数据】-【元数据同步】-【新增周期同步任务】
2）选择数据源${DATASOURCE_TYPE}
3）选择数据库${DATABASE}
4）选择数据表${TABLE}
5）依次点击【添加】_【下一步】_【新增】按钮",1. “新增周期同步任务”成功，任务列表展示同步任务，列信息正确，同步状态展示正常,1,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 元模型管理 验证通用业务属性-新增功能-逻辑正常,无,"1. 新增枚举属性：
1）属性类型为“枚举”
2）输入表单内容
3）点击【确定】
2. 新增string类型文本框属性：
1）属性类型为“文本框”，字段类型为“string”
2）输入表单内容
3）点击【确定】
3. 新增bigint类型文本框属性：
1）属性类型为“文本框”，字段类型为“bigint”
2）输入表单内容
3）点击【确定】
4. 新增树形目录属性：
1）属性类型为“树形目录”
2）输入表单内容
3）点击【确定】
5. 进入${DATASOURCE_TYPE}数据源类型的数据表详情页，查看「业务属性」","1. 列表中显示新建的业务属性，且数据正确
2. 列表中显示新建的业务属性，且数据正确
3. 列表中显示新建的业务属性，且数据正确
4. 列表中显示新建的业务属性，且数据正确
5. 显示此新增的业务属性名",2,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 元模型管理 验证通用业务属性-删除功能-逻辑正常,无,"1. 删除业务属性${SX}
2. 进入${DATASOURCE_TYPE}数据源类型的数据表详情页，查看「业务属性」","1. 列表不显示业务属性${SX}
2. 该业务属性不显示",2,功能测试,功能测试阶段
主流程v6.3(#10426),元数据 元数据管理 验证数据表列表-数据展示正确,无,"1. 位置：元数据-元数据管理-${DATASOURCE _TYPE}数据源-某数据库
查看列表","1. 列表展示当前数据库下数据表+视图信息正确（数据与表详情页一直即可）：
		表名、表中文名、创建时间、存储大小、更新时间",1,功能测试,功能测试阶段
