所属模块,用例标题,前置条件,步骤,预期结果,优先级
【页面临时运行适配kyuubi】,验证【手动实例】正常运行复杂查询——运行模式为【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1","1. 进入【数据中心-手动任务】创建spark任务，写入脚本，保存提交
2. 进入【运维中心-手动任务管理】运行spark任务","1. 保存提交成功，系统给出提交成功提示，状态更新为下一处理阶段
2. 通过yarn运行，运行结果正确，【控制台-计算队列】有数据",1
【页面临时运行适配kyuubi】,验证【手动实例】正常运行复杂查询——运行模式为【on yarn】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1","1. 进入【数据中心-手动任务】创建spark任务，写入脚本，保存提交
2. 进入【运维中心-手动任务管理】 运行spark任务","1. 保存提交成功，系统给出提交成功提示，状态更新为下一处理阶段
2. 通过yarn运行，运行结果正确，【控制台-计算队列】有数据",2
【页面临时运行适配kyuubi】,验证【周期实例】正常运行复杂查询——运行模式为【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1


【调度属性】为“立即生成，开始时间为当前时间15分钟之后”","1. 进入【数据中心-周期任务】创建spark任务，写入脚本，保存提交
2. 进入【运维中心-周期实例运行】等待周期运行spark任务","1. 保存提交成功，系统给出提交成功提示，状态更新为下一处理阶段
2. 通过yarn运行，运行结果正确，【控制台-计算队列】有数据",2
【页面临时运行适配kyuubi】,验证【周期实例】正常运行复杂查询——运行模式为【on yarn】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1


【调度属性】为“立即生成，开始时间为当前时间15分钟之后”","1. 进入【数据中心-周期任务】创建spark任务，写入脚本，保存提交
2. 进入【运维中心-周期实例运行】等待周期运行spark任务","1. 保存提交成功，系统给出提交成功提示，状态更新为下一处理阶段
2. 通过yarn运行，运行结果正确，【控制台-计算队列】有数据",1
【页面临时运行适配kyuubi】,验证【周期】sql任务正常运行【复杂查询】——控制台配置【错误】的【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1","1. 进入【数据开发-周期任务】新建sparksql任务，写入脚本，运行模式为kyuubi，点击运行
2. 运行模式切换为【on yanr】，点击运行","1. 通过kyuubi运行，任务运行失败
2. 切换成功，任务运行成功，结果正确，内容与预期完全一致，无异常或错误",3
【页面临时运行适配kyuubi】,验证【周期】sql任务正常运行【复杂查询】——控制台由【sts】切换至【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1","1. 进入【数据开发-周期任务】新建sparksql任务，写入脚本，点击运行
2. 切换控制台为kyuubi
3. 进入上述新建任务查看
4. 点击临时运行任务","1. 通过yarn运行，运行结果正确，【控制台-计算队列】有数据
2. 成功切换至目标页签/状态，页面内容随之刷新显示
3. 运行按钮右侧新增下拉框，默认值为：kyuubi
4. 通过kyuubi运行，任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",3
【页面临时运行适配kyuubi】,验证【周期】sql任务正常运行【复杂查询】——控制台由【kyuubi】切换至【sts】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
drop table ods_test
create table if not exists ods_test (
order_header_id     string comment '订单头id'
,order_date          bigint comment '订单日期'
,shop_id             string comment '店铺id'
,customer_id         string comment '客户id'
,order_status        bigint comment '订单状态'
,pay_date            bigint comment '支付日期'

)comment '销售订单明细表'
PARTITIONED BY (ds string);

select * from ods_test where 1=1","1. 进入【数据开发-周期任务】新建sparksql任务，写入脚本，运行模式为kyuubi，点击运行
2. 切换控制台为sts
3. 进入上述新建任务查看，点击运行","1. 通过kyuubi运行，任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
2. 成功切换至目标页签/状态，页面内容随之刷新显示
3. 运行按钮右侧无下拉框
通过yarn运行，运行结果正确，【控制台-计算队列】有数据",3
【页面临时运行适配kyuubi】,验证【组件】sql任务正常运行【简单查询】——运行模式由【on yarn】切换至【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
select 1","1. 进入【数据开发-组件管理】新建sparksql任务，写入脚本，运行模式为on yarn，点击运行
2. 切换运行模式为kyuubi，点击运行","1. 通过hdfs运行，运行结果正确，【控制台-计算队列】没有数据
2. 通过hdfs运行，运行结果正确，运行结果正确，【控制台-计算队列】没有数据",3
【页面临时运行适配kyuubi】,验证【临时查询】sql任务正常运行【简单查询】——运行模式由【on yarn】切换至【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
spark脚本：
select 1","1. 进入【数据开发-临时任务】新建sparksql任务，写入脚本，运行模式为on yarn，点击运行
2. 切换运行模式为kyuubi，点击运行","1. 通过hdfs运行，运行结果正确，【控制台-计算队列】没有数据
2. 通过hdfs运行，运行结果正确，【控制台-计算队列】没有数据",2
【页面临时运行适配kyuubi】,验证【手动】sql任务正常运行【简单查询】——运行模式由【on yarn】切换至【kyuubi】,"【控制台】的Spark Thrift 组件的连接方式为kyuubi


spark脚本：
spark脚本：
select 1","1. 进入【数据开发-手动任务】新建sparksql任务，写入脚本，运行模式为on yarn，点击运行
2. 切换运行模式为kyuubi，点击运行","1. 通过hdfs运行，运行结果正确，【控制台-计算队列】没有数据
2. 通过hdfs运行，运行结果正确，运行结果正确，【控制台-计算队列】没有数据",2
