所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-多模态-文件详情,验证修改编目&标签信息后，详情页更新,该文件已配置编目信息，文件详情页面已打开,"1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 修改该文件的编目信息和标签信息
3. 返回文件详情页面刷新页面，
查看编目、标签信息","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 编目&标签信息成功更新
3. 编目、标签信息显示最新内容",3
数据资产-多模态-文件详情,验证【文件详情】标签修改功能,"1.【文件管理】页面已打开
2.列表至少存在一条以下一种格式文件已打标：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 选择并点击该文件名称
3. 点击页面最右边【标签】处的【修改】按钮
4. 对标签信息进行修改
5. 退出到【文件管理】页面
点击文件查看详情页面的标签信息
6. 退回至【文件管理】页
选择该文件并点击【更多-标签】按钮","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，进入文件详情
3. 点击成功，弹出编辑标签信息页面
4. 成功修改
5. 成功展示为修改后的标签
6. 弹出标签弹窗页面，
列表“已打标签”处展示为刚刚修改后的标签信息",3
数据资产-多模态-文件详情,验证【文件详情】页面编目修改功能,"1.【文件管理】页面已打开
2.列表至少存在一条以下一种格式文件已编目：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 选择并点击该文件名称
3. 点击页面最右边【编目】处的【修改】按钮
4. 对编目信息进行修改
5. 退出到【文件管理】页面
6. 选择该文件并点击【更多-编目】按钮","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，进入文件详情
3. 点击成功，弹出编辑编目信息页面
4. 成功修改
5. 成功退出
6. 弹出弹窗页面，展示为刚刚已修改的编目信息",3
数据资产-多模态-文件详情,验证热度统计保留最近90天内记录,"1.【文件管理-文件详情】页面已打开
2.该文件存在超过90天的下载、收藏、预览记录","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 确认该文件的90天内下载数量，对比显示数
3. 确认该文件的90天内收藏数量，对比显示数
4. 确认该文件的90天内预览数量，对比显示数","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 数量一致
3. 数量一致
4. 数量一致",2
数据资产-多模态-文件详情,验证热度统计右边悬浮提示及内容,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape
3.该文件的文件预览弹窗页面已打开","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 查看文件预览页面最右边的热度统计
3. 点击问号","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 热度统计右边展示问号
3. 悬浮提示：“记录最近90天内文件的下载、收藏、预览数量,T+1记录”",2
数据资产-多模态-文件详情,验证基本信息的文件路径展示内容,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape
3.该文件的文件预览弹窗页面已打开","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 查看文件预览页面最右边基本信息的文件路径
3. 修改该文件的存储路径","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 展示为对应的正确的在存储组件上的路径：S3://xxx/xxx
3. 查看文件详情-基本信息-文件路径正确变化",2
数据资产-多模态-文件详情,验证基本信息的文件位置展示内容,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape
3.该文件的文件预览弹窗页面已打开","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 查看文件预览页面最右边基本信息的文件位置
3. 修改该文件在平台上的位置","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 展示为对应的正确的在平台上的存储位置：公共空间/文件夹1/文件夹2…
3. 查看文件详情-基本信息-文件位置正确变化",2
数据资产-多模态-文件详情,验证版本变更列表的‘文件位置’内容显示,"1.【文件管理-文件详情-版本变更】页面已打开
2.存在文件在平台上的存储位置名称超长","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 查看“文件位置”处显示的内容
3. 位置超长时，查看内容","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 1.展示该文件在平台上的存储位置
3. 格式：公共空间/文件夹1/文件夹2…",2
数据资产-多模态-文件详情,验证版本变更记录最多显示最近5次,"1.【文件管理】页面已打开
2.文件有超过5次版本变更记录","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 点击某文件的名称
3. 点击【版本变更】按钮
4. 查看页面列表显示条数","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 弹出预览页面
3. 切换到版本变更页面
4. 仅展示最近5次版本变更记录",2
数据资产-多模态-文件详情,验证对文件替换/重命名/移动操作后版本变更列表更新,"1.【文件管理】页面已打开
2.列表中存在xxxx.pdf的文件","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 点击该文件名称
3. 点击版本变更tab
4. 查看并记录页面中该文件的版本变更记录
5. 退出到【文件管理】列表页面
6. 选择该文件并点击【更多-替换】按钮
7. 选择该文件并点击【更多-重命名】按钮
8. 选择该文件并点击【更多-移动】按钮
9. 点击该文件名称进入【文件详情-版本变更】页面
10. 查看并记录页面中该文件的最新几条记录","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 进入文件详情页面
3. 切换到该文件的版本变更tab页
4. 成功查看并记录
5. 成功退出
6. 展示弹窗，替换成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 展示弹窗，重命名成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 展示弹窗，修改路径成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 成功进入
10. 成功展示最新的变更记录，“修改类型”、“修改时间”列内容正确",1
数据资产-多模态-文件详情,验证文档支持缩略&放大,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 分别点击格式为doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls的文档文件
3. 查看这几个格式的文档文件预览情况
4. 分别查看这几个格式的文档文件预览页面展示情况
5. 分别对这几个格式的文档文件进行放大和缩略预览","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 全部支持预览
4. 右上角展示“放大缩小”图标
5. 成功放大/缩略",2
数据资产-多模态-文件详情,验证图像支持缩略&放大,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 分别点击格式为png、jpg、jpge、bmp、gif的图像文件
3. 查看这几个格式的图像文件预览情况
4. 分别查看这几个格式的图像文件预览页面展示情况
5. 分别对这几个格式的图像文件进行放大和缩略预览","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 全部支持预览
4. 右上角展示“放大缩小”图标
5. 成功放大/缩略",2
数据资产-多模态-文件详情,验证大文件预览性能,【文件管理】页面已打开，本地存在大于100MB的支持预览文件；点击大文件名称,"1. 进入预览页面
2. 观察文件加载时间和页面响应","1. 成功进入预览页面，页面内容正常加载显示，无报错
2. 文件在合理时间内完成加载预览",3
数据资产-多模态-文件详情,验证文件不支持预览时显示“？”并提示信息,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 点击格式为mp4的视频文件
3. 查看预览页面内容","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，弹出文件预览页面
3. 1.页面显示“该文件不支持预览”",2
数据资产-多模态-文件详情,验证非支持预览的文件格式不支持预览,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
markdown/md文档","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 分别点击格式为markdown/md的文档文件
3. 查看这几个格式的视频文件预览情况
4. 修改格式为markdown/md的文档文件后缀名为.doc/.docx/.pdf/.png
5. 分别点击修改后的文档文件
6. 查看这几个格式的视频文件预览情况","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 全部不支持预览
4. 系统提示修改成功，页面显示修改后的最新内容
5. 点击成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 全部不支持预览",2
数据资产-多模态-文件详情,验证查看支持格式的文件详情&下载-音频,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 分别点击格式为mp3、wav、flac、ape的音频文件
3. 查看预览内容
4. 点击【下载】按钮
5. 选择位置，点击下载
6. 打开文件，查看详情","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，进入文件详情页
3. 1.全部支持预览
4. 支持播放/暂停、进度条、音量控制
5. 点击成功，弹出下载位置选择弹窗
6. 下载成功，位置正确，内容与预期完全一致，无异常或错误",1
数据资产-多模态-文件详情,验证查看支持格式的文件详情&下载-视频,"1.【文件管理】页面已打开
2.列表存在以下格式文件：
图像：png、jpg、jpge、bmp、gif
文档：doc、docx、pdf、txt、html、xml、sql、js、json、pptx、xlsx、xls
视频：avi、mov、mp4、wmv、rmvb、flv、m4v、mkv
音频：mp3、wav、flac、ape","1. 进入【数据资产】-【多模态】-【文件详情】页面
2. 分别点击格式为davi、mov、mp4、wmv、rmvb、flv、m4v、mkv的视频文件
3. 查看预览内容
4. 点击【下载】按钮
5. 选择位置，点击下载
6. 打开文件，查看详情","1. 成功进入【数据资产】-【多模态】-【文件详情】页面，页面内容正常加载显示，无报错
2. 点击成功，进入文件详情页
3. 1.全部支持预览，最初显示静态第一帧，后自动播放
4. 支持播放/暂停、进度条拖拽、音量控制
5. 点击成功，弹出下载位置选择弹窗
6. 下载成功，位置正确，内容与预期完全一致，无异常或错误",1
