所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证【质量规则-弱规则】绑定离线任务后逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);
4. 离线存在已提交的任务B","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空串率】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 绑定离线任务B
8. 点击【完成】按钮
9. 离线任务补数据运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示关联成功，关联关系已建立，页面显示关联的目标对象
8. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
9. 实例结果运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",3
数据资产-数据质量-内置规则库,验证【质量规则-强规则】绑定离线任务后逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);
4. 离线存在已提交的任务B","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空串率】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0%】
【强弱规则】选择【强规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 绑定离线任务B
8. 点击【完成】按钮
9. 离线任务补数据运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示关联成功，关联关系已建立，页面显示关联的目标对象
8. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
9. 实例结果运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",1
数据资产-数据质量-内置规则库,验证【完整性校验】-「空串率」校验逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空串率】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期",3
数据资产-数据质量-内置规则库,验证【完整性校验】-「空串数」校验逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空串数】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期",2
数据资产-数据质量-内置规则库,验证【完整性校验】-「空值率」校验逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空值率】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0%】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期",3
数据资产-数据质量-内置规则库,验证【完整性校验】-「空值数」校验逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空值数】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期",2
数据资产-数据质量-内置规则库,验证【规则任务实例】页面-新增「校验类型」字段,已存在「单表」--「完整性校验」规则A实例,"1. 进入数据资产-质量-任务实例查询页面
2. 选择A规则的实例，点击查看详情","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 详情页展示【校验类型】字段，且值为“单表”",3
数据资产-数据质量-内置规则库,验证【规则详情】页面-新增「校验类型」字段,已存在「单表」--「完整性校验」规则A,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 点击规则A，查看规则A详情","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 详情页展示【校验类型】字段，且值为“单表”",3
数据资产-数据质量-内置规则库,验证【完整性校验】-规则配置流程正常,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空值数】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则",1
数据资产-数据质量-内置规则库,验证【校验规则配置】页面-新增「校验类型」配置项,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 展示【校验类型】【字段】【统计函数】【过滤条件】【校验方法】【期望值】【强弱规则】【规则描述】【保存】【取消】按钮",2
