所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-权限管理,验证列级权限 - 权限策略配置用户的表的列级权限 On STS (数据地图),每次在ranger修改策略后，需要重启Spark Thriftserver服务；,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 有select权限：配置用户有表A下id字段的select权限；
数据地图-对测试表进行数据预览
3. 无select权限：配置用户配置表A下部分字段的select权限；
数据地图-对测试表进行数据预览","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 只返回id列数据
3. 无数据预览权限",2
离线开发-数据开发-DMDB for MySQL计算引擎,验证临时运行中的-验证DMDB for MySQL默认不区分对象大小写,1.当前项目中已经成功引入DMDB for MySQL ,"1. 进入数据开发模块，新建DMDB for MySQL任务
2. 输入以下sql：
create table TABLE_NAME (id int, name varchar(10), age int);
create table table_name (id int, name varchar(10), age int);
临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 第一条运行成功，
第二条提示${TABLE_NAME}表已创建",2
离线开发-数据开发-DMDB for MySQL计算引擎,验证临时运行中的-验证DMDB for MySQL表名带有(单/双)引号创建成功,1.当前项目中已经成功引入DMDB for MySQL ,"1. 进入数据开发模块，新建DMDB for MySQL任务
2. 输入以下sql：
create table table_name1 (id int, name varchar(10), age int);
create table “table_name2“ (id int, name varchar(10), age int);
create table 'table_name3' (id int, name varchar(10), age int);
临时运行","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 只有第一条运行成功，其余均提示表已存在",2
离线开发-数据开发-DMDB for MySQL计算引擎,验证数据开发- DMDB for MySQL类型任务推送gitlab成功,1、项目管理-操作设置中代码同步已配置成功并开启,"1. 进入数据源页面，点击数据源【DMDB for MySQL】的整库同步按钮
2. 在数据开发模块新增DMDB for MySQL类型的任务，输入以下sql：
drop table if exists putong_table;
create table if not exists putong_table(id int,name varchar(255));
保存任务
3. 点击推送，选择分支输入提交消息，点击确定","1. 成功进入数据源页面，点击数据源【DMDB for MySQL】的整库同步按钮页面，页面内容正常加载显示，无报错
2. 系统提示操作成功，页面/数据状态更新为最新
3. 推送成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-数据开发-DMDB for MySQL计算引擎,验证数据开发- DMDB for MySQL类型任务拉取gitlab成功,1、项目管理-操作设置中代码同步已配置成功并开启,"1. 进入数据源页面，点击数据源【DMDB for MySQL】的整库同步按钮
2. 在数据开发模块新增DMDB for MySQL类型的任务
3. 点击拉取，选择分支","1. 成功进入数据源页面，点击数据源【DMDB for MySQL】的整库同步按钮页面，页面内容正常加载显示，无报错
2. 系统提示操作成功，页面/数据状态更新为最新
3. 拉取成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-数据开发-权限管理,验证UDF权限 - 权限策略配置用户的select权限,无,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 有select权限：配置用户有当前项目数据库下UDF函数的select权限；
用户在当前项目下SparkSQL任务中使用该UDF函数
3. 无select权限：配置用户没有当前项目数据库下UDF函数的select权限；
用户在当前项目下SparkSQL任务中使用该UDF函数","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 函数调用成功；
3. 函数调用失败，报没有SELECT权限；",3
离线开发-数据开发-权限管理,验证UDF权限 - 权限策略配置用户的Create权限,无,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 有Create权限：配置用户有当前项目数据库下UDF函数的Create权限；
重启Spark Thriftserver服务；
用户在当前项目下-函数管理中创建自定义函数
3. 无Create权限：配置用户没有当前项目数据库下UDF函数的Create权限；
重启Spark Thriftserver服务；
用户在当前项目下-函数管理中创建自定义函数
4. 有Create权限：配置用户有当前项目数据库下UDF函数的Create权限；
重启Spark Thriftserver服务；
用户在SparkSQL任务中创建自定义函数
5. 无Create权限：配置用户没有当前项目数据库下UDF函数的Create权限；
重启Spark Thriftserver服务；
用户在SparkSQL任务中创建自定义函数","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 函数创建成功；
3. 函数创建失败，报没有CREATE权限；
4. 函数创建成功；
5. 函数创建失败，报没有CREATE权限；",3
离线开发-数据开发-权限管理,验证掩码权限 - 权限策略配置用户的表字段的掩码权限 On Yarn (SparkSQL任务),无,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 不配置表A的掩码权限；
用户在当前项目下执行select语句；
3. 配置用户有表A下的id的掩码权限，掩码选项为：Redact；
用户在当前项目下执行select语句；
4. 配置用户有表A下的id的掩码权限，掩码选项为：Partial mask: show last 4；
用户在当前项目下执行select语句；
5. 配置用户有表A下的id的掩码权限，掩码选项为：Partial mask: show first 4；
用户在当前项目下执行select语句；
6. 配置用户有表A下的id的掩码权限，掩码选项为：Hash；
用户在当前项目下执行select语句；
7. 配置用户有表A下的id的掩码权限，掩码选项为：Nullify；
用户在当前项目下执行select语句；
8. 配置用户有表A下的id的掩码权限，掩码选项为：Unmasked (retain original value)；
用户在当前项目下执行select语句；
9. 配置用户有表A下的id的掩码权限，掩码选项为：Custom，输入自定义字符；
用户在当前项目下执行select语句；
10. 配置用户有表A下的id的掩码权限，掩码选项为：Custom，输入自定义字符；
用户在当前项目下执行SparkSQL任务的select复杂查询语句（with as...select，条件查询，关联查询，子查询等）；","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 返回数据所有列展示原始值
3. 
4. 返回id字段数据为部分掩码，只展示后四个字符
5. 返回id字段数据为部分掩码，只展示前四个字符
6. 返回id字段的掩码值为原始值的HASH值
7. 返回id字段的掩码值为null
8. 返回id字段数据为原始值
9. 返回id字段的掩码值为自定义值
10. 返回id字段的掩码值为自定义值",2
离线开发-数据开发-权限管理,验证掩码权限 - 权限策略配置用户的表字段的掩码权限 On STS (脏数据),每次在ranger修改策略后，需要重启Spark Thriftserver服务；,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 不配置表A的掩码权限；
用户在当前项目下执行select语句；
3. 配置用户有表A下的id的掩码权限，掩码选项为：Custom，输入自定义字符；
脏数据管理-查看脏数据表数据","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 返回数据所有列展示原始值
3. 返回id字段的掩码值为自定义值",2
离线开发-数据开发-权限管理,验证掩码权限 - 权限策略配置用户的表字段的掩码权限 On STS (表查询),每次在ranger修改策略后，需要重启Spark Thriftserver服务；,"1. 进入【控制台】-【权限管理】-【权限策略配置】页面
2. 不配置表A的掩码权限；
用户在当前项目下执行select语句；
3. 配置用户有表A下的id的掩码权限，掩码选项为：Custom，输入自定义字符；
表查询-对测试表进行数据预览","1. 成功进入【控制台】-【权限管理】-【权限策略配置】页面，页面内容正常加载显示，无报错
2. 返回数据所有列展示原始值
3. 返回id字段的掩码值为自定义值",2
