所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据,验证Trino SQL同步删除功能正常,"离线平台已存在Trino元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3
数据资产-元数据,验证TiDB SQL同步删除功能正常,"离线平台已存在TiDB元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3
数据资产-元数据,验证StarRocks SQL同步删除功能正常,"离线平台已存在SR元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1
数据资产-元数据,验证SQLServer同步删除功能正常,"离线平台已存在SQLServer元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2
数据资产-元数据,验证SparkThrift同步删除功能正常,"离线平台已存在SparkThrift元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1
数据资产-元数据,验证Seabox SQL同步删除功能正常,"离线平台已存在Seabox元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3
数据资产-元数据,验证Presto SQL同步删除功能正常,"离线平台已存在Presto元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3
数据资产-元数据,验证OushuDB SQL同步删除功能正常,"离线平台已存在Oushu元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",2
数据资产-元数据,验证Oracle SQL同步删除功能正常,"离线平台已存在Oracle元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",1
数据资产-元数据,验证OceanBase for Oracle同步删除功能正常,"离线平台已存在OB Oracle元数据源, 并自动同步至资产平台","1. 进入【离线开发】-【数据开发】-【周期任务】页面
2. 创建元数据表
3. 删除元数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 创建成功, 资产平台同步创建
3. 删除成功, 资产平台同步删除",3
