所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则任务配置,验证历史规则集实例生成调度周期正确,"1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 选择某一历史规则集，点击【…-编辑】
3. 查看页面
4. 点击【调度周期】下拉框
5. 不改变内容，在配置时间后查看实例生成状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 进入该数据的调度属性页面
3. 显示已配置的信息
4. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
5. 成功在配置时间后生成并运行，校验详情正确，内容与预期完全一致，无异常或错误",3
数据资产-数据质量-规则任务配置,验证编辑规则集调度周期设置为cron表达式功能正确,"1.数据质量-规则任务配置页面已打开
2.页面存在规则集调度周期为 cron表达式","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一规则集名称
3. 点击该规则集右上角【…】图标
4. 点击【编辑】按钮
5. 点击【下一步】按钮
6. 点击【调度周期】下拉框
7. 选择调度周期为 cron表达式
8. 输入5个表达式：（若当前时间为2025-12-05 09:00:00）
2025-12-05 09:10:00
2025-12-05 09:20:00
2025-12-05 09:30:00
2025-12-05 09:40:00
2025-12-05 09:50:00
点击【预览】按钮
9. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
10. 点击【完成】按钮
11. 立即查看该规则集生成实例状态
12. 第二天09:10:00后查看实例生成和运行状态
13. 第二天09:20:00后查看实例生成和运行状态
14. 第二天09:30:00后查看实例生成和运行状态
15. 第二天09:40:00后查看实例生成和运行状态
16. 第二天09:50:00后查看实例生成和运行状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则集的详情，内容正确，内容与预期完全一致，无异常或错误
3. 展示【立即执行】、【编辑】、【删除】按钮
4. 进入【编辑规则集-规则内容】页面，正确展示已导入的规则
5. 进入【编辑规则集-调度配置】页面
6. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
7. 下方弹出表达式填写框
8. 输入成功，预览正确，内容与预期完全一致，无异常或错误
9. 成功配置
10. 修改监控规则集成功，系统给出成功反馈，相关页面/数据状态更新为最新
11. 未立即生成
12. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
13. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
14. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
15. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
16. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-规则任务配置,验证设置cron表达式后编辑回填正确,"1.已进入【数据质量-规则任务配置】页面
2.页面存在规则集调度周期为 cron表达式","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一规则集名称
3. 点击该规则集右上角【…】图标
4. 点击【编辑】按钮
5. 点击【下一步】按钮
6. 查看页面详情
7. 查看【调度周期】处内容
8. 点击【预览】按钮","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则集的详情，内容正确，内容与预期完全一致，无异常或错误
3. 展示【立即执行】、【编辑】、【删除】按钮
4. 进入【编辑规则集-规则内容】页面，正确展示已导入的规则
5. 进入【编辑规则集-调度配置】页面
6. 已配置的信息回填正确，内容与预期完全一致，无异常或错误
7. 显示为 cron表达式，下方显示Cron表达式输入框；
尾部显示【预览】按钮
8. 弹出预览弹窗，正确显示已设置的日期",3
数据资产-数据质量-规则任务配置,验证新建规则集调度周期设置为cron表达式功能正确,"1.数据质量-规则任务配置页面已打开
2.本地已存在内容正确的规则集可导入文件","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 1）点击新建规则集，进入新建规则集-基础信息配置页面
2）正确配置基础信息，点击下一步，进入规则内容配置页面
3）正确导入规则文件，显示规则内容，点击下一步进入调度配置页面
3. 点击【调度周期】下拉框
4. 选择 cron表达式
5. 输入表达式：（若当前时间为2025-12-04）
0 0 10,14,16 * * ?
点击【预览】按钮
6. 生效日期默认为2025-12-04-2125-12-04，正确配置其他属性
7. 点击【完成】按钮
8. 立即查看该规则集生成实例状态
9. 第二天10:00:00后查看实例生成和运行状态
10. 第二天14:00:00后查看实例生成和运行状态
11. 第二天16:00:00后查看实例生成和运行状态
12. 第二天17:00:00后查看实例生成和运行状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 配置完成，调度配置页面正常打开
3. 包含选项 cron表达式
4. 下方弹出填写框
5. 输入成功，预览正确；
数据展示第二天开始每天10点、14点、16点执行
6. 成功配置
7. 新建监控规则集成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 未立即生成
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
12. 未重新生成实例",2
数据资产-数据质量-规则任务配置,验证历史多表校验实例生成调度周期正确,"1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 选择某一历史多表对比，点击【编辑调度属性】
3. 查看页面
4. 点击【调度周期】下拉框
5. 不改变内容，在配置时间后查看实例生成状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 进入该数据的调度属性页面
3. 显示已配置的信息
4. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
5. 成功在配置时间后生成并运行，校验详情正确，内容与预期完全一致，无异常或错误",3
数据资产-数据质量-规则任务配置,验证编辑多表校验调度周期设置为cron表达式功能正确,"1.已进入【数据质量-规则任务配置】页面
2.页面存在多表比对规则","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一多表比对规则名称
3. 点击【编辑调度属性】按钮
4. 点击【调度周期】下拉框
5. 选择调度周期为 cron表达式
6. 
输入表达式：（若当前时间为2025-12-05）
0 15 08 * * ?
点击【预览】按钮
7. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
8. 点击【保存】按钮
9. 立即查看该规则生成实例状态
10. 第二天08:15:00后查看实例生成和运行状态
11. 第二天12:00:00查看实例生成和运行状态
12. 第三天08:15:00后查看实例生成和运行状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则的详情
3. 弹出【编辑调度属性】弹窗
4. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
5. 下方弹出表达式填写框
6. 输入成功；
预览结果为从第二天开始每天08:15:00执行，共10条数据
7. 成功配置
8. 修改监控规则成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 未立即生成
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
11. 只在08:15:00生成一条实例，未重新生成",1
数据资产-数据质量-规则任务配置,验证设置cron表达式后编辑回填正确,"1.已进入【数据质量-规则任务配置】页面
2.页面存在多表比对规则调度周期为 cron表达式","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一多表比对规则名称
3. 点击【编辑调度属性】按钮
4. 查看弹窗详情
5. 查看【调度周期】处内容
6. 点击【预览】按钮","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则的详情，内容正确，内容与预期完全一致，无异常或错误
3. 弹出【编辑调度属性】弹窗
4. 已配置的信息回填正确，内容与预期完全一致，无异常或错误
5. 显示为 cron表达式，下方显示Cron表达式输入框；
尾部显示【预览】按钮
6. 弹出预览弹窗，正确显示已设置的日期",3
数据资产-数据质量-规则任务配置,验证新建多表校验调度周期设置为cron表达式功能正确,已进入【数据质量-规则任务配置】页面,"1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 1）点击新建监控规则，选择多表比对规则，进入新建多表比对规则-选择对比表页面；
2）正确配置对比表信息，点击下一步，进入选择字段页面；
3）正确选择字段，配置对比规则；
4）点击下一步进入执行配置页面
3. 点击【调度周期】下拉框
4. 选择 cron表达式
5. 输入表达式：（若当前时间为2025-12-04）
0 0/10 * * * ?
点击【预览】按钮
6. 生效日期默认为2025-12-04-2125-12-04，正确配置其他属性
7. 点击【新建】按钮
8. 立即查看该规则生成实例状态
9. 第二天10:10:00后查看实例生成和运行状态
10. 第二天10:20:00后查看实例生成和运行状态
11. 第二天10:30:00后查看实例生成和运行状态
12. 第二天10:40:00后查看实例生成和运行状态
13. 第二天10:50:00后查看实例生成和运行状态
14. 第二天11:00:00后查看实例生成和运行状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 配置完成，执行配置页面正常打开
3. 包含选项 cron表达式
4. 下方弹出填写框
5. 输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
预览显示从第二天开始每天十点钟内间隔十分钟执行一次，共10条数据
6. 成功配置
7. 新建监控规则成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 未立即生成
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
12. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
13. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
14. 未生成实例",1
数据资产-数据质量-规则任务配置,验证历史单表校验实例生成调度周期正确,"1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 选择某一历史单表校验，点击【编辑调度属性】
3. 查看页面
4. 点击【调度周期】下拉框
5. 不改变内容，在配置时间后查看实例生成状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 进入该数据的调度属性页面
3. 显示已配置的信息
4. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
5. 成功在配置时间后生成并运行，校验详情正确，内容与预期完全一致，无异常或错误",3
数据资产-数据质量-规则任务配置,验证编辑单表校验调度周期设置为cron表达式功能正确,"1.已进入【数据质量-规则任务配置】页面
2.页面存在单表校验规则","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一单表校验规则名称
3. 点击【编辑调度属性】按钮
4. 点击【调度周期】下拉框
5. 选择调度周期为 cron表达式
6. 输入表达式：（若当前时间为2025-12-05）
0 15 08 * * ?
点击【预览】按钮
7. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
8. 点击【保存】按钮
9. 立即查看该规则生成实例状态
10. 第二天08:15:00后查看实例生成和运行状态
11. 第二天12:00:00查看实例生成和运行状态
12. 第三天08:15:00后查看实例生成和运行状态","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则的详情
3. 弹出【编辑调度属性】弹窗
4. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
5. 下方弹出表达式填写框
6. 输入成功；
预览结果为从第二天开始每天08:15:00执行，共10条数据
7. 成功配置
8. 修改监控规则成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 未立即生成
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误
11. 只在08:15:00生成一条实例，未重新生成
12. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确，内容与预期完全一致，无异常或错误",1
数据资产-数据质量-规则任务配置,验证设置cron表达式后编辑回填正确,"1.已进入【数据质量-规则任务配置】页面
2.页面存在单表校验规则调度周期为 cron表达式","1. 进入【数据质量-规则任务配置-调度属性配置】页面
2. 点击某一单表校验规则名称
3. 点击【编辑调度属性】按钮
4. 查看弹窗详情
5. 查看【调度周期】处内容
6. 点击【预览】按钮","1. 成功进入【数据质量-规则任务配置-调度属性配置】页面，页面内容正常加载显示，无报错
2. 展开该规则的详情，内容正确，内容与预期完全一致，无异常或错误
3. 弹出【编辑调度属性】弹窗
4. 已配置的信息回填正确，内容与预期完全一致，无异常或错误
5. 显示为 cron表达式，下方显示Cron表达式输入框；
尾部显示【预览】按钮
6. 弹出预览弹窗，正确显示已设置的日期",3
