所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-代码检查,验证临时运行时SQL规范性检查功能正常_阻断_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为阻断）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：临时查询
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-临时查询】页面，新建Doris任务，输入sql，点击“运行”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 点击二次弹窗中的“确定”
3. 点击二次弹窗中的“仍要运行”
4. 修改sql，点击“运行”，sql如下：
select * from wytest;
5. 点击二次弹窗中的“确定”
6. 点击二次弹窗中的“仍要运行”
7. 修改sql，点击“运行”，sql如下：
--select * from wytest;
select id from wytest;","1. 弹出二次确认弹窗
1）title：任务“${任务名称}”SQL检查
2）提示文案：SQL规范性检查结果存在阻断项，无法运行
3）“仍要运行、确定”按钮
页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：阻断
2. 关闭弹窗，任务不运行
3. 关闭弹窗，任务正常运行
4. 弹出二次确认弹窗；页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：阻断
5. 关闭弹窗，任务不运行
6. 关闭弹窗，任务正常运行
7. 任务正常运行，页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",1
离线开发-数据开发-代码检查,验证临时运行时SQL规范性检查功能正常_提示_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为提示）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：临时查询
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-临时查询】页面，新建Doris任务，输入sql，点击“运行”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，点击“运行”，sql如下：
select * from wytest;
3. 修改sql，点击“运行”，sql如下：
--select * from wytest;
select id from wytest;","1. 任务正常运行，页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：提示
2. 任务正常运行；页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：提示
3. 任务正常运行，页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",2
离线开发-数据开发-代码检查,验证「SQL检查-规范性检查」功能正常_阻断_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为阻断）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：临时查询
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-临时查询】页面，新建Doris任务，输入sql，点击“SQL检查-规范性检查”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，点击“SQL检查-规范性检查”，sql如下：
select * from wytest;
3. 修改sql，点击“SQL检查-规范性检查”，sql如下：
--select * from wytest;
select id from wytest;","1. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：阻断
2. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：阻断
3. 页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",2
离线开发-数据开发-代码检查,验证「SQL检查-规范性检查」功能正常_提示_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为提示）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：临时查询
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-临时查询】页面，新建Doris任务，输入sql，点击“SQL检查-规范性检查”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，点击“SQL检查-规范性检查”，sql如下：
select * from wytest;
3. 修改sql，点击“SQL检查-规范性检查”，sql如下：
--select * from wytest;
select id from wytest;","1. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：提示
2. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：提示
3. 页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",1
离线开发-数据开发-代码检查,验证sql任务编辑器中「SQL检查」显示正确_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：临时查询
3）SQL类型：Doris、OceanBase for Oracle",1. 进入【数据开发-临时查询】页面，新建Doris任务，点击“SQL检查”,"1. 【SQL检查】下拉列表展示：
1）执行计划
2）规范性检查",2
离线开发-数据开发-代码检查,验证提交任务时SQL规范性检查功能正常_阻断_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为阻断）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：周期任务/手动任务
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-手动任务】页面，新建Doris任务，输入sql，保存并点击“提交”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，保存并点击“提交”，sql如下：
select * from wytest;
3. 修改sql，保存并点击“提交”，sql如下：
--select * from wytest;
select id from wytest;","1. 弹出二次确认弹窗
1）title：任务“${任务名称}”SQL检查
2）提示文案：SQL规范性检查结果存在阻断项，无法提交
3）“仍要提交、确定”按钮
4）点击二次弹窗中的“确定”：关闭弹窗，任务不提交
5）点击二次弹窗中的“仍要运行”：正常进入提交任务弹窗，点击“确定”后提交成功
2. 弹出二次确认弹窗
1）点击二次弹窗中的“确定”：关闭弹窗，任务不提交
2）点击二次弹窗中的“仍要提交”：正常进入提交任务弹窗，点击“确定”后提交成功
3. 正常进入提交任务弹窗，点击“确定”后提交成功，系统给出提交成功提示，状态更新为下一处理阶段",2
离线开发-数据开发-代码检查,验证提交任务时SQL规范性检查功能正常_提示_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为提示）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：周期任务/手动任务
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-手动任务】页面，新建Doris任务，输入sql，保存并点击“提交”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，保存并点击“提交”，sql如下：
select * from wytest;
3. 修改sql，保存并点击“提交”，sql如下：
--select * from wytest;
select id from wytest;","1. 正常进入提交任务弹窗，点击“确定”后提交成功，系统给出提交成功提示，状态更新为下一处理阶段
2. 正常进入提交任务弹窗，点击“确定”后提交成功，系统给出提交成功提示，状态更新为下一处理阶段
3. 正常进入提交任务弹窗，点击“确定”后提交成功，系统给出提交成功提示，状态更新为下一处理阶段",1
离线开发-数据开发-代码检查,验证临时运行时SQL规范性检查功能正常_阻断_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为阻断）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：周期任务/手动任务
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-手动任务】页面，新建Doris任务，输入sql，点击“运行”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 点击二次弹窗中的“确定”
3. 点击二次弹窗中的“仍要运行”
4. 修改sql，点击“运行”，sql如下：
select * from wytest;
5. 点击二次弹窗中的“确定”
6. 点击二次弹窗中的“仍要运行”
7. 修改sql，点击“运行”，sql如下：
--select * from wytest;
select id from wytest;","1. 弹出二次确认弹窗
1）title：任务“${任务名称}”SQL检查
2）提示文案：SQL规范性检查结果存在阻断项，无法运行
3）“仍要运行、确定”按钮
页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：阻断
2. 关闭弹窗，任务不运行
3. 关闭弹窗，任务正常运行
4. 弹出二次确认弹窗；页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：阻断
5. 关闭弹窗，任务不运行
6. 关闭弹窗，任务正常运行
7. 任务正常运行，页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",2
离线开发-数据开发-代码检查,验证临时运行时SQL规范性检查功能正常_提示_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为提示）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：周期任务/手动任务
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-手动任务】页面，新建Doris任务，输入sql，点击“运行”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，点击“运行”，sql如下：
select * from wytest;
3. 修改sql，点击“运行”，sql如下：
--select * from wytest;
select id from wytest;","1. 任务正常运行，页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：提示
2. 任务正常运行；页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：提示
3. 任务正常运行，页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",1
离线开发-数据开发-代码检查,验证「SQL检查-规范性检查」功能正常_阻断_Doris,"【项目管理-项目设置-操作设置-SQL规范性检查】页面，
1）已选择SQL校验代码规则（选择的规则的影响方式均为阻断）：
a）禁止使用 SELECT *
b）代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
c）分区表查询必须带分区
2）生效范围：周期任务/手动任务
3）SQL类型：Doris、OceanBase for Oracle","1. 进入【数据开发-手动任务】页面，新建Doris任务，输入sql，点击“SQL检查-规范性检查”，sql如下：
CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 2 PROPERTIES (     “replication_num“ = “1“ );
2. 修改sql，点击“SQL检查-规范性检查”，sql如下：
select * from wytest;
3. 修改sql，点击“SQL检查-规范性检查”，sql如下：
--select * from wytest;
select id from wytest;","1. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：CREATE TABLE IF NOT EXISTS wytest (     id INT,     name VARCHAR(256),     age INT ) DUPLICATE KEY(id) DISTRIBUTED BY HASH(id) BUCKETS 10 PROPERTIES (     “replication_num“ = “1“ );
3）触发校验规则：代码里面不允许包含对表、分区、列的DDL 语句，除了新增或删除分区
4）校验结果：代码中包含了DDL关键字：create
5）影响：阻断
2. 页面底部展示【SQL规范性检查】tab，列表展示一条数据，具体如下：
1）行号：${SQL所对应的行号}
2）SQL：select * from wytest
3）触发校验规则：禁止使用 SELECT *
4）校验结果：代码中含有SELECT * 查询
5）影响：阻断
3. 页面底部展示【SQL规范性检查】tab，提示：SQL规范性检查通过！",1
