所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-运维中心-告警管理,验证非首次周期运行实例基线【有出错告警】——基线内【所有】任务已存在运行成功实例,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交、且任务均已经生成周期实例运行完成
任务内容均为sleep 300，G_3内容为slee 120","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_19
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_19
告警对象：基线
选择基线：jixian_19
触发条件：出错、未完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. G_1、G_2状态显示成功，G_3状态显示运行失败
6. 基线状态显示定时未完成
7. 新增2条告警
其中1条触发方式为出错，告警内容为出错相关内容，告警任务为G_3
另1条触发方式为未完成，告警内容为未完成相关内容，告警任务为jixian_19",2
离线开发-运维中心-告警管理,验证非首次周期运行实例基线【有完成告警】——基线内【所有】任务已存在运行成功实例,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交、且任务均已经生成周期实例运行完成
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_18
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：1分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_18
告警对象：基线
选择基线：jixian_18
触发条件：完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 基线状态显示完成
7. 新增1条告警，触发方式为完成，告警内容为完成相关内容，告警任务为jixian_18",2
离线开发-运维中心-告警管理,验证非首次周期运行实例基线【有定时未完成告警】——基线内【所有】任务已存在运行成功实例,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交、且任务均已经生成周期实例运行完成
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_17
任务：G_1、G_2、G_3
承诺时间：00:14
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_17
告警对象：基线
选择基线：jixian_17
触发条件：未完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 基线状态显示定时未完成
7. 新增1条告警，触发方式为未完成，告警内容为未完成相关内容，告警任务为jixian_17",2
离线开发-运维中心-告警管理,验证非首次周期运行实例基线【有破线告警】——基线内【所有】任务已存在运行成功实例,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交、且任务均已经生成周期实例运行完成
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_16
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：6分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_16
告警对象：基线
选择基线：jixian_16
触发条件：破线
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 基线状态显示破线
7. 新增3条告警，触发方式为破线，告警内容为破线相关内容，告警任务为jixian_16",2
离线开发-运维中心-告警管理,验证非首次周期运行实例基线【有预警告警】——基线内【所有】任务已存在运行成功实例,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交、且任务均已经生成周期实例运行完成
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_15
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_15
告警对象：基线
选择基线：jixian_15
触发条件：预警
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 基线状态显示预警
7. 新增1条告警，触发方式为预警，告警内容为预警相关内容，告警任务为jixian_15",1
离线开发-运维中心-告警管理,验证首次周期运行实例基线【有完成告警】——基线内【所有】任务已进行补数据运行,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_14
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_14
告警对象：基线
选择基线：jixian_14
触发条件：完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 进入周期任务管理，选择G_1任务补数据当前任务及下游
6. 等待第二自然日进入周期任务实例查看
7. 等待第二自然日进入基线实例查看
8. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 三个任务均补数据完成
6. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 基线状态显示完成
8. 新增1条告警，触发方式为完成，告警内容为完成相关内容，告警任务为jixian_14",2
离线开发-运维中心-告警管理,验证首次周期运行实例基线【有定时未完成告警】——基线内【所有】任务已进行补数据运行,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_13
任务：G_1、G_2、G_3
承诺时间：00:14
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_13
告警对象：基线
选择基线：jixian_13
触发条件：未完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 进入周期任务管理，选择G_1任务补数据当前任务及下游
6. 等待第二自然日进入周期任务实例查看
7. 等待第二自然日进入基线实例查看
8. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 三个任务均补数据完成
6. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 基线状态显示定时未完成
8. 新增1条告警，触发方式为未完成，告警内容为未完成相关内容，告警任务为jixian_13",2
离线开发-运维中心-告警管理,验证首次周期运行实例基线【无破线告警】——基线内【所有】任务已进行补数据运行,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_12
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：6分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_12
告警对象：基线
选择基线：jixian_12
触发条件：破线
告警行为：钉钉、输入webhook、接收人
点击确定
5. 进入周期任务管理，选择G_1任务补数据当前任务及下游
6. 等待第二自然日进入周期任务实例查看
7. 等待第二自然日进入基线实例查看
8. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 三个任务均补数据完成
6. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 基线状态显示安全
8. 未产生告警信息",2
离线开发-运维中心-告警管理,验证首次周期运行实例基线【无预警告警】——基线内【所有】任务已进行补数据运行,"存在依赖链任务（shell任务，天周期调度）：G_1-G_2-G_3，均已保存提交
任务内容均为sleep 300","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_11
任务：G_1、G_2、G_3
承诺时间：00:20
预警余量：2分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_11
告警对象：基线
选择基线：jixian_11
触发条件：预警
告警行为：钉钉、输入webhook、接收人
点击确定
5. 进入周期任务管理，选择G_1任务补数据当前任务及下游
6. 等待第二自然日进入周期任务实例查看
7. 等待第二自然日进入基线实例查看
8. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 三个任务均补数据完成
6. G_1、G_2、G_3状态显示成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 基线状态显示安全
8. 未产生告警信息",1
离线开发-运维中心-告警管理,验证告警信息触发方式新增【出错】——基线内部分任务实例包含【运行失败】状态,"存在依赖链任务（shell任务，小时周期调度，间隔1小时，00:00-2:00）：F_1-F_2-F_3，均已保存提交
任务内容均为sleep 120，F_3内容为slee 120","1. 进入基线管理，点击新增基线
2. 输入
基线名称：jixian_10
基线类型：多批次
任务：F_1、F_2、F_3
批次承诺时间：00:05、1:05
预警余量：1分钟
其余均默认
点击确认
3. 进入告警规则-点击创建告警规则
4. 输入
告警规则名称：gaojin_10
告警对象：基线
选择基线：jixian_10
触发条件：出错、未完成
告警行为：钉钉、输入webhook、接收人
点击确定
5. 等待第二自然日进入周期任务实例查看
6. 等待第二自然日进入基线实例查看
7. 等待第二自然日进入告警信息查看","1. 弹出新增基线弹窗
2. 基线新建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 弹出创建告警规则弹窗
4. 添加告警成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. F_1、F_2状态显示成功，F_3状态显示运行失败
6. 生成两个基线实例，状态均显示定时未完成
7. 新增4条告警
其中2条触发方式为出错，告警内容为出错相关内容（详见prd），告警任务均为F_3
另外2条触发方式为未完成，告警任务均为jixian_10",2
