所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验异常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_03 (
id INT,
name VARCHAR(255),
age INT
)
PARTITION BY RANGE (age) (
PARTITION p1 VALUES LESS THAN (“18“),
PARTITION p2 VALUES LESS THAN (“30“),
PARTITION p3 VALUES LESS THAN (“40“),
PARTITION p4 VALUES LESS THAN (“50“),
PARTITION pmax VALUES LESS THAN (MAXVALUE)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_03 VALUES (1, 'Alice', 25);   -- p1
INSERT INTO test_doris_03 VALUES (1, 'Alice',   25);   -- p2
INSERT INTO test_doris_03 VALUES (3, 'Charlie', 35); -- p3
INSERT INTO test_doris_03 VALUES (4, 'David', 45);   -- p4
INSERT INTO test_doris_03 VALUES (5, 'Eva',   60);   -- pmax","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_03
选择对比表字段：id、name
输入分区：手动输入分区-age=25
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验异常
进入详情查看，表id、name字段均不唯一",2
数据资产-数据质量-内置规则库,验证选择“选择已有分区”，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_03 (
id INT,
name VARCHAR(255),
age INT
)
PARTITION BY RANGE (age) (
PARTITION p1 VALUES LESS THAN (“18“),
PARTITION p2 VALUES LESS THAN (“30“),
PARTITION p3 VALUES LESS THAN (“40“),
PARTITION p4 VALUES LESS THAN (“50“),
PARTITION pmax VALUES LESS THAN (MAXVALUE)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_03 VALUES (1, 'Alice', 10);   -- p1
INSERT INTO test_doris_03 VALUES (2, 'Bob',   25);   -- p2
INSERT INTO test_doris_03 VALUES (3, 'Charlie', 35); -- p3
INSERT INTO test_doris_03 VALUES (4, 'David', 45);   -- p4
INSERT INTO test_doris_03 VALUES (5, 'Eva',   60);   -- pmax","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_03
选择对比表字段：id、name
输入分区：选择已有分区-p1
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_03 (
id INT,
name VARCHAR(255),
age INT
)
PARTITION BY RANGE (age) (
PARTITION p1 VALUES LESS THAN (“18“),
PARTITION p2 VALUES LESS THAN (“30“),
PARTITION p3 VALUES LESS THAN (“40“),
PARTITION p4 VALUES LESS THAN (“50“),
PARTITION pmax VALUES LESS THAN (MAXVALUE)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_03 VALUES (1, 'Alice', 10);   -- p1
INSERT INTO test_doris_03 VALUES (2, 'Bob',   25);   -- p2
INSERT INTO test_doris_03 VALUES (3, 'Charlie', 35); -- p3
INSERT INTO test_doris_03 VALUES (4, 'David', 45);   -- p4
INSERT INTO test_doris_03 VALUES (5, 'Eva',   60);   -- pmax","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_03
选择对比表字段：id、name
输入分区：手动输入分区-age=25
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验异常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_02 (
id INT,
name VARCHAR(255),
year INT,
month INT
)
PARTITION BY LIST (year, month) (
PARTITION p2025m01 VALUES IN ((“2025“, “1“)),
PARTITION p2025m02 VALUES IN ((“2025“, “2“)),
PARTITION p2025m03 VALUES IN ((“2025“, “3“))
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_02 VALUES (1, 'Alice', 2025, 1);
INSERT INTO test_doris_02 VALUES (1, 'Alice',   2025, 1);
INSERT INTO test_doris_02 VALUES (3, 'Charlie', 2025, 3);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_02
选择对比表字段：id、name
输入分区：手动输入分区-year=2025
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验异常
进入详情查看，表id、name字段均不唯一",2
数据资产-数据质量-内置规则库,验证选择“选择已有分区”，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_02 (
id INT,
name VARCHAR(255),
year INT,
month INT
)
PARTITION BY LIST (year, month) (
PARTITION p2025m01 VALUES IN ((“2025“, “1“)),
PARTITION p2025m02 VALUES IN ((“2025“, “2“)),
PARTITION p2025m03 VALUES IN ((“2025“, “3“))
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_02 VALUES (1, 'Alice', 2025, 1);
INSERT INTO test_doris_02 VALUES (2, 'Bob',   2025, 2);
INSERT INTO test_doris_02 VALUES (3, 'Charlie', 2025, 3);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_02
选择对比表字段：id、name
输入分区：选择已有分区-p2025m01
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_02 (
id INT,
name VARCHAR(255),
year INT,
month INT
)
PARTITION BY LIST (year, month) (
PARTITION p2025m01 VALUES IN ((“2025“, “1“)),
PARTITION p2025m02 VALUES IN ((“2025“, “2“)),
PARTITION p2025m03 VALUES IN ((“2025“, “3“))
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_02 VALUES (1, 'Alice', 2025, 1);
INSERT INTO test_doris_02 VALUES (2, 'Bob',   2025, 2);
INSERT INTO test_doris_02 VALUES (3, 'Charlie', 2025, 3);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_02
选择对比表字段：id、name
输入分区：手动输入分区-year=2025
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验异常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_01 (
id INT,
name VARCHAR(255),
dt DATE
)
PARTITION BY LIST (dt) (
PARTITION p202501 VALUES IN (“2025-01-01“),
PARTITION p202502 VALUES IN (“2025-02-01“),
PARTITION p202503 VALUES IN (“2025-03-01“)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_01 VALUES (1, 'Alice', “2025-01-01“);
INSERT INTO test_doris_01 VALUES (1, 'Alice',   “2025-01-01“);
INSERT INTO test_doris_01 VALUES (3, 'Charlie', “2025-02-01“);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_01
选择对比表字段：id、name
输入分区：手动输入分区-dt=“2025-01-01“
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验异常
进入详情查看，表id、name字段均不唯一",1
数据资产-数据质量-内置规则库,验证选择“选择已有分区”，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_01 (
id INT,
name VARCHAR(255),
dt DATE
)
PARTITION BY LIST (dt) (
PARTITION p202501 VALUES IN (“2025-01-01“),
PARTITION p202502 VALUES IN (“2025-02-01“),
PARTITION p202503 VALUES IN (“2025-03-01“)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_01 VALUES (1, 'Alice', “2025-01-01“);
INSERT INTO test_doris_01 VALUES (2, 'Bob',   “2025-01-01“);
INSERT INTO test_doris_01 VALUES (3, 'Charlie', “2025-02-01“);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_01
选择对比表字段：id、name
输入分区：选择已有分区-p202501
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",1
数据资产-数据质量-内置规则库,验证选择手动输入分区，表分区内数据校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_doris_01 (
id INT,
name VARCHAR(255),
dt DATE
)
PARTITION BY LIST (dt) (
PARTITION p202501 VALUES IN (“2025-01-01“),
PARTITION p202502 VALUES IN (“2025-02-01“),
PARTITION p202503 VALUES IN (“2025-03-01“)
)
DISTRIBUTED BY HASH(id) BUCKETS 3;
表插入语句：
INSERT INTO test_doris_01 VALUES (1, 'Alice', “2025-01-01“);
INSERT INTO test_doris_01 VALUES (2, 'Bob',   “2025-01-01“);
INSERT INTO test_doris_01 VALUES (3, 'Charlie', “2025-02-01“);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_doris_01
选择对比表字段：id、name
输入分区：手动输入分区-dt=“2025-01-01“
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",1
数据资产-数据质量-内置规则库,验证唯一-且-唯一：验证选择多字段时校验失败,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_weiyi_01 (
id INT ,
name varchar(255)
);
CREATE TABLE test_weiyi_02 (
id INT ,
name varchar(255)
);
CREATE TABLE test_weiyi_03 (
id INT ,
name varchar(255)
);
表插入语句：
INSERT INTO test_weiyi_01 VALUES (1,'mengfei'),(1,'keko');
INSERT INTO test_weiyi_02 VALUES (1,'kako'),(2,'kako');
INSERT INTO test_weiyi_03 VALUES (1,'mengfei'),(1,'mengfei');","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：weiyi_07
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加规则-唯一性校验
4. 输入
选择字段：id、name
选择校验字段逻辑：唯一
选择和其他表的校验关系：且
选择对比表：test_weiyi_02
选择对比表字段：id、name
选择校验字段逻辑：唯一
选择对比表：test_weiyi_03
选择对比表字段：id、name
选择校验字段逻辑：唯一
点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示唯一性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验异常
进入详情查看，01表字段name不唯一
02表id字段不唯一，03表id、name均不唯一",2
