所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线数据同步支持minio数据源,验证运维中心 补数据运行--检查向导模式读minio，minio表中有多类型字段，写hive数据同步任务同步成功,<p>1.当前项目中已经成功引入minio数据源 2.minio中存在文件</p>,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 选择数据来源
minio
相关必填项
点击下一步
3. 选择数据目标
minio
相关必填项
点击下一步
4. 点击下一步，点击保存，点击提交
5. 进入运维中心-任务管理，选择该任务，点击该任务后操作列的按任务补数据
6. 勾选该任务，其他选项默认初始化设置，点击确定
7. 进入运维中心-补数据实例，查看补数据实例状态
8. 点击实例名称-查看更多详情
9. 查看目标路径数据","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 进入选择目标界面
3. 进入通道控制界面
4. 任务保存、提交成功，系统给出提交成功提示，状态更新为下一处理阶段
5. 弹出补数据弹窗
6. 补数据实例生成成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 当前任务补数据实例状态为成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 分为四个菜单
属性：正确展示实例的一些基础配置及信息详情
操作记录：展示实例的修改记录
代码：该数据同步任务脚本化展示
运行记录：包含实例诊断、数据同步性能、日志
以上四个菜单相关信息展示完全、结果值符合预期
9. 成功从源{minio}中同步过来，包括各类型字段值",1
离线数据同步支持minio数据源,验证运维中心 周期运行--验证读、写minio的数据同步任务周期运行成功,1.当前项目中已经成功引入minio数据源 2.minio中存在文件,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 选择数据来源
minio
相关必填项
点击下一步
3. 选择数据目标
minio
相关必填项
点击下一步
4. 点击下一步，点击保存，点击提交
5. 待到该任务生成周期实例后，进入运维中心-周期实例，查看该周期实例运行结果
6. 点击实例名称-查看更多详情
7. 查看目标路径数据","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 进入选择目标界面
3. 进入通道控制界面
4. 任务保存、提交成功，系统给出提交成功提示，状态更新为下一处理阶段
5. 配置无误的话周期运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 分为四个菜单
属性：正确展示实例的一些基础配置及信息详情
操作记录：展示实例的修改记录
代码：该数据同步任务脚本化展示
运行记录：包含实例诊断、数据同步性能、日志
以上四个菜单相关信息展示完全、结果值符合预期
7. 成功从源{minio}中同步过来",1
离线数据同步支持minio数据源,验证运维中心 手动任务--周期运行--验证手动任务提交至运维中心正常运行,1.当前项目中已经成功引入minio数据源 2.minio中存在文件,"1. 进入数据开发模块，进入手动任务菜单页--新建向导模式的数据同步任务
2. 选择数据来源
minio
相关必填项
点击下一步
3. 选择数据目标
minio
相关必填项
点击下一步
4. 点击下一步，点击保存，点击提交
5. 进入运维中心-手动任务管理，选择该任务点击运行
6. 进入运维中心-手动任务实例
7. 点击实例名称-查看更多详情
8. 查看目标路径数据","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 进入选择目标界面
3. 进入通道控制界面
4. 任务保存、提交成功，系统给出提交成功提示，状态更新为下一处理阶段
5. 提示手动任务实例生成
6. 手动任务实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
7. 分为四个菜单
属性：正确展示实例的一些基础配置及信息详情
操作记录：展示实例的修改记录
代码：该数据同步任务脚本化展示
运行记录：包含实例诊断、数据同步性能、日志
以上四个菜单相关信息展示完全、结果值符合预期
8. 成功从源{minio}中同步过来",1
离线数据同步支持minio数据源,验证发布 脚本模式发布--验证数据同步minio任务为脚本模式时发布正常,1.当前项目中已经成功引入minio数据源 2.当前项目中存在新建成功的读minio向导模式的数据同步任务（脚本模式） 3.当前项目已经成功绑定发布目标项目，且minio数据源成功配置了映射配置（发布目标）,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务（脚本模式）右上方的“发布”
3. 勾选该数据同步任务打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的minio的数据源
各个参数配置项与来源均一致
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来",2
离线数据同步支持minio数据源,验证发布 多任务同时发布--验证多数据同步minio任务一起发布正常,1.当前项目中已经成功引入minio数据源 2.当前项目中存在多个新建成功的读minio向导模式的数据同步任务 3.当前项目已经成功绑定发布目标项目，且minio数据源成功配置了映射配置（发布目标）,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选多个数据同步任务，点击打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看对应任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的多个任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的minio的数据源
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来",2
离线数据同步支持minio数据源,验证发布 表、任务同时发布--验证数据同步minio与表一起发布正常,1.当前项目中已经成功引入minio数据源 2.当前项目中存在新建成功的读minio向导模式的数据同步任务 3.当前项目已经成功绑定发布目标项目，且minio数据源成功配置了映射配置（发布目标）4.存在非数据同步配置的hive、mysql表：test_hive_01、test_mysql_01，表内各包含五条数据,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选该数据同步任务、表test_hive_01、test_mysql_01，点击打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标表中的数据
10. 执行查询语句查询表","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务、表
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的minio的数据源
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源表中同步过来
10. 表正确查询、表内数据为空",2
离线数据同步支持minio数据源,验证发布 导入导出发布--验证数据同步写minio导入导出包功能,"1.当前项目中已经成功引入minio数据源
2.当前项目中存在新建成功的写minio向导模式的数据同步任务
3.当前项目已经成功绑定发布目标项目，且minio数据源成功配置了映射配置（发布目标）","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选该数据同步任务打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击导出
6. 进入发布项目-发布-发布至本项目-导入发布包，选择步骤四导出的包
7. 勾选已知晓风险，继续导入
8. 进入生产项目-数据开发查看
9. 查看该任务
10. 临时运行该任务
11. 查看该数据同步任务中目标路径中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 导出包成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 弹出发布包检查弹窗
7. 环境配置无误的话，导入发布包成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 有从测试项目发布过来的任务
9. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的minio的数据源
10. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
11. 成功从源路径中同步过来",1
离线数据同步支持minio数据源,验证发布 一键发布--验证数据同步minio发布至目标项目功能,1.当前项目中已经成功引入minio数据源 2.当前项目中存在新建成功的写minio向导模式的数据同步任务 3.当前项目已经成功绑定发布目标项目，且minio数据源成功配置了映射配置（发布目标）,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击上述数据同步任务右上方的“发布”
3. 勾选该数据同步任务打包
4. 输入正确的发布描述，点击确定
5. 选择步骤三打的发布包，点击发布
6. 进入生产项目-数据开发查看
7. 查看该任务
8. 临时运行该任务
9. 查看该数据同步任务中目标路径中的数据","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 进入任务发布页面
3. 弹出创建发布包弹窗
4. 创建包完成，进入发布至目标项目页面
5. 映射配置配置与环境信息配置无误的话，发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 有从测试项目发布过来的任务
7. 该任务的来源数据源与目标数据源均替换为与测试环境配置映射的minio的数据源
8. 配置无误的情况下运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
9. 成功从源路径中同步过来",1
离线数据同步支持minio数据源,验证数据开发（只能minio-minio） 基础性功能点 其他 创建任务--验证创建数据同步任务时选择有增量标识禁用minio,1.当前项目中已经成功引入minio数据源 2.minio中存在文件,"1. 进入数据开发模块，新建向导模式的数据同步任务（选择有增量标识）
2. 选择数据来源
点击下一步
3. 选择数据目标","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. minio被禁用无法选择
3. minio被禁用无法选择",2
离线数据同步支持minio数据源,验证数据开发（只能minio-minio） 基础性功能点 其他 工作流--验证工作流内包含数据同步任务，串联其他任务正常运行,1.当前项目中已经成功引入minio数据源 2.minio中存在文件,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 创建工作流任务
3. 进入工作流，新建向导模式的数据同步任务
4. 选择数据来源
minio
填写必填项
点击下一步
5. 选择数据目标
minio
填写必填项
点击下一步
6. 点击下一步，点击保存
7. 新建sparksql任务为下游任务
8. 点击运行","1. 成功进入数据开发模块，新建向导模式的数据同步任务页面，页面内容正常加载显示，无报错
2. 工作流任务创建完成
3. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
4. 进入选择目标界面
5. 进入通道控制页面
6. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
7. 任务创建完成
8. 工作流运行成功，子任务均运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2
