所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-运维中心-告警管理,验证多个告警规则(未按计划时间运行)功能正常触发,1. 已创建周期任务 TaskA和 TaskB<br />2. 任务B(下游)设置为任务A(上游)的下游依赖<br />3. 已配置钉钉、邮箱、短信、自定义通道等告警方式<br /><br />,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 11:30
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 告警规则A -> 配置如下:
告警规则名称: test_alarm_ruleA
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h2min)
告警方式: 钉钉
告警规则B -> 配置如下:
告警规则名称: test_alarm_ruleB
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h3min)
告警方式: 邮箱
6. 等待11:30左右, 进入【告警信息】中检查告警触发结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
上游任务A计划开始时间: 12:00
下游任务B计划开始时间: 11:30
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 11:31左右告警信息成功发送至钉钉, 告警信息列表新增一条11:31左右的告警记录
2) 11:32左右告警信息成功发送至邮箱, 告警信息列表新增一条11:32左右的告警记录",3
离线开发-运维中心-告警管理,验证告警触发逻辑正确(分钟/小时调度),1. 已创建周期任务 TaskA<br />2. 已配置钉钉、邮箱、短信、自定义通道等告警方式<br /><br />,"1. 进入离线开发 → 周期任务页面
2. 任务A → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 分钟
开始时间: 11:00
间隔时间: 5分钟
结束时间: 12:00
3. 保存并提交任务A到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: 任务A
触发条件: 未按计划时间运行(0h5min)
告警方式: 钉钉、邮箱
6. 在11:05之前, 冻结任务A
7. 等待11:05左右, 检查告警触发结果
8. 修改任务A → 调度属性, 配置如下:
实例生成方式: 立即生成
调度周期: 小时
开始时间: 11:30
间隔时间: 1小时
结束时间: 12:59
9. 保存并提交任务A到运维中心
10. 在11:35之前, 冻结任务A
11. 等待11:35左右, 检查告警触发结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A的任务实例, 任务A计划开始时间: 11:00
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 系统提示冻结成功，状态更新为【冻结/已冻结】，相关功能受限
7. 1) 11:05左右告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条11:05左右的告警记录
8. 系统提示配置成功，配置项已生效，页面显示最新配置状态
9. 提交成功, 运维中心-周期任务实例中生成A的任务实例, 任务A计划开始时间: 11:30
10. 系统提示冻结成功，状态更新为【冻结/已冻结】，相关功能受限
11. 1) 11:35左右告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条11:35左右的告警记录",2
离线开发-运维中心-告警管理,"验证周期任务冻结后, 告警正常触发",无,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 11:00
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h30min)
告警方式: 钉钉、邮箱
6. 进入周期任务B-调度属性, 冻结任务B","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 冻结成功, 11:30左右发送告警信息
2) 告警信息列表新增一条11:30左右的告警记录",3
离线开发-运维中心-告警管理,"验证周期任务取消后, 告警正常触发",无,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 11:00
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h30min)
告警方式: 钉钉、邮箱
6. 进入周期任务实例, 杀死任务B实例","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 取消成功, 11:30左右发送告警信息
2) 告警信息列表新增一条11:30左右的告警记录",3
离线开发-运维中心-告警管理,"验证调度服务重启后, 告警正常触发",1. 已创建周期任务 TaskA和 TaskB<br />2. 任务B(下游)设置为任务A(上游)的下游依赖<br />3. 已配置钉钉、邮箱、短信、自定义通道等告警方式<br />,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 11:00
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h30min)
告警方式: 钉钉、邮箱
6. 在计划开始时间11:00~未按计划时间运行11:30之间重启调度服务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 重启成功, 11:30左右发送告警信息
2) 告警信息列表新增一条11:35左右的告警记录",2
离线开发-运维中心-告警管理,验证告警内容时间单位省略逻辑正常,1. 已创建周期任务 TaskA和 TaskB<br />2. 任务B(下游)设置为任务A(上游)的下游依赖<br />3. 已配置钉钉、邮箱等告警方式<br />,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 9:30
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则
5. 创建告警规则A, 配置如下:
告警规则名称: test_alarm_ruleA
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h20min)
告警方式: 钉钉、邮箱
6. 等待9:50左右, 检查告警触发结果
7. 创建规则B, 配置如下:
告警规则名称: test_alarm_ruleB
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(1h0min)
告警方式: 钉钉、邮箱
8. 等待10:30左右, 检查告警触发结果
9. 创建规则C, 配置如下:
告警规则名称: test_alarm_ruleC
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(1h1min)
告警方式: 钉钉、邮箱
10. 等待9:30左右, 检查告警触发结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 钉钉、邮箱告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条9:50左右的告警记录
3) 告警标题: ${任务B名称}  超过计划时间 20 分钟未运行触发告警
7. 系统提示配置成功，配置项已生效，页面显示最新配置状态
8. 1) 钉钉、邮箱告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条10:30左右的告警记录
3) 告警标题: ${任务B名称}  超过计划时间 1 小时未运行触发告警
9. 系统提示配置成功，配置项已生效，页面显示最新配置状态
10. 1) 钉钉、邮箱告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条9:30左右的告警记录
3) 告警标题: ${任务B名称}  超过计划时间1小时1分钟未运行触发告警",2
离线开发-运维中心-告警管理,验证告警触发逻辑正确(天/周/月调度),1. 已创建周期任务 TaskA和 TaskB<br />2. 任务B(下游)设置为任务A(上游)的下游依赖<br />3. 已配置钉钉、邮箱、短信、自定义通道等告警方式<br />,"1. 进入离线开发 → 周期任务页面
2. 任务A (上游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 12:00
任务B (下游) → 调度属性配置如下:
实例生成方式: 立即生成
调度周期: 天
开始时间: 11:30
3. 保存并提交任务A, B到运维中心
4. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: 任务B (下游)
触发条件: 未按计划时间运行(0h5min)
告警方式: 钉钉、邮箱
6. 等待11:35左右, 检查告警触发结果
7. 修改任务A(上游) → 调度属性, 配置如下:
实例生成方式: 立即生成
调度周期: 周
选择时间: 星期五
具体时间: 13:00
修改任务B(下游) → 调度属性, 配置如下:
实例生成方式: 立即生成
调度周期: 周
选择时间: 星期五
具体时间: 12:00
8. 保存并提交任务A, B到运维中心
9. 等待12:05左右, 检查告警触发结果
10. 修改任务A(上游) → 调度属性, 配置如下:
实例生成方式: 立即生成
调度周期: 月
选择时间: 每月14号
具体时间: 14:00
修改任务B(下游) → 调度属性, 配置如下:
实例生成方式: 立即生成
调度周期: 月
选择时间: 每月14号
具体时间: 13:00
11. 保存并提交任务A, B到运维中心
12. 等待13:05左右, 检查告警触发结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
上游任务A计划开始时间: 12:00
下游任务B计划开始时间: 11:30
4. 进入“创建告警规则”弹窗
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1) 11:35左右告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条11:35左右的告警记录
7. 系统提示配置成功，配置项已生效，页面显示最新配置状态
8. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
上游任务A计划开始时间: 13:00
下游任务B计划开始时间: 12:00
9. 1) 12:05左右告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条12:05左右的告警记录
10. 系统提示配置成功，配置项已生效，页面显示最新配置状态
11. 提交成功, 运维中心-周期任务实例中生成A, B的任务实例
上游任务A计划开始时间: 14:00
下游任务B计划开始时间: 13:00
12. 1) 13:05左右告警信息发送成功，系统给出成功反馈，相关页面/数据状态更新为最新
2) 告警信息列表新增一条13:05左右的告警记录",1
离线开发-运维中心-告警管理,验证告警信息页面支持筛选 “未按计划时间运行”,已存在“未按计划时间运行”触发的告警记录A,"1. 进入运维中心 → 监控告警 → 告警信息页面
2. 在“触发方式”筛选框中勾选“未按计划时间运行”
3. 检查告警记录的告警内容","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 列表仅显示触发方式包含“未按计划时间运行”的记录
3. 告警内容格式如下:[BatchWorks]离线任务：${任务名称} 超过计划时间 ${配置小时数} 小时 ${配置分钟数} 分钟未运行告警任务：${当前任务名称}项目：${当前项目名称}租户：${当前租户名称}调度类型：周期调度计划时间：${当前任务在调度内运行的计划时间}开始时间：-结束时间：-运行时长：-当前状态：等待运行责任人：${创建告警规则配置的接收人}请及时处理!",3
离线开发-运维中心-告警管理,验证规则列表中触发方式回显与换行展示,已创建一个周期任务 TaskA,"1. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
2. 配置如下:告警规则名称: test_alarm_rule告警对象: 周期任务监控任务: TaskA触发条件: 失败、超时未完成、未按计划时间运行(0h5min)告警方式: 钉钉
3. 检查该规则“触发方式”列
4. 点击该规则“修改”操作","1. 进入“创建告警规则”弹窗
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 显示三行：“失败”／“超时未完成”／“未按计划时间运行”
4. 修改页面中“触发方式”区域已勾选这三个选项，小时分钟值正确回显",3
离线开发-运维中心-告警管理,验证规则支持对象为周期任务,"<p>1) 已创建一个周期任务 TaskA</p>
<p>2) 已配置钉钉、邮箱、短信、自定义通道等告警方式</p>","1. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
2. 告警对象选择【周期任务】
3. 告警对象选择【手动任务】
4. 告警对象选择【基线】
5. 配置如下:
告警规则名称: test_alarm_rule
告警对象: 周期任务
监控任务: TaskA
触发条件: 未按计划时间运行(0h5min)
告警方式: 钉钉、邮箱、短信、自定义通道全部勾选
6. 保存规则后，列表展示该规则且告警对象显示为周期任务","1. 进入“创建告警规则”弹窗
2. 触发条件中可以选择到【未按计划时间运行】
3. 触发条件中没有【未按计划时间运行】
4. 触发条件中没有【未按计划时间运行】
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 告警规则列表中“告警对象”列显示“周期任务”且对应任务为 TaskA",2
离线开发-运维中心-告警管理,验证告警规则配置 【未按计划时间运行】,无,"1. 进入运维中心 → 监控告警 → 告警规则 → 点击 “创建告警规则”
2. 在“触发方式”区域勾选 “未按计划时间运行”
3. 小时输入框保留默认0，分钟输入框保留默认30，点击保存
4. 在小时输入框输入 –1，分钟输入框输入 1，失焦后
5. 小时输入框输入 48，分钟输入框输入 70，失焦后
6. 小时输入框输入 abc（非数字），分钟输入框输入 xyz（非数字），失焦后","1. 进入“创建告警规则”弹窗
2. 该选项底下出现两输入框：“计划时间后 [小时] [分钟] 未运行”
3. 规则保存成功，能看到新规则列表中触发方式包括“未按计划时间运行”
4. 小时自动调整为0，分钟自动调整为2
5. 小时自动调整为48（最大值），分钟自动调整为59（最大值）
6. 小时自动调整为0，分钟自动调整为2",1
