所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据,验证数据库详情内容展示正确,已有数据源引入资产，且进行了数据同步,1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，点击[查看详情]，查看数据库A的详情展示信息,"1. 展示信息如下：
1)[基本信息]包含：
数据库：数据库A
数据表数量:${数据库A的数据表数量}
存储大小:${数据库A的存储大小}
系统名称:${数据库A的系统名称}
更新时间:${更新时间} 格式：yyyy-mm-dd hh:mm:ss
2)[自定义属性]包含：
属性名：${属性值}",2
数据资产-元数据,验证数据库详情显示正确,已有数据源引入资产，且进行了数据同步,1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，点击[查看详情]，查看数据库A的详情展示信息,"1. title：详情
展示信息如下：
1)[基本信息]包含：
数据库、数据表数量、存储大小、系统名称、更新时间
2)[自定义属性]包含：数据库A的所有自定义属性",2
数据资产-元数据,验证[编辑]数据库元数据功能正常,已有数据源引入资产，已有数据源的数据库进行的数据同步,"1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，点击[编辑]，修改数据库A的自定义属性字段值，点击”确定“
2. 点击数据库A的[查看详情]，查看详情的[自定义属性]","1. 1) 系统提示编辑成功，修改内容已更新，页面显示最新内容
2. [自定义属性]模块信息更新为修改后的内容",2
数据资产-元数据,验证[编辑]数据库页面显示&交互正确,已有数据源引入资产，且进行了数据同步，数据库元模型包含必填的文本框属性1和必填的枚举类型属性2,"1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，该数据库A具有必填的文本框类型属性1和必填的枚举类型属性2，点击[编辑]，查看编辑弹窗的展示内容，修改属性1的输入框为空
2. 修改属性1的内容，失焦
3. 不选择属性2的枚举值，点击”确定“
4. 修改属性2的枚举值，失焦","1. 1）属性1输入框置灰提示：请输入${属性1}
2）下方提示：请输入${属性1}
2. 正常回显修改后的内容
3. 1）属性2选择框置灰提示：请选择${属性2}
2）下方提示：请选择${属性2}
4. 正常回显修改后的内容",2
数据资产-元数据,验证[编辑]数据库页面数据回显正确,已有数据源引入资产，且进行了数据同步,1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，点击[编辑]，查看编辑弹窗的展示内容,"1. 展示内容如下：
1)数据库：${数据库A}
2)[自定义属性]模块:
自定义字段：${自定义字段的属性值}",2
数据资产-元数据,验证[编辑]数据库页面显示正确,已有数据源引入资产，且进行了数据同步,1. 进入【元数据-元数据管理】页面，选择一个数据源，进入【数据库】页面，选择一个数据库A，点击[编辑]，查看编辑弹窗的展示内容,"1. title：编辑
展示内容如下：
1)数据库
2)[自定义属性]模块:所有的自定义字段",2
数据资产-元数据,验证导出功能正常_数据库维度_取消,无,"1. 进入【元数据-元数据管理】页面，点击[导出元数据]，[导出数据维度]选择“数据库”，正确填写所有信息，点击”取消“
2. 点击[导出元数据]，[导出数据维度]选择“数据库”，正确填写所有信息，点击”×“","1. 1）关闭弹窗，回到元数据管理页面
2）数据源页面不增加记录
2. 1）关闭弹窗，回到元数据管理页面
2）数据源页面不增加记录",1
数据资产-元数据,验证导出功能正常_数据库维度_确定,已有数据源引入资产，且进行过数据同步,"1. 进入【元数据-元数据管理】页面，点击[导出元数据]，[导出数据维度]选择“数据库”，正确填写所有信息，点击”确定“
2. 查看导出的数据文件","1. 元数据导出成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 1）命名格式：“数据库信息_20240111”
2）文件导出格式：（系统中文名称、数据库类型、数据库名称、数据表数量、存储大小自动获取，自定义属性按照维护信息进行展示）
3）文件内容正确，内容与预期完全一致，无异常或错误",1
数据资产-元数据,验证[数据库]显示&交互正确,已有数据源引入资产，且进行了数据同步,"1. 进入【元数据-元数据管理】页面，点击[导出元数据]，弹出[导出元数据]弹窗，查看[数据库]
2. [系统名称]选择为空，查看[数据库]的可选项
3. [系统名称]选择系统A，查看[数据库]的可选项","1. 1）必填
3）支持选择全部/多个/单个
2. 可选择列表为该数据源下面的全部数据库
3. 可选择列表为绑定了该系统的数据库",2
数据资产-元数据,验证[系统名称]显示&交互正确,无,1. 进入【元数据-元数据管理】页面，点击[导出元数据]，弹出[导出元数据]弹窗，查看[系统名称],"1. 1）非必填
2）可选项为该数据源关联的所有系统名称
3）支持选择单个/多个",2
