所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-选项UI 验证规则配置页「统计规则」下拉框中「格式-json格式校验」选项位置在自定义正则上方,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护key路径「person-name」，中文名称「人员姓名」，value格式正则：^[\u4e00-\u9fa5]+$<br>3) 已通过【数据质量 → 规则集管理】页面创建规则集""rule_set_value_fmt_ui""，关联Doris数据源 quality_test_db 库 json_format_test 表（含字段 info（JSON类型）、name（VARCHAR类型）），规则包名称""value格式校验UI测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_value_fmt_ui""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""value格式校验UI测试包""中点击【新增规则】，选择「有效性校验」，「字段」下拉框选择「info（json）」，展开「统计规则」下拉框，查看选项列表","1. 规则集管理页面正常打开，列表加载完成
2. 「统计规则」下拉框中出现「格式-json格式校验」选项，且该选项位于「自定义正则」选项的上方",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-选项UI 验证「格式-json格式校验」统计规则悬浮提示内容正确,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护key路径「person-name」，中文名称「人员姓名」，value格式正则：^[\u4e00-\u9fa5]+$<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_value_fmt_tip""，关联Doris数据源 quality_test_db 库 json_format_test 表，规则包名称""提示测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_value_fmt_tip""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""提示测试包""中点击【新增规则】，选择「有效性校验」，「字段」下拉框选择「info（json）」，「统计规则」下拉框选择「格式-json格式校验」，将鼠标悬浮在「格式-json格式校验」选项或其旁边的提示图标上","1. 规则集管理页面正常打开，列表加载完成
2. 悬浮提示内容显示为：「校验内容为key名对应的value格式是否符合要求，value格式需要在通用配置模块维护。」",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-字段类型限制 验证「格式-json格式校验」仅支持json和string类型字段，选择其他类型字段时不显示该统计规则选项,"1) 使用 admin 账号登录系统<br>2) 已执行以下 SQL 创建包含多种字段类型的测试表：<br>   CREATE TABLE quality_test_db.multi_type_test (<br>     id INT,<br>     name VARCHAR(255),<br>     age INT,<br>     salary DECIMAL(10,2),<br>     info JSON,<br>     created_at DATETIME<br>   );<br>3) 已在资产平台引入该表，且元数据字段类型识别正确<br>4) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_field_type_test""，关联Doris数据源quality_test_db库multi_type_test表，规则包名称""字段类型测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建<br>5) 已在「通用配置 → json格式校验管理」中维护key路径「person-name」，中文名称「人员姓名」，value格式正则：^[\u4e00-\u9fa5]+$","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_field_type_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""字段类型测试包""中点击【新增规则】，添加有效性校验规则，分别将「字段」依次选择为「age（int）」「salary（decimal）」「created_at（datetime）」，观察每次选择后「统计规则」下拉框的可选项
3. 将「字段」切换选择为「info（json）」，展开「统计规则」下拉框查看选项
4. 将「字段」切换选择为「name（varchar）」，展开「统计规则」下拉框查看选项","1. 规则集管理页面正常打开，列表加载完成
2. 选择 int、decimal、datetime 类型字段时，「统计规则」下拉框中均不出现「格式-json格式校验」选项
3. 选择 json 类型字段后，「统计规则」下拉框中出现「格式-json格式校验」选项
4. 选择 varchar 类型字段后，「统计规则」下拉框中同样出现「格式-json格式校验」选项",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key列表中仅配置了value格式的key可被选中，未配置value格式的key不可选中,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下数据：<br>   - key路径「product-name」，中文名称「产品名称」，value格式正则：^.{1,50}$<br>   - key路径「product-code」，中文名称「产品编码」，value格式正则：^[A-Z]{2}\d{6}$<br>   - key路径「product-desc」，中文名称「产品描述」，未配置value格式<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_key_select_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""key选择测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_key_select_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""key选择测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉选择框，查看列表中各key的可选状态
3. 点击「product-desc」进行选中操作
4. 点击勾选「product-name」和「product-code」","1. 规则集管理页面正常打开，列表加载完成
2. 「校验key」下拉框列表中：
1) 「product-name」（已配置value格式）显示为可选状态，可点击勾选
2) 「product-code」（已配置value格式）显示为可选状态，可点击勾选
3) 「product-desc」（未配置value格式）显示为不可选状态，置灰禁用
3. 「product-desc」无法被选中，复选框保持未勾选状态
4. 「product-name」和「product-code」均成功勾选，下拉框输入框内回显「product-name;product-code」",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key支持多选和全选操作,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下配置了value格式的key：<br>   - key路径「user-name」，中文名称「用户姓名」，value格式正则：^[\u4e00-\u9fa5a-zA-Z]{1,20}$<br>   - key路径「user-phone」，中文名称「用户手机号」，value格式正则：^1[3-9]\d{9}$<br>   - key路径「user-id」，中文名称「用户身份证号」，value格式正则：^\d{18}$<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_multi_select_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""多选全选测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_multi_select_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""多选全选测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉框，分别勾选「user-name」「user-phone」「user-id」三个key
3. 查看输入框的回显内容
4. 点击下拉框中的「全部」选项
5. 再次点击「全部」选项取消全选","1. 规则集管理页面正常打开，列表加载完成
2. 三个key均成功勾选，复选框显示为选中状态
3. 输入框回显格式为「user-name;user-phone;user-id」，多个key以分号分隔
4. 列表中所有可选key（已配置value格式的key）全部被勾选，「全部」选项复选框显示为选中状态
5. 所有key均取消勾选，「全部」选项复选框恢复为未选中状态，输入框回显清空",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key搜索功能正常,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下配置了value格式的key：<br>   - key路径「order-amount」，中文名称「订单金额」，value格式正则：^\d+\.\d{2}$<br>   - key路径「order-status」，中文名称「订单状态」，value格式正则：^(paid|pending)$<br>   - key路径「user-name」，中文名称「用户姓名」，value格式正则：^.{1,20}$<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_key_search_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""key搜索测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_key_search_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""key搜索测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉框，在搜索框中输入「order」
3. 清空搜索框内容，查看下拉列表","1. 规则集管理页面正常打开，列表加载完成
2. 下拉列表过滤展示，仅显示包含「order」的key：「order-amount」和「order-status」；「user-name」不在列表中显示
3. 下拉列表恢复展示全部key，「order-amount」「order-status」「user-name」均重新显示",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key数据量超过200条时默认加载前200条展示,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护超过200条配置了value格式的key（共210条，key命名规则为 test-key-001 至 test-key-210，中文名称分别为「测试键001」至「测试键210」，每条均配置value格式正则 ^.+$），通用配置导入文件生成脚本如下:<br><br>import openpyxl<br><br>wb = openpyxl.Workbook()<br>ws1 = wb.active<br>ws1.title = ""一层""<br>ws1.append([""key"", ""中文名称"", ""value格式""])<br>for i in range(1, 211):<br>    ws1.append([f""test-key-{i:03d}"", f""测试键{i:03d}"", ""^.+$""])<br><br>wb.save(""json_value_format_import_210.xlsx"")<br>print(""已生成 json_value_format_import_210.xlsx，共210条一层key数据，均配置value格式"")<br><br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_large_key_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""大数据量key测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_large_key_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""大数据量key测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉框，观察初始加载的key列表
3. 在搜索框中输入「test-key-205」进行搜索","1. 规则集管理页面正常打开，列表加载完成
2. 「校验key」下拉框初始展示前200条key（test-key-001 至 test-key-200），第201条及以后的key（test-key-201至test-key-210）不在初始列表中显示
3. 搜索结果中显示「test-key-205」，可正常选中",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key回显格式及勾选仅对当前层级生效,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下配置了value格式的key（层级结构）：<br>   - 一级key「person」下二级key「name」，路径「person-name」，中文名称「人员姓名」，value格式正则：^[\u4e00-\u9fa5]+$<br>   - 一级key「person」下二级key「age」，路径「person-age」，中文名称「人员年龄」，value格式正则：^\d{1,3}$<br>   - 一级key「address」下二级key「city」，路径「address-city」，中文名称「地址城市」，value格式正则：^.{1,20}$<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_layer_key_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""层级key测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_layer_key_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""层级key测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉框，勾选「person-name」和「address-city」，点击【保存】
3. 编辑该规则，重新展开「校验key」下拉框，查看已勾选的key是否正确回显","1. 规则集管理页面正常打开，列表加载完成
2. 规则保存成功；规则行的「校验key」列回显内容为「person-name;address-city」，分号分隔不同key路径，连字符分隔层级
3. 1) 「person-name」复选框显示为勾选状态
2) 「address-city」复选框显示为勾选状态
3) 「person-age」复选框显示为未勾选状态",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-校验key选择 验证校验key输入框悬浮时展示全部key名，默认仅显示前两个,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下配置了value格式的key：<br>   - key路径「field-key1」，中文名称「字段键1」，value格式正则：^.+$<br>   - key路径「field-key2」，中文名称「字段键2」，value格式正则：^.+$<br>   - key路径「field-key3」，中文名称「字段键3」，value格式正则：^.+$<br>   - key路径「field-key4」，中文名称「字段键4」，value格式正则：^.+$<br>3) 已通过【数据质量 → 规则集管理】页面，创建规则集""rule_set_hover_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""悬浮展示测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建，在 Step 2 中配置「格式-json格式校验」规则，校验key选择了4个key：「field-key1」「field-key2」「field-key3」「field-key4」，并已保存","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_hover_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，查看""悬浮展示测试包""中已配置的「格式-json格式校验」规则行的""校验key""列
3. 观察""校验key""列在非悬浮状态下的显示内容
4. 将鼠标悬浮在「校验key」字段区域","1. 规则集管理页面正常打开，列表加载完成
2. 规则集编辑页正常打开，Step 2 监控规则页面加载完成，已配置的「格式-json格式校验」规则行展示校验key为「field-key1;field-key2;field-key3;field-key4」
3. 「校验key」字段区域默认仅展示前两个key「field-key1」和「field-key2」，后续key以省略符截断
4. 浮层展示全部4个key名：「field-key1」「field-key2」「field-key3」「field-key4」",2,功能测试,功能测试阶段
【内置规则丰富】有效性，json中key对应的value值格式校验(#10459),数据质量 规则集管理 规则配置-value格式预览 验证点击「value格式预览」弹窗仅展示已勾选key的格式信息且支持分页,"1) 使用 admin 账号登录系统<br>2) 已在「通用配置 → json格式校验管理」中维护以下配置了value格式的key（共15条）：<br>   - key路径「check-key-01」，中文名称「校验键01」，value格式正则：^[A-Z]{2}\d{4}$<br>   - key路径「check-key-02」，中文名称「校验键02」，value格式正则：^1[3-9]\d{9}$<br>   - key路径「check-key-03」至「check-key-15」，中文名称「校验键03」至「校验键15」，各配置不同正则<br>3) 已通过【数据质量 → 规则集管理】页面，点击【新建规则集】创建规则集""rule_set_preview_test""，关联Doris数据源quality_test_db库json_format_test表，规则包名称""value预览测试包""，点击【下一步】进入 Step 2 监控规则，在规则包中点击【新增规则】，统计函数选择【非空值数】，字段选择 payload，点击规则行【保存】，再点击页面底部【保存】完成规则集创建","1. 进入【数据质量 → 规则集管理】页面，等待规则集列表加载完成
2. 找到规则集""rule_set_preview_test""，点击操作列的【编辑】按钮，进入 Step 2 监控规则页面，在""value预览测试包""中点击【新增规则】，添加有效性校验规则，按如下配置：
- *字段：info（json）
- *统计规则：格式-json格式校验
展开「校验key」下拉框，勾选「check-key-01」「check-key-02」「check-key-03」共3个key
3. 点击「value格式预览」按钮，等待弹窗加载完成
4. 关闭弹窗，取消勾选「check-key-03」，再次点击「value格式预览」按钮，等待弹窗加载完成
5. 关闭弹窗，重新勾选「check-key-03」至「check-key-12」共12个key（合计12个），点击「value格式预览」按钮，查看弹窗分页情况","1. 规则集管理页面正常打开，列表加载完成
2. 3个key成功勾选
3. 弹窗正常打开：
1) 弹窗内列表仅展示已勾选的3个key对应的信息，未勾选的「check-key-04」至「check-key-15」不显示
2) 列表包含两列：「key」列和「value格式」列
3) 「check-key-01」对应「^[A-Z]{2}\d{4}$」
4) 「check-key-02」对应「^1[3-9]\d{9}$」
4. 弹窗内列表更新为仅展示「check-key-01」和「check-key-02」共2条记录，「check-key-03」不再显示
5. 1) 弹窗展示分页控件
2) 默认展示第1页数据
3) 可翻页查看剩余key的格式信息",2,功能测试,功能测试阶段
