所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-整库同步,验证【历史任务兼容性】已发布的整库同步任务正常（Oracle2SparkThrift）,"1、存在升级之前创建的整库同步任务

2、同步任务名称为：“old_sync_task“","1. 进入【数据源】页面，点击同步历史
2. 进入数据开发-周期任务-clone_database目录下
3. 编辑历史任务old_sync_task
4. 运行历史任务old_sync_task","1. 1、正常显示整库同步配置历史记录2、 正常查看详情
2. 存在对应历史任务
3. 可以正常进行编辑
4. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,验证【历史任务兼容性】已发布的整库同步任务正常（MysQL2SparkThrift）,"1、存在升级之前创建的整库同步任务

2、同步任务名称为：“old_sync_task“","1. 进入【数据源】页面，点击同步历史
2. 选择一条记录, 点击查看详情
3. 进入数据开发-周期任务-clone_database目录下
4. 设置调度属性为立即生成, 17min后, 周期运行","1. 正常显示整库同步配置历史记录
2. 进入详情页面
3. 存在对应历史数据同步任务
4. 17min后, 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,验证【历史任务兼容性】已发布的整库同步任务正常（Oracle2Hive）,"1、存在升级之前创建的整库同步任务

2、同步任务名称为：“old_sync_task“","1. 进入【数据源】页面，点击同步历史
2. 选择一条记录, 点击查看详情
3. 进入数据开发-周期任务-clone_database目录下
4. 设置调度属性为立即生成, 17min后, 周期运行","1. 正常显示整库同步配置历史记录
2. 进入详情页面
3. 存在对应历史数据同步任务
4. 17min后, 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,验证【历史任务兼容性】已发布的整库同步任务正常（MySQL2Hive）,"1、存在升级之前创建的整库同步任务

2、同步任务名称为：“old_sync_task“","1. 进入【数据源】页面，点击同步历史
2. 进入数据开发-周期任务-clone_database目录下
3. 编辑历史任务old_sync_task
4. 运行历史任务old_sync_task","1. 
2. 存在对应历史任务
3. 可以正常进行编辑
4. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-数据开发-整库同步,"验证整库同步任务配置正确(多表, 部分改)",存在多个mysql表,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 找到目标表列表中的多个user表记录, 依次点击【建表语句】并部分修改
4. 发布任务并执行，查看表结构
5. 依次查看数据同步任务配置
6. 依次运行数据同步任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. hive表创建成功, 表结构均修改正确，内容与预期完全一致，无异常或错误
5. 映射方式均为同名映射
6. 运行成功, 数据同步成功, 数据写入正确，内容与预期完全一致，无异常或错误",1
离线开发-数据开发-整库同步,"验证整库同步任务配置正确(多表, 全部改)",存在多个mysql表,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 找到目标表列表中的多个user表记录, 依次点击【建表语句】并修改
4. 发布任务并执行，查看表结构
5. 依次查看数据同步任务配置
6. 依次运行数据同步任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. hive表创建成功, 表结构均修改正确，内容与预期完全一致，无异常或错误
5. 映射方式均为同名映射
6. 运行成功, 数据同步成功, 数据写入正确，内容与预期完全一致，无异常或错误",2
离线开发-数据开发-整库同步,验证整库同步任务配置正确(少字段 -> 多字段),无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 在SQL编辑器添加部分字段并确定
5. 发布任务并执行，查看表结构
6. 查看数据同步任务配置
7. 运行数据同步任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
5. hive表创建成功, 表结构正确，内容与预期完全一致，无异常或错误
6. 映射方式: 同名映射
7. 运行成功, 数据同步成功, 数据写入正确, 没有的字段数据补NULL",2
离线开发-数据开发-整库同步,验证整库同步任务配置正确(多字段 -> 少字段),无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 在SQL编辑器删除部分字段并确定
5. 发布任务并执行，查看表结构
6. 查看数据同步任务配置
7. 运行数据同步任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
5. hive表创建成功, 表结构正确，内容与预期完全一致，无异常或错误
6. 映射方式: 同名映射
7. 运行成功, 数据同步成功, 数据写入正确，内容与预期完全一致，无异常或错误",2
离线开发-数据开发-整库同步,验证Monaco编辑器支持SQL语法高亮、自动补全,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 进入建表语句弹窗, 删除所有内容后, 输入CRE
4. 回车确认","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 自动提示: CREATE
4. CREATE语法高亮",3
离线开发-数据开发-整库同步,验证【SQL异常】删除所有SQL内容后保存Toast提示建表SQL不能为空（空SQL）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 进入建表语句弹窗, 删除所有内容后, 保存","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 提示: 建表SQL不能为空",3
离线开发-数据开发-整库同步,验证【SQL编辑】修改表名后保存成功（修改表名）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 进入建表语句弹窗, 将“user“修改为“user_info“
4. 再次点击user表的【建表语句】链接
5. 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
6. 查看数据同步任务
7. 运行任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 表名为“user_info“
5. hive表创建成功, 表结构正确，内容与预期完全一致，无异常或错误
6. 映射正确，内容与预期完全一致，无异常或错误
7. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,验证【SQL编辑】修改存储格式后保存成功（修改存储格式）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 进入建表语句弹窗, 将“STORED AS ORC“修改为“STORED AS PARQUET“
4. 再次点击user表的【建表语句】链接
5. 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
6. 查看数据同步任务
7. 运行任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 存储格式为“STORED AS PARQUET“
5. hive表创建成功, 表结构正确，内容与预期完全一致，无异常或错误
6. 映射正确，内容与预期完全一致，无异常或错误
7. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,验证【SQL编辑】修改字段名后保存成功（修改字段名）,无,"1. 进入【离线开发】→【数据源】页面，点击oracle数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 在SQL编辑器中找到id字段，将字段名从“id“修改为“user_id“
5. 点击【确定】按钮
6. 再次点击user表的【建表语句】链接
7. 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
8. 查看数据同步任务
9. 设置调度属性为立即生成, 17min后, 周期运行","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 修改后SQL内容为：user_id INT COMMENT '用户ID'
5. Toast提示：“修改成功“
6. 字段名为“user_id“
7. hive表创建成功, 包含user_id字段
8. 映射正确，内容与预期完全一致，无异常或错误
9. 运行成功, 数据同步成功, 数据写入正确，内容与预期完全一致，无异常或错误",1
离线开发-数据开发-整库同步,验证【SQL编辑】修改字段类型后保存成功（修改字段类型）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 在SQL编辑器中找到id字段，将字段类型从“INT“修改为“BIGINT“
5. 再次点击user表的【建表语句】链接
6. 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
7. 查看数据同步任务
8. 运行任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
5. 回显正确, id字段类型为“BIGINT“
6. hive表创建成功, 表结构正确，内容与预期完全一致，无异常或错误
7. 映射正确，内容与预期完全一致，无异常或错误
8. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
离线开发-数据开发-整库同步,"验证sql语法错误, 发布任务正常报错",无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 修改SQL为语法错误的语句, 保存
5. 填写其它必填项后, 发布任务
6. 检查数据开发-周期任务-任务开发目录","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. 发布失败, 任务状态中提示错误信息
6. 存在clone_databases目录, 存在对应虚节点任务, 不存在对应的数据同步任务",1
离线开发-数据开发-整库同步,"验证非create table语句, 保存失败",无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“Hive“数据源
3. 找到目标表列表中的user表记录, 点击【建表语句】链接
4. 删除所有内容后, 改为非create table 开头的语句并保存","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 进入建表语句弹窗
4. 异常提示: 解析建表SQL失败",2
离线开发-数据开发-整库同步,"验证点击过建表语句确定按钮, 高级设置不生效",无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 添加高级设置规则——表名转换规则
4. 点击建表语句并确定后, 勾选记录
5. 其它正常填写后, 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
6. 查看数据同步任务
7. 重新对确定过的建表语句的记录, 添加高级设置规则——字段名转换规则
8. 发布并检查
9. 重新对一个未改动过建表语句的记录, 添加高级设置规则——字段类型转换规则
10. 发布并检查","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 添加成功, 规则生效
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. hive表创建成功, 高级规则不生效
6. 配置正确，内容与预期完全一致，无异常或错误
7. 规则不生效
8. 表结构正确, 规则不生效
9. 规则不生效
10. 表结构正确, 规则不生效",2
离线开发-数据开发-整库同步,"验证未点击过建表语句按钮, 高级设置生效",无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 添加高级设置规则——表名转换规则
4. 不点击建表语句后, 勾选记录后确定
5. 其它正常填写后, 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
6. 查看数据同步任务
7. 重新对一个未改动过建表语句的记录, 添加高级设置规则——字段名转换规则
8. 发布并检查
9. 重新对一个未改动过建表语句的记录, 添加高级设置规则——字段类型转换规则
10. 发布并检查","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 添加成功, 规则生效
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. hive表创建成功, 高级规则已生效
6. 配置正确，内容与预期完全一致，无异常或错误
7. 规则生效
8. 高级规则生效, 表结构正确，内容与预期完全一致，无异常或错误
9. 规则生效
10. 高级规则生效, 表结构正确，内容与预期完全一致，无异常或错误",2
离线开发-数据开发-整库同步,验证Monaco中不配置分区字段但在分区字段输入框中填写（SQL优先级 > 输入框）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 删除分区字段输入框中的值, 但保留monaco编辑器中的分区
4. 其它正常填写后, 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
5. 查看数据同步任务
6. 运行任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. hive表创建成功, 表结构正确: 不是分区表
5. 不存在分区输入框
6. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-数据开发-整库同步,验证Monaco中配置分区字段但在分区字段输入框中不填写以SQL为准（SQL优先级 > 输入框）,无,"1. 进入【离线开发】→【数据源】页面，点击MySQL数据源的【整库同步】按钮
2. 在【数据同步目标】下拉框中选择“sparkthrift“数据源
3. 删除分区字段输入框中的值, 但保留monaco编辑器中的分区
4. 其它正常填写后, 点击【发布任务】按钮，任务发布并执行成功后，查看表结构
5. 查看数据同步任务
6. 运行任务","1. 进入整库同步配置页面
2. 选择Hive数据源成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 修改并保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. hive表创建成功, 表结构正确: 默认orc分区表
5. 存在分区输入框
6. 运行成功, 数据同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
