所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据,验证测试属性名列的批量编辑功能,已进入元数据-数据地图-表详情页,"1. 进入数据地图-该表详情页
2. 查看该表字段的非分区字段和分区字段详情
3. 查看测试属性名列
4. 点击批量编辑按钮
5. 正确编辑多个属性名值，未全编辑，点击保存按钮
6. 正确编辑全部属性名值，点击保存按钮
7. 编辑部分属性名，点击取消按钮","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮
3. 显示内容，且右边包含支持编辑字段属性的图标
4. 测试属性名列所有属性名值为编辑状态，显示编辑框；
显示属性名原有内容，无内容时显示占位符：请输入测试属性名；
列表右下角更改为取消、保存按钮
5. 被编辑的属性名成功修改，未修改的属性名不变化
6. 属性名全部成功被修改
7. 编辑取消，属性名未被修改",1
数据资产-元数据,验证测试属性名列的编辑功能,已进入元数据-数据地图-表详情页,"1. 进入数据地图-该表详情页
2. 查看该表字段的非分区字段和分区字段详情
3. 查看测试属性名列
4. 点击编辑图标
5. 正确编辑属性名，点击✅
6. 编辑属性名，点击❌","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮
3. 显示内容，且右边包含支持编辑字段属性的图标
4. 弹出编辑框，
显示原有内容，无内容时显示占位符：请输入测试属性名；
编辑框右处显示支持保存和取消图标：✅、❌
5. 编辑保存，属性名被修改
6. 编辑取消，属性名未被修改",1
数据资产-元数据,验证该字段属性对分区字段和非分区字段均生效,无,"1. 进入数据地图-该表详情页
2. 查看页面详情
3. 查看该表字段的非分区字段和分区字段详情","1. 成功进入，默认进入基本信息tab页
2. 新增自定义属性信息，且包含元数据-元模型管理-字段元模型处新增的属性记录
3. 列表都新增了测试属性名表头，
且列表右下角新增批量编辑按钮",2
数据资产-元数据,验证数据地图-表详情页面可查看新增的字段级别自定义属性信息,已在元数据-元模型管理-字段元模型新增至少一个字段级别的自定义属性,"1. 进入数据地图-该表详情页
2. 查看页面详情","1. 成功进入，默认进入基本信息tab页
2. 新增自定义属性信息，且包含元数据-元模型管理-字段元模型处新增的属性记录",1
数据资产-元数据,验证元数据-元模型管理-字段元模型页面删除属性功能,列表存在至少一条记录，且该记录已被对应模型某一表配置,"1. 进入数据地图-该表详情页
2. 点击进入字段元模型页
3. 选中任一属性，点击删除按钮
4. 再次点击删除，打开二次确认弹窗，点击删除按钮
5. 切换至数据地图中该元模型对应配置过的表详情页面","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 进入页面
3. 弹出删除业务属性二次确认弹窗，提示：属性删除后，已应用并完成维护的业务属性将会清除
包含取消、删除按钮
4. 弹窗消失，查看列表该属性被成功删除
5. 查看该表中该属性内容被删除",1
数据资产-元数据,验证元数据-元模型管理-字段元模型页面编辑属性功能-删除枚举项,列表存在至少一条属性类型为枚举的记录，且该记录已被对应模型某一表配置,"1. 进入数据地图-该表详情页
2. 点击进入字段元模型页
3. 选中任一属性，点击编辑按钮
4. 查看弹窗内容可编辑性
5. 点击删除某一枚举选项
6. 点击取消按钮
7. 再次点击删除某一枚举选项
8. 点击删除按钮
9. 点击编辑属性弹窗的确定按钮
10. 切换至数据地图中该元模型对应配置过的表详情页面","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 进入页面
3. 弹出编辑属性弹窗；
弹窗显示该记录的属性名、属性中文名、属性类型、枚举选项、是否必填、应用数据源类型对应原有内容
4. 属性名、属性类型、应用数据源类型不可编辑，属性中文名、枚举选项、是否必填可编辑
5. 弹出二次确认弹窗，提示：已应用该选项的属性信息将会清除
包含取消、删除按钮
6. 成功取消，弹窗消失，该数据未被编辑
7. 弹出二次确认弹窗，提示：已应用该选项的属性信息将会清除
包含取消、删除按钮
8. 该枚举项被成功删除，弹窗消失
9. 弹窗消失，查看列表该数据成功编辑
10. 查看该表中该选项值信息的属性内容被删除",1
数据资产-元数据,验证元数据-元模型管理-字段元模型页面编辑属性功能-属性类型为枚举,列表存在至少一条属性类型为枚举的记录,"1. 进入数据地图-该表详情页
2. 点击进入字段元模型页
3. 选中任一属性，点击编辑按钮
4. 查看弹窗内容可编辑性
5. 点击正确编辑属性中文名、移动/新增/编辑枚举选项、编辑是否必填，点击确定按钮
6. 再次打开编辑属性弹窗，点击取消按钮","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 进入页面
3. 弹出编辑属性弹窗；
弹窗显示该记录的属性名、属性中文名、属性类型、枚举选项、是否必填、应用数据源类型对应原有内容
4. 属性名、属性类型、应用数据源类型不可编辑，属性中文名、枚举选项、是否必填可编辑
5. 弹窗消失，查看列表该数据成功编辑
6. 成功取消，弹窗消失，该数据未编辑",1
数据资产-元数据,验证元数据-元模型管理-字段元模型页面编辑属性功能-属性类型为文本框,列表存在至少一条属性类型为文本框的记录,"1. 进入数据地图-该表详情页
2. 点击进入字段元模型页
3. 选中任一属性，点击编辑按钮
4. 查看弹窗内容可编辑性
5. 点击正确编辑属性中文名、是否必填，点击确定按钮
6. 再次打开编辑属性弹窗，点击取消按钮","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 进入页面
3. 弹出编辑属性弹窗；
弹窗显示该记录的属性名、属性中文名、属性类型、字段类型、是否必填、应用数据源类型对应原有内容
4. 属性名、属性类型、字段类型、应用数据源类型不可编辑，属性中文名、是否必填可编辑
5. 弹窗消失，查看列表该数据成功编辑
6. 成功取消，弹窗消失，该数据未编辑",1
数据资产-元数据,验证元数据-元模型管理-字段元模型页面编辑属性弹窗,无,"1. 进入数据地图-该表详情页
2. 点击进入字段元模型页
3. 选中任一属性，点击编辑按钮","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 进入页面
3. 弹出编辑属性弹窗；
弹窗显示属性名、属性中文名、属性类型、字段类型/枚举选项、是否必填、应用数据源类型对应原有内容；
枚举选项显示上下移、编辑、删除icon
包含取消、确定按钮",1
数据资产-元数据,验证新增属性的属性名、属性中文名唯一性,"1.已打开【元数据-元模型管理-字段元模型-新增属性】页面
2.列表已存在属性名为test1，属性中文名为测试一的记录","1. 进入数据地图-该表详情页
2. 输入属性名为test1，其余内容正确输入选择
3. 点击确定按钮
4. 再次打开新增属性弹窗，输入属性中文名为测试一，其余内容正确输入选择
5. 点击确定按钮","1. 成功进入数据地图-该表详情页面，页面内容正常加载显示，无报错
2. 输入选择成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 弹出属性名已存在异常提示
4. 输入选择成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 弹出属性中文名已存在的异常提示",2
