所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量,验证脏数据存储开启时，修改脏数据存储库，脏数据表是否存储正确,源库为schema1,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 修改脏数据存储库为schema2，查看规则sql变化
3. 执行任务后，连接数据源，进入shhema2中，查看脏数据表的数据","1. 成功进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表页面，页面内容正常加载显示，无报错
2. 表名不变，数据库变为schema2
3. 表中可以看到新增的脏数据",2
数据资产-数据质量,验证脏数据存储开启时，脏数据表是否存储到脏数据存储库,源库为schema1,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 执行任务后，点击查看明细，查看左上角脏数据表名
3. 连接数据源，进入schema1中，查看脏数据表的数据","1. 脏数据表创建在schema1中
2. 表名和规则sql中的表名一致
3. 表中新增步骤二执行产生的脏数据",1
数据资产-数据质量,验证脏数据存储关闭时功能,无,"1. 进入平台管理-数据源管理，关闭StarRocks2.x_test/StarRocks3.x_test的脏数据存储。
2. 执行StarRocks2.x_test/StarRocks3.x_test数据源下的表的校验任务，查看最新实例的监控报告","1. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 不可以查看明细",2
数据资产-数据质量,验证脏数据存储开启时功能,无,"1. 进入平台管理-数据源管理，开启StarRocks2.x_test/StarRocks3.x_test的脏数据存储。
2. 进入规则任务配置，执行StarRocks2.x_test/StarRocks3.x_test数据源下的表的校验任务。执行任务后查看实例监控报告","1. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 可以查看明细",1
数据资产-数据质量,验证脏数据管理支持StarRocks3.x数据源,无,1. 进入平台管理-数据源管理，给StarRocks3.x类型的数据源StarRocks3.x_test授权质量项目，然后进入数据质量-脏数据管理，查看数据,1. 新增一条数据【StarRocks3.x_test、StarRocks3.x、源库、90】，更新人为当前用户，脏数据存储状态和独立存储状态一致,1
数据资产-数据质量,验证脏数据管理支持StarRocks2.x数据源,无,1. 进入平台管理-数据源管理，给StarRocks2.x类型的数据源StarRocks2.x_test授权质量项目，然后进入数据质量-脏数据管理，查看数据,1. 新增一条数据【StarRocks2.x_test、StarRocks2.x、源库、90】，更新人为当前用户，脏数据存储状态和独立存储状态一致,2
数据资产-数据质量,验证远程触发，任务临时表功能,无,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 对${数据源}类型的单表校验规则，新增远程触发，调用触发接口，等待结果查询接口显示执行结束后，查看临时表
3. 对${数据源}类型的规则集，新增远程触发，调用触发接口，等待结果查询接口显示执行结束后，查看临时表","1. 成功进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表页面，页面内容正常加载显示，无报错
2. 临时表中新增远程触发执行生成的数据
3. 临时表中新增远程触发执行生成的数据",2
数据资产-数据质量,验证任务重跑，临时表中上次执行生成的数据是否被清理,无,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 数据质量新建${数据源}类型的单表规则，连接数据源，进入对应的数据库中，查看临时表
3. 在数据被定期清理前，重跑规则。再次查看临时表
4. 数据质量新建${数据源}类型的规则集，连接数据源，进入对应的数据库中，查看临时表
5. 在数据被定期清理前，重跑规则。再次查看临时表","1. 成功进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表页面，页面内容正常加载显示，无报错
2. 表中新增执行单表规则产生的数据
3. 重跑开始前，临时表中上次产生的数据被删除
4. 表中新增执行规则集产生的数据
5. 重跑开始前，临时表中上次产生的数据被删除",1
数据资产-数据质量,验证临时表数据是否定期清理,hive\sr\oralce\mysql\doris类型的临时表中都有数据,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 连接${数据源}，进入对应的数据库中，查看临时表
3. 间隔15分钟之后，再查看临时表","1. 成功进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表页面，页面内容正常加载显示，无报错
2. 临时表中有数据
3. 15分钟前的数据都被删除",2
数据资产-数据质量,验证规则存在多个拼接包，临时表是否合并为一张,hive\oralce\mysql\doris\sr,"1. 进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表
2. 数据质量新建${数据源}类型的单表规则，多个拼接包，查看规则详情页，所有规则包的规则sql
3. 数据质量新建${数据源}类型的规则集，多个拼接包，执行后，查看日志中创建的临时表
4. 执行规则后连接${数据源}，进入对应的数据库中，查看临时表","1. 成功进入规则任务配置，新增校验任务，使规则校验不通过。查看规则sql的脏数据表页面，页面内容正常加载显示，无报错
2. 例如临时表都为${数据源}_temp
3. 例如临时表都为${数据源}_temp
4. 只有一个临时表，表中新增执行规则产生的数据",1
