所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则任务配置,验证历史质量报告内，质量评估汇总命名变更,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
4、历史已存在table1的1个规则任务test_rule，报告名称为“table1质量报告”","1. 进入【数据质量-质量报告】，查看table1质量报告
2. 查看报告内，质量评估汇总后的名称","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 展示表名_任务名称，即table1_test_rule",1
数据资产-数据质量-规则任务配置,验证报告内质量评估汇总命名变更,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
4、已存在table1的1个规则任务test_rule，报告名称为“table1质量报告”","1. 进入【数据质量-质量报告】，查看table1质量报告
2. 查看报告内，质量评估汇总后的名称","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 展示表名_任务名称，即table1_test_rule",2
数据资产-数据质量-规则任务配置,验证新增报告-多表-全部任务功能,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目

2.${DATASOURCE}有相似数据源${DATASOURCE1}

3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );

INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');

SELECT * FROM table1;

4.hive2.x/sparkthrift2.x/doris3.x数据表已配置规则集
规则包1:
自定义sql：
select * from table1； 固定值>2，弱规则

有效性校验：
字段id-取值范围-期望值>3，弱规则

5、已存在table1的2个规则任务，任务1、任务2

已存在table2的1个规则任务，
任务3","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1、table2
3. 【选择任务】选择全部，点击确定
4. 查看报告内容","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增【选择任务】字段
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 展示任务1、任务2、任务3相关的表级报告",2
数据资产-数据质量-规则任务配置,验证新增报告-单表-全部任务功能,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目

2.${DATASOURCE}有相似数据源${DATASOURCE1}

3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );

INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');

SELECT * FROM table1;

5、已存在table1的2个规则任务，任务1、任务2","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1
3. 【选择任务】选择全部，点击确定
4. 查看报告内容","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增【选择任务】字段
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 展示任务1、任务2相关的表级报告",2
数据资产-数据质量-规则任务配置,验证新增报告-单表-多个任务功能,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
5、已存在table1的2个规则任务，任务1、任务2","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1
3. 【选择任务】选择【任务1】【任务2】，点击确定
4. 查看报告内容","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增【选择任务】字段
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 展示任务1、任务2相关的表级报告",1
数据资产-数据质量-规则任务配置,验证新增报告-单表-单个任务功能,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
5、已存在table1的2个规则任务，任务1、任务2","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1
3. 【选择任务】选择【任务1】，点击确定
4. 查看报告内容","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增【选择任务】字段
3. 系统提示保存成功，修改内容已生效并在页面中更新显示
4. 只展示任务1相关的表级报告",2
数据资产-数据质量-规则任务配置,验证新增选择任务字段,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
5、已存在table1的2个规则任务，任务1、任务2","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1，查看展示
3. 查看【选择任务】下拉框
4. 再添加一个关联表，查看【选择任务】下拉框","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增【选择任务】字段
3. 展示【全部】【任务1】【任务2】
4. 只展示【全部】",2
数据资产-数据质量-规则任务配置,验证新增质量报告，报告名称校验功能,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
4、已存在table1的1个规则任务，报告名称为“table1质量报告”","1. 进入【数据质量-质量报告-新增报告】
2. 【报告名称】填写【table1质量报告】，关联表选择${DATASOURCE}_${DATABASE}_table1，任务选择全部，点击确定","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 报错：已存在相同的报告名称",2
数据资产-数据质量-规则任务配置,验证质量报告页面，根据表名搜索结果正确,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
4、已存在table1的1个规则任务，任务名称为“任务1”“任务2”","1. 进入【数据质量-质量报告】
2. 数据表搜索“table1”，查看结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 返回“任务1”“任务2”配置的两条单表报告以及当前表的自定义报告信息",2
数据资产-数据质量-规则任务配置,验证任务实例查询页面，根据表名搜索结果正确,"1. 资产平台已存在${DATASOURCE}_${DATABASE}_${TABLE}并授权给当前测试项目
2.${DATASOURCE}有相似数据源${DATASOURCE1}
3. ${TABLE} DDL\DML 如下：
drop table if exists table1;
create table if not EXISTS table1 (
id int,
age string,
name string,
score string,
sex string )
USING paimon tblproperties ( 'primary-key' = 'id' );
INSERT INTO table1 VALUES (1, '11','林大','100','男'), (2, '12','王二','99','男'),(3, '13','张三','99','男'),(4, '14','李四','100','女');
SELECT * FROM table1;
4、已存在table1的1个规则任务，任务名称为“任务1”“任务2”","1. 进入【数据质量-任务实例查询】
2. 搜索“table1”，查看结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 返回“任务1”、“任务2”两条规则的实例",2
