所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——【重跑】业务流程子任务实例,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_27
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：成功
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 等待第二自然日进入周期任务实例界面
4. 勾选A_1周期任务实例，点击重跑当前实例，点击确定
5. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 周期任务实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 周期任务实例重跑成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
5. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",3
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——【修改】【已配置告警规则】的子任务所属业务流程【名称】,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_26
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：成功
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 进入数据开发-周期任务，修改业务流程A的名称为A_xiugai后保存提交
4. 对A_1任务进行补数据操作
5. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 业务流程名称被正常修改、保存、提交
4. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
5. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",3
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——【多个】告警规则内【包含相同】业务流程子任务,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_24
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：成功
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 再次创建告警规则，输入
告警规则名称：gaojin_25
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：成功
告警方式：钉钉（输入对应webhook及接收人）
点击确定
4. 对A任务进行补数据操作
5. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 成功创建告警规则
4. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
5. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",3
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【资源超过占用】,"存在业务流程A，包含子任务A_1-A_2（shell任务，sleep300）
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_23
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：资源超过占用
CPU：1、内存：1
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【超时未完成】,"存在业务流程A，包含子任务A_1-A_2（shell任务，sleep300）
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_22
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：超时未完成
开始运行后：一分钟
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【未按计划时间运行】,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_21
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：未按计划时间运行
超出计划时间：一分钟
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行冻结操作
4. 等待第二自然日进入周期任务实例界面
5. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 周期任务实例未生成
5. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【定时未完成】,"存在业务流程A，包含子任务A_1-A_2（shell任务，sleep300）
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_20
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：定时未完成
预期完成时间：当前时间后三分钟
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【成功】,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_19
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：成功
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【停止】,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_18
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：停止
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 在实例运行过程中停止实例
5. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 实例成功停止
5. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",2
离线开发-运维中心-告警管理,验证告警信息【展示】所属业务流程信息——触发条件为【失败】,"存在业务流程A，包含子任务A_1-A_2
存在业务流程B，包含子任务B_1-B_2
存在业务流程C，包含子任务C_1-C_2
存在业务流程D，包含子任务D_1-D_2
存在普通任务G
存在普通任务H
存在普通任务K
A处于业务流程根目录
B处于业务流程一级目录_1下方
C处于业务流程二级目录下方
D处于业务流程一级目录_2下方
任务A_1、A_2、B_1、G被打标：标签_混合
任务B_2、C_1被打标：标签_业务流程子任务
任务H、K被打标：标签_普通任务","1. 进入运维中心-告警规则，点击创建告警规则
2. 输入
告警规则名称：gaojin_17
选择任务：按任务名称选择
任务选择：A_1
勾选：补数据告警
触发条件：失败
告警方式：钉钉（输入对应webhook及接收人）
点击确定
3. 对A任务进行补数据操作
4. 进入运维中心-告警信息，查看所产生的告警信息内容","1. 弹出创建告警规则弹窗
2. 成功创建告警规则
3. 任务补数据实例生成成功，最终实例运行失败
4. 【业务流程子任务】所对应的告警信息【任务字段】下方添加【业务流程字段】，值为【任务所属业务流程名称】
【普通任务】所对应的告警信息【任务字段】下方【无】新增字段",1
