所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据源中心-告警配置,验证设置同类型其他告警通道作为默认通道，原先保存的webhook仍然存在,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】告警通道已添加，通道类型包含钉钉或飞书或企业微信，且同类型告警通道数量至少两个
7、已添加告警配置，告警方式包含钉钉或飞书或企业微信","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警通道】，设置同类型其他告警通道作为默认通道
2. 返回【数据源中心】-【告警配置】-【告警配置】，选择指定告警配置，点击【编辑】
3. 修改数据源信息（删除数据库），使数据源连通失败
4. 查看钉钉或飞书或企业微信Webhook所在群","1. 系统提示操作成功，页面/数据状态更新为最新
2. 打开【修改告警】弹窗，
【告警方式】钉钉或飞书或企业微信的webhook与之前保存的一致
3. 系统提示操作成功，页面/数据状态更新为最新
4. 成功接收到告警信息",2
数据源中心-告警配置,验证取消默认通道设置，重新设为默认通道，原先保存的webhook仍然存在,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】告警通道已添加，通道类型包含钉钉或飞书或企业微信
7、已添加告警配置，告警方式包含钉钉或飞书或企业微信","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警通道】，取消告警通道的默认通道设置
2. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【数据源中心】-【告警配置】-【告警配置】，选择指定告警配置，点击【编辑】
3. 点击高亮的【告警通道】
4. 将已取消默认通道设置的告警通道，重新设置为默认通道
5. 返回【数据源中心】-【告警配置】-【告警配置】，选择指定告警配置，点击【编辑】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 打开【修改告警】弹窗，
【告警方式】显示“暂无可用的告警方式，请前往配置告警通道。”
3. 跳转至告警通道列表页面
4. 系统提示操作成功，页面/数据状态更新为最新
5. 打开【修改告警】弹窗，
【告警方式】钉钉或飞书或企业微信的webhook与之前保存的一致",3
数据源中心-告警配置,验证新增飞书告警配置,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】飞书告警通道已添加，且设置默认告警通道","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【添加告警】
2. 配置
【告警名称】：公共管理_数据源中心_飞书告警
【数据源名称】：指定数据源
【告警触发】：每次检测到连接失败时
【告警方式】：指定飞书告警方式，并输入飞书Webhook
【接收人】：指定接收人
3. 修改数据源信息（删除数据库），使数据源连通失败
4. 查看飞书Webhook所在群
5. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警记录】，
根据【告警名称】、【告警时间】搜索（删除操作超过10分钟左右）
6. 重新创建被删除的数据库，数据源连通性通过
7. 重建操作超过10分钟左右后，再次删除数据库
8. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警记录】，
根据【告警名称】、【告警时间】搜索（删除操作超过10分钟左右）","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 系统提示操作成功，页面/数据状态更新为最新
4. 成功接收到告警信息
5. 存在一条告警记录
6. 系统提示操作成功，页面/数据状态更新为最新
7. 系统提示操作成功，页面/数据状态更新为最新
8. 新增一条告警记录",1
数据源中心-告警配置,验证新增企业微信告警配置,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】企业微信告警通道已添加，且设置默认告警通道","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【添加告警】
2. 配置
【告警名称】：公共管理_数据源中心_企业微信告警
【数据源名称】：指定数据源
【告警触发】：每日首次检测到连接失败时
【告警方式】：指定企业微信告警方式，并输入企业微信Webhook
【接收人】：指定接收人
3. 修改数据源信息（删除数据库），使数据源连通失败
4. 查看企业微信Webhook所在群
5. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警记录】，
根据【告警名称】、【告警时间】搜索（删除操作超过10分钟左右）
6. 重新创建被删除的数据库，数据源连通性通过
7. 重建操作超过10分钟左右后，再次删除数据库
8. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警记录】，
根据【告警名称】、【告警时间】搜索（删除操作超过10分钟左右）","1. 系统提示操作成功，页面/数据状态更新为最新
2. 告警配置添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 系统提示操作成功，页面/数据状态更新为最新
4. 成功接收到告警信息
5. 存在一条告警记录
6. 系统提示操作成功，页面/数据状态更新为最新
7. 系统提示操作成功，页面/数据状态更新为最新
8. 告警记录仍为一条",1
数据源中心-告警配置,验证告警配置弹窗【告警方式】展示优先级不受告警通道添加顺序影响,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】邮箱、企业微信、自定义告警通道已添加，且均设置默认告警通道","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【添加告警】
2. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警通道】-【新增告警通道】，新增短信、钉钉、飞书告警通道，并设置默认告警通道
3. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【添加告警】","1. 【添加告警】弹窗中【告警方式】显示顺序为邮箱、企业微信、自定义
2. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
3. 【添加告警】弹窗中【告警方式】显示顺序为短信、邮箱、钉钉、企业微信、飞书、自定义",3
数据源中心-告警配置,验证告警配置弹窗【告警方式】展示优先级，勾选钉钉、企业微信、飞书显示Webhook输入框,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】短信、邮箱、钉钉、企业微信、飞书、自定义告警通道已添加，且均设置默认告警通道","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【添加告警】
2. 勾选钉钉、企业微信、飞书的告警方式
3. 输入webhook后，取消勾选
4. 再次选中钉钉、企业微信、飞书的告警方式
5. 输入webhook后，清除内容","1. 【添加告警】弹窗中【告警方式】显示顺序为短信、邮箱、钉钉、企业微信、飞书、自定义
2. 出现webhook输入框，输入提示为“请输入钉钉Webhook地址”
3. webhook输入框隐藏
4. 出现webhook输入框，输入提示为“请输入钉钉Webhook地址”
5. 出现webhook输入框，输入提示为“请输入钉钉Webhook地址”",3
数据源中心-告警配置,验证删除默认通道设置，修改已添加的告警配置，出现“告警通道”快捷入口,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】告警通道已添加
7、已添加告警配置","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警通道】，删除告警通道的默认通道设置
2. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，选择指定告警配置，点击【编辑】
3. 点击高亮的【告警通道】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 打开【修改告警】弹窗，
【告警方式】显示“暂无可用的告警方式，请前往配置告警通道。”
3. 跳转至告警通道列表页面",3
数据源中心-告警配置,验证取消默认通道设置，修改已添加的告警配置，出现“告警通道”快捷入口,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】告警通道已添加
7、已添加告警配置","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警通道】，取消告警通道的默认通道设置
2. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，选择指定告警配置，点击【编辑】
3. 点击高亮的【告警通道】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 打开【修改告警】弹窗，
【告警方式】显示“暂无可用的告警方式，请前往配置告警通道。”
3. 跳转至告警通道列表页面",3
数据源中心-告警配置,验证设置任一告警通道，且不设置为默认通道出现“告警通道”快捷入口,"1、已创建可用租户
2、已存在连通性通过的集群
3、集群【资源管理】中已创建资源组
4、集群【绑定租户】中已绑定租户
5、准备可用的数据源
6、【公共管理】-【告警通道】告警通道已添加，且告警通道均不设置为默认通道","1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【新增告警通道】
2. 点击高亮的【告警通道】","1. 打开【添加告警】弹窗，
【告警方式】显示“暂无可用的告警方式，请前往配置告警通道。”
2. 跳转至告警通道列表页面",2
数据源中心-告警配置,验证未添加任何告警通道出现“告警通道”快捷入口,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【公共组件】-【告警配置】-【告警配置】，点击【新增告警通道】
2. 点击高亮的【告警通道】","1. 打开【添加告警】弹窗，
【告警方式】显示“暂无可用的告警方式，请前往配置告警通道。”
2. 跳转至告警通道列表页面",1
