所属模块,用例标题,前置条件,步骤,预期结果,优先级
运行中实例支持置失败操作,验证周期任务实例详情右键菜单正确_超管,无,"1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-周期任务实例】页面，选择任意一个实例进入实例详情","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 右键实例菜单：在“置成功”上方新增“置失败”按钮",2
运行中实例支持置失败操作,验证周期任务实例详情右键菜单正确_运维账号,无,"1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 运维账号登录，进入【运维中心-周期任务实例】页面，选择任意一个实例进入实例详情","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 右键实例菜单：在“置成功”上方新增“置失败”按钮",2
运行中实例支持置失败操作,验证周期任务实例置失败成功_实例状态为「等待提交&存在下游实例&不依赖上一调度周期」,"1）已存在以下已提交周期任务：任务A、任务B；
2）【调度属性】均设置为“立即生成，小时任务，具体时间为：当前时间往后15分钟以上”；
3）依赖关系：任务A->任务B；
4）任务A的「跨周期依赖」为：不依赖上一调度周期；","1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-周期任务实例】页面，选择任务A的实例（状态为等待提交），置失败","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 1）任务A操作的实例状态更新为“提交失败”；
2）同一周期的任务B实例始终处于“等待提交”状态；
3）下一周期的任务A实例到计划时间后正常提交运行；
4）【安全审计】新增一条记录：“动作”为“周期实例置失败”；",1
运行中实例支持置失败操作,验证周期任务实例置失败成功_实例状态为「提交中&自依赖，等待上一调度周期成功，才能继续运行」,"1）已存在以下已提交周期任务：任务A；
2）【调度属性】均设置为“立即生成，小时任务，具体时间为：当前时间往后15分钟以上”；
3）任务A的「跨周期依赖」为：自依赖，等待上一调度周期成功，才能继续运行；","1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-周期任务实例】页面，选择任务A的实例（状态为提交中），置失败","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 1）任务A操作的实例状态更新为“提交失败”；
2）下一周期的任务A实例到计划时间后始终处于“等待提交”状态；
3）【安全审计】新增一条记录：“动作”为“周期实例置失败”；",1
运行中实例支持置失败操作,验证周期任务实例置失败成功_实例状态为「等待运行&自依赖，等待上一调度周期结束，才能继续运行」,"1）已存在以下已提交周期任务：任务A；
2）【调度属性】均设置为“立即生成，小时任务，具体时间为：当前时间往后15分钟以上”；
3）任务A的「跨周期依赖」为：自依赖，等待上一调度周期结束，才能继续运行；","1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 运维账号登录，进入【运维中心-周期任务实例】页面，选择任务A的实例（状态为等待运行），置失败","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 1）任务A操作的实例状态更新为“运行失败”；
2）下一周期的任务A实例到计划时间后正常提交运行；
3）【安全审计】新增一条记录：“动作”为“周期实例置失败”；",2
运行中实例支持置失败操作,验证周期任务实例置失败成功_实例状态为【运行中&存在上游实例】,"1）已存在以下已提交周期任务：任务A、任务B；
2）【调度属性】均设置为“立即生成，小时任务，具体时间为：当前时间往后15分钟以上”；
3）依赖关系：任务A->任务B；
4）任务A、B的「跨周期依赖」为：不依赖上一调度周期；","1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 运维账号登录，进入【运维中心-周期任务实例】页面，选择任务B的实例（状态为运行中），置失败","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 1）任务B操作的实例状态更新为“运行失败”；
2）下一周期的任务A实例到计划时间后正常提交运行；
3）下一周期的任务B实例到计划时间后正常提交运行；
4）【安全审计】新增一条记录：“动作”为“周期实例置失败”；",2
运行中实例支持置失败操作,验证周期任务实例不支持置失败_实例状态为成功/提交失败/运行失败/冻结/自动取消/手动取消,无,"1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-周期任务实例】页面，选择任意“状态”为“成功”的实例进入实例详情
3. 选择任意“状态”为“提交失败”的实例进入实例详情
4. 选择任意“状态”为“运行失败”的实例进入实例详情
5. 选择任意“状态”为“冻结”的实例进入实例详情
6. 选择任意“状态”为“自动取消”的实例进入实例详情
7. 选择任意“状态”为“手动取消”的实例进入实例详情","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 右键实例菜单：“置失败”按钮置灰不可点击
3. 右键实例菜单：“置失败”按钮置灰不可点击
4. 右键实例菜单：“置失败”按钮置灰不可点击
5. 右键实例菜单：“置失败”按钮置灰不可点击
6. 右键实例菜单：“置失败”按钮置灰不可点击
7. 右键实例菜单：“置失败”按钮置灰不可点击",2
运行中实例支持置失败操作,验证手动任务实例详情右键菜单正确_超管,无,"1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-手动任务实例】页面，选择任意一个实例进入实例详情","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 右键实例菜单：在“置成功”上方新增“置失败”按钮",2
运行中实例支持置失败操作,验证手动任务实例详情右键菜单正确_运维账号,无,"1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 运维账号登录，进入【运维中心-手动任务实例】页面，选择任意一个实例进入实例详情","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 右键实例菜单：在“置成功”上方新增“置失败”按钮",2
运行中实例支持置失败操作,验证手动任务实例置失败成功_实例状态为「等待提交&存在下游实例」,"1）已存在以下已提交手动任务：任务A、任务B；
2）依赖关系：任务A->任务B；","1. 进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表
2. 超管登录，进入【运维中心-手动任务实例】页面，选择任务A的实例（状态为等待提交），置失败","1. 成功进入【portal页-安全审计-离线开发】页面，查看【按操作对象筛选】下拉列表页面，页面内容正常加载显示，无报错
2. 1）任务A操作的实例状态更新为“提交失败”；
2）任务B的实例始终处于“手动取消”状态；
3）【安全审计】新增一条记录：“动作”为“手动实例置失败”；",2
