所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据标准,验证排序,无,"1. 进入【数据标准】页面
2. 默认按照修改时间倒排","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 排序正确，内容与预期完全一致，无异常或错误",3
数据标准,验证列表,无,"1. 进入【数据标准】页面
2. datablau-命名词典-列表数据一致
3. 显示中文名、全称、简称、分类、修改时间","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 页面内容与预期一致，所有元素正常显示，数据准确
3. 页面内容与预期一致，所有元素正常显示，数据准确",2
数据标准,验证标准名称输入搜索,无,"1. 进入【数据标准】页面
2. 支持输入标准名称，点击搜索，支持模糊搜索","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 搜索结果正确，内容与预期完全一致，无异常或错误",2
数据标准,验证详情,无,"1. 进入【数据标准】页面
2. 点击详情
3. datablau-标准代码-详情数据一致","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 成功打开详情弹框
3. 页面内容与预期一致，所有元素正常显示，数据准确",1
数据标准,验证列表,无,"1. 进入【数据标准】页面
2. datablau-标准代码-列表数据一致
3. 显示名称、编号、主题、最后更新时间、操作","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 页面内容与预期一致，所有元素正常显示，数据准确
3. 页面内容与预期一致，所有元素正常显示，数据准确",3
数据标准,验证目录树,无,"1. 进入【数据标准】页面
2. datablau-标准代码-目录树一致
3. 支持选择筛选
4. 选择目录树节点","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 页面内容与预期一致，所有元素正常显示，数据准确
3. 仅支持单选
4. 列表正确显示该节点下所有的标准代码",2
数据标准,验证代码名称输入搜索,无,"1. 进入【数据标准】页面
2. 支持输入代码名称，点击搜索，支持模糊搜索","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 搜索结果正确，内容与预期完全一致，无异常或错误",3
数据标准,验证详情,无,"1. 进入【数据标准】页面
2. 点击详情
3. datablau-基础标准-详情数据一致","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 成功打开详情弹框
3. 页面内容与预期一致，所有元素正常显示，数据准确",1
数据标准,验证列表,无,"1. 进入【数据标准】页面
2. datablau-基础标准-列表数据一致
3. 显示名称、编码、主题、业务定义部门、最后更新时间、操作","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 页面内容与预期一致，所有元素正常显示，数据准确
3. 页面内容与预期一致，所有元素正常显示，数据准确",3
数据标准,验证目录树,无,"1. 进入【数据标准】页面
2. 和datablau-基础标准-目录树一致
3. 支持选择筛选
4. 选择目录树节点","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 页面内容与预期一致，所有元素正常显示，数据准确
3. 仅支持单选
4. 列表正确显示该节点下所有的基础标准",2
数据标准,验证标准名称输入搜索,无,"1. 进入【数据标准】页面
2. 支持输入标准名称，点击搜索，支持模糊搜索","1. 成功进入【数据标准】页面，页面内容正常加载显示，无报错
2. 搜索结果正确，内容与预期完全一致，无异常或错误",3
