所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-AI功能,验证修改表结构后知识库同步更新,"存在schema public
public下存在表test_oushu_biao1、test_oushu_biao2","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——表test_oushu_biao1有哪些字段，给出字段名称
3. 修改表test_oushu_biao1的表结构：
ALTER TABLE test_oushu_biao1
ADD COLUMN bir INT DEFAULT 0;
ALTER TABLE test_oushu_biao1
DROP COLUMN name;
COMMENT ON COLUMN test_oushu_biao1.id IS '员工编号';
4. 再次询问——表test_oushu_biao1有哪些字段，给出字段名称","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql
返回结果：指定表的所有字段
返回思考过程
3. 表结构修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 返回相关查询sql
返回结果：指定表的所有字段
返回思考过程",2
离线开发-数据开发-AI功能,验证不创建不对接schema的数据源建表后正常通过ai询问,"存在schema public
public下存在表test_oushu_biao1、test_oushu_biao2","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——帮我查询test_sr_002的所有数据","1. 可正常打开灵瞳对话框
2. 返回相关查询sql：select * from test_sr_002;
返回结果：指定表的所有数据
返回思考过程",2
离线开发-数据开发-AI功能,验证查询dm for oracle表数据,"存在schema public
public下存在表test_oushu_biao1、test_oushu_biao2","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——帮我查询test_dm_biao1的所有数据","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：select * from test_dm_biao1;
返回结果：指定表的所有数据
返回思考过程",2
离线开发-数据开发-AI功能,验证查询gp表数据,"存在schema public
public下存在表test_oushu_biao1、test_oushu_biao2","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——帮我查询test_gp_biao1的所有数据","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：select * from test_gp_biao1;
返回结果：指定表的所有数据
返回思考过程",2
离线开发-数据开发-AI功能,验证查询表建表信息,"存在schema public
public下存在表test_oushu_biao1、test_oushu_biao2","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——表test_oushu_biao1的建表语句是什么？","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：show create table test_oushu_biao1;
返回结果：指定表的建表语句
返回思考过程",1
离线开发-数据开发-AI功能,验证多次询问后结果返回均一致,"存在三张表：
CREATE TABLE employee_basic (
emp_id INT COMMENT '员工ID',
name VARCHAR(100),
department VARCHAR(100)
);
CREATE TABLE salary_info (
employee_code INT COMMENT '员工ID',
salary DECIMAL(10,2),
bonus DECIMAL(10,2)
);
CREATE TABLE project_assignment (
emp_id INT COMMENT '分配的员工编号',
project_name VARCHAR(100),
assign_date DATE
);
表插入：
INSERT INTO employee_basic (emp_id, name, department) VALUES
(101, 'Alice', 'HR'),
(102, 'Bob', 'Engineering'),
(103, 'Charlie', 'Marketing');

INSERT INTO salary_info (staff_no, base_salary, bonus) VALUES
(1, 6000.00, 500.00),
(202, 7500.00, 800.00),
(203, 5000.00, 300.00);","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——哪些表的员工id是1
3. 多次询问上述问题","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：WITH annotated_columns AS (
SELECT
n.nspname AS schema_name,
c.relname AS table_name,
a.attname AS column_name
FROM
pg_class c
JOIN
pg_namespace n ON n.oid = c.relnamespace
JOIN
pg_attribute a ON a.attrelid = c.oid
JOIN
pg_description d ON d.objoid = c.oid AND d.objsubid = a.attnum
WHERE
d.description ILIKE '%员工id%'
AND c.relkind = 'r'
),
sqls AS (
SELECT
'SELECT ''' || schema_name || '.' || table_name || ''' AS table_name FROM '
|| schema_name || '.' || table_name || ' WHERE ' || column_name || ' = 1 LIMIT 1'
AS sql_text
FROM annotated_columns
),
results AS (
SELECT * FROM (
SELECT
(xpath('//text()', query_to_xml(sql_text, false, true, '')))[1]::text AS table_name
FROM sqls
) AS sub
WHERE table_name IS NOT NULL
)
SELECT * FROM results;
返回结果：返回当前相关字段及表已进入知识库的表
返回思考过程
3. 返回结果均与上文查询结果一致",2
离线开发-数据开发-AI功能,验证询问表数据返回结果与表查询内表数据结果一致,"存在表：
CREATE TABLE IF NOT EXISTS `test_oushu_biao1`(
`号码` BIGINT COMMENT '编号',
`qy_type` SMALLINT COMMENT '类型',
`company_code` BIGINT COMMENT '公司编号',
`company_name` VARCHAR(100) COMMENT '公司名称',
`project_no` BIGINT COMMENT '项目编号',
`project_name` VARCHAR(100) COMMENT '项目名称',
`project_address` VARCHAR(100) COMMENT '项目地址',
`jz_type` SMALLINT COMMENT '类型名称',
`building_name` VARCHAR(100) COMMENT '建造单位',
`sale` BIGINT COMMENT '销售额'
)
STORED AS ORC
DISTRIBUTED BY (号码);
添加表级注释：
COMMENT ON TABLE company IS '公司';
插入数据：
INSERT INTO company
VALUES
(1,1,1,'dtstack_01',1,'dtstack_01','杭州',1,'杭州袋鼠云',1113),
(2,2,2,'dtstack_02',2,'dtstack_02','杭州',2,'杭州云',14113),
(3,3,3,'dtstack_03',3,'dtstack_03','湖州',3,'杭州云机',2012),
(4,4,4,'dtstack_04',4,'dtstack_04','杭州',4,'杭州袋鼠',9000);","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——帮我查询表test_oushu_biao1的所有数据","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：SELECT * from test_oushu_biao1;
返回结果：返回表内所有数据
返回思考过程
返回结果与表查询结果一致",2
离线开发-数据开发-AI功能,验证通过表字段注释及结果查询表名,"存在三张表：
CREATE TABLE employee_basic (
emp_id INT COMMENT '员工ID',
name VARCHAR(100),
department VARCHAR(100)
);
CREATE TABLE salary_info (
employee_code INT COMMENT '员工ID',
salary DECIMAL(10,2),
bonus DECIMAL(10,2)
);
CREATE TABLE project_assignment (
emp_id INT COMMENT '分配的员工编号',
project_name VARCHAR(100),
assign_date DATE
);
表插入：
INSERT INTO employee_basic (emp_id, name, department) VALUES
(101, 'Alice', 'HR'),
(102, 'Bob', 'Engineering'),
(103, 'Charlie', 'Marketing');

INSERT INTO salary_info (staff_no, base_salary, bonus) VALUES
(1, 6000.00, 500.00),
(202, 7500.00, 800.00),
(203, 5000.00, 300.00);","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——哪些表的员工id是1","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：WITH annotated_columns AS (
SELECT
n.nspname AS schema_name,
c.relname AS table_name,
a.attname AS column_name
FROM
pg_class c
JOIN
pg_namespace n ON n.oid = c.relnamespace
JOIN
pg_attribute a ON a.attrelid = c.oid
JOIN
pg_description d ON d.objoid = c.oid AND d.objsubid = a.attnum
WHERE
d.description ILIKE '%员工id%'
AND c.relkind = 'r'
),
sqls AS (
SELECT
'SELECT ''' || schema_name || '.' || table_name || ''' AS table_name FROM '
|| schema_name || '.' || table_name || ' WHERE ' || column_name || ' = 1 LIMIT 1'
AS sql_text
FROM annotated_columns
),
results AS (
SELECT * FROM (
SELECT
(xpath('//text()', query_to_xml(sql_text, false, true, '')))[1]::text AS table_name
FROM sqls
) AS sub
WHERE table_name IS NOT NULL
)
SELECT * FROM results;
返回结果：返回当前相关字段及表已进入知识库的表
返回思考过程",2
离线开发-数据开发-AI功能,验证通过表字段注释查询表名,"存在三张表：
CREATE TABLE employee_basic (
emp_id INT COMMENT '员工ID',
name VARCHAR(100),
department VARCHAR(100)
);
CREATE TABLE salary_info (
employee_code INT COMMENT '员工ID',
salary DECIMAL(10,2),
bonus DECIMAL(10,2)
);
CREATE TABLE project_assignment (
emp_id INT COMMENT '分配的员工编号',
project_name VARCHAR(100),
assign_date DATE
);","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——有哪些表有员工id字段","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 返回相关查询sql：SELECT
n.nspname AS schema_name,
c.relname AS table_name,
a.attname AS column_name,
d.description AS column_comment
FROM
pg_class c
JOIN pg_namespace n ON n.oid = c.relnamespace
JOIN pg_attribute a ON a.attrelid = c.oid
JOIN pg_description d ON d.objoid = c.oid AND d.objsubid = a.attnum
WHERE
d.description ILIKE '%员工id%'
AND c.relkind = 'r';  -- 只查普通表
返回结果：返回当前相关字段及表已进入知识库的表
返回思考过程",2
离线开发-数据开发-AI功能,验证询问非返回sql问答结果正常,"存在三张表：
CREATE TABLE employee_basic (
emp_id INT COMMENT '员工ID',
name VARCHAR(100),
department VARCHAR(100)
);","1. 进入数据源选择不创建且不对接schema的项目
2. 询问——oushudb有哪些数据类型，给出十种
3. 询问——oushudb的left join和right join有哪些区别
4. 询问——报错SQL execute exception：Error while compiling statement: FAILED: ParseException line 11:1 missing EOF at 'PARTED' near的原因","1. 成功进入数据源选择不创建且不对接schema的项目页面，页面内容正常加载显示，无报错
2. 不返回sql语句及sql查询框
使用自然语言返回相关问题结果
返回思考过程
3. 不返回sql语句及sql查询框
使用自然语言返回相关问题结果
返回思考过程
4. 不返回sql语句及sql查询框
使用自然语言返回相关问题结果
返回思考过程",1
