所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证「内置规则」-「完整性」-「多表」-「多表数据内容对比」-「多表数据对比」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【完整性校验】-【规则类型-多表】-【统计函数-多表数据内容对比】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【监控规则】配置如下：【规则类型】选择【多表数据内容对比】【字段】选择【id】【期望值】选择【<=100】【选择校验表主键】为【id】【选择对比表】-【对比表】选择【table2】【对比表字段】选择【id2】【期望值】选择【<=100】【选择判断关系】为【且】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【多表数据内容对比】2. 【规则解释】展示为【多表数据内容对比】3. 【规则分类】展示为【完整性】4. 【关联范围】展示为【多表】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「比较多个数据表之间的字段取值校验，可根据选择的主键按照多表之间主键相同的行数据进行对比判断」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【多表数据内容对比】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【多表数据内容对比】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「完整性」-「多表」-「多表行数比对」-「多表行数比对」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【完整性校验】-【规则类型-多表】-【统计函数-多表行数比对】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【监控规则】配置如下：【规则类型】选择【多表数据行数对比】【选择对比表】-【对比表所属库】选择【databases2】【对比表】选择【table2】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【多表行数对比】2. 【规则解释】展示为【多表行数比对】3. 【规则分类】展示为【完整性】4. 【关联范围】展示为【多表】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为【比较多个数据表之间的表行数差异】
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【多表行数比对】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【多表行数比对】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「完整性」-「字段级」-「字段值校验」-「字段值取值校验」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【完整性校验】-【规则类型-字段】-【统计函数-字段值校验】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【监控规则】配置如下：【规则类型】选择【字段级】【字段】选择【id】【统计函数】 选择【字段取值范围校验】【过滤条件】 输入【id < 100】【期望值】选择【>0】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【字段值校验】2. 【规则解释】展示为【字段取值校验】3. 【规则分类】展示为【完整性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「针对字段值取值的校验，支持配置表内多个字段的取值校验，可配置字段值>/>=/</<=/=/!=/包含/不包含逻辑，若配置了多个字段支持设置字段之间的且或关系。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【字段取值校验】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【字段取值校验】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「统计性」-「字段级」-「异常值检测」-异常值检测，Z- score置信区间」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【统计性校验】-【统计函数-异常值检测】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【规则类型】选择【字段级】【统计函数】 选择【异常值检测】【过滤条件】 输入【id < 100】【校验方法】选择【Z-score置信区间】【期望值】选择【<1】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【异常值检测】2. 【规则解释】展示为【异常值检测，Z- score置信区间】3. 【规则分类】展示为【统计性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「针对字段值置信区间的计算，可配置置信区间>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【异常值检测，Z- score置信区间】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【异常值检测，Z- score置信区间】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「统计性」-「字段级」-「异常值检测」-「异常值检测，IQR离群点占比」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【统计性校验】-【统计函数-异常值检测】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【规则类型】选择【字段级】【统计函数】 选择【异常值检测】【过滤条件】 输入【id < 100】【校验方法】选择【IQR离群点占比】【期望值】选择【<1%】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【异常值检测】2. 【规则解释】展示为【异常值检测，IQR离群点占比】3. 【规则分类】展示为【统计性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「针对字段值存在离群点的数量的占比计算，可配置离群点数占比>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【异常值检测，IQR离群点占比】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【异常值检测，IQR离群点占比】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「统计性」-「字段级」-「异常值检测」-「异常值检测，IQR离群点数量」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【统计性校验】-【统计函数-异常值检测】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【规则类型】选择【字段级】【统计函数】 选择【异常值检测】【过滤条件】 输入【id < 100】【校验方法】选择【IQR离群点数量】【期望值】选择【<1】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【异常值检测】2. 【规则解释】展示为【异常值检测，IQR离群点数量】3. 【规则分类】展示为【统计性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「针对字段值存在离群点的数量的计算，可配置离群点数>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【异常值检测，IQR离群点数量】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【异常值检测，IQR离群点数量】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",1
数据资产-数据质量-内置规则库,验证「内置规则」-「有效性」-「字段级」-「格式校验」-「格式-自定义正则-xxx(规则名称)」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【有效性校验】-【统计函数-格式校验】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【字段】选择【id】【统计规则】 选择【格式校验-自定义正则】【校验格式】选择【占比】【期望值】 <10%【过滤条件】 输入【id < 100】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【格式校验】2. 【规则解释】展示为【格式-自定义正则-xxx(规则名称)】3. 【规则分类】展示为【有效性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「校验字段值符合xxx(规则名称)的占比，可配置符合格式占比>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【格式-自定义正则-xxx(规则名称)】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【格式-自定义正则-xxx(规则名称)】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",2
数据资产-数据质量-内置规则库,验证「内置规则」-「有效性」-「字段级」-「格式校验」-「格式-自定义正则-xxx(规则名称)」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【有效性校验】-【统计函数-格式校验】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【字段】选择【id】【统计规则】 选择【格式校验-自定义正则】【校验格式】选择【固定值】【期望值】 <10【过滤条件】 输入【id < 100】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【格式校验】2. 【规则解释】展示为【格式-自定义正则-xxx(规则名称)】3. 【规则分类】展示为【有效性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「校验字段值符合xxx(规则名称)的数量，可配置符合格式个数>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【格式-自定义正则-xxx(规则名称)】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【格式-自定义正则-xxx(规则名称)】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",2
数据资产-数据质量-内置规则库,验证「内置规则」-「有效性」-「字段级」-「格式校验」-「格式-日期格式datetime，占比」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);
INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【有效性校验】-【统计函数-格式校验】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【字段】选择【id】【统计规则】 选择【格式校验-日期格式datetime】【校验格式】选择【占比】【期望值】 <10%【过滤条件】 输入【id < 100】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【格式校验】2. 【规则解释】展示为【格式-日期格式datetime，占比】3. 【规则分类】展示为【有效性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「校验字段值符合日期格式datetime格式的占比，可配置符合格式占比>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【格式-日期格式datetime，占比】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【格式-日期格式datetime，占比】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",2
数据资产-数据质量-内置规则库,验证「内置规则」-「有效性」-「字段级」-「格式校验」-「格式-日期格式datetime，固定值」规则功能正确,"1. 已存在doris数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下

CREATE TABLE IF NOT EXISTS database.tableA (
id BIGINT NOT NULL COMMENT '学生ID',
course_name VARCHAR(64) NOT NULL COMMENT '课程名称',
score DECIMAL(4,1) COMMENT '成绩',
exam_date DATE NOT NULL COMMENT '考试日期'
)
ENGINE=OLAP
DUPLICATE KEY(id, exam_date)
PARTITION BY RANGE (exam_date) (
PARTITION p202401 VALUES LESS THAN ('2024-02-01'),
PARTITION p202402 VALUES LESS THAN ('2024-03-01'),
PARTITION p202403 VALUES LESS THAN ('2024-04-01'),
PARTITION p202404 VALUES LESS THAN ('2024-05-01')
)
DISTRIBUTED BY HASH(id) BUCKETS 10
PROPERTIES (
“replication_num“ = “1“);


INSERT INTO database.tableA (id, course_name, score, exam_date)
VALUES
(1, '数学', 85.5, '2024-03-15'),
(2, '英语', 92.0, '2024-03-15'),
(3, '英语', 78.0, '2024-04-20');","1. 进入【资产】-【数据质量】-【规则任务配置】-【规则库配置】页面
2. 查看规则
3. 【规则状态】变更为【关闭】状态
4. 点击【规则任务配置】-【新增监控规则】
5. 【监控对象】配置【数据源】【数据库】【数据表】【输入分区】 选择【选择已有分区】-“exam_date=2024-03-15“【监控规则】配置【有效性校验】-【统计函数-格式校验】 查看【校验方法】
6. 【规则状态】变更为【开启】状态
7. 再次查看【监控规则】下的【校验方法】
8. 【字段】选择【id】【统计规则】 选择【格式校验-日期格式datetime】【校验格式】选择【固定值】【期望值】 <10【过滤条件】 输入【id < 100】【强弱规则】选择【弱规则】【规则描述】输入【测试规则】
9. 保存规则，且【调度属性】中配置【规则报告】为最新结果
10. 临时运行规则，查看实例详情及质量报告
11. 【内置规则】-【规则状态】变更为【关闭】状态","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 【规则名称】展示为【格式校验】2. 【规则解释】展示为【格式-日期格式datetime，固定值】3. 【规则分类】展示为【有效性】4. 【关联范围】展示为【字段级】5. 【关联规则数】展示为【XX】6. 【规则状态】展示为【开启】7. 【规则描述】展示为「校验字段值符合日期格式date格式的数量，可配置符合格式个数>/>=/</<=/=/!=某个数值。」
3. 系统提示变更成功，变更内容已生效，页面显示最新状态
4. 进入规则配置【监控对象】页面
5. 不展示【格式-日期格式datetime，固定值】
6. 系统提示变更成功，变更内容已生效，页面显示最新状态
7. 展示【格式-日期格式datetime，固定值】
8. 配置完成
9. 系统提示保存成功，修改内容已生效并在页面中更新显示
10. 实例运行结果符合预期，且实例详情展示正确，质量报告展示正确
11. 关联规则数不为0，不支持关闭",2
