所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-批量操作,验证批量操作中手动任务的修改任务标签功能,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选中任务[周期任务A]，点击修改任务标签校验
3. 修改标签后，点击确定
4. 关闭弹窗","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 出现修改标签弹窗
3. 任务属性修改成功，列表页显示更新后的任务信息，无报错
4. 列表数据自动刷新，展示最新数据",2
离线开发-数据开发-批量操作,验证批量操作中手动任务的修改调度周期功能,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选中任务[周期任务A]，点击修改调度周期
3. 调整调度周期后，点击确定
4. 关闭弹窗","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 出现修改调度周期弹窗
3. 任务属性修改成功，列表页显示更新后的任务信息，无报错
4. 列表数据自动刷新，展示最新数据",2
离线开发-数据开发-批量操作,验证批量操作中手动任务的批量提交功能,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选中任务[周期任务A]，点击提交","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 任务批量提交成功，任务状态更新为""已提交""，无报错",2
离线开发-数据开发-批量操作,验证批量操作-手动任务-翻页组件与筛选- 指定页码与筛选,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选择指定任务类型，点击页码按钮","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 页面任务列表自动刷新，展示最新数据",2
离线开发-数据开发-批量操作,验证批量操作-手动任务-翻页组件与筛选- 每页条数与筛选,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选择指定任务类型，切换每页条数","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 页面任务列表自动刷新，展示最新数据",2
离线开发-数据开发-批量操作,验证批量操作-手动任务-翻页组件与筛选- 前后翻页与筛选,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选择指定任务类型，点击向前/向后翻一页
3. 选择指定任务类型，点击向前/向后翻多页","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 页面任务列表自动刷新，展示最新数据
3. 页面任务列表自动刷新，展示最新数据",1
离线开发-数据开发-批量操作,验证批量操作-手动任务-列表勾选- 筛选后清除已勾选数据,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 点击列表下方选择全部按钮，选择指定任务类型
3. 点击列表下方选择全部按钮，选择指定任务标签
4. 点击列表下方选择全部按钮，选择指定任务状态","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 任务取消选中，列表下方显示已选择0个任务
3. 任务取消选中，列表下方显示已选择0个任务
4. 任务取消选中，列表下方显示已选择0个任务",1
离线开发-数据开发-批量操作,验证批量操作-手动任务-重置按钮- 重置批量操作tab页所有可操作项,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 重置所有筛选项，筛选项内容为默认状态
3. 显示所有未删除任务","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 筛选条件正确传递，列表展示符合筛选结果
3. 与初始化时一致",1
离线开发-数据开发-批量操作,验证批量操作-手动任务-查询按钮- 查询按钮与指定任务状态筛选,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选择指定任务状态，点击查询按钮","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 页面任务列表自动刷新，展示最新数据",2
离线开发-数据开发-批量操作,验证批量操作-手动任务-查询按钮- 查询按钮与指定任务标签筛选,无,"1. 进入【离线开发】-【数据开发】-【批量操作】页面
2. 选择指定任务标签，点击查询按钮","1. 成功进入【离线开发】-【数据开发】-【批量操作】页面，页面内容正常加载显示，无报错
2. 页面任务列表自动刷新，展示最新数据",2
