所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-通用配置,验证「通用配置」项目隔离功能正常,已存在两个项目A/B,"1. 进入数据资产-数据质量页面
2. 选择项目A，进入【通用配置】页面，配置HIVE/DORIS维表
3. 切换到项目B，进入【通用配置】页面","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 配置项目隔离，不展示A项目已配置的维表设置",3
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」-「车辆数统计字段」字段不存在或不匹配-异常情况验证,"已存在Doris维表设置，配置如下：
Doris维表设置如下：
「数据源」选择「Doris」
「schema」 选择「schemaA」
「数据库」选择「databaseA」
「数据表」选择「tableA」
「车辆数统计字段」选择「vin」
「车系关联字段」选择「car_config」
「车型关联字段」选择「car_series」
「动力类型关联字段」选择「car_power」
Doris维表ddl/dml 如下:
create schemaA.databaseA.tableA (
vin string ,
car_series string  ,
car_power string,
car_config string
);
insert into schemaA.databaseA.tableA values
('test1','追光1','EV','H53a'),
('test2','追光2','EV','H53a'),
('test3','追光3','EV','H53a'),
('test4,'追光1','EV','H53a'),
('test5','追光2','EV','H53a'),
('test6','追光3','EV','H53a');
校验规则表ddl/dml 如下:
create tableB (
test_col string ,
name string
);
insert into tableB values
('test1','岚图_追光1'),
('test2','岚图_追光2');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【天】-【每天18点】
【数据周期】选择【前1天～前3天】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
6. 保存并立即运行规则
7. 进入【质量报告】页面查看报告","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 表中包含总车辆不展示(日志内报错字段名不匹配或不存在)
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
6. 任务实例运行完成
7. 1. 报告上方展示车辆信息汇总模块",2
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」配置更新生效校验,"已存在doris维表设置，配置如下：
doris维表设置如下：
「数据源」选择「doris」
「schema」选择「schemaA」
「数据库」选择「databaseA」
「数据表」选择「tableA」
「车辆数统计字段」选择「vin」
「车系关联字段」选择「car_config」
「车型关联字段」选择「car_series」
「动力类型关联字段」选择「car_power」
Doris维表ddl/dml 如下:
create schemaA.databaseA.tableA (
vin string ,
car_series string  ,
car_power string,
car_config string
);
insert into schemaA.databaseA.tableA values
('test1','追光1','EV','H53a'),
('test2','追光2','EV','H53a'),
('test3','追光3','EV','H53a'),
('test4,'追光1','EV','H53a'),
('test5','追光2','EV','H53a'),
('test6','追光3','EV','H53a');
校验规则表ddl/dml 如下:
create tableB (
vin string ,
name string
);
insert into tableB values
('test1','岚图_追光1'),
('test2','岚图_追光2');","1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. Doris维表设置编辑如下：
【数据源】选择【Doris2】
【schema】选择【schemaB】
【数据库】选择【databaseB】
【数据表】选择【tableB】
【车辆数统计字段】选择【vin】
【车系关联字段】选择【car_config】
【车型关联字段】选择【car_series】
【动力类型关联字段】选择【car_power】
4. 点击其他tab页面
5. 点击【取消】按钮
6. 点击【保存】按钮
7. 进入数据资产-质量-规则任务配置页面
8. 点击【新建监控规则】按钮，进入监控规则配置页面
9. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
10. 【完整性校验】规则均配置
11. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【天】-【每天18点】
【数据周期】选择【前1天～前3天】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
12. 保存并立即运行规则
13. 进入【质量报告】页面查看报告","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 车系/车型/动力类型/车辆数/表中包含车辆数/车辆总数/表中包含总车辆正确
3. 系统提示配置成功，配置项已生效，页面显示最新配置状态
4. 提示“修改内容没有保存，退出页面后编辑内容无法生效，请确认是否退出”
5. 恢复到上次保存的状态
6. doris维表更新配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
7. 成功进入目标页面，页面内容正常加载显示，无报错
8. 成功进入目标页面，页面内容正常加载显示，无报错
9. 选择成功，展示【完整性校验】规则配置项
10. 配置完成
11. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
12. 任务实例运行完成
13. 1. 报告上方展示车辆信息汇总模块",1
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」配置生效校验,"已存在Doris维表设置，配置如下：
Doris维表设置如下：
「数据源」选择「Doris」
「schema」选择「schemaA」
「数据库」选择「databaseA」
「数据表」选择「tableA」
「车辆数统计字段」选择「vin」
「车系关联字段」选择「car_config」
「车型关联字段」选择「car_series」
「动力类型关联字段」选择「car_power」


Doris维表ddl/dml 如下:

create schemaA.databaseA.tableA (
vin string ,
car_series string  ,
car_power string,
car_config string
);

insert into schemaA.databaseA.tableA values
('test1','追光1','EV','H53a'),
('test2','追光2','EV','H53a'),
('test3','追光3','EV','H53a'),
('test4,'追光1','EV','H53a'),
('test5','追光2','EV','H53a'),
('test6','追光3','EV','H53a');

校验规则表ddl/dml 如下:
create tableB (
vin string ,
name string
);

insert into tableB values
('test1','岚图_追光1'),
('test2','岚图_追光2');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【天】-【每天18点】
【数据周期】选择【前1天～前3天】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
6. 保存并立即运行规则
7. 进入【质量报告】页面查看报告","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 车系/车型/动力类型/车辆数/表中包含车辆数/车辆总数/表中包含总车辆正确
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
6. 任务实例运行完成
7. 1. 报告上方展示车辆信息汇总模块",1
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」配置全流程校验,平台已引入并授权Doris数据源给当前项目，且Doris数据源存在schemaA/databaseA/tableA,"1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. hive维表设置如下：
【数据源】选择【Doris】
【schema】选择【schemaA】
【数据库】选择【databaseA】
【数据表】选择【tableA】
【车辆数统计字段】选择【vin】
【车系关联字段】选择【car_config】
【车型关联字段】选择【car_series】
【动力类型关联字段】选择【car_power】
4. 点击保存","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 系统提示配置成功，配置项已生效，页面显示最新配置状态
4. hive维表设置配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置",2
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」选择框必填项校验,无,"1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. 未选择【数据源】时，点击【保存】按钮
4. 选择【数据源】后，点击保存
5. 选择【schema】后，点击保存
6. 选择【数据库】后，点击保存
7. 选择【数据表】后，点击保存
8. 选择【车辆数统计字段】后，点击保存
9. 选择【车系关联字段】后，点击保存
10. 选择【车型关联字段】后，点击保存
11. 选择【动力类型关联字段】后，点击保存","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 提示“数据源为必选项，请选择内容后再进行保存”
4. 提示“schema为必选项，请选择内容后再进行保存”
5. 提示“数据库为必选项，请选择内容后再进行保存”
6. 提示“数据表为必选项，请选择内容后再进行保存”
7. 提示“车辆数统计字段为必选项，请选择内容后再进行保存”
8. 提示“车系关联字段字段为必选项，请选择内容后再进行保存”
9. 提示“车型关联字段为必选项，请选择内容后再进行保存”
10. 提示“动力类型关联字段为必选项，请选择内容后再进行保存”
11. 系统提示保存成功，修改内容已生效并在页面中更新显示",3
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」数据源、库、表仅支持单选功能校验,"平台已引入并授权DorisA/DorisB数据源给当前项目，且DorisA数据源存在
schemaA/databaseA/tableA、tableB
schemaB/databaseB/tableC","1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. 点击【数据源】选择框
4. 点击【schema】选择框，选择schema
5. 点击【数据库】选择框，选择数据库
6. 点击【数据表】选择框，选择数据表","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 仅支持选择单个数据源
4. 仅支持选择单个schema
5. 仅支持选择单个数据库
6. 仅支持选择单个数据表",3
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」数据源、库、表级联功能校验,平台已引入并授权Hive数据源给当前项目，且HIVE数据源存在schemaA/databaseA/tableA,"1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. 【数据源】选择Doris
点击【数据库】选择框
4. 选择schema后，点击【数据库】选择框
5. 选择数据库后，点击【数据表】选择框
6. 如果数据源Doris下没有任何数据库，【数据源】选择Doris
点击【数据库】选择框
7. 如果数据源HIVE下database数据库没有任何表，【数据源】选择Doris
【数据库】选择database，再点击【数据表】选择框","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 展示已存在的所有schema信息【schemaA】
4. 展示已存在的所有数据库信息【databaseA】
5. 展示已存在的所有数据表信息【tableA】
6. 展示为【暂无数据】缺省页
7. 展示为【暂无数据】缺省页",3
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」数据源选择框功能校验,无,"1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置Doris】
3. 未选择【数据源】时，点击【保存】按钮
4. 点击【数据源】选择框
5. 选择【数据源】Doris","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 提示“数据源为必选项，请选择内容后再进行保存”
4. 展示为【暂无数据】缺省页
5. 选择项已高亮/回显选中状态，相关联动字段随之更新",3
数据资产-数据质量-通用配置,验证「报告关联维表设置Doris」二级页面校验,无,"1. 进入数据资产-数据质量-通用配置页面
2. 选择【报告关联维表设置DORIS】
3. 页面UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 正确展示
TAB 标题【报告关联维表设置(hive)】
【数据源】必选框
【catalog】必选框
【数据库】必选框
【数据表】必选框
【车辆数统计字段】必选框
【车系关联字段】必选框
【车型关联字段】必选框
【动力类型关联字段】必选框",3
