所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——勾选大批量任务,存在4000+的任务,"1. 进入【数据开发-批量操作】，勾选全部4000+任务，点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务","1. 弹窗提示已选中任务数：4000，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功
3. 对应任务已被删除",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——勾选不同分页的数据,存在大于一页的任务,"1. 进入【数据开发-批量操作】，分别勾选第一页的部分任务（2个）及第二页的部分任务（3个），点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务","1. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功
3. 对应任务已被删除",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——任务已被打开,存在随机不少于五种类型周期任务,"1. 进入【数据开发】，打开前置条件内任务
2. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
3. 点击删除
4. 点击关闭弹窗
5. 进入周期任务菜单，查看对应任务","1. 任务打开成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
3. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功
4. 数栈页面整体刷新，已打开任务标签被删除
5. 对应任务已被删除，打开的任务标签也被删除",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——任务删除失败后重新删除,"存在随机不少于六种类型周期任务
任务1:未解锁
任务2:未冻结
任务3:存在下游依赖
任务4:当前用户无权限
任务5:选中时已经被删除
任务6:已符合删除要求","1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务
4. 解锁任务1，冻结任务2，取消任务3依赖关系，切换有任务4权限用户后再次进入批量操作界面
5. 再次勾选上述四个任务点击更多操作-删除任务
6. 点击删除","1. 弹窗提示已选中任务数：6，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-失败，日志展示对应失败原因，任务6状态显示成功
3. 对应任务6已被删除，其余任务依然存在
4. 不展示任务5、任务6
5. 弹窗提示已选中任务数：4，删除后无法找回，请谨慎操作
6. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功",2
离线开发-数据开发-批量操作,验证批量操作删除多个【手动】任务成功——任务部分【符合】删除条件,"存在随机不少于六种类型手动任务
任务1:未解锁
任务2:未冻结
任务3:存在下游依赖
任务4:当前用户无权限
任务5:选中时已经被删除
任务6:已符合删除要求","1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入手动任务菜单，查看对应任务","1. 弹窗提示已选中任务数：6，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-失败，日志展示对应失败原因，任务6状态显示成功
3. 对应任务6已被删除，其余任务依然存在",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——任务部分【符合】删除条件,"存在随机不少于六种类型周期任务
任务1:未解锁
任务2:未冻结
任务3:存在下游依赖
任务4:当前用户无权限
任务5:选中时已经被删除
任务6:已符合删除要求","1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务","1. 弹窗提示已选中任务数：6，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-失败，日志展示对应失败原因，任务6状态显示成功
3. 对应任务6已被删除，其余任务依然存在",2
离线开发-数据开发-批量操作,验证批量操作删除多个【手动】任务失败——任务均【不符合】删除条件,"存在随机不少于五种类型手动任务
任务1:未解锁
任务2:未冻结
任务3:存在下游依赖
任务4:当前用户无权限
任务5:选中时已经被删除","1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入手动任务菜单，查看对应任务","1. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-失败，日志展示对应失败原因
3. 对应任务仍然存在",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务失败——任务均【不符合】删除条件,"存在随机不少于五种类型周期任务
任务1:未解锁
任务2:未冻结
任务3:存在下游依赖
任务4:当前用户无权限
任务5:选中时已经被删除","1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务","1. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-失败，日志展示对应失败原因
3. 对应任务仍然存在",1
离线开发-数据开发-批量操作,验证批量操作删除多个【手动】任务成功——任务均【已符合】删除条件,存在随机不少于五种类型手动任务,"1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入手动任务菜单，查看对应任务","1. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功
3. 对应任务已被删除",2
离线开发-数据开发-批量操作,验证批量操作删除多个【周期】任务成功——任务均【已符合】删除条件,存在随机不少于五种类型周期任务,"1. 进入【数据开发-批量操作】，勾选前置条件内任务，点击更多操作-删除任务
2. 点击删除
3. 进入周期任务菜单，查看对应任务","1. 弹窗提示已选中任务数：5，删除后无法找回，请谨慎操作
2. 弹出批量删除任务弹窗展示任务删除状态，状态流转：未删除-删除中-成功
3. 对应任务已被删除",1
