所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据-数据表管理,验证审批中-取消申请功能,"数据地图有表test1，数据源为test_HADOOP。数据库为test，下线
申请审批中","1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 进入数据资产-数据地图，查看表test1的状态","1. 系统提示取消成功，当前操作已撤销，页面恢复至操作前状态
2. 状态为未发布",2
数据资产-元数据-数据表管理,验证审批中-申请详情,"数据地图有表test1，数据源为test_HADOOP。数据库为test，下线
申请审批中",1. 进入审批中心-我的申请-审批中查看表test1的申请详情,1. 和审批工单类似，缺少审批理由,3
数据资产-元数据-数据表管理,验证审批中-【申请类别】筛选功能,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 对接内容选择【数据表发布、下线申请】，查看右侧数据
3. 勾选发布数据表进行搜索
4. 勾选下线数据表进行搜索
5. 组合筛选
6. 筛选、排序组合","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 展示所有我申请的并在审批中的数据表发布、下线申请工单
3. 展示所有审批中的发布数据表的申请工单
4. 展示所有审批中的下线数据表的申请工单
5. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示
6. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",3
数据资产-元数据-数据表管理,验证审批中-【申请时间】排序功能,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 对申请时间进行排序","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",3
数据资产-元数据-数据表管理,验证发布申请审批中，审批中列表字段展示,无,"1. 进入审批中心-我的申请-审批中-数据资产，选择【数据表发布、下线申请】，查看右侧列表字段
2. 查看表test对应的工单数据","1. 列表字段有：【数据表名】、【所属数据库】、【所属数据源】、【申请类别】、【申请人】、【租户】、【申请时间】
2. 工单的数据正确。其中申请类别为发布/下线数据表",2
数据资产-元数据-数据表管理,验证我的申请-审批中对接内容是否新增,无,"1. 进入公共管理-审批中心-我的申请-审批中-数据资产，点击对接内容，查看下拉框
2. 选择【数据表发布、下线申请】，查看搜索栏展示","1. 下拉框新增【数据表发布、下线申请】
2. 1）下方展示【租户】、【数据表名】搜索框2）搜索结果正确",2
数据资产-元数据-数据表管理,验证已结束-审批详情展示,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 发布、下线申请审批结束后，进入我的申请-已结束，点击审批详情
3. 查看【申请信息】展示
4. 查看【申请理由】展示
5. 查看【审批流程】展示
6. 查看【审批理由】展示","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 1）左上角展示XXX提交的数据表发布、下线申请。右侧展示工单状态。2）展示【申请信息】、【申请理由】、【审批流程】、【审批理由】
3. 1）展示【所属租户】、【申请时间】、【数据表名】、【所属数据库】、【所属数据源】、【申请类别】2）数据正确
4. 1）如果为发布申请，默认为数据表发布2）如果为下线申请，默认为数据表下线
5. 展示完整的审批流程，当前审批节点状态为审批中，后续节点置灰
6. 内容与预期一致，操作结果符合业务规则",2
数据资产-元数据-数据表管理,验证已结束-【审批状态】筛选功能,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 查看审批状态筛选器的选项
3. 单选、多选、组合筛选","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 已通过/已拒绝/已取消/审批中
3. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",3
数据资产-元数据-数据表管理,验证已结束-【申请类别】筛选功能,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 对接内容选择【数据表发布、下线申请】，查看右侧数据
3. 勾选发布数据表进行搜索
4. 勾选下线数据表进行搜索
5. 组合筛选
6. 筛选、排序组合","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 展示所有我申请的并审批结束的数据表发布、下线申请工单
3. 展示所有已结束的发布数据表的申请工单
4. 展示所有已结束的下线数据表的申请工单
5. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示
6. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",3
数据资产-元数据-数据表管理,验证已结束-【申请时间】/【审批时间】排序功能,无,"1. 进入审批中心-我的申请-审批中，取消表test1的下线申请
2. 对申请时间进行排序","1. 成功进入审批中心-我的申请-审批中，取消表test1的下线申请页面，页面内容正常加载显示，无报错
2. 结果正确，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",3
数据资产-元数据-数据表管理,验证发布申请审批结束后，已结束列表字段展示,无,"1. 进入审批中心-我的申请-已结束-数据资产，选择【数据表发布、下线申请】，查看右侧列表字段
2. 查看表test对应的工单数据","1. 列表字段有：【数据表名】、【所属数据库】、【所属数据源】、【申请类别】、【申请人】、【租户】、【申请时间】、【审批状态】、【审批时间】
2. 工单的数据正确。其中申请类别为发布/下线数据表",2
数据资产-元数据-数据表管理,验证我的申请-已结束对接内容是否新增,无,"1. 进入公共管理-审批中心-我的申请-已结束-数据资产，点击对接内容，查看下拉框
2. 选择【数据表发布、下线申请】，查看搜索栏展示","1. 下拉框新增【数据表发布、下线申请】
2. 1）下方展示【租户】、【审批人】、【审批时间】、【数据表名】搜索框2）搜索结果正确",2
数据资产-元数据-数据表管理,验证审批授权-全部审批新增数据表发布、下线申请,无,"1. 进入公共管理-审批中心-审批授权-全部审批-数据资产，点击对接内容，查看下拉框
2. 选择【数据表发布、下线申请】，查看搜索栏展示
3. 查看右侧数据展示展示","1. 下拉框新增【数据表发布、下线申请】
2. 1）下方展示【租户】、【申请人】、【数据表名】搜索框2）搜索结果正确
3. 右侧数据展示所有已审批、待审批的发布/下线工单",2
