所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据安全-分级管理,验证数据库配置记录删除操作,"1.数据安全-自动分级-编辑规则页面已打开
2.已存在一条数据库配置：数据源为X，数据库为Y，数据库过滤为test.*","1. 进入【数据库配置记录删除操作】页面
2. 查看已存在的一条记录后方删除按钮
3. 点击新增按钮
4. 在数据源处选择A，数据库选择B，数据库过滤输入test.*
5. 选中数据源为A的记录，点击删除按钮","1. 成功进入【数据库配置记录删除操作】页面，页面内容正常加载显示，无报错
2. 置为灰色，不支持删除
3. 下方新出现一行选择框
4. 输入成功，查看删除按钮置为蓝色，支持删除
5. 该条记录成功删除，无需二次确认，删除按钮置为灰色",2
数据资产-数据安全-分级管理,验证数据库配置区域新增按钮功能，且数据源信息不可重复,"1.数据安全-自动分级-编辑规则页面已打开
2.已存在一条数据库配置：数据源为X，数据库为Y，数据库过滤为test.*","1. 进入数据开发模块，新建向导模式的数据同步任务
2. 点击新增按钮
3. 在数据源处选择X","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 下方新出现一行选择框
3. 提示数据源选择重复",2
数据资产-数据安全-分级管理,验证数据库过滤支持如“test.*”的正则表达,数据安全-自动分级-编辑规则页面已打开,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 在数据库过滤输入框输入xxxx.*格式的正则
3. 其余内容已填写完毕，点击立即生效按钮
4. 查看该规则详情","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 系统提示配置成功，配置项已生效，页面显示最新配置状态
4. 分级数据不显示正则过滤的xxxx数据库对应的数据",2
数据资产-数据安全-分级管理,验证配置多个数据库过滤功能，并以回车区分输入,数据安全-自动分级-编辑规则页面已打开,"1. 进入【配置多个数据库过滤功能，并以回车区分输入】页面
2. 在数据库过滤输入框输入多个库名
3. 其余内容已填写完毕，点击立即生效按钮
4. 查看该规则详情","1. 成功进入【配置多个数据库过滤功能，并以回车区分输入】页面，页面内容正常加载显示，无报错
2. 以回车方式成功输入多个
3. 系统提示配置成功，配置项已生效，页面显示最新配置状态
4. 分级数据处不显示进行过滤的数据库对应的数据",2
数据资产-数据安全-分级管理,验证数据源单选后，数据库支持多选,数据安全-自动分级-编辑规则页面已打开,"1. 进入【数据源单选后，数据库支持多选】页面
2. 数据源单选其一项
3. 点击数据库选择多项
4. 点击数据库选择“全部”","1. 成功进入【数据源单选后，数据库支持多选】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 选择项已高亮/回显选中状态，相关联动字段随之更新
4. 选择成功，其他项不可再选",2
数据资产-数据安全-分级管理,验证数据源单选一项时，数据库默认选择“全部”,数据安全-自动分级-编辑规则页面已打开,"1. 进入【数据源单选一项时，数据库默认选择“全部”】页面
2. 数据源单选其一项
3. 查看数据库选择框","1. 成功进入【数据源单选一项时，数据库默认选择“全部”】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 默认选择‘全部’",2
数据资产-数据安全-分级管理,验证数据源不支持多选,数据安全-自动分级-编辑规则页面已打开,"1. 进入【数据源不支持多选】页面
2. 点击数据源单选其一项
3. 进行数据源多选","1. 成功进入【数据源不支持多选】页面，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 不可多选",2
数据资产-数据安全-分级管理,验证数据源选择“全部”时，数据库只能选择“全部”,数据安全-自动分级-编辑规则页面已打开,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 数据源选择全部
3. 点击数据库进行选择","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 选择项已高亮/回显选中状态，相关联动字段随之更新
3. 下拉项只显示‘全部’",2
数据资产-数据安全-分级管理,验证查看详情页面同步支持配置数据库维度,"1.数据安全-自动分级页面已打开
2.已配置一条数据库维度：数据源为X，数据库为Y，数据库过滤为test.*","1. 进入【查看详情页面同步支持配置数据库维度】页面
2. 点击页面已配置数据库维度的规则名
3. 查看详情信息
4. 查看规则信息
5. 查看分级数据
6. 点击右上角编辑规则按钮
7. 查看配置规则页面详情
8. 依次正确编辑数据源、数据库，输入数据库过滤名
9. 点击立即生效按钮","1. 成功进入【查看详情页面同步支持配置数据库维度】页面，页面内容正常加载显示，无报错
2. 显示该规则详情页
3. 规则详情成功修改
4. 新增显示数据源类型、数据源、数据库、数据库过滤对应的内容
5. 仅展示配置数据库维度后的对应数据
6. 弹出编辑弹窗
7. 数据源类型下方新增数据库配置区域；
包含数据源、数据库选择框，数据库过滤填写框，删除操作按钮，以及新增按钮；
并显示原有内容
8. 选择、输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1.成功配置数据库",2
数据资产-数据安全-分级管理,验证编辑页面同步支持配置数据库维度,"1.数据安全-自动分级页面已打开
2.已配置一条数据库维度：数据源为X，数据库为Y，数据库过滤为test.*","1. 进入【编辑页面同步支持配置数据库维度】页面
2. 选中某条记录点击编辑按钮
3. 其余内容正确编辑完毕
4. 查看配置规则页面详情
5. 1.依次正确编辑数据源、数据库，输入数据库过滤名
6. 其余内容正确编辑完毕
7. 点击立即生效按钮
8. 查看对应分级数据","1. 成功进入【编辑页面同步支持配置数据库维度】页面，页面内容正常加载显示，无报错
2. 进入添加规则-基础信息页面
3. 规则详情成功修改
4. 1.数据源类型下方新增数据库配置区域；
5. 包含数据源、数据库选择框，数据库过滤填写框，删除操作按钮，以及新增按钮；
6. 并显示原有内容
7. 选择、输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 1.成功配置数据库",1
