所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据目录管理,验证编辑提交(仅存在非目录类流程时不被锁定),存在L3节点G且仅挂接有非目录类未办结流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点G
3. 点击节点G【编辑】按钮
4. 在弹窗中修改任一合法字段
5. 点击【保存】","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L3编辑弹窗
3. 保存时仅在扩展后的目录相关流程范围内进行校验,忽略非目录类流程
4. 因不存在未办结目录相关流程,本次编辑保存成功且无锁定提示
5. 列表及详情中节点G展示为更新后的新值",2
数据目录管理,验证L1/L2/L3编辑(无目录相关流程时编辑成功),存在一组全新目录E1-E2-E3且无任何关联目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 依次对L3节点E3、L2节点E2、L1节点E1执行以下操作: 点击对应【编辑】按钮
3. 在弹窗中修改合法字段
4. 点击【保存】
5. 刷新列表并查看相应节点详情","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 各级编辑弹窗均可正常打开
3. 保存时未检测到任何未办结目录相关流程
4. L1/L2/L3各级编辑均保存成功,无锁定提示
5. 列表及详情展示的数据与编辑内容一致",2
数据目录管理,验证L3业务对象编辑(仅存在已办结目录相关流程时允许编辑),存在L3节点F且相关目录类流程均为已办结状态,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点F, 点击节点F【编辑】按钮
3. 在弹窗中修改节点名称、英文名称等合法字段
4. 点击【保存】
5. 返回列表并查看节点F详情","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L3编辑弹窗
3. 保存时仅检测到已办结目录相关流程,未命中未办结流程
4. 本次编辑保存成功,无锁定提示
5. 列表与详情中节点F信息更新为编辑后的内容",2
数据目录管理,验证L1主题域分组编辑(下属L2或L3存在未办结目录相关流程时锁定),存在L1节点E且其下属L2或L3存在未办结目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开树形结构并找到L1节点E
3. 点击L1节点E【编辑】按钮
4. 在弹窗中修改节点名称或业务数据Owner等合法字段","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L1编辑弹窗
3. 保存时检测到下属L2或L3存在未办结目录相关流程
4. Toast提示“存在相关未完成流程,已锁定。”",1
数据目录管理,验证L2主题域编辑(子L3存在未办结目录相关流程时锁定),存在L2节点D且其子L3中至少一个挂接有未办结目录相关流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开树形结构并找到L2节点D
3. 点击L2节点D【编辑】按钮
4. 在弹窗中修改节点名称或业务数据负责人等合法字段","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L2编辑弹窗
3. 保存时检测到子L3存在未办结目录相关流程
4. Toast提示“存在相关未完成流程,已锁定。”",1
数据目录管理,验证L3业务对象编辑(存在未办结主数据识别流程锁定),存在L3节点C且挂接有未办结主数据识别流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点C
3. 点击节点C【编辑】按钮
4. 在弹窗中修改任一合法字段","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L3编辑弹窗
3. 保存时检测到节点C存在未办结主数据识别流程
4. Toast提示“存在相关未完成流程,已锁定。”",1
数据目录管理,验证L3业务对象编辑(存在未办结数据源认证流程锁定),存在L3节点B且挂接有未办结数据源认证流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点B
3. 点击节点B【编辑】按钮
4. 在弹窗中修改任一合法字段","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L3编辑弹窗
3. 保存时检测到节点B存在未办结数据源认证流程
4. Toast提示“存在相关未完成流程,已锁定。”",1
数据目录管理,验证L3业务对象编辑(存在未办结数据安全定级流程锁定),存在L3节点A且挂接有未办结数据安全定级流程,"1. 进入【数据目录管理-管理域目录管理】页面
2. 展开至L3层级并找到节点A
3. 点击节点A【编辑】按钮
4. 在弹窗中修改任一合法字段","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 成功打开L3编辑弹窗
3. 保存时检测到节点A存在未办结数据安全定级流程
4. Toast提示“存在相关未完成流程,已锁定。”",1
数据目录管理,验证导入新建(L3用户不存在),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001
- L1主题域分组名称: 设备管理
- 业务数据Owner工号: 8088888X
- L2本级编码: B001
- L2主题域名称: 设备维修
- 业务数据负责人工号: 8088888X
- L3业务对象名称: 设备维修工单
- L3业务对象英文名称: Equipment_Maintenance_Order
- L3业务对象英文简称: EMO
- 业务对象定义: 设备全生命周期管理，包含设备采购、维修、报废等流程
- 数据标准责任人工号: INVALID003(不存在的工号)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L3业务对象名称同级重复),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单
第4行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单(L3名称相同)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L3数据标准责任人为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单
- L3英文名称: Equipment_Maintenance_Order
- 业务对象定义: 设备全生命周期管理
(不填写数据标准责任人工号)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L3业务对象定义为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单
- L3英文名称: Equipment_Maintenance_Order
(不填写业务对象定义)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点
3. [⚠️F03 待补充预期结果]",2
数据目录管理,验证导入新建(L3英文名称超200位),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单
- L3英文名称: Equipment_Maintenance_Order_With_Very_Long_Name_Exceeding_200_Characters_Limit_For_Testing_Purpose_Only_This_Is_A_Test_String_To_Validate_The_Maximum_Length_Constraint_Implementation_And_Behavior_In_The_Application_System
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L3英文名称为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
- L3名称: 设备维修工单
(不填写L3英文名称)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L3校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败0条，L3失败1条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L2用户不存在),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001
- L1主题域分组名称: 设备管理
- L2本级编码: B001
- L2主题域名称: 设备维修
- 业务数据负责人工号: INVALID002(不存在的工号)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败1条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L2名称同级重复),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修
第4行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B002, L2名称: 设备维修(与第3行L2名称相同)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败1条，L3失败0条，其他失败0条
2) 不生成重复节点",2
数据目录管理,验证导入新建(L2本级编码同级重复),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
第4行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修, 业务数据负责人工号: 8088888X
(L1本级编码和L2本级编码完全相同)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截(去重步骤),导入结果Toast提示: 导入完成，其中成功1条，识别失败0条，重复1条，L1失败0条，L2失败0条，L3失败0条，其他失败0条
2) 只生成一个L2节点，不生成重复节点",2
数据目录管理,验证导入新建(业务数据负责人为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001, L2名称: 设备维修
(不填写业务数据负责人工号)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败1条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L2本级编码为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码为空, L2名称: 测试主题域
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败1条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L2名称为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
- L2本级编码: B001
(L2名称留空)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L2校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败0条，L2失败1条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L1名称同级重复),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
第4行填写数据如下:
- L1本级编码: A001, L1名称: 设备管理, 业务数据Owner工号: 8088888X
(L1本级编码和L1名称完全相同)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L1校验阶段被拦截(去重步骤),导入结果Toast提示: 导入完成，其中成功1条，识别失败0条，重复1条，L1失败0条，L2失败0条，L3失败0条，其他失败0条
2) 只生成一个L1节点，不生成重复节点",2
数据目录管理,验证导入新建(L1用户不存在),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001
- L1主题域分组名称: 设备管理
- 业务数据Owner工号: INVALID001(不存在的工号)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L1校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败1条，L2失败0条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(业务Owner为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, L1名称: 测试主题域, 业务数据Owner工号留空
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L1校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败1条，L2失败0条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L1本级编码为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1名称: 测试主题域, 业务数据Owner工号: 8088888X
(L1本级编码留空)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L1校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败1条，L2失败0条，L3失败0条，其他失败0条
2) 不生成该节点",2
数据目录管理,验证导入新建(L1名称为空),无,"1. 进入【数据目录管理-管理域目录管理】页面
2. 导入模版: 第3行填写数据如下:
- L1本级编码: A001, 业务数据Owner工号: 8088888X
(L1名称留空)
3. 点击【导入新建】上传文件","1. 目标页面加载完成，页面内容正常显示，无报错或白屏
2. 模版创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1) L1校验阶段被拦截,导入结果Toast提示: 导入完成，其中成功0条，识别失败0条，重复0条，L1失败1条，L2失败0条，L3失败0条，其他失败0条
2) 不生成该节点",2
