所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-元数据,验证新增数据源选择dm for oracle时支持授权的产品,无,"1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 查看支持授权产品的选择项","1. 显示产品授权页面，支持选择版本、授权产品、授权项目
2. 包含数据资产",2
数据资产-元数据,验证元模型管理页面存在针对DMDB for Oracle类型数据源的图标,无,"1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 点击进入【元数据-元模型管理】页面
3. 查看页面
4. 点击该图标查看属性信息","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 成功进入
3. 存在针对DMDB for Oracle类型数据源的图标，位于Oracle右侧
4. DMDB for Oracle默认采集的技术属性信息和Oracle类型一致",1
数据资产-元数据,验证dm for oracle类型下支持表详情的导出元数据功能,无,"1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选择任一数据表进入详情页
3. 点击导出元数据按钮","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 进入成功，详情页展示基本信息tab、数据预览tab、版本变更tab、订阅/导出元数据按钮
默认展示基本信息tab页
3. 显示导出地址，成功导出",2
数据资产-元数据,验证dm for oracle类型下支持表详情的订阅功能,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选择任一数据表进入详情页
3. 点击订阅按钮
4. 查看数据地图列表页
5. 点击任一表详情页的取消订阅按钮
6. 查看数据地图列表页","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 进入成功，详情页展示基本信息tab、数据预览tab、版本变更tab、订阅/导出元数据按钮
默认展示基本信息tab页
3. 显示成功订阅提示
4. 该数据表订阅数+1
5. 成功取消订阅
6. 该数据表订阅数-1",2
数据资产-元数据,验证dm for oracle类型下支持查看表详情的版本变更,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选择任一数据表进入详情页
3. 点击版本变更tab
4. 勾选两个版本，点击版本对比","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 进入成功，详情页展示基本信息tab、数据预览tab、版本变更tab、订阅/导出元数据按钮
默认展示基本信息tab页
3. 进入版本变更页面，
显示维表参数和结果表参数，默认展开
所有输入框、选择框等置灰，不可修改
4. 比对内容包括：通用业务属性、个性业务属性、表结构（字段名、字段中文名、数据类型）、维表参数、结果表参数",2
数据资产-元数据,验证dm for oracle类型下支持查看表详情的数据预览,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选择任一数据表进入详情页
3. 点击查看数据预览tab页的内容
4. 点击Latest","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 进入成功，详情页展示基本信息tab、数据预览tab、版本变更tab、订阅/导出元数据按钮
默认展示基本信息tab页
3. 打开数据预览界面
默认支持5条数据预览
数据默认按照Earliest排序
数据预览顺序从最老的数据消费开始排序
数据预览内容与topic中的数据一致
4. 数据预览顺序从最新的数据消费开始排序
数据预览内容与topic中的数据一致",2
数据资产-元数据,验证dm for oracle类型下支持查看表详情的基本信息,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选择任一数据表进入详情页
3. 查看基本信息tab页的技术属性内容
4. 查看业务属性内容
5. 查看字段列表信息
6. 点击输入字段名称、中文名进行字段搜索
7. 点击切换页码和每页条数
8. 查看索引列表信息
9. 查看建表语句
10. 查看数据预览","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 进入成功，详情页展示基本信息tab、数据预览tab、版本变更tab、订阅/导出元数据按钮
默认展示基本信息tab页
3. 显示：表名、数据库、引擎、行格式、表行数、存储大小、创建时间、最近同步时间，
且对应内容正确，内容与预期完全一致，无异常或错误
4. 显示负责人、表中文名，
且对应内容正确，内容与预期完全一致，无异常或错误
5. 显示：序号、字段名、字段中文名、数据级别、注释、数据类型、数据精度、字段最大长度、可空标识Y/N、主键标识Y/N、默认值
且包含搜索框、数据统计、页码及每页条数切换
6. 搜索成功，展示对应内容，数据统计、页面变化
7. 成功切换，展示正确内容
8. 显示：索引名称、索引列名、索引类型、索引注释
且可和字段列表页面一样进行搜索、数据统计、页面切换操作
9. 建表语句显示正确，内容与预期完全一致，无异常或错误
10. 预览数据正确，内容与预期完全一致，无异常或错误",2
数据资产-元数据,验证批量管理列表数据表操作,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 多选数据表，点击加入批量管理
3. 点击批量管理几张
4. 点击全选数据表，点击加入批量管理
5. 点击批量管理几张","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 【批量管理几张】按钮显示正确的数量
3. 进入管理页面，页面显示多选的几张表可进行管理操作
4. 【批量管理几张】按钮显示正确的数量
5. 进入管理页面，页面显示全选的表可进行管理操作",2
数据资产-元数据,验证右侧数据表详情页及操作功能,"1.【元数据-数据地图】页面已打开
2.DMDB数据源中存在多个数据库和数据表","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 查看页面数据表列表
3. 分别点击按搜索热度、按创建时间、按DDL更新时间、按存储大小
4. 点击显示项筛选标，进行筛选
5. 查看数据表对应的订阅数
6. 点击数据表名按钮","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 表头包含排序条件：按搜索热度、按创建时间、按DDL更新时间、按存储大小；
右上角包含显示项筛选标；
右下角展示正确的数据数量，可进行页码跳转和每页条数切换
左下角显示全选/加入批量管理/批量管理几张按钮；
列表详情包含：数据表名（按钮）、数据源、数据库名、负责人、订阅数，且列表内容可选
3. 列表随其正确展示
4. 列表显示筛选后的正确内容
5. 显示正确的订阅数
6. 跳转到该数据表内部详情页",2
数据资产-元数据,验证数据地图搜索框支持数据库、表、字段查询DMDB类型表,"1.进入数据地图，搜索结果页面
2.DMDB数据源中存在多个数据库和数据表，且表里有对应数据字段","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 查看搜索框
3. 点击选择找表；
输入模糊/准确表名&表中文名，点击搜索
4. 点击选择找库；
输入模糊/准确库名，点击搜索
5. 点击选择找字段；
输入准确字段名，点击搜索","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 左侧显示下拉项：找表、找库、找字段；
搜索框占位符：请输入表名、表中文名进行搜索；
右侧显示搜索icon
3. 成功搜索到对应正确内容
4. 成功搜索到对应正确内容
5. 成功搜索到对应正确内容",2
数据资产-元数据,验证DMDB数据源的条件筛选弹窗搜索功能,"1.进入数据地图，条件筛选页面
2.DMDB数据源中存在多个数据库和数据表，且表里有对应数据字段","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 点击“数据源”并选择DMDB数据源；
点击“数据库”并任选其一；
点击“应用元模型”并任选其一；
点击“负责人”并任选其一
3. 查看页面右侧","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 选择DMDB数据源对应内容成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 正确展示筛选到的对应内容",2
数据资产-元数据,验证【元数据-数据地图】页面新增DMDB for Oracle数据源类型并展示数据表及数量,"1.进入数据地图页面
2.DMDB数据源中存在多个数据库和数据表，且表里有对应数据字段","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 查看数据地图页面
3. 点击DMDB for Oracle数据源tab
4. 查看页面右侧","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 展示DMDB for Oracle数据源tab
3. 显示条件筛选弹窗，支持数据源、数据库、应用元模型、负责人这几种下拉框，并显示过滤器icon
4. 展示该数据源下存在的数据表，右下角展示正确的数据数量，icon正确",1
数据资产-元数据,验证对引入的DM数据源进行取消引入操作,"1.【平台管理-数据源管理】页面已进入
2.内部已部署达梦数据库（DMDB），并启用 Oracle 兼容模式3.DMDB 中已创建用于测试的目标数据库实例、测试表及其他基础数据
4.已成功引入DMDB for Oracle的数据源信息，且该数据源有多个已同步过的数据库","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选中DMDB for Oracle的数据源信息，点击【操作】下拉按钮
3. 点击【取消引入】按钮
4. 数据源名称不输入任何内容，点击取消引入
5. 输入不正确的数据源名称，点击取消引入
6. 点击弹窗【取消】按钮
7. 再次打开取消引入弹窗，输入正确的数据源名称，点击取消引入","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 点击成功，按钮显示【数据库管理】、【元数据同步】、【取消引入】选项
3. 弹出取消引入弹窗
4. 取消引入失败，提示数据源名称为必填项
5. 提示：输入的数据源名称不正确，内容与预期完全一致，无异常或错误
6. 成功取消，自动切回数据源列表页
7. 全局提示：取消引入数据源成功！ 数据地图上该数据源已同步的所有数据表被删除",1
数据资产-元数据,验证对引入的DM数据源进行元数据同步操作-同步实例查看,"1.【平台管理-数据源管理】页面已进入
2.内部已部署达梦数据库（DMDB），并启用 Oracle 兼容模式3.DMDB 中已创建用于测试的目标数据库实例、测试表及其他基础数据
4.已成功引入DMDB for Oracle的数据源信息，且该数据源有多个已同步过的数据库","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选中DMDB for Oracle的数据源信息，点击【操作】下拉按钮
3. 点击【元数据同步】按钮
4. 点击进入同步实例tab页
5. 查看实例列表显示
6. 返回元数据同步tab页，新增手动同步、周期同步","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 点击成功，按钮显示【数据库管理】、【元数据同步】、【取消引入】选项
3. 进入元数据同步页面；
页面从上往下依次显示：进入路径、元数据同步tab、高级设置tab、同步实例tab
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 显示所有已被手动同步/周期同步的记录
6. 全局提示：保存成功查看同步实例+2",2
数据资产-元数据,验证对引入的DM数据源进行元数据同步操作-高级设置,"1.【平台管理-数据源管理】页面已进入
2.内部已部署达梦数据库（DMDB），并启用 Oracle 兼容模式3.DMDB 中已创建用于测试的目标数据库实例、测试表及其他基础数据
4.已成功引入DMDB for Oracle的数据源信息，且该数据源有多个已同步过的数据库","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选中DMDB for Oracle的数据源信息，点击【操作】下拉按钮
3. 点击【元数据同步】按钮
4. 点击进入高级设置tab页
5. 查看过滤条件下数据库选择库的显示
6. 选择数据库A，然后输入表名B以及【XXX.*】的正则表达，点击保存设置
7. 选择数据库A进行手动同步
8. 点击进入同步实例tab页
9. 对该数据源进行周期同步","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 点击成功，按钮显示【数据库管理】、【元数据同步】、【取消引入】选项
3. 进入元数据同步页面；
页面从上往下依次显示：进入路径、元数据同步tab、高级设置tab、同步实例tab
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 显示被过滤后的数据库
6. 全局提示：保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
7. 数据库A中的表B以及符合正则表达的表被过滤，未同步到资产平台
8. 进入成功，同步实例列表中新增该周期实例记录
9. 数据库A中的表B以及符合正则表达的表被过滤，未同步到资产平台",1
数据资产-元数据,验证对引入的DM数据源进行元数据同步操作-周期同步,"1.【平台管理-数据源管理】页面已进入
2.内部已部署达梦数据库（DMDB），并启用 Oracle 兼容模式3.DMDB 中已创建用于测试的目标数据库实例、测试表及其他基础数据
4.已成功引入DMDB for Oracle的数据源信息，且该数据源有多个已同步过的数据库","1. 进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权
2. 选中DMDB for Oracle的数据源信息，点击【操作】下拉按钮
3. 点击【元数据同步】按钮
4. 点击进入元数据同步tab页
5. 点击进入周期同步页面
6. 设置好同步规则，点击应用同步规则
7. 在同步规则设定的时间之后，查看是否执行周期同步
8. 点击进入同步实例tab页
9. 点击表名，查看表详情内容","1. 成功进入【数据源中心-新增数据源】页面，选择任一dm for oracle数据源进行产品授权页面，页面内容正常加载显示，无报错
2. 点击成功，按钮显示【数据库管理】、【元数据同步】、【取消引入】选项
3. 进入元数据同步页面；
页面从上往下依次显示：进入路径、元数据同步tab、高级设置tab、同步实例tab
4. 进入成功，显示【手动同步】和【周期同步】按钮；
默认进入手动同步页面
5. 成功进入目标页面，页面内容正常加载显示，无报错
6. 全局提示：同步规则应用成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 周期同步任务执行，数据地图上显示所有周期同步过来的表
8. 进入成功，同步实例列表中新增该周期实例记录
9. 表名，字段等基础信息同步成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
