所属模块,用例标题,前置条件,步骤,预期结果,优先级
【doris创建函数时支持选择资源jar包】,验证【资源管理】不允许替换——doris函数【已引入】的资源,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1
存在两个自定义函数doris_udf_1、doris_udf_3在同一个集群使用同一个资源，且doris_udf_1优先创建","1. 进入资源管理-项目资源-右键ziyuan_1，点击替换资源
2. 进入资源管理-租户资源-右键ziyuan_2，点击替换资源","1. 弹窗提示已引入doris自定义函数，无法替换
2. 弹窗提示已引入doris自定义函数，无法替换",2
【doris创建函数时支持选择资源jar包】,验证【历史】doris自定义函数【编辑】失败——编辑资源路径,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1
存在两个自定义函数doris_udf_1、doris_udf_3在同一个集群使用同一个资源，且doris_udf_1优先创建
存在历史doris自定义函数doris_udf_lishi",1. 进入函数管理-dorissql-自定义函数，右键历史自定义函数doris_udf_lishi点击编辑自定义函数,"1. 弹出创建自定义函数弹窗
资源路径显示为置灰不可编辑",2
【doris创建函数时支持选择资源jar包】,验证【历史】doris自定义函数【正常】执行,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1
存在两个自定义函数doris_udf_1、doris_udf_3在同一个集群使用同一个资源，且doris_udf_1优先创建
存在历史doris自定义函数doris_udf_lishi","1. 进入dorissql任务test_doris_1
输入SQL语句：select doris_udf_lishi('hello');
点击临时运行",1. 自定义函数运行成功，结果返回符合预期,2
【doris创建函数时支持选择资源jar包】,验证doris创建自定义函数【失败】——创建doris函数时【创建】函数失败,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入控制台，删除doris_1集群下的其中一个fe节点
2. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
3. 输入
函数名称：doris_udf_7
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_2
返回参数类型：jar包对应返回类型
命令格式：doris_udf_7(string)
点击确认
4. 进入dorissql任务test_doris_1
输入SQL语句：select doris_udf_7('hello');
点击临时运行","1. 节点删除成功，系统给出删除成功提示，该记录从列表中消失
2. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
3. 确定按钮显示为加载状态
提示函数创建失败，展示失败详情（缺失fe节点）
4. 自定义函数运行失败，提示自定义函数不存在",2
【doris创建函数时支持选择资源jar包】,验证doris创建自定义函数【失败】——创建doris函数时【创建】函数失败,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
2. 输入
函数名称：doris_udf_6
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_2
返回参数类型：jar包对应返回类型
命令格式：123_add_one(string)
点击确认
3. 进入dorissql任务test_doris_1
输入SQL语句：select 123_add_one('hello');
点击临时运行","1. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
2. 确定按钮显示为加载状态
提示函数创建失败，展示失败详情（名称不合法）
3. 自定义函数运行失败，提示自定义函数不存在",1
【doris创建函数时支持选择资源jar包】,验证doris创建自定义函数【失败】——创建doris函数时【分发】jar包失败,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
2. 输入错误的fe账号密码","1. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
2. 保存成功，联通失败",2
【doris创建函数时支持选择资源jar包】,验证doris创建自定义函数【失败】——创建doris函数时【分发】jar包失败,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
2. 关闭一台fe或be节点
3. 输入
函数名称：doris_udf_5
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_2
返回参数类型：jar包对应返回类型
命令格式：doris_udf_5(string)
点击确认
4. 进入dorissql任务test_doris_1
输入SQL语句：select doris_udf_5('hello');
点击临时运行","1. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
2. 节点关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 确定按钮显示为加载状态
提示函数创建失败，展示失败详情
同时展示异常节点及失败原因
4. 自定义函数运行失败，提示自定义函数不存在",1
【doris创建函数时支持选择资源jar包】,验证doris【正常】创建自定义函数——【旧函数被删除】后创建【同名】函数,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
2. 输入
函数名称：doris_udf_tmp
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_2
返回参数类型：jar包对应返回类型
命令格式：doris_udf_tmp(string)
点击确认
3. 进入dorissql任务test_doris_1
输入SQL语句：select doris_udf_tmp('hello');
点击临时运行","1. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
2. 确定按钮显示为加载状态
创建完成后提示“创建成功！”
3. 自定义函数运行成功，结果返回符合预期",1
【doris创建函数时支持选择资源jar包】,验证doris【正常】【删除】自定义函数,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1
存在自定义函数doris_udf_tmp","1. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
2. 输入
函数名称：doris_udf_tmp
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_1
返回参数类型：jar包对应返回类型
命令格式：doris_udf_tmp(string)
点击确认
3. 右键自定义函数点击删除-确认","1. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
2. 确定按钮显示为加载状态
创建完成后提示“创建成功！”
3. 自定义函数被删除",1
【doris创建函数时支持选择资源jar包】,验证doris【无法】创建自定义函数——【旧函数被修改】后创建【同名】函数,"控制台已配置多个doris集群doris_1、doris_2、doris_3
存在项目test_001（doris集群doris_1、doris_2、doris_3）
资源管理存在doris自定义函数可用资源ziyuan_1（项目资源）、ziyuan_2（租户资源）
存在dorissql任务：test_doris_1","1. 进入函数管理-dorissql-自定义函数-右键自定义函数点击编辑
2. 修改命令格式为：doris_udf_1_xiugai
点击确认
3. 点击自定义函数-基本信息、历史版本
4. 进入函数管理-dorissql-自定义函数，右键点击新建自定义函数
5. 输入
函数名称：doris_udf_1
集群名称（下拉）：doris_1
类名：jar包对应类名
资源（下拉）：ziyuan_1
返回参数类型：jar包对应返回类型
命令格式：doris_udf_1(string)
点击确认","1. 弹出修改自定义函数弹窗
2. 自定义函数修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 结果符合预期
4. 弹出创建自定义函数弹窗
【资源】选择方式调整为单选下拉框
默认展示文案为【请选择资源】
5. 确定按钮显示为加载状态
创建完成后提示“创建失败”
异常提示函数已存在",3
