所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证文案调整,无,"1. 进入【数据质量】-【规则库管理】-【自定义正则】页面
2. 查看原先的“自定义规则”tab名称
3. 查看原先“新增自定义规则”按钮名称","1. 成功进入【数据质量】-【规则库管理】-【自定义正则】页面，页面内容正常加载显示，无报错
2. 已成功修改为“自定义正则”
3. 已成功修改为“新增自定义正则”",3
数据资产-数据质量-内置规则库,验证规则模式字段删除,无,"1. 进入【数据质量】-【规则库管理】-【自定义正则】页面
2. 查看自定义正则列表
3. 点击【新增自定义正则】按钮，新增页面【规则模式】字段已删除不显示
4. 点击【编辑】按钮，编辑页面【规则模式】字段已删除不显示
5. 点击编辑历史规则信息，编辑页面【规则模式】字段已删除不显示","1. 成功进入【数据质量】-【规则库管理】-【自定义正则】页面，页面内容正常加载显示，无报错
2. 【规则模式】字段已删除，不显示
3. 新增自定义正则保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 编辑自定义正则保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
5. 编辑历史自定义正则保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态",1
数据资产-数据质量-内置规则库,验证新增「自定义SQL模版」tab,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. “自定义正则”tab右侧，已新增tab“自定义sql模版”
3. 点击“自定义sql模版”tab","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 名称正确，内容与预期完全一致，无异常或错误
3. 显示“自定义sql模版”列表",3
数据资产-数据质量-内置规则库,验证搜索,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 提示词：请输入规则名称进行搜索
3. 支持规则名称搜索输入模糊搜索","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 提示词正确，内容与预期完全一致，无异常或错误
3. 搜索结果正确，内容与预期完全一致，无异常或错误",3
数据资产-数据质量-内置规则库,验证列表展示,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 列表展示规则名称、规则分类、关联范围、关联规则数、规则描述、操作
3. 支持规则分类筛选，点击漏斗，枚举内容支持多选
4. 支持规则范围筛选，点击漏斗，枚举内容支持多选
5. 查看关联规则数","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 列表字段显示正确，内容与预期完全一致，无异常或错误
3. 筛选结果正确，内容与预期完全一致，无异常或错误
4. 筛选结果正确，内容与预期完全一致，无异常或错误
5. 数量正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-内置规则库,验证列表排序,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 按照修改时间倒排","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 排序正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-内置规则库,验证新增自定义sql模版,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 点击【新增自定义sql模版】
3. 基本信息：输入合法的[⚠️F04 请替换为具体测试数据]规则名称、规则分类、关联范围、规则描述
4. 自定义配置输入sql包含6个参数
5. 参数类型选择：6个参数分别选择数值、数组、逻辑关系、当前校验表、当前校验表字段、自定义参数
6. 参数名称：6个参数名称正常填写
7. 参数输入：6个参数说明正常填写
8. 必填字段均正确填写，点击保存按钮
9. 点击取消","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 成功进入新增页面，自定义sql模版 > 新建自定义sql模版
3. 
4. 输入成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 选择项已高亮/回显选中状态，相关联动字段随之更新
6. 填写成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 填写成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 新增成功，列表数量+1
9. 返回上一页，且已填写内容不保存
9. 功能操作成功，页面数据状态更新为最新，无报错提示",1
数据资产-数据质量-内置规则库,验证规则名称,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 提示词：请输入
3. 必填
4. 最大支持输入100
5. 不支持重复","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 提示词正确，内容与预期完全一致，无异常或错误
3. 为空提示
4. 超长无法输入
5. 若重复，提示校验",2
数据资产-数据质量-内置规则库,验证规则分类,无,"1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面
2. 提示词：请选择
3. 选择枚举
4. 必选
5. 仅支持单选","1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错
2. 提示词正确，内容与预期完全一致，无异常或错误
3. 完整性/唯一性/有效性/统计性/时效性/合理性
4. 为空提示
5. 选择项已高亮/回显选中状态，相关联动字段随之更新",2
数据资产-数据质量-内置规则库,验证关联范围 提示词：请选择 提示词正确,无,1. 进入【数据质量】-【规则库管理】-【自定义SQL模版】页面,1. 成功进入【数据质量】-【规则库管理】-【自定义SQL模版】页面，页面内容正常加载显示，无报错,2
