所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key完整正向流程（含正则测试）,1) 使用 admin 账号登录系统<br>2) 当前数据质量模块通用配置下json格式校验管理列表已存在至少1条数据,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击列表右上角【新增】按钮
3. 在新增弹窗中填写表单, 内容如下:
- *key: userInfo
- *中文名称: 用户信息
- value格式: ^[a-zA-Z]+$
- 数据源类型: hive2.x
4. 在「测试数据」输入框中填写 testValue，点击【正则匹配测试】按钮
5. 点击弹窗【确定】按钮，等待接口响应完成","1. 页面标题显示「json格式校验管理」，列表正常展示，包含以下列：
1) key
2) 中文名称
3) value格式
4) 数据源类型
5) 创建人
6) 创建时间
7) 更新人
8) 更新时间
9) 操作
2. 弹出弹窗，标题为「新增」，包含以下字段：
1) key（必填）
2) 中文名称（非必填）
3) value格式（非必填）
4) 数据源类型（必选，默认选中「sparkthrift2.x」）
弹窗中暂不显示「测试数据」输入框及「正则匹配测试」按钮
3. 各字段输入内容与填写值一致；value格式填写内容后，弹窗内动态显示「测试数据」输入框和「正则匹配测试」按钮
4. 正则匹配测试执行，显示匹配结果为「匹配成功」
5. 弹窗关闭，列表自动刷新，新增的key userInfo 出现在列表中：
1) 数据源类型显示为「hive2.x」
2) 中文名称显示「用户信息」
3) value格式显示 ^[a-zA-Z]+$
4) 创建人为 admin（当前登录用户）",1,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key时key字段为空不可提交,1) 使用 admin 账号登录系统,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击【新增】按钮，弹窗出现后填写表单, 内容如下:
- *key: （留空不填）
- 数据源类型: sparkthrift2.x（保持默认）
点击【确定】按钮","1. 页面标题显示「json格式校验管理」，列表加载完成，显示已有key数据行
2. 表单校验触发，key输入框下方显示「请输入key」，弹窗不关闭，数据未提交",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key时key字段输入超255字符不可提交,1) 使用 admin 账号登录系统,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击【新增】按钮，在key输入框中输入256个字符（字母 a 重复256次），点击【确定】按钮","1. 页面标题显示「json格式校验管理」，列表加载完成，显示已有key数据行
2. 表单校验触发，key输入框显示「长度不能超过255字符」，弹窗不关闭，数据未提交",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key时key字段输入恰好255字符边界值可成功提交,1) 使用 admin 账号登录系统,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击【新增】按钮，填写表单, 内容如下:
- *key: （字母 a 重复255次）
- 数据源类型: sparkthrift2.x（保持默认）
点击【确定】按钮，等待接口响应完成","1. 页面标题显示「json格式校验管理」，列表加载完成，显示已有key数据行
2. 弹窗关闭，列表刷新，包含255字符key的记录成功出现在列表中",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key时数据源类型三种选项可正常切换,1) 使用 admin 账号登录系统,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击【新增】按钮，查看数据源类型下拉框的默认值及可选项
3. 依次点击选择「hive2.x」，再选择「doris3.x」，再选回「sparkthrift2.x」
4. 填写表单, 内容如下:
- *key: typeTestKey
- 数据源类型: doris3.x
点击【确定】按钮，等待接口响应完成","1. 页面标题显示「json格式校验管理」，列表加载完成，显示已有key数据行
2. 数据源类型默认值为「sparkthrift2.x」，下拉可选项包含且仅包含：
1) sparkthrift2.x
2) hive2.x
3) doris3.x
3. 下拉框当前值显示为所选数据源类型名称
4. 弹窗关闭，列表中新增记录数据源类型列显示「doris3.x」",3,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增key 验证新增key表单中切换数据源类型后清空表单内容,1) 使用 admin 账号登录系统,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 点击【新增】按钮，在弹窗中填写表单内容如下：
- *key: switchTest
- 中文名称: 切换测试
- value格式: ^[a-z]+$
- 数据源类型: sparkthrift2.x（默认值）
3. 将数据源类型下拉框从「sparkthrift2.x」切换为「hive2.x」","1. json格式校验管理页面正常打开，列表加载完成
2. 各字段显示已填写的内容，数据源类型显示「sparkthrift2.x」
3. 数据源类型切换为「hive2.x」，表单中其他字段（key、中文名称、value格式）内容被清空，恢复为初始空状态",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 编辑key 验证编辑key名称、value格式、数据源类型并保存生效,1) 使用 admin 账号登录系统<br>2) 在json格式校验管理列表中已通过【新增】创建key为 editTarget、数据源类型为「sparkthrift2.x」的记录,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 在key为 editTarget 的行，点击操作列的【编辑】按钮
3. 在编辑弹窗中修改表单, 内容如下:
- *key: editTargetV2
- value格式: ^\d{4}$
- 数据源类型: doris3.x
点击【确定】按钮，等待接口响应完成","1. 页面正常加载，列表显示key editTarget 的记录
2. 弹出编辑弹窗，key输入框显示当前值「editTarget」，value格式、数据源类型显示当前值
3. 弹窗关闭，列表刷新，原key editTarget 记录更新为：
1) key显示 editTargetV2
2) value格式显示 ^\d{4}$
3) 数据源类型显示「doris3.x」
4) 更新人为 admin（当前登录用户）
5) 更新时间字段不为空，且晚于编辑操作前的时间",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增子层级 验证新增子层级完整流程,1) 使用 admin 账号登录系统<br>2) 在json格式校验管理列表中已通过【新增】创建key为 parentKey 的第一层级记录,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 在key为 parentKey 的行，点击操作列的【新增子层级】按钮
3. 在弹窗中填写表单, 内容如下:
- *key: childKey
- *中文名称: 子层级键
- value格式: ^[0-9]+$
点击【确定】按钮，等待接口响应完成","1. 页面正常加载，列表显示 parentKey 记录
2. 弹出弹窗，标题为「新增子层级」，包含以下字段：
1) key（必填）
2) 中文名称（非必填）
3) value格式（非必填）
弹窗中不包含数据源类型选项
3. 弹窗关闭，列表刷新，parentKey 行显示「+」展开图标，点击「+」后展开子层级，可见key为 childKey 的子层级记录：
1) 中文名称显示「子层级键」
2) value格式显示 ^[0-9]+$",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 新增子层级 验证第5层级不显示新增子层级按钮,1) 使用 admin 账号登录系统<br>2) 在json格式校验管理中已通过逐层【新增子层级】创建5层嵌套层级数据：<br>   - 第1层key: level1Root<br>   - 第2层key: level2Node（父级为 level1Root）<br>   - 第3层key: level3Node（父级为 level2Node）<br>   - 第4层key: level4Node（父级为 level3Node）<br>   - 第5层key: level5Key（父级为 level4Node）,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 逐层点击「+」展开，依次展开第1层 level1Root 到第4层 level4Node，找到第5层key为 level5Key 的记录，查看其操作列","1. json格式校验管理页面打开，列表显示已有key数据
2. 第5层 level5Key 记录的操作列中，仅显示【编辑】和【删除】按钮，不显示【新增子层级】按钮",2,功能测试,功能测试阶段
【通用配置】json格式配置(#10458),数据质量 通用配置-json格式校验管理 删除key 验证单个删除含子层级的key会联动删除子层级数据,1) 使用 admin 账号登录系统<br>2) 在json格式校验管理中已通过【新增】创建key为 deleteParent 的记录，并通过【新增子层级】为其创建子层级key为 deleteChild,"1. 进入【数据质量 → 通用配置】页面，等待json格式校验管理列表数据加载完成
2. 在key为 deleteParent 的行，点击操作列的【删除】按钮
3. 点击确认弹窗中的【确认】按钮，等待接口响应完成","1. 页面正常加载，deleteParent 记录在列表中显示「+」图标
2. 弹出确认弹窗，提示文本为「请确认是否删除key信息，若存在子层级key信息会联动删除」
3. 弹窗关闭，列表刷新，deleteParent 记录从列表中消失，子层级 deleteChild 也不再存在",1,功能测试,功能测试阶段
