所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据地图,验证权限分配- 列表- 翻页,无,"1. 进入【权限分配】-【列表】页面
2. “上一页”/“下一页”翻页
3. 指定页码翻页
4. 筛选后翻页：
先进行筛选查询；
再进行翻页
5. 翻页后筛选：
先翻页到最后一页（最后一页数据小于每页最大条数）；
再进行筛选查询（筛选后页数要小于筛选前页数）","1. 成功进入【权限分配】-【列表】页面，页面内容正常加载显示，无报错
2. 1）“上一页”数据正确；
2）“下一页”数据正确，内容与预期完全一致，无异常或错误
3. 数据正确，内容与预期完全一致，无异常或错误
4. 数据正确，内容与预期完全一致，无异常或错误
5. 1）页码更新为第一页；
2）筛选数据正确，内容与预期完全一致，无异常或错误",2
离线开发-数据地图,验证权限分配- 列表- 筛选,无,"1. 进入【权限分配】-【列表】页面
2. 默认查询：
默认状态下点击【查询】
3. 级联查询：
依次选择“表类型”、“数据库”
4. 独立查询：
分别针对每个筛选项进行查询操作
5. 合并查询：
每个筛选项都选择；
点击【查询】","1. 成功进入【权限分配】-【列表】页面，页面内容正常加载显示，无报错
2. 列表显示所有未删除的数据权限信息:
- 表类型：Hive
- 数据库：schema1;schema2
- 数据表：schema1:table1;schema2:table2
- 表权限：分号分割所配权限，如：dql;ddl;dml
- 用户：分号分割生效用户名，缺省为-
- 用户组：生效用户组，缺省为-
3. 1）选择“数据源”后，“数据库”下拉列表为同步至数据地图的数据库名；
2）选择“数据库”（非“全部”选项）后，“数据表”下拉列表为同步至数据地图的数据表名；
3）“数据库”选择“全部”选项后，“数据表”只能选择“全部”选项搜索
4. 1）根据“数据源”筛选结果正确；
2）根据“数据源-数据库”筛选结果正确；
3）根据“数据源-数据库-数据表”筛选结果正确；
4）根据“表权限”筛选结果正确；
5）根据“用户”筛选结果正确；
6）根据“用户组”筛选结果正确；
5. 筛选结果正确，内容与预期完全一致，无异常或错误",2
离线开发-数据地图,验证权限分配- 「新增/编辑」-权限生效用户交互,无,"1. 进入【权限分配】-【【新增/编辑】】页面
2. 查看“用户组”下拉列表
3. 不选择用户组，查看“用户”下拉列表
4. 选择用户组，查看“用户”下拉列表","1. 成功进入【权限分配】-【【新增/编辑】】页面，页面内容正常加载显示，无报错
2. 1）用户组下拉列表为离线项目引入的用户组
2）默认不选中
3）支持多选
3. 下拉列表为离线项目所有非管理员用户
4. 下拉列表为所选用户组下所有非管理员用户+全部",3
离线开发-数据地图,验证权限分配- 「新增/编辑」-数据权限配置交互,无,"1. 进入【权限分配】-【【新增/编辑】】页面
2. 查看“表级权限”","1. 成功进入【权限分配】-【【新增/编辑】】页面，页面内容正常加载显示，无报错
2. 1）必填
2）下拉选项：全部、ddl、dql、dml
3）支持多选",3
离线开发-数据地图,验证权限分配- 「新增/编辑」-权限范围选择交互,无,"1. 进入【权限分配】-【【新增/编辑】】页面
2. 查看“数据源”下拉列表
3. 选择数据源后，查看“数据库”下拉列表
4. 选择数据库（选择除“全部”之外的schema）后，查看“数据表”下拉列表
5. 选择数据库为“全部”
6. 选择多张数据表后，点击【添加】
7. 选择全部数据库后，点击【添加】
8. 选择某一数据库，全部数据表后，点击【添加】
9. 列表中点击【删除】","1. 成功进入【权限分配】-【【新增/编辑】】页面，页面内容正常加载显示，无报错
2. 1）默认不选中
2）下拉列表为离线的Hive数据源
3）编辑状态（编辑数据权限）下，“数据源”为不可修改状态
3. “数据库”下拉选项为当前数据源下所有schema+全部
4. “数据表”下拉选项为所选schema下所有表+全部
5. “数据表”下拉选项只有“全部”且直接选中
6. 1）下方列表新增该记录；
2）“数据库”、“数据表”筛选项清空，“数据源”不清空且不可切换
7. 1）下方列表新增该记录；
2）“数据库”、“数据表”筛选项清空，“数据源”不清空且不可切换
8. 1）下放列表新增该记录；
2）“数据库”、“数据表”筛选项清空，“数据源”不清空且不可切换
9. 1）该记录被删除；",2
离线开发-数据地图,验证同一张表同一用户多条数据权限配置记录的情况,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 分配用户A权限如下：
第一条数据权限记录：
- 数据库：schema1 数据表：tableA
- 授权用户：用户A
- 表级权限：ddl、dql
第二条数据权限记录：
- 数据库：schema1 数据表：tableA
- 授权用户：用户A
- 表级权限：dql、dml
3. 分配用户A权限如下：
第一条数据权限记录：
- 数据库：schema1 数据表：tableA
- 授权用户：用户A
- 表级权限：ddl、dql
- 有效期：永久
第二条数据权限记录：
- 数据库：schema1 数据表：全部
- 授权用户：用户A
- 表级权限：dql、dml
- 有效期：2023-10-18
4. 分配用户A权限如下：
第一条数据权限记录：
- 数据库：schema1 数据表：tableA
- 授权用户：用户A
- 表级权限：ddl、dql
- 有效期：永久
第二条数据权限记录：
- 数据库：全部 数据表：全部
- 授权用户：用户A
- 表级权限：dql、dml
- 有效期：2023-10-18","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 该用户对此表tableA的权限如下：
- DDL，有效期：永久
- DQL，有效期：永久
- DML，有效期：2023-10-18
3. 该用户对此表tableA的权限如下：
- DDL，有效期：永久
- DQL，有效期：永久
- DML，有效期：2023-10-18
4. 该用户对此表tableA的权限如下：
- DDL，有效期：永久
- DQL，有效期：永久
- DML，有效期：2023-10-18",3
离线开发-数据地图,验证权限分配- 权限校验- 有DQL权限,<p>权限管理中为当前用户配置表page_view的dql权限</p>,"1. 进入【权限分配】-【权限校验】页面
2. Hive SQL/Spark SQL任务执行对表page_view的SELECT等DQL语句；
- on yarn运行（多段SQL整段运行）
3. Hive SQL/Spark SQL任务执行对表page_view的SELECt等DQL语句；
- on sts运行（单条DQL分段运行）
4. Hive SQL/Spark SQL任务跨项目执行表page_view的SELECT/WITH...INSERT等DQL语句；
5. 数据同步任务，源表/目标表选择表page_view，进行数据预览操作
6. 数据地图表page_view表详情页，进行数据预览操作
7. 表查询-对page_view表，进行数据预览操作","1. 成功进入【权限分配】-【权限校验】页面，页面内容正常加载显示，无报错
2. DQL语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3. DQL语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. DQL语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
5. 数据预览成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 数据预览成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 数据预览成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
离线开发-数据地图,验证权限分配- 权限校验- 无DQL权限,<p>权限管理中为当前用户配置表page_view的dql权限</p>,"1. 进入【权限分配】-【权限校验】页面
2. Hive SQL/Spark SQL任务执行对表page_view的SELECT等DQL语句；
- on yarn运行（多段SQL整段运行）
3. Hive SQL/Spark SQL任务执行对表page_view的INSERT等DML语句；
- on sts运行（单条ddl分段运行）
4. Hive SQL/Spark SQL任务跨项目执行表page_view的INSERT/WITH...INSERT等DML语句；
5. 数据同步任务，源表/目标表选择表page_view，进行数据预览操作
6. 数据地图表page_view表详情页，进行数据预览操作
7. 表查询-对page_view表，进行数据预览操作","1. 成功进入【权限分配】-【权限校验】页面，页面内容正常加载显示，无报错
2. DQL语句执行失败，提示无DQL权限
3. DQL语句执行失败，提示无DQL权限
4. DQL语句执行失败，提示无DQL权限
5. 数据预览失败，提示无DQL权限
6. 数据预览失败，提示无DQL权限
7. 数据预览失败，提示无DQL权限",1
离线开发-数据地图,验证权限分配- 权限校验- 有DML权限,<p>权限管理中为当前用户配置表page_view的dml权限</p>,"1. 进入【权限分配】-【权限校验】页面
2. Hive SQL/Spark SQL任务执行对表page_view的INSERT等DML语句；
- on yarn运行（多段SQL整段运行）
3. Hive SQL/Spark SQL任务执行对表page_view的INSERT等DML语句；
- on sts运行（单条ddl分段运行）
4. Hive SQL/Spark SQL任务跨项目执行表page_view的INSERT/WITH...INSERT等DML语句；","1. 成功进入【权限分配】-【权限校验】页面，页面内容正常加载显示，无报错
2. DML语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3. DML语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. DML语句执行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",1
离线开发-数据地图,验证权限分配- 权限校验- 无DML权限,<p>权限管理中为当前用户配置表page_view的dml权限</p>,"1. 进入【权限分配】-【权限校验】页面
2. Hive SQL/Spark SQL任务执行对表page_view的INSERT等DML语句；
- on yarn运行（多段SQL整段运行）
3. Hive SQL/Spark SQL任务执行对表page_view的INSERT等DML语句；
- on sts运行（单条ddl分段运行）
4. Hive SQL/Spark SQL任务跨项目执行表page_view的INSERT/WITH...INSERT等DML语句；","1. 成功进入【权限分配】-【权限校验】页面，页面内容正常加载显示，无报错
2. DML语句执行失败，提示无DML权限
3. DML语句执行失败，提示无DML权限
4. DML语句执行失败，提示无DML权限",1
