所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则集报告生成设置,验证「质量报告」-「报告内容逻辑」功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】
4. 规则全选(完整性校验，有效性校验，唯一性校验，统计性校验)
5. 规则均配置
6. 点击【下一步】
7. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【月】-【每月25号】
【数据周期】选择【每月1号～每月30号】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
8. 保存并立即运行当前规则
9. 进入【质量报告】页面，查看报告结果
10. 【报告配置】编辑如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【周】-【每周五】
【数据周期】选择【每周一～每周五】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
11. 保存并立即运行当前规则
12. 进入【质量报告】页面，查看报告结果
13. 【报告配置】编辑如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【天】-【每天18点】
【数据周期】选择【前1天～前3天】
【结果展示】 选择【展示全部结果】
【是否需要车辆信息】选择【是】
14. 保存并立即运行当前规则
15. 进入【质量报告】页面，查看报告结果
16. 【报告配置】编辑如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【自定义】
【数据周期】选择【前1天～前3天】
【结果展示】 选择【展示全部结果】
【是否需要车辆信息】选择【是】
17. 保存并立即运行当前规则
18. 进入【质量报告】页面，查看报告结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 校验结果数据选择当天前一天到前三天-规则任务-实例运行(临时运行+周期运行)的全部结果
3. 选择项已高亮/回显选中状态，相关联动字段随之更新
4. 各规则模块均勾选成功，配置项展示正确，内容与预期完全一致，无异常或错误
5. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
6. 进入【调度配置】页面
7. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
8. 规则运行完成
9. 1. 每月25号成功生成当前规则报告
10. 报告配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
11. 规则运行完成
12. 1. 每周五成功生成当前规则报告
13. 报告配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
14. 规则运行完成
15. 1. 每天18点成功生成当前规则报告
16. 报告配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
17. 规则运行完成
18. 1. 按照自定义日期成功生成当前规则报告",2
数据资产-数据质量-规则集报告生成设置,验证「质量报告」-「报告统计规则范围」功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】
4. 规则全选(完整性校验，有效性校验，唯一性校验，统计性校验)
5. 规则均配置
6. 点击【下一步】
7. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【月】-【每月25号】
【数据周期】选择【每月1号～每月30号】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
8. 保存并立即运行当前规则
9. 进入【质量报告】页面，查看报告结果
10. 编辑当前规则的【报告配置】如下：
【报告名称】修改为 “test“
【报告类型】保持默认【质检式】
【报告统计规则范围】仅选择【完整性校验】
【报告周期】选择【天】
【数据周期】选择【1天前~3天前】
【结果展示】 选择【展示所有结果】
【是否需要车辆信息】选择【否】
11. 保存并立即运行当前规则
12. 进入【质量报告】页面，查看报告结果","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 表单中不含""车辆信息""相关字段，确认无车辆信息录入项
3. 报告名称展示正确，内容与预期完全一致，无异常或错误
4. 各规则模块均勾选成功，配置项展示正确，内容与预期完全一致，无异常或错误
5. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
6. 进入【调度配置】页面
7. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
8. 规则运行完成
9. 1. 报告内容包含当前规则的所有校验规则1号～30号最新结果
10. 报告配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
11. 规则运行完成
12. 1. 报告内容仅展示【完整性校验规则】1-3天前的所有结果",2
数据资产-数据质量-规则集报告生成设置,验证规则编辑-参数更新功能验证,"已存在规则A，「报告配置」如下：
【报告配置】如下：
「报告名称」保持默认名称
「报告类型」保持默认「质检式」
「报告统计规则范围」默认选择「全部」
「报告周期」选择「月」-「每月25号」
「数据周期」选择「每月1号～每月30号」
「结果展示」 选择「展示最新结果」
「是否需要车辆信息」选择「是」","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 选择规则A，点击【编辑】按钮
4. 【报告配置】修改如下：
【报告名称】修改为 “test“
【报告类型】保持默认【质检式】
【报告统计规则范围】选择部分规则
【报告周期】选择【天】
【数据周期】选择【1天前~3天前】
【结果展示】 选择【展示所有结果】
【是否需要车辆信息】选择【否】
5. 保存规则，查看规则详情","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入规则编辑页面
4. 报告配置修改成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 规则详情信息字段均更新正确，内容与预期完全一致，无异常或错误",1
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-配置全流程功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 【报告配置】如下：
【报告名称】保持默认名称
【报告类型】保持默认【质检式】
【报告统计规则范围】默认选择【全部】
【报告周期】选择【月】-【每月25号】
【数据周期】选择【每月1号～每月30号】
【结果展示】 选择【展示最新结果】
【是否需要车辆信息】选择【是】
6. 保存规则，查看规则详情","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 质量报告配置新增一条【单表报告】记录
3. 选择成功，展示【完整性校验】规则配置项
4. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
5. 报告配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
6. 1. 规则详情信息字段均展示正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「是否需要车辆信息单选框」功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 点击【下一步】
6. 查看【报告配置】-【是否需要车辆信息】配置
7. 【报告配置】-【是否需要车辆信息】 选择【否】
8. 【报告配置】-【是否需要车辆信息】 选择【是】
9. 【报告配置】-【是否需要车辆信息】 选择【是】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
5. 进入【调度配置】页面
6. 支持单项选择【是】【否】，默认选择【是】
7. 选择项已高亮/回显选中状态，相关联动字段随之更新
8. 提示“请先前往通用配置模块，设置报告关联的维表信息，设置后才可生成车辆信息。”
9. 选择项已高亮/回显选中状态，相关联动字段随之更新",3
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「结果展示单选框」功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 点击【下一步】
6. 查看【报告配置】-【数据周期】下【结果展示单选框】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
5. 进入【调度配置】页面
6. 支持单项选择【展示最新结果】【展示全部结果】",3
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「数据周期」选择框功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 输入101天前
3. 前后输入同样的数值
4. 前面输入1，后面输入5
5. 前面输入5，后面输入1
6. 【报告周期】选择【月】
7. 1. 【报告周期】选择【天】
8. 【报告周期】选择【周】
9. 【报告周期】选择【自定义】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 数据周期支持选择xx天前～xx天前，后面的数值需要小于前面的数值，最大支持100
3. 提示前后不能输入同样的数值
4. 提示后面的值不能大于前面的值
5. 系统提示配置成功，配置项已生效，页面显示最新配置状态
6. 1. 【数据周期】可选择【每月x号~每月x号】
7. 1. 【数据周期】可选择【xx天前～xx天前】
8. 1. 【数据周期】可选择【每周x ~ 每周x】
9. 1. 【数据周期】可选择【xx天前～xx天前】",3
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「报告周期」选择框功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 点击【下一步】
6. 查看【报告配置】-【报告周期】
7. 【报告周期】选择【月】
【生效日期】 选择 「2025-07-01 ~ 2025-12-31」
【选择时间】 选择 【每月xx号（根据实际测试日期来）】
【具体时间】 选择 【xx 时 xx分（根据实际测试时间来）】
8. 【报告周期】选择【天】
【生效日期】 选择 「2025-07-01 ~ 2025-12-31」
【具体时间】 选择 【xx 时 xx分（根据实际测试时间来）】
9. 【报告周期】选择【周】
【生效日期】 选择 「2025-07-01 ~ 2025-12-31」
【选择时间】 选择 【每周星期x（根据实际测试日期来）】
【具体时间】 选择 【xx 时 xx分（根据实际测试时间来）】
10. 【报告周期】选择【自定义】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
5. 进入【调度配置】页面
6. 默认选择【月】
7. 月维度报告配置已完成，所有配置项已保存，页面显示配置成功提示
8. 天维度报告配置已完成，所有配置项已保存，页面显示配置成功提示
9. 周维度报告配置已完成，所有配置项已保存，页面显示配置成功提示
10. 自定义报告配置已完成，所有配置项已保存，页面显示配置成功提示",3
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「报告统计规则范围」选择框功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】
4. 规则全选(完整性校验，有效性校验，唯一性校验，统计性校验)
5. 规则均配置
6. 点击【下一步】
7. 查看【报告配置】-【报告统计规则范围】
8. 返回上一步，删除【有效性校验规则】【统计性校验规则】，再次查看【报告配置】-【报告统计规则范围】
9. 返回上一步，复制【完整性校验规则】出【完整性校验规则2】，【唯一性校验规则】，再次查看【报告配置】-【报告统计规则范围】
10. 编辑【报告统计规则范围】，单独勾选【完整性校验规则】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择项已高亮/回显选中状态，相关联动字段随之更新
4. 各规则模块均勾选成功，配置项展示正确，内容与预期完全一致，无异常或错误
5. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
6. 进入【调度配置】页面
7. 默认选择全部已配置的规则(完整性校验，有效性校验，唯一性校验，统计性校验)
8. 更新为【完整性校验规则】【唯一性校验规则】
9. 更新为【完整性校验规则】【完整性校验规则2】【唯一性校验规则】
10. 仅展示【完整性校验规则】",3
数据资产-数据质量-规则集报告生成设置,验证「报告配置」-「报告类型」选择框功能校验,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【完整性校验】规则均配置
5. 点击【下一步】
6. 查看【报告配置】-【报告类型】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 所有规则配置项已保存，【保存】按钮置灰，页面显示""配置已保存""
5. 进入【调度配置】页面
6. 默认选择【质检式】，不可修改(本次只支持质检式)",3
