所属模块,用例标题,前置条件,步骤,预期结果,优先级
dm for mysql元数据库适配,验证【项目设置-项目参数】功能正常,无,"1. 进入【项目管理-项目设置-项目参数】，点击“新建项目参数”，填写所有必填项，保存
2. 选择一条记录，点击“编辑”，修改后保存
3. 选择一条记录，点击“删除”","1. 项目参数新建成功，系统给出创建成功提示，列表中出现新创建的记录
2. 项目参数修改成功，内容与修改后的一致
3. 项目参数删除成功，系统给出删除成功提示，该记录从列表中消失",1
dm for mysql元数据库适配,验证【项目设置-操作设置】功能正常,无,"1. 进入【项目管理-项目设置-开发设置】，未勾选“启用周期调度、下载selelct结果、发送任务运行情况报告、允许dd操作、自定义目录排序、代码同步”
2. 进入【项目管理-项目设置-开发设置】，勾选“启用周期调度、下载selelct结果、发送任务运行情况报告、允许dd操作、自定义目录排序、代码同步”","1. 1）创建周期任务并提交后，周期实例不生成，任务不运行
2）创建SQL任务，临时运行，运行成功后，返回查询结果不可下载
3）创建周期任务并提交，待周期实例运行成功后，不发送运行报告
4）创建SQL任务，运行DDL语法，提示DDL语句，不可运行
5）【数据开发】目录不可人为排序，不可拖动排序
6）【数据开发】周期任务没有拉取、推送操作
2. 1）创建周期任务并提交后，周期实例生成，任务运行
2）创建SQL任务，临时运行，运行成功后，返回查询结果可点击下载，文件下载成功，结果与SQL查询结果一致
3）创建周期任务并提交，待周期实例运行成功后，收到任务运行报告
4）创建SQL任务，运行DDL语法，提示DDL语句，可继续运行
5）【数据开发】项目内目录支持拖动
6）【数据开发】周期任务有拉取、推送操作，支持推送拉取功能",1
dm for mysql元数据库适配,验证【项目设置-开发设置】功能正常,无,"1. 进入【项目管理-项目设置-开发设置】，展示当前项目所有可使用的任务类型
2. 展示资源组信息
3. 点击“添加计算引擎”，选择要添加的引擎，点击“确定”","1. 默认通用下：事件任务，条件分支，common：工作流，虚节点，
Hadoop：
控制台计算组件flink：数据同步，Flink Batch
Spark：SparkSQL，Pyspark，Spark
Hiveserver：HiveSQL
数据正确，页面样式正常，功能行为符合预期，无报错或异常
2. 数据正确，页面样式正常，功能行为符合预期，无报错或异常
3. 1）列表范围：控制台配置的计算组件，当前项目已配置的引擎置灰
2）引擎添加成功，在数据开发新建任务，可选择到对应的类型的任务",1
dm for mysql元数据库适配,验证【项目设置-基本信息】功能正常,无,"1. 进入【项目管理-项目设置-基本信息】，check所有数据
2. 点击编辑按钮，编辑项目名称
3. 点击编辑按钮，编辑项目所有者
4. 点击编辑按钮，编辑项目描述
5. 点击成员管理
6. 点击【立即绑定】","1. 数据正确，页面样式正常，功能行为符合预期，无报错或异常
2. 格式符合规范，数据更新成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 格式符合规范，数据更新成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 格式符合规范，数据更新成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 跳转到成员管理页面
6. 弹出项目绑定弹窗，选择租户和项目后，项目绑定成功，系统给出成功反馈，相关页面/数据状态更新为最新",1
dm for mysql元数据库适配,验证成员管理-用户组功能正常,无,"1. 进入【项目管理-成员管理-用户组】，点击“添加成员”，填写所有必填项，点击“确定”
2. 选择已添加的用户组，修改用户组权限，保存
3. 选择已添加的用户组，移出项目","1. 用户组添加成功，用户组下的所有用户权限与添加时的一致
2. 用户组权限修改成功，用户组下的所有用户权限与修改后的一致
3. 用户组移出成功，用户组下的所有用户没有对应项目权限",1
dm for mysql元数据库适配,验证成员管理-用户功能正常,无,"1. 进入【项目管理-成员管理-用户】，点击“添加成员”，填写所有必填项，点击“确定”
2. 选择已添加的用户，修改用户权限，保存
3. 选择已添加的用户，移出项目","1. 用户添加成功，权限与添加时的一致
2. 用户权限修改成功，权限与修改后的一致
3. 用户移出成功，没有对应项目权限",1
dm for mysql元数据库适配,验证角色管理功能正常,无,1. 进入【项目管理-角色管理】，check数据&页面,"1. 1）所有角色的权限点正确，内容与预期完全一致，无异常或错误
2）样式正常，不可操作",1
dm for mysql元数据库适配,验证数据文件治理功能正常,"数据地图存在文件数量>=10,占用存储10M的表，可批量建分区表并往里面插入数据","1. 进入【数据地图-数据文件治理-治理规则-一次性治理】，填写所有必填项，“治理时间”选择“立即治理”，保存
2. 进入【数据地图-数据文件治理-治理规则-周期治理】，点击“新建”，填写所有必填项，保存
3. 进入【数据地图-数据文件治理-治理规则-周期治理】，选择一条记录，点击“关闭”
4. 进入【数据地图-数据文件治理-治理规则-周期治理】，选择一条记录，点击“删除”","1. 保存成功，跳转到治理记录页面，新增一条记录，所有数据正确
2. 1）保存成功，跳转到列表页面，数据更新，所有数据正确，可查看，关闭，删除此数据
2）周期治理后，治理记录页面，新增一条记录，所有数据正确
3. 1）关闭成功，数据更新，所有数据正确，可查看，开启，删除此数据
2）不会进行数据文件治理操作
4. 1） 系统提示删除成功，该条记录从列表中消失，总记录数减1",1
dm for mysql元数据库适配,验证脱敏管理功能正常,无,"1. 进入【数据地图-脱敏管理-脱敏管理】，点击“添加脱敏”，给putong_table的name字段配置脱敏，保存
2. 在对应的离线项目下，新建任务，（示例：hivesql任务），输入select语句，保存，临时运行
实例SQL：select * from putong_table;
3. 下载查询结果
4. 数据地图对该表预览数据
5. 进入【数据地图-脱敏管理-脱敏管理】，选择一条记录，点击“删除”","1. 保存成功，跳转至【脱敏管理】页面，新增一条记录，数据与新增时的一致
2. 返回结果中name字段脱敏显示
3. 下载成功，name字段脱敏显示
4. name字段脱敏显示
5. 脱敏删除成功，页面刷新，脱敏不再生效",1
dm for mysql元数据库适配,验证规则管理功能正常,无,"1. 进入【数据地图-脱敏管理-规则管理】，点击“创建规则”，填写所有必填项，保存
2. 选择一条记录，点击“编辑”，修改内容后，保存
3. 选择一条记录，点击“删除”","1. 保存成功，跳转至【规则管理】页面，新增一条记录，数据与新增时的一致
2. 保存成功，数据与修改后的一致
3. 删除成功，对应记录被删除",1
