所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-多表比对,验证「完整性校验」-「实例详情-监控报告」增加「规则类型」字段,"历史已存在完整性校验规则
A - 空串数校验规则
B - 空值数校验规则
C - 表行数检测","1. 进入数据资产-质量-任务实例查询页面
2. 选择实例A，查看监控报告
3. 选择实例B，查看监控报告
4. 选择实例C，查看监控报告","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 报告详情新增【规则类型-字段级】字段
3. 报告详情新增【规则类型-字段级】字段
4. 报告详情新增【规则类型-单表】字段",3
数据资产-数据质量-多表比对,验证「实例详情-监控报告」-「查看明细」弹窗标题修改,"1. 已存在历史校验失败的任务
A(完整性校验-空值数/空值率/空串数/空串率/字段值校验)
B (有效性校验-字符长度/日期格式/自定义正则/取值范围)
C(唯一性校验-重复数/重复率/非重复个数/非重复占比)
D(统计性校验-异常值检测)","1. 进入数据资产-质量-任务实例查询页面
2. 选择实例A，查看明细数据
3. 选择实例B，查看明细数据
4. 选择实例C，查看明细数据
5. 选择实例D，查看明细数据","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 明细数据弹窗标题改为“完整性校验+校验方法“
3. 明细数据弹窗标题改为“有效性校验+校验方法“
4. 明细数据弹窗标题改为“唯一性校验+校验方法“
5. 明细数据弹窗标题改为“统计性校验+校验方法“",2
数据资产-数据质量-多表比对,验证「完整性校验-字段值校验」-校验不通过时「实例详情-监控报告」展示正确,已存在校验不通过的实例A,"1. 进入数据资产-质量-任务实例查询页面
2. 选择实例A，查看监控报告
3. 查看明细数据
4. 下载明细数据","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 支持查看不通过校验的明细数据,校验字段标红
4. 下载成功，数据展示正确， 校验字段标红",1
数据资产-数据质量-多表比对,验证「完整性校验-字段值校验」-校验失败时「实例详情-监控报告」展示正确,已存在校验失败的实例A,"1. 进入数据资产-质量-任务实例查询页面
2. 选择实例A，查看监控报告
3. 查看明细数据
4. 点击【查看日志】按钮","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 校验失败的实例不展示【明细数据】
4. 展示任务失败日志详细信息",2
数据资产-数据质量-多表比对,验证「完整性校验-字段值校验」-校验通过时「实例详情-监控报告」展示正确,已存在校验通过的实例A,"1. 进入数据资产-质量-任务实例查询页面
2. 选择实例A，查看监控报告
3. 查看明细数据","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 校验成功的实例不展示【明细数据】",2
数据资产-数据质量-多表比对,验证「完整性校验」-「字段级-字段值校验」编辑功能正确,"已存在规则-完整性校验规则A配置如下：
检测表如下：
create table tableA(id int,name varchar(255),age int,score int,class varchar(255) );
insert into tableA values
(1,'student1',7,59,'一年级'),
(2,'student2',8,60,'一年级'),
(3,'student3',7,62,'一年级'),
(4,'student4',7,75,'一年级'),
(5,'student5',7,88,'一年级'),
(101,'student6',18,128,'高中');
「期望值」 配置如下：
「规则类型」选择「字段级」
「字段」选择「id,age,score,class」
「字段间规则逻辑」选择「and」
「统计函数」选择「字段值校验」
「id字段」 !=0
「age字段」 in [7,8]
「score」 <= 100
「class」 包含 “一年级”","1. 进入数据资产-质量-规则任务配置页面
2. 选择规则A，点击【编辑】按钮
3. 编辑【字段】删除【id】
编辑【字段间规则逻辑】为【or】
编辑【字段期望值校验方式】
编辑【过滤条件】 id >1000
编辑【强弱规则】 为【强】
编辑【规则描述】为 【test desc】
4. 保存规则，查看规则详情页字段信息
5. 运行任务实例","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入规则【编辑页面】
3. 系统提示编辑成功，修改内容已更新，页面显示最新内容
4. 系统提示更新成功，数据已更新至最新状态，页面显示更新后的内容
5. 按更新后逻辑运行",1
数据资产-数据质量-多表比对,验证「完整性校验」-「字段级-字段值校验」-「选择十个字段」校验结果验证,"已存在表A
create table tableA(
id int,
col1 varchar(255),
col2 varchar(255),
col3 varchar(255),
col4 varchar(255),
col5 varchar(255),
col6 int,
col7 int,
col8 int,
col9 int,
col10 int,
);
insert into tableA values(
1,'colum1','colum2','colum3','colum4','colum5',1,2,3,4,5)","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【规则类型】选择【字段级】
【字段】选择「id,col1,col2,col3,col4,col5,col6,col7,col8,col9」
【字段间规则逻辑】选择【and】
【统计函数】选择【字段值校验】
5. 【期望值】 配置如下：
【id】 != 0
【col1】 包含 “colum1“
【col2】 包含 “colum2“
【col3】 包含 “colum3“
【col4】 包含 “colum4“
【col5】 包含 “colum5“
【col6】 = 1
【col7】 in [2]
【col8】 = 3
【col9】 < 10
6. 保存任务，并立即运行任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 选择项已高亮/回显选中状态，相关联动字段随之更新
5. 配置完成
6. 校验通过",3
数据资产-数据质量-多表比对,验证「完整性校验」-「字段级-字段值校验」-「选择单个字段」-「字段值异常情况」校验结果验证,"已存在表A
create table tableA(id int,name varchar(255),age int,score int,class varchar(255) );
insert into tableA values
(1,'student1',7,59,'一年级'),
(2,'student2',8,60,'一年级'),
(3,'student3',7,62,'一年级'),
(4,'student4',7,75,'一年级'),
(5,'student5',7,88,'一年级'),
(101,'student6',18,128,'高中'),
(NULL,'student6',NULL,NULL,NULL);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【规则类型】选择【字段级】
【字段】选择【id,age,score,class】
【字段间规则逻辑】选择【and】
【统计函数】选择【字段值校验】
5. 【期望值】 配置如下：
【id字段】 !=0
【age字段】 in [7,8]
【score】 <= 100
【class】 包含 “一年级”
6. 保存任务，并立即运行任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 选择项已高亮/回显选中状态，相关联动字段随之更新
5. 配置完成
6. 校验失败，字段值为NULL时校验失败",3
数据资产-数据质量-多表比对,验证「完整性校验」-「字段级」-「字段间规则逻辑- or」-「部分失败」功能校验,"已存在表A
create table tableA(id int,name varchar(255),age int,score int,class varchar(255) );
insert into tableA values
(1,'student1',7,59,'一年级'),
(2,'student2',8,60,'一年级'),
(3,'student3',7,62,'一年级'),
(4,'student4',7,75,'一年级'),
(5,'student5',7,88,'一年级'),
(101,'student6',18,128,'高中');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【规则类型】选择【字段级】
【字段】选择【id,age,score,class】
【字段间规则逻辑】选择【and】
【统计函数】选择【字段值校验】
5. 【期望值】 配置如下：
【id字段】 !=0
【age字段】 in [7,8]
【score】 <= 100
【class】 包含 “一年级”
6. 保存任务，并立即运行任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 选择项已高亮/回显选中状态，相关联动字段随之更新
5. 配置完成
6. 校验通过",3
数据资产-数据质量-多表比对,验证「完整性校验」-「字段级」-「字段间规则逻辑- or」-「全部成功」功能校验,"已存在表A
create table tableA(id int,name varchar(255),age int,score int,class varchar(255) );
insert into tableA values
(1,'student1',7,59,'一年级'),
(2,'student2',8,60,'一年级'),
(3,'student3',7,62,'一年级'),
(4,'student4',7,75,'一年级'),
(5,'student5',7,88,'一年级'),
(101,'student6',18,128,'高中');","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】，选择【完整性校验】规则
4. 【规则类型】选择【字段级】
【字段】选择【id,age,score,class】
【字段间规则逻辑】选择【or】
【统计函数】选择【字段值校验】
5. 【期望值】 配置如下：
【id字段】 !=0
【age字段】 in [7,8]
【score】 <= 100
【class】 包含 “一年级”
【过滤条件】 选择 id<100
6. 保存任务，并立即运行任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 选择项已高亮/回显选中状态，相关联动字段随之更新
5. 配置完成
6. 校验通过",3
