所属模块,用例标题,前置条件,步骤,预期结果,优先级
hive表权限管控,验证【通用信息】页面展示正确,无,1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息,"1. 1）【select查询结果限制】模块下方新增【数据权限管理】模块
2）【数据权限管理】模块展示字段：数据地图外部表权限管控",2
hive表权限管控,验证【数据权限管控】模块显示&交互正确,1）当前存在多个集群：集群A、集群B,"1. 进入集群A的【多集群管理-绑定租户-通用信息】页面，查看【数据地图外部表权限管控】
2. 鼠标移至“问号icon”
3. 勾选【数据地图外部表权限管控】
4. 点击“编辑”
5. 查看【数据地图外部表权限管控】-【生效表类型】
6. 【数据地图外部表权限管控】-【生效表类型】勾选“Hive”后，点击“取消”
7. 【数据地图外部表权限管控】-【生效表类型】勾选“Hive”后，点击“确定”","1. 1）默认不勾选
2）【数据地图外部表权限管控】右侧存在“问号icon”
2. hover展示：用于管控未同步至离线数据地图的数据表操作权限。开启后，任务中不能直接操作数据地图外部表
3. 1）toast提示：切换成功！
2）【数据地图外部表权限管控】为勾选状态
3）【数据地图外部表权限管控】右侧新增“编辑”按钮
4. 进入【数据地图外部表权限管控】弹窗
1）title：数据地图外部表权限管控
2）展示字段：生效表类型
3）“取消、确定、X”按钮
5. 1）【生效表类型】默认不勾选
2）【生效表类型】枚举：Hive
3）【生效表类型】勾选后，为选中状态
6. “Hive”仍为未勾选状态
7. 保存成功，“Hive”为勾选状态",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_hive表生效_create,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b，其中table_a没有同步至数据地图，table_b已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目A的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_1 (id int, name string);
3. 提交hivesql任务，并进行周期&补数据运行
4. 修改hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_2 as select * from table_a;
5. 提交hivesql任务
6. 修改hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_2 as select * from table_b;
7. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行失败，日志异常提示“以下schema当前用户无操作权限 \n ${schema名称} \n 以下表当前用户无权限 \n ${schema名称.表名称，table_a}”
5. 1）任务提交失败
2）进入异常弹窗，提示文案：
“以下schema当前用户无操作权限
${schema名称}
以下表当前用户无权限
${schema名称.表名称}”
3）点击“知道了”关闭弹窗，任务不提交
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
7. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",1
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_hive表生效_insert,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b、table_c，其中table_a没有同步至数据地图，table_b、table_c已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目A的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：insert into table table_a values (1,'qq');
3. 提交hivesql任务
4. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table table_b values (1,'qq');
5. 提交hivesql任务，并进行周期&补数据运行
6. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table_c select * from table_a;
7. 提交hivesql任务
8. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table_c select * from table_b;
9. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行失败，日志异常提示“以下schema当前用户无操作权限 \n ${schema名称} \n 以下表当前用户无权限 \n ${schema名称.表名称，table_a}”
3. 1）任务提交失败
2）进入异常弹窗，提示文案：
“以下schema当前用户无操作权限
${schema名称}
以下表当前用户无权限
${schema名称.表名称，，table_a}”
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行失败，日志异常提示“以下schema当前用户无操作权限 \n ${schema名称} \n 以下表当前用户无权限 \n ${schema名称.表名称，table_a}”
7. 1）任务提交失败
2）进入异常弹窗，提示文案：
“以下schema当前用户无操作权限
${schema名称}
以下表当前用户无权限
${schema名称.表名称，，table_a}”
8. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_hive表生效_select,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b、table_c，其中table_a没有同步至数据地图，table_b、table_c已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目A的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：select * from table_a;
3. 提交hivesql任务
4. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_b;
5. 提交hivesql任务，并进行周期&补数据运行
6. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_c left join table_a on table_c.id = table_a.id;
7. 提交hivesql任务
8. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_c left join table_b on table_c.id = table_b.id;
9. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行失败，日志异常提示“以下schema当前用户无操作权限 \n ${schema名称} \n 以下表当前用户无权限 \n ${schema名称.表名称，table_a}”
3. 1）任务提交失败
2）进入异常弹窗，提示文案：
“以下schema当前用户无操作权限
${schema名称}
以下表当前用户无权限
${schema名称.表名称，，table_a}”
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行失败，日志异常提示“以下schema当前用户无操作权限 \n ${schema名称} \n 以下表当前用户无权限 \n ${schema名称.表名称，table_a}”
7. 1）任务提交失败
2）进入异常弹窗，提示文案：
“以下schema当前用户无操作权限
${schema名称}
以下表当前用户无权限
${schema名称.表名称，，table_a}”
8. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_hive表生效_show tables,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b，其中table_a没有同步至数据地图，table_b已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目A的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：show tables;","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_无生效表类型_create,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b，其中table_a没有同步至数据地图，table_b已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目B的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_1 (id int, name string);
3. 提交hivesql任务，并进行周期&补数据运行
4. 修改hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_2 as select * from table_a;
5. 提交hivesql任务，并进行周期&补数据运行
6. 修改hivesql任务，保存并临时运行，sql脚本如下：create table if not exists table_c_2 as select * from table_b;
7. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
5. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
7. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",1
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_无生效表类型_insert,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b、table_c，其中table_a没有同步至数据地图，table_b、table_c已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目B的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：insert into table table_a values (1,'qq');
3. 提交hivesql任务，并进行周期&补数据运行
4. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table table_b values (1,'qq');
5. 提交hivesql任务，并进行周期&补数据运行
6. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table_c select * from table_a;
7. 提交hivesql任务，并进行周期&补数据运行
8. 修改hivesql任务，保存并临时运行，sql脚本如下：insert into table_c select * from table_b;
9. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
8. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据写入成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_无生效表类型_select,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b、table_c，其中table_a没有同步至数据地图，table_b、table_c已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目B的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：select * from table_a;
3. 提交hivesql任务，并进行周期&补数据运行
4. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_b;
5. 提交hivesql任务，并进行周期&补数据运行
6. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_c left join table_a on table_c.id = table_a.id;
7. 提交hivesql任务，并进行周期&补数据运行
8. 修改hivesql任务，保存并临时运行，sql脚本如下：select * from table_c left join table_b on table_c.id = table_b.id;
9. 提交hivesql任务，并进行周期&补数据运行","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
6. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
8. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，下载成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1） 系统提示任务提交成功，任务状态更新为【待运行/调度中/运行中】
2）周期任务运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
3）补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",2
hive表权限管控,验证hivesql任务权限正确_开启数据权限管控_无生效表类型_show tables,"1）集群A：已开启hive表的数据权限管控；已创建项目A，初始化方式：创建
2）集群B：已开启数据权限管控，但生效表类型为空；已创建项目B，初始化方式：对接已有schema
3）集群C：未开启数据权限管控；已创建项目C，初始化方式：不创建且不对接
4）已存在table_a 、table_b，其中table_a没有同步至数据地图，table_b已同步至数据地图
sql如下：
create table if not exists table_a (id int, name string);
insert into table table_a values (1,'qq');","1. 进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息
2. 数据开发用户进入项目B的【数据开发-周期任务】页面，新建hivesql任务，保存并临时运行，sql脚本如下：show tables;","1. 成功进入【控制台-多集群管理】页面，选择集群A进入【绑定租户-通用信息】页面，查看页面展示信息页面，页面内容正常加载显示，无报错
2. 1） 系统提示保存成功，修改内容已生效并在页面中更新显示
2）临时运行成功，数据查询成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
