所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证编辑界面正常编辑已有格式校验-自定义正则校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00),
-- 异常值（均值 ± 4~6 倍标准差）
(25, 30, 35, 40, 45, 25.0, 26.5, 27.00),
(27, 32, 37, 42, 48, 26.8, 28.0, 29.50),
(5, 0, -5, -10, -15, 4.5, 3.8, 4.00),
(4, -2, -8, -12, -18, 3.9, 2.5, 3.50),
(28, 35, 40, 45, 50, 27.5, 29.0, 30.00);","1. 进入数据质量-规则任务配置，选择任务zhixin_01点击表名
2. 选择一个统计性校验，点击编辑
3. 期望值选择[-1.96，1.96]
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 统计性校验具体配置框进入编辑状态
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证编辑界面正常新增格式校验-自定义正则校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00);","1. 进入数据质量-规则任务配置选择任务zhixin_01点击表名
2. 点击添加规则-统计性校验
3. 选择字段col_tiny
校验方法选择格式校验-自定义正则
校验方法选择Z- score置信区间
期望值选择[-1.96，1.96]
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 展示统计性校验具体配置框
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则Z- score置信区间时正常克隆,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：zhixin_03
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-统计性校验
4. 分别选择字段col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal
校验方法选择Z- score置信区间
期望值选择[-1.96，1.96]
其余选项为默认，点击保存
选择其中一个校验框点击右上角克隆
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示统计性校验具体配置框
4. 新增一个校验框，内容配置与克隆源完全一致
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则Z- score置信区间校验失败结果符合预期,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00),
-- 异常值（均值 ± 4~6 倍标准差）
(25, 30, 35, 40, 45, 25.0, 26.5, 27.00),
(27, 32, 37, 42, 48, 26.8, 28.0, 29.50),
(5, 0, -5, -10, -15, 4.5, 3.8, 4.00),
(4, -2, -8, -12, -18, 3.9, 2.5, 3.50),
(28, 35, 40, 45, 50, 27.5, 29.0, 30.00);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：zhixin_02
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-统计性校验
4. 分别选择字段col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal
校验方法选择Z- score置信区间
期望值选择[-1.96，1.96]
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示统计性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 实例状态显示校验异常
提示校验不通过：8",2
数据资产-数据质量-内置规则库,验证Z- score置信区间 周期调度-验证监控规则Z- score置信区间时表校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00),
-- 异常值（均值 ± 4~6 倍标准差）
(25, 30, 35, 40, 45, 25.0, 26.5, 27.00),
(27, 32, 37, 42, 48, 26.8, 28.0, 29.50),
(5, 0, -5, -10, -15, 4.5, 3.8, 4.00),
(4, -2, -8, -12, -18, 3.9, 2.5, 3.50),
(28, 35, 40, 45, 50, 27.5, 29.0, 30.00);","1. 进入数据质量-规则任务配置-单表校验规则
2. 对于规则任务zhixin_01，次日实例生成后查看任务实例","1. 成功进入数据质量-规则任务配置-单表校验规则页面，页面内容正常加载显示，无报错
2. 实例状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则Z- score置信区间时表校验正常,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_02 (
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_02
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值（均值约 15，标准差约 2）
(14, 16, 15, 18, 20, 14.8, 15.1, 15.30),
(15, 14, 16, 17, 19, 15.2, 14.9, 14.80),
(16, 15, 17, 16, 18, 15.5, 15.3, 15.10),
(13, 17, 14, 19, 21, 14.7, 15.0, 14.90),
(15, 16, 15, 18, 20, 15.1, 14.8, 15.00);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：zhixin_01
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-统计性校验
4. 分别选择字段col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal
校验方法选择Z- score置信区间
期望值选择[-1.96，1.96]
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示统计性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验通过",1
数据资产-数据质量-内置规则库,验证编辑界面正常编辑已有IQR离群点占比校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_01 (
id INT PRIMARY KEY AUTO_INCREMENT,
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_01
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值
(12, 15, 18, 20, 25, 15.5, 16.7, 18.20),
(14, 16, 17, 21, 24, 14.8, 15.3, 19.10),
(13, 14, 15, 19, 26, 15.0, 16.1, 17.50),
(15, 17, 16, 22, 23, 16.2, 15.9, 18.70),
(11, 15, 19, 18, 27, 14.9, 16.0, 17.90),
-- 离群点
(100, 3000, 500000, 1000000, 9000000000, 1234.56, 98765.4321, 1000000.99),
(-50, -2000, -400000, -800000, -7000000000, -1234.56, -54321.1234, -500000.55),
(127, 32767, 8000000, 2000000000, 9223372036854775807, 99999.99, 8888888.88, 777777.77),
(-128, -32768, -8000000, -2000000000, -9223372036854775808, -99999.99, -8888888.88, -777777.77),
(50, 5000, 100000, 5000000, 3000000000, 5432.10, 654321.1234, 333333.33);","1. 进入数据质量-规则任务配置，选择任务liqunbi_01点击表名
2. 选择一个统计性校验，点击编辑
3. 期望值修改为“<=50”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 统计性校验具体配置框进入编辑状态
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证编辑界面正常新增IQR离群点占比校验规则,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_01 (
id INT PRIMARY KEY AUTO_INCREMENT,
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_01
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值
(12, 15, 18, 20, 25, 15.5, 16.7, 18.20),
(14, 16, 17, 21, 24, 14.8, 15.3, 19.10),
(13, 14, 15, 19, 26, 15.0, 16.1, 17.50),
(15, 17, 16, 22, 23, 16.2, 15.9, 18.70),
(11, 15, 19, 18, 27, 14.9, 16.0, 17.90),
-- 离群点
(100, 3000, 500000, 1000000, 9000000000, 1234.56, 98765.4321, 1000000.99),
(-50, -2000, -400000, -800000, -7000000000, -1234.56, -54321.1234, -500000.55),
(127, 32767, 8000000, 2000000000, 9223372036854775807, 99999.99, 8888888.88, 777777.77),
(-128, -32768, -8000000, -2000000000, -9223372036854775808, -99999.99, -8888888.88, -777777.77),
(50, 5000, 100000, 5000000, 3000000000, 5432.10, 654321.1234, 333333.33);","1. 进入数据质量-规则任务配置，选择任务liqunbi_01点击表名
2. 点击添加规则-统计性校验
3. 选择字段col_tiny
校验方法选择IQR离群点占比
期望值选择“=50”
其余选项为默认，点击保存
4. 点击立即执行-进入任务实例查询","1. 右侧弹出具体规则信息
2. 展示统计性校验具体配置框
3. 校验保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置IQR离群点占比时正常克隆,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_01 (
id INT PRIMARY KEY AUTO_INCREMENT,
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_01
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值
(12, 15, 18, 20, 25, 15.5, 16.7, 18.20),
(14, 16, 17, 21, 24, 14.8, 15.3, 19.10),
(13, 14, 15, 19, 26, 15.0, 16.1, 17.50),
(15, 17, 16, 22, 23, 16.2, 15.9, 18.70),
(11, 15, 19, 18, 27, 14.9, 16.0, 17.90),
-- 离群点
(100, 3000, 500000, 1000000, 9000000000, 1234.56, 98765.4321, 1000000.99),
(-50, -2000, -400000, -800000, -7000000000, -1234.56, -54321.1234, -500000.55),
(127, 32767, 8000000, 2000000000, 9223372036854775807, 99999.99, 8888888.88, 777777.77),
(-128, -32768, -8000000, -2000000000, -9223372036854775808, -99999.99, -8888888.88, -777777.77),
(50, 5000, 100000, 5000000, 3000000000, 5432.10, 654321.1234, 333333.33);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：liqunbi_02
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-统计性校验
4. 分别选择字段col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal
校验方法选择IQR离群点占比
期望值选择“=50”
其余选项为默认，点击保存
选择其中一个校验框点击右上角克隆
5. 点击下一步
6. 选项均为默认，点击新建
7. 点击所建规则查看详细信息
8. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示统计性校验具体配置框
4. 新增一个校验框，内容配置与克隆源完全一致
5. 进入调度属性配置界面
6. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
7. 基本信息、监控规则内容符合预期
8. 校验完成后状态显示校验通过",2
数据资产-数据质量-内置规则库,验证监控规则配置IQR离群点占比时表校验失败,"已引入数据源，且包含库表，表内包含数据
建表语句：
CREATE TABLE test_tongji_01 (
id INT PRIMARY KEY AUTO_INCREMENT,
col_tiny TINYINT,
col_small SMALLINT,
col_medium MEDIUMINT,
col_int INT,
col_big BIGINT,
col_float FLOAT,
col_double DOUBLE,
col_decimal DECIMAL(10,2)
);
表插入语句：
INSERT INTO test_tongji_01
(col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal)
VALUES
-- 正常值
(12, 15, 18, 20, 25, 15.5, 16.7, 18.20),
(14, 16, 17, 21, 24, 14.8, 15.3, 19.10),
(13, 14, 15, 19, 26, 15.0, 16.1, 17.50),
(15, 17, 16, 22, 23, 16.2, 15.9, 18.70),
(11, 15, 19, 18, 27, 14.9, 16.0, 17.90),
-- 离群点
(100, 3000, 500000, 1000000, 9000000000, 1234.56, 98765.4321, 1000000.99),
(-50, -2000, -400000, -800000, -7000000000, -1234.56, -54321.1234, -500000.55),
(127, 32767, 8000000, 2000000000, 9223372036854775807, 99999.99, 8888888.88, 777777.77),
(-128, -32768, -8000000, -2000000000, -9223372036854775808, -99999.99, -8888888.88, -777777.77),
(50, 5000, 100000, 5000000, 3000000000, 5432.10, 654321.1234, 333333.33);","1. 进入数据质量-规则任务配置-单表校验规则
2. 输入
规则名称：liqunbi_02
选择数据源：已有数据源
选择数据库：已有数据库
选择数据表：已有数据表
点击下一步
3. 点击添加多个规则-统计性校验
4. 分别选择字段col_tiny, col_small, col_medium, col_int, col_big, col_float, col_double, col_decimal
校验方法选择IQR离群点占比
期望值选择“>50”
其余选项为默认，点击保存、下一步
5. 选项均为默认，点击新建
6. 点击所建规则查看详细信息
7. 点击立即执行-进入任务实例查询","1. 进入监控对象界面
2. 进入监控规则界面
3. 展示统计性校验具体配置框
4. 进入调度属性配置界面
5. 提示规则新建成功，系统给出创建成功提示，列表中出现新创建的记录
6. 基本信息、监控规则内容符合预期
7. 校验完成后状态显示校验异常
提示校验不通过：8
查看明细内字段展示不符合规则的字段信息",2
