所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.driver.maxResultSize),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.driver.maxResultSize=2g 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 点击 Tracking UI: ApplicationMaster，在 Environment 页签确认该参数值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 应为2g",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(logLevel),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置logLevel=ERROR 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 点击 Tracking UI: ApplicationMaster -❯ Executors -❯ stderr/stdout","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 日志不再打印 INFO 级别信息",1
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.speculation),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.speculation=true 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 点击 Tracking UI: ApplicationMaster，在 Environment 页签确认 spark.speculation","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 应为true",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.network.timeout),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.network.timeout=300s 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 点击 Tracking UI: ApplicationMaster，在 Environment 页签搜索该参数","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 确认 Value 为 300s",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.sql.shuffle.partitions),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.sql.shuffle.partitions=10 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 点击 Tracking UI: ApplicationMaster 进入 Spark UI，在 Stages 页签查看 Shuffle 操作的 Tasks 总数","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 应为 10",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.yarn.executor.memoryOverhead),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.yarn.executor.memoryOverhead=1024(1g) 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 检查【 Allocated Memory MB】字段下, 对应任务的值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. Allocated Memory MB 总量会增加。例如 executor.memory 为 1g 时，该字段应显示约 2048MB",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.driver.memory),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.driver.memory=2g 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 检查【 Allocated Memory MB】字段下, 对应任务的值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 找到 AppMaster 对应的那个 Container，其 Allocated Memory MB 应为 2048MB + Overhead",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.driver.cores),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.driver.cores=2 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 检查【Allocated CPU Vcores】字段下, 对应任务的值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. Allocated CPU Vcores 的总量应在默认基础上增加 1（因为 Driver 占用了更多核）",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.executor.memory),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.executor.memory=2g 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 检查【Allocated Memory MB】字段下, 对应任务的值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 单个 Container 的 Allocated Memory MB 应显著增加（通常显示为 2048MB + Overhead",2
数据资产-数据质量-规则调度设置,验证Spark环境参数配置生效(spark.executor.cores),无,"1. 进入【数据资产】-【数据质量】-【规则任务管理】页面
2. 点击新建监控规则, 依次配置监控对象(SparkThrift2.x), 监控规则后, 点击下一步
3. 点击【环境参数配置】, 设置spark.executor.cores=2 后保存
4. 运行规则任务
5. 进入Apache Hadoop YARN界面, 检查【Allocated CPU Vcores】字段下, 对应任务的值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 进入【新建单表校验规则 ❯ 调度属性】配置页面
3. 规则任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 任务运行成功, 校验结果正常，功能行为符合预期，无报错或异常
5. 【Allocated CPU Vcores】 字段应显示为：3 = instances * 2 + driver.cores",1
