所属模块,用例标题,前置条件,步骤,预期结果,优先级
增加一键建表生命周期配置功能,验证生命周期到期-非分区表-验证非分区表生命周期到期后正常删除表数据（table.life.not.deleted.metadata=false）,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据源模块，点击mysql数据源后的整库同步按钮
2. 选择原表：test_001
选择目标：sparkthrift数据源
选择schema：当前项目schema
同步方式：全量
并发配置：整批上传
点击发布任务
3. 操作设置所配置的时间到期后进入数据地图查看表
4. 操作设置所配置的时间到期后进入底层数据库查看表
5. 创建hivesql任务，输入select语句查询上述表","1. 进入整库同步界面
2. 任务发布成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 表依然存在，数据被删除
4. 表依然存在，数据被删除
5. 依然能正常查询，表数据为空",3
增加一键建表生命周期配置功能,验证生命周期到期-非分区表-验证非分区表生命周期到期后正常删除表（table.life.not.deleted.metadata=true）,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据源模块，点击mysql数据源后的整库同步按钮
2. 选择原表：test_001
选择目标：sparkthrift数据源
选择schema：当前项目schema
同步方式：全量
并发配置：整批上传
点击发布任务
3. 操作设置所配置的时间到期后进入数据地图查看表
4. 操作设置所配置的时间到期后进入hdfs查看表
5. 创建hivesql任务，输入select语句查询上述表","1. 进入整库同步界面
2. 任务发布成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. 表不存在
4. 表不存在
5. 查询失败，表不存在",3
增加一键建表生命周期配置功能,验证生命周期到期-分区表-验证分区表生命周期到期后正常删除分区,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255)) partitioned by (pt string);

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-周期任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 点击确定
4. 操作设置所配置的时间到期后进入数据地图查看表
5. 操作设置所配置的时间到期后进入hdfs查看表
6. 创建hivesql任务，输入select语句查询上述表","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 表依然存在，分区被删除
5. 表依然存在，分区被删除
6. 依然能正常查询，表数据为空",3
增加一键建表生命周期配置功能,验证修改生命周期-手动任务-数据同步任务hive一键建表修改生命周期正常生效,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-手动任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 修改lifecycle后的数值后点击确定
4. 进入数据地图查看表生命周期值
5. 进入底层数据库查看表生命周期值","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 正常显示为建表时修改的值
5. 正常显示为建表时修改的值",2
增加一键建表生命周期配置功能,验证修改生命周期-数据地图-验证表生成后数据地图修改表生命周期正常,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-周期任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 点击确定
4. 进入数据地图查看表生命周期值
5. 修改表的生命周期","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 正常显示为建表时修改的值
5. 表生命周期修改完成",2
增加一键建表生命周期配置功能,验证修改生命周期-周期任务-数据同步任务hive一键建表修改生命周期正常生效,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-周期任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 修改lifecycle后的数值后点击确定
4. 进入数据地图查看表生命周期值
5. 进入底层数据库查看表生命周期值","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 正常显示为建表时修改的值
5. 正常显示为建表时修改的值",2
增加一键建表生命周期配置功能,验证手动任务-数据同步任务hive一键建表生命周期正常,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-手动任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 点击确定
4. 进入数据地图查看表生命周期值
5. 进入底层数据库查看表生命周期值","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 正常显示为操作设置所配置的值
5. 正常显示为操作设置所配置的值",2
增加一键建表生命周期配置功能,验证整库同步-整库同步建表生命周期正常,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据源模块，点击mysql数据源后的整库同步按钮
2. 随机选择一个目标表表名后方的查看建表语句
3. 选择原表：test_001
选择目标：sparkthrift数据源
选择schema：当前项目schema
同步方式：全量
并发配置：整批上传
点击发布任务
4. 进入数据地图查看表生命周期值
5. 进入底层数据库查看表生命周期值","1. 进入整库同步界面
2. 显示对应的建表语句，同时lifecycle的数值为操作设置所配置的数值
3. 任务发布成功，表创建成功，系统给出创建成功提示，列表中出现新创建的记录
4. 正常显示为操作设置所配置的值
5. 正常显示为操作设置所配置的值",1
增加一键建表生命周期配置功能,验证临时运行-数据同步任务hive与spark之间相互为meta时进行建表运行正常,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-周期任务模块，新建数据同步任务
2. 来源数据源选择hive/spark（meta）
3. 选择目标数据源hive/spark，选择目标表时点击一键建表
4. 点击确定
5. 进入数据地图查看表生命周期值
6. 进入底层数据库查看表生命周期值","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 来源选择成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 生成建表语句，lifecycle显示为操作设置所配置的值
4. 表成功创建
5. 正常显示为操作设置所配置的值
6. 正常显示为操作设置所配置的值",2
增加一键建表生命周期配置功能,验证周期任务-数据同步任务hive一键建表生命周期正常,"已存在hive来源表
DROP table if exists test_001;

CREATE TABLE if NOT EXISTS test_001(id INT,name VARCHAR(255));

INSERT INTO test_001 VALUES (1,'mengfei'),(2,'kako');","1. 进入数据开发-周期任务模块，新建数据同步任务
2. 选择目标表时点击一键建表
3. 点击确定
4. 进入数据地图查看表生命周期值
5. 进入底层数据库查看表生命周期值","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 生成建表语句，lifecycle显示为操作设置所配置的值
3. 表成功创建
4. 正常显示为操作设置所配置的值
5. 正常显示为操作设置所配置的值",1
增加一键建表生命周期配置功能,验证配置项正常取消配置,无,"1. 进入项目管理-项目设置-操作设置
2. 点击编辑按钮
3. 输入框分别输入值1、9999、40
4. 点击取消","1. 新增配置项 【同步任务一键建表生命周期】
2. 弹出【同步任务一键建表生命周期】配置弹窗，默认值：9999 天，弹出上一轮所配置的数值
3. 失焦后数字不变
4. 生命周期配置未更改",2
增加一键建表生命周期配置功能,验证配置项正常配置,无,"1. 进入项目管理-项目设置-操作设置
2. 点击编辑按钮
3. 输入框分别输入值 -1、10000、99.99、1.5、1.0、0.5
4. 输入框分别输入值1、9999、40
5. 点击确定","1. 新增配置项 【同步任务一键建表生命周期】
2. 弹出【同步任务一键建表生命周期】配置弹窗，默认值：9999 天；
3. 失焦后自动重置为 1 或9999天（截取、去除小数点）
4. 失焦后数字不变
5. 生命周期配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置",1
增加一键建表生命周期配置功能,验证前端校验,无,"1. 进入项目管理-项目设置-操作设置
2. 点击编辑按钮
3. 输入框内输入值 < 1
4. 输入框内输入值 > 9999
5. 鼠标悬浮至问号icon","1. 新增配置项 【同步任务一键建表生命周期】
2. 弹出【同步任务一键建表生命周期】配置弹窗，默认值：9999 天；
3. 失焦后自动重置为 1 天
4. 失焦后自动重置为 9999 天
5. 提示“配置的一键建表生命周期将在整库同步和单表同步任务中生效”",1
